sgRNA,Gene,DLD1-Cont2_P10.initial,DLD1-Cont2_P10.final
ZNF521_E4_276.4,ZNF521,3308,1570
CDK12_PKc_E8_102.1,CDK12,5423940,12498504
SETD1B_e17_118.2,SETD1B,7804,4989
ZNF717_E5_1770.65,ZNF717,5776,3344
HP_1221.43,HP,5148,2693
MID1_2004.245,MID1,2664,1532
NFATC4_E5_200.4,NFATC4,4618,2898
ZNF253_E4_828.54,ZNF253,7618,5144
ZNF619_E6_732.57,ZNF619,2656,1113
LTK_PKc_E12_91.7,LTK,2748,1466
SETDB2_e14_89.4,SETDB2,4150,2135
SOX10_E3_91.6,SOX10,5902,4102
ZNF600_E3_1785.112,ZNF600,4636,3139
PIAS4_E9_132.2,PIAS4,7378,3541
PIAS4_1533.71,PIAS4,7378,3541
MEIS2_E9_77.4,MEIS2,4406,1913
CDK12_PKc_E9_78.1,CDK12,3930958,388205
ZIC3_E1_118.19,ZIC3,1530,694
ZNF112_E5_1077.55,ZNF112,2398,1606
ZNF367_E3_53.3,ZNF367,5952,3503
UBE2V2_438.7,UBE2V2,1528,659
RHBDF2_2571.26,RHBDF2,1380,829
DDB1_3423.28,DDB1,1316,542
KLHL34_BTB19126_E1_1935.403,KLHL34,1282,582
DIDO1_Phd_E4_118.8,DIDO1,1426,493
DCAF6_2856.232,DCAF6,2148,806
PCGF2_1035.12,PCGF2,2058,1159
HOXA1_E2_168.1,HOXA1,3220,1918
ZNF77_E4_834.85,ZNF77,3154,1998
CDK2_PKc_E3_121.2,CDK2,888,457
TFEB_E7_76.0,TFEB,9260,5326
ZNF367_E2_31.0,ZNF367,2716,905
KAT2B_BD_e18_190.12,KAT2B,2434,964
ZNF549_E4_1143.10,ZNF549,7778,4639
KCNA5_BTB122213_E1_1842.351,KCNA5,1846,927
MMP8_1404.114,MMP8,4188,2378
ZNF574_E2_1602.35,ZNF574,3286,1875
AZU1_756.19,AZU1,3706,2644
GRHL2_E8_95.0,GRHL2,2182,1090
neg39,neg39,14958,7657
TIP60_e10_94.0,TIP60,13226,7945
RNF113B_969.116,RNF113B,2352,1495
