Experiment Name:,Exp_20260609_HCT116_Mito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A
01-WT-B1,,118576,92872,92864,87219,936,3934,100.00%,78.32%,78.32%,73.56%,0.79%,3.32%,100.00%,78.32%,99.99%,93.92%,1.01%,4.24%,354034.1,358713.6,358724.5,347765.1,84717.9,1112743.8,498587.2,427500.4,427520.8,393243.6,80585.2,1166157.9,245335.3,203448.3,203449.2,185178.1,13324.6,141185.9,99.06%,59.57%,59.57%,49.55%,19.33%,15.82%,430895.4,390305.9,390319.9,374742.6,216223.8,723766.8,328163.8,333369.4,333378.6,327028.5,213265.7,724607.9,166499.3,123083.1,123065.4,110730.5,35019.8,133215.4,106.43%,41.62%,41.62%,38.66%,16.87%,17.44%,458620.7,162461.7,162461.7,144889.8,36473.2,126240.5,50.74%,36.92%,36.91%,33.86%,16.42%,18.38%,326703.1,361335.3,361349.7,350630.6,213211.2,711922.4,489013.7,396644.8,396670.6,380288.4,187781.5,748968.1,339980.7,356331.4,356371.5,345346.9,182528,736649.3,334303.7,337673.5,337699.6,328711.1,183160.3,765532.8,58.76%,47.78%,47.77%,44.55%,23.09%,18.26%,196424.2,161339.3,161320.4,146426.5,42287.5,139774.5,249.22%,47.82%,47.82%,45.69%,24.70%,17.08%,1218738.4,189682.4,189670.1,173753.4,46383.6,127940.8,230409.8,197855,197865.5,187263.7,86841,423952.3,164923.5,172853.1,172866.3,166582.9,73649,414539.3,170484.8,167486.6,167493.4,163156.1,76457.8,423159.7,58.33%,49.18%,49.17%,45.83%,56.38%,20.39%,99448.7,82364.4,82360.2,74771.8,43104.2,86300.2,86.02%,52.82%,52.82%,48.78%,67.67%,20.95%,198196.6,104508.1,104506.2,91341.7,58767,88802.9,324800.4,363387.1,363411.3,347678.8,78660.1,1153526.9,69.30%,56.72%,56.71%,53.25%,15.73%,12.69%,493905.2,254670.6,254671.2,194864.8,15577,184461.6
01-WT-C1,,139989,115640,115629,110036,1180,3655,100.00%,82.61%,82.60%,78.60%,0.84%,2.61%,100.00%,82.61%,99.99%,95.16%,1.02%,3.16%,338436.7,338711,338735,331710.3,86165.6,1108405.1,460515.3,403267.5,403291.3,377959.4,81707.6,1155378.5,219636.5,188688.6,188702.2,175359,11624,135220.3,90.57%,59.15%,59.14%,50.32%,18.20%,14.76%,419297.9,382237.6,382247.5,370961.6,215883.4,717186.9,324350.4,326348.8,326352.4,322158.9,213080.5,718399.9,148904.6,119013.1,119009.2,110212.8,33838.6,133670.9,98.77%,41.27%,41.27%,38.87%,16.15%,17.65%,414160.2,157749.3,157745.6,144196.7,34864.3,126588.3,45.91%,36.47%,36.47%,34.21%,15.88%,18.61%,338050.8,354519.4,354530.7,346965.2,213120.3,705093.9,471545.2,391140.8,391165.8,379066.3,187752.3,755159.9,354311.7,352024.2,352063,344242.8,182594,743601.1,334539.6,334076,334090.6,328077.4,182225.4,775216.3,54.67%,47.10%,47.09%,44.76%,23.22%,16.76%,182895.6,157349,157335.9,146861.4,42313.1,129916.3,232.64%,47.57%,47.56%,45.71%,24.46%,16.41%,1096995.9,186066.1,186054.6,173257,45916.1,123940,216146.5,189062.8,189075.1,181454.7,75903.3,416578.7,166948.4,164457.3,164476,160350.4,63631.9,407010.9,165734.1,161790,161800.9,158996.4,65857.3,414434.9,55.60%,49.56%,49.56%,46.81%,55.51%,20.20%,92149.2,80182.9,80190.6,74429.6,36557.4,83725.1,79.38%,53.39%,53.39%,49.95%,71.29%,21.23%,171579.1,100945.8,100942.3,90645.1,54111.2,88440,332798.3,344204.5,344248.2,333653.2,79859.9,1144418.8,64.90%,55.71%,55.71%,52.87%,13.49%,12.20%,417109.8,238519.2,238515.9,190205.7,14868.4,170552.9
01-WT-A1,,140788,115254,115250,111535,556,2640,100.00%,81.86%,81.86%,79.22%,0.39%,1.88%,100.00%,81.86%,100.00%,96.78%,0.48%,2.29%,324942.3,323501,323512.8,318384,88138,1110813.3,439869.3,384316.2,384322.7,364727.8,83651.3,1163394.5,201629.4,171300.5,171310,162888.4,10036.4,138082.9,89.09%,57.32%,57.32%,49.56%,16.41%,15.44%,426201.9,385716.7,385722.1,376734.2,209200.4,744121.1,332127.3,333169.1,333173.4,329866.1,206395.9,749783.3,158928,121685.2,121679.4,114675.9,41203.9,132518.5,104.15%,40.94%,40.94%,39.03%,18.21%,16.97%,443896.7,157916.8,157916.8,147037.7,38088.5,126250.3,47.85%,36.52%,36.52%,34.76%,19.96%,17.67%,338352,357678.9,357684.5,351607.8,205838.9,732457.8,503703.4,409558.4,409569.3,401623.7,201469.9,734108.1,373360.6,371650.7,371667.9,366066.1,196189,719157.8,357909,355979.3,355984.1,350988.7,197868.8,753641.5,54.00%,45.62%,45.62%,44.05%,22.81%,20.48%,193270.3,162391.8,162394.7,154617.4,45136.2,154311.2,254.57%,45.29%,45.29%,44.42%,23.43%,18.99%,1282262.5,185484.8,185478.9,178419.5,47208.8,139428,223782.1,195401,195404.9,190420.8,83345.4,398054,175950.2,174417.9,174422.5,171336,75496.5,386885.7,171253.8,167155.8,167160.2,165151.2,79519.5,392896.8,51.89%,45.39%,45.38%,43.56%,41.26%,23.31%,88864.1,75865.9,75860.3,71945.4,32810.1,91579.1,76.86%,49.10%,49.10%,47.17%,44.80%,24.23%,172003.5,95940.8,95940.2,89829.2,37336.7,96441,325862.8,333200.2,333207.1,324243.8,82208.3,1151331.3,62.05%,52.95%,52.95%,51.16%,11.39%,12.43%,391869.6,220306.7,220307.5,180756.5,13730.6,179643.5
01-KO1-A2,,104108,87078,87073,83841,237,2491,100.00%,83.64%,83.64%,80.53%,0.23%,2.39%,100.00%,83.64%,99.99%,96.29%,0.27%,2.86%,383958.1,387507.7,387517.9,380272.2,84423.9,1118181.5,483692.8,436529.4,436545.6,412566.7,77744.1,1172597.8,208369.6,181071.3,181072.2,170913.9,14524.6,143090.7,94.02%,50.76%,50.76%,42.85%,24.74%,16.36%,356151.2,333180.6,333184.8,324482.8,199666,596951,301531.5,306009.9,306010.4,302338.6,189673.1,594915.1,107613.1,89017.8,89018.3,84434.5,32090.6,133899.4,125.47%,34.58%,34.58%,31.87%,22.52%,22.99%,446878.4,115220.7,115222.5,103412.9,44955.9,137238.7,35.69%,29.09%,29.09%,27.93%,16.92%,22.51%,296499.2,316427.6,316431.3,310249.7,195411.8,580313.8,495387,405951,405965.3,395843.5,227609.9,710535.1,373623.8,377549.6,377573.4,370243.4,216149,690882.3,369378.1,370922.9,370926.7,365621.1,209146.7,738608.8,43.88%,37.60%,37.60%,36.32%,29.75%,22.23%,162080.4,139448.6,139450.3,132799.3,62216.6,164185.8,265.74%,39.49%,39.48%,37.84%,35.60%,21.79%,1316418.1,160301.5,160292.1,149782.9,81032.1,154828.1,232559,205524.4,205534.1,197563.7,106020,445547.3,180048.8,181480.4,181499.2,176559.8,74945.5,429984.3,189497.5,187206,187210.7,183622.7,73082.4,431914.1,53.20%,47.60%,47.60%,45.96%,77.85%,24.10%,100814.6,89109.4,89106.6,84397.9,56897.7,104077.4,89.90%,49.93%,49.92%,46.27%,105.12%,28.58%,209062.5,102613.3,102608,91406.5,111453.6,127348.6,364975.4,388628.3,388656.5,375960.5,74136,1159163.8,54.27%,46.73%,46.73%,44.95%,17.20%,12.80%,454759.7,221600.8,221594.9,176781,19233.2,191862.3
01-KO1-B2,,81887,64438,64435,59284,142,4279,100.00%,78.69%,78.69%,72.40%,0.17%,5.23%,100.00%,78.69%,100.00%,92.01%,0.22%,6.64%,457354.5,462735.4,462741,441621.9,80091.7,1132158.3,583529.8,519815.6,519825,466309.6,76390.3,1201713.8,274250.4,224962.8,224962.6,198139.3,16668.1,162124.2,96.50%,51.64%,51.64%,40.34%,22.83%,18.83%,398728.4,363611.4,363618.5,343347.8,203055.8,618525.1,321990.8,327936.3,327944.1,317930.1,194279.8,616041.6,137789.5,106938.7,106940.4,94356.8,37830.5,158504.7,132.23%,37.95%,37.95%,33.52%,22.24%,24.53%,527254.6,137985.2,137984.5,115082.9,45163.2,151745,42.79%,32.61%,32.61%,29.68%,19.47%,25.73%,308958,341546.9,341554.6,326643.5,198681.8,598622,530614.1,421090.9,421104,399475,209931.9,692732.3,374148.5,388620.3,388640.8,372182.9,197851.9,671474.1,380663.2,384002.4,384013.2,369957.8,187999.5,711536.5,50.72%,40.88%,40.88%,38.14%,29.42%,24.51%,193062.8,156995.8,156984.2,141086.9,55304.6,174422.5,250.75%,40.91%,40.91%,38.51%,39.35%,23.00%,1330524.4,172288.2,172280.8,153847.4,82618.5,159304.5,260808.6,228940.9,228910.1,211988.5,109654.5,442167.3,189427.6,202723.3,202720.8,191177.5,72041.3,427389.2,209620.6,208127.9,208130,198870.5,70834.3,432735.3,56.12%,47.23%,47.23%,44.20%,93.46%,25.35%,117649.1,98296.8,98291.2,87905.7,66201.8,109679.5,91.46%,49.31%,49.17%,43.86%,106.92%,28.20%,238528.2,112898.9,112549.6,92983.2,117247.7,124697,406401.8,459444.1,459452.3,427131.2,73860.6,1183779.8,59.96%,48.62%,48.62%,44.87%,20.81%,14.32%,563128.3,268432.8,268435.2,188127.7,17438.4,226269.3
01-KO1-C2,,92794,73325,73321,68224,160,4190,100.00%,79.02%,79.01%,73.52%,0.17%,4.52%,100.00%,79.02%,99.99%,93.05%,0.22%,5.71%,442908.3,449245.3,449265.5,431710.7,80645,1121788.1,562391.9,504411,504424.3,458487.3,77737,1188379.1,261471.8,214327.8,214327.2,191769.8,16374.7,154264.1,94.39%,51.01%,51.01%,40.68%,20.00%,18.18%,382900,353381,353387.6,335889.2,200351.6,609753.8,312968.6,318790,318794.7,310651.8,190274,609628.3,130555.3,101301.9,101299.7,91095.4,41746.4,143950.8,122.25%,37.34%,37.34%,33.20%,24.50%,23.60%,468092.9,131959,131959.6,111521.2,49088.8,143909.5,41.72%,31.78%,31.78%,29.32%,21.94%,23.61%,299871.9,332657.2,332663.7,319882.8,195097.8,591580.6,523095.6,422886.7,422904.7,404219.7,214504,695498.3,374387.8,390950.8,390981.3,376752.4,204378.1,675084.9,382850.4,386243.8,386248.1,374247.6,194801.5,716605.4,50.14%,40.38%,40.38%,38.05%,26.06%,24.65%,191948.9,155984.5,155981.7,142414.6,50775,176629.1,250.43%,40.38%,40.38%,38.28%,34.23%,22.63%,1309982.6,170780,170767.3,154754.7,73429.7,157395,254631.5,223949.8,223957.5,209805.3,101271.6,432442.2,186510.8,198749.8,198759.5,189102.5,67428.2,418582.2,205931.5,204324.2,204329,196298.2,59448.4,420705.3,55.39%,46.34%,46.34%,43.75%,85.19%,24.58%,114055.8,94693.4,94685.1,85884.7,50641.4,103389.7,90.85%,48.26%,48.26%,43.91%,104.74%,26.45%,231338.1,108084.4,108082.3,92125.8,106074.3,114377.8,395631.6,447217.9,447233.2,419796.4,75868.7,1171990.5,59.04%,47.71%,47.71%,44.42%,20.30%,13.75%,530817.5,257291.4,257290.8,186511.9,15548.5,216063.4
01-KO2-A3,,66060,49518,49506,43962,83,4783,100.00%,74.96%,74.94%,66.55%,0.13%,7.24%,100.00%,74.96%,99.98%,88.80%,0.17%,9.66%,473883.9,504128.8,504160.8,471044.3,79060,1147979.8,618600.9,572262.3,572321.9,495840.1,76483.7,1229524.9,301882.8,242297.9,242265.4,202864.8,14827.5,180887,120.55%,51.62%,51.62%,38.08%,20.65%,20.71%,378051.1,361575.4,361607.7,333915.6,212178.2,596897.8,307930.7,325366.7,325389.4,310666.4,200001.9,591385.7,152747.2,111840.9,111842.6,93234,41270.4,145053.3,145.93%,38.39%,38.39%,32.90%,24.52%,23.76%,551673.1,138808.3,138808.9,109874.7,52022.2,141845.2,49.60%,34.37%,34.37%,30.01%,20.63%,24.53%,279026.8,338687.5,338720.5,317891,206675.9,579275.5,496270.3,402425.7,402499.6,372711.2,204658.9,654770.5,326096.2,368350.4,368469.5,345902.9,194928.3,629490.7,347222.8,362325.5,362352.6,343074.7,186138.2,668180.2,54.66%,42.46%,42.44%,38.46%,31.96%,29.12%,189791.3,153849,153792.3,131962.1,59488.3,194561.1,262.24%,43.18%,43.16%,39.79%,32.42%,25.94%,1301435.3,173771.4,173727.6,148285.5,66342.1,169851.3,261573.7,236957.5,236960.3,214383.3,170317.1,428116.6,174749.1,213200.5,213242.5,197166.8,124875.6,412586.8,203062.5,211304.2,211358.3,198420.3,123142.3,415706.7,56.31%,44.06%,44.05%,39.71%,55.65%,26.34%,114344.8,93097.8,93104.2,78799.6,68532.6,109515.2,117.34%,47.30%,47.20%,40.59%,91.49%,28.41%,306923.9,112084.9,111852.4,87024.8,155821.1,121609.6,403781,506821.9,506894.5,458379.6,74348.5,1207610.1,63.70%,48.06%,48.05%,43.07%,18.75%,15.76%,745714.8,295428.4,295428.8,188823.4,15795.5,254630.2
01-KO2-B3,,73899,54341,54338,48181,36,5349,100.00%,73.53%,73.53%,65.20%,0.05%,7.24%,100.00%,73.53%,99.99%,88.67%,0.07%,9.84%,477585.3,516456,516455.3,481755.7,84077.7,1150140.5,604522.1,582535.1,582517,504998.6,78225.2,1230450.1,292941.3,237711,237696.8,197422.3,16303.2,179373.7,110.09%,50.26%,50.25%,36.50%,24.76%,21.31%,333566.7,332973.3,332968.1,308321.3,207746.2,535852.4,281094.5,301129.1,301128.2,287989.7,183372.5,528817.3,133925.3,96422.5,96421.7,80681.3,46373.5,132242.7,141.57%,36.46%,36.46%,30.77%,30.00%,24.44%,472234.2,121391.6,121388.5,94861.4,62323.5,130948.8,47.64%,32.02%,32.02%,28.02%,25.29%,25.01%,247413.8,314153.5,314149.3,295399.2,200306.6,519660.2,478667.8,407521.7,407510.8,376419,202537.7,661530.7,315969.2,376050.4,376048.9,352405.3,194015.9,638286.8,348534.1,368138.9,368133.6,348882.1,187610.6,675467.9,52.44%,39.72%,39.71%,35.70%,29.59%,28.18%,182776.8,146214.9,146198.5,124551.3,55518.2,190323.1,272.77%,41.43%,41.43%,37.51%,30.41%,24.84%,1305654.3,168840.5,168817,141202.5,61596,164306.7,260875.2,247488.7,247166.7,222845.3,135686.9,448503.2,176834.1,223598.9,223579,206308,102449.8,432066,209004.6,219812.4,219810.4,207302.5,116649.4,435180,56.03%,42.45%,42.45%,37.59%,77.53%,25.47%,117097.2,93309.7,93305.5,77926.2,90433.4,110848.5,104.70%,51.81%,46.76%,39.37%,73.69%,28.93%,273137.9,128222.2,115577.3,87726.3,99986.2,129738.7,398899.3,520420,520426.8,470085.7,75063.6,1207731.4,61.34%,46.03%,46.02%,40.98%,19.39%,15.60%,665499.1,292762.6,292724.8,184324.4,19365.5,262244.8
01-KO2-C3,,67968,48746,48741,42505,50,5390,100.00%,71.72%,71.71%,62.54%,0.07%,7.93%,100.00%,71.72%,99.99%,87.21%,0.10%,11.06%,482810.7,529844,529875.2,491249.6,81756.2,1164426.8,616444,600476.5,600514.5,512705.7,77977.4,1245369,315529.2,247996.6,248026.8,202305.1,13146.1,196252.2,117.10%,50.87%,50.87%,36.34%,21.95%,21.58%,347782.7,348095.8,348107.9,318019,199970.5,567616.1,288219.7,312558.4,312584.2,296801.8,191057.4,557714.6,151823.2,105547.4,105548.7,86443.5,36219.2,139588.1,158.11%,38.34%,38.34%,31.95%,25.11%,24.65%,549875.3,133460.3,133461.7,101607.4,50215,139925.2,52.68%,33.77%,33.77%,29.12%,18.96%,25.03%,246033.1,326377.3,326389,303687.3,194877.5,549862.1,484004.8,407349.1,407381,373337.2,197574.6,654692,303936.4,374017.8,374069.8,348123.4,189461.7,629180.4,341367.8,366599.7,366602.8,344395,187946.4,671387.8,56.99%,41.51%,41.50%,37.10%,27.21%,29.09%,194532.8,152174.3,152147.1,127768.2,51132,195285.6,285.52%,42.49%,42.48%,38.55%,30.47%,26.00%,1381911.3,173076.1,173056.4,143908.2,60193.5,170207.3,259637.8,246902.1,246919.5,220917.9,172826.2,435490.6,167116.3,223608.4,223639.9,204876,126346.6,420033,205482.9,218765.1,218771.9,204373.7,129718.4,423670,57.64%,42.31%,42.30%,36.86%,77.80%,25.97%,118445.3,92554.6,92542.4,75340.7,100916,110013.5,114.33%,46.26%,46.25%,39.01%,81.84%,27.49%,296835.2,114212.8,114204.9,86190.9,141441.3,119723.4,386410.1,534439,534502.6,477197.1,75729.2,1221681.4,65.35%,46.81%,46.81%,41.18%,16.08%,16.85%,721873.2,305488.9,305478.1,186329.7,17112.4,268787.8
01-KO3-A4,,142146,127543,127502,122845,524,3436,100.00%,89.73%,89.70%,86.42%,0.37%,2.42%,100.00%,89.73%,99.97%,96.35%,0.41%,2.69%,326994.3,332093.6,332113.7,325652.1,87800.6,1110295.5,412179.3,395222.3,395257.9,371572.1,82794,1176322.9,181036.4,169251.8,169289.1,159300.9,10959.2,142424.6,77.28%,57.58%,57.58%,48.61%,17.87%,18.47%,376755.4,362738.8,362781.7,351757.2,208516.4,719037.5,310302.6,314278.1,314321.6,310848.6,199807.3,725861.8,120745.1,107588.9,107572,101136.6,37503.8,147740.8,105.04%,41.85%,41.85%,39.12%,22.46%,19.98%,395750.5,151815.7,151821,137611.4,46827.7,143697.3,38.91%,34.23%,34.22%,32.54%,18.77%,20.35%,319954.8,336486.1,336527.8,329142.9,203954.4,702689.6,396993.9,352220.3,352303.1,342501,205207.2,669234.5,315799.5,319662.4,319787.6,313044.7,197981.8,647901,304699,306693.1,306745.6,301982.3,192814.8,679104.3,46.24%,42.64%,42.63%,41.07%,22.84%,25.48%,140895,130780.7,130777.3,124035.1,44047.3,173008.4,266.38%,46.61%,46.59%,44.92%,28.87%,23.55%,1057494,164179.7,164141,153855.8,59247.6,157629,194137.5,183653.4,183679,176570.4,86584.2,415591,163587.5,165662,165689.2,161425.7,76764.1,404831.4,157097.5,157600.8,157632.3,155026.6,74570.5,405804,46.11%,43.58%,43.58%,41.76%,40.65%,21.83%,72434.7,68676.1,68691.7,64736.4,30312.6,88582.2,69.99%,48.90%,48.89%,44.68%,57.42%,25.48%,135868.8,89803.7,89805.2,78894,49717,105888.1,325887.7,343381.8,343407.3,332027.6,81027.6,1160554.6,55.36%,50.97%,50.97%,48.92%,12.48%,12.83%,318529.8,227561.4,227584.8,180616.5,14799.2,217254.8
