Experiment Name:,Exp_20260825_HCT116_KO.OEc

Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A
01-WT-A1,,178848,156608,152396,141547,7138,3180,100.00%,87.56%,85.21%,79.14%,3.99%,1.78%,100.00%,87.56%,97.31%,92.88%,4.68%,2.09%,384370.2,409094.5,412858.8,407756.7,240384.4,955739.6,299595.2,370963.0,374318.3,374275.1,237475.1,918758.1,314705.9,331251.1,334369.1,337660.3,237917.8,941825.4,39.58%,34.70%,35.36%,33.95%,15.66%,29.67%,124560.8,114931.5,118222.8,114636.6,37266.1,279414.3,96.70%,50.58%,50.45%,46.57%,15.75%,27.42%,371688.1,206902.6,208281.5,189897.7,37850.0,262027.0,475896.0,481060.5,487569.4,479065.3,244042.5,1307397.9,352808.9,417150.8,423714.0,424272.5,237570.7,1254947.3,359105.1,383432.0,389813.0,395260.8,235873.9,1318299.8,51.81%,47.61%,47.42%,45.35%,21.92%,30.17%,186043.7,182555.4,184835.3,179258.2,51714.6,397759.5,195.04%,60.53%,59.94%,54.81%,24.00%,26.84%,928183.7,291166.2,292250.0,262596.8,58569.3,350863.2,295215.5,310803.8,316074.8,304783.6,83443.6,1234273.5,203110.2,252852.1,258457.9,263172.2,82388.9,1209931.8,224811.2,245499.2,251040.7,255611.9,86160.1,1148660.9,67.57%,61.76%,60.79%,56.46%,13.18%,15.93%,151895.3,151628.1,152607.6,144315.3,11357.4,182929.5,92.94%,72.89%,71.91%,57.36%,14.47%,22.44%,274382.2,226537.3,227298.2,174837.2,12074.0,276980.3,209762.6,217651.2,222745.8,217874.7,93979.9,671426.3,146247.8,176961.5,185406.0,186580.9,86843.6,642206.1,173528.0,181654.3,184918.5,187465.2,87434.7,656823.1,63.20%,58.02%,55.72%,51.88%,42.09%,29.19%,109675.7,105400.3,103034.5,97262.1,36805.5,191698.2,81.15%,67.59%,65.48%,58.09%,43.48%,29.41%,170218.4,147108.3,145852.2,126571.4,40862.4,197474.0
01-WT-B1,,169639,151106,148085,136139,8039,3407,100.00%,89.08%,87.29%,80.25%,4.74%,2.01%,100.00%,89.08%,98.00%,91.93%,5.43%,2.30%,400981.3,415554.8,418589.2,412453.3,235784.8,1025885.8,326146.4,373254.1,375960.2,376342.6,232959.1,989759.7,317771.1,332873.0,335678.6,340281.2,233561.6,1008290.4,41.12%,36.95%,37.49%,35.87%,15.01%,27.87%,130668.6,123005.3,125846.9,122070.6,35060.7,280993.3,96.55%,53.30%,53.17%,48.32%,15.75%,26.16%,387128.9,221487.4,222577.8,199299.7,37135.5,268344.8,471333.9,456913.8,461679.8,452105.8,225488.5,1307357.9,358668.5,392973.6,397789.0,398798.5,219991.9,1260785.6,340808.4,359597.1,364187.1,371011.7,219015.6,1299774.0,51.08%,48.23%,48.04%,45.82%,21.30%,29.16%,174077.0,173429.3,174940.1,170012.7,46648.4,379011.3,227.77%,62.95%,62.49%,56.12%,23.08%,25.65%,1073544.8,287648.8,288480.8,253714.2,52032.0,335317.6,303315.5,310851.9,314923.0,303014.7,83167.7,1243731.9,221272.1,250684.2,255137.0,261052.2,82145.6,1219792.8,226258.0,242777.3,247027.7,252926.6,85897.3,1164665.4,66.64%,62.56%,61.71%,56.76%,13.25%,16.85%,150771.1,151870.0,152443.9,143556.3,11378.5,196248.3,95.38%,74.76%,73.96%,57.90%,14.41%,21.62%,289296.7,232385.0,232914.6,175457.0,11981.8,268954.1,223475.3,226008.2,229898.2,224665.1,93733.5,706879.6,169289.4,184288.2,190883.6,193006.3,86394.1,678807.9,180122.5,186848.6,189554.8,192907.2,86779.0,692975.3,60.16%,57.67%,55.99%,51.45%,40.69%,28.85%,108353.2,107760.0,106139.6,99250.1,35307.2,199933.7,79.96%,68.04%,66.37%,57.70%,47.67%,28.05%,178680.6,153773.2,152576.1,129638.6,44681.2,198296.2
01-WT-C1,,174592,155760,152728,141660,6208,4231,100.00%,89.21%,87.48%,81.14%,3.56%,2.42%,100.00%,89.21%,98.05%,92.75%,4.06%,2.77%,402394.7,410157.1,413146.3,402429.9,229188.8,975067.3,328586.0,367492.0,370179.5,366580.0,226522.3,937086.4,312258.2,326305.2,329022.1,330402.2,226567.2,963283.8,41.62%,37.61%,38.13%,36.18%,15.02%,28.91%,129949.8,122726.0,125464.2,119525.1,34036.8,278493.8,97.66%,53.87%,53.72%,48.88%,15.51%,27.43%,392981.4,220935.1,221937.4,196709.2,35542.6,267443.4,498515.6,473244.8,478153.5,461759.1,224603.5,1305350.9,377244.1,405432.9,410437.1,406317.5,219188.7,1254575.5,351179.9,368676.7,373707.7,375869.8,217938.7,1302478.8,51.57%,49.07%,48.96%,46.36%,21.03%,29.88%,181097.6,180925.6,182972.3,174238.2,45829.6,389165.5,237.18%,63.43%,62.94%,56.55%,22.96%,26.51%,1182373.4,300190.6,300947.8,261115.9,51578.3,346095.6,325767.5,329407.8,333629.3,314450.6,83788.4,1249986.8,241462.3,265975.9,270626.1,270961.4,82763.6,1224379.3,242210.7,257972.3,262248.3,264196.3,86705.7,1165418.0,66.52%,62.59%,61.71%,57.16%,12.54%,16.99%,161113.3,161455.8,161826.8,151009.6,10875.0,198010.9,95.37%,74.21%,73.42%,57.26%,14.23%,22.51%,310683.7,244458.8,244939.3,180041.3,11922.2,281371.1,236183.5,236105.6,240055.5,230462.4,92105.0,725254.4,179894.6,190477.2,197186.8,196147.5,84630.5,695050.3,188401.9,194630.2,197410.2,198444.8,84385.4,711447.1,61.73%,60.00%,58.24%,53.89%,41.30%,29.42%,116304.5,116775.7,114974.4,106944.9,34853.5,209323.3,82.08%,69.72%,67.88%,58.90%,49.56%,29.02%,193868.5,164624.0,162947.1,135747.0,45650.7,210497.8
01-KO1-A2,,116624,100584,100452,97575,294,2236,100.00%,86.25%,86.13%,83.67%,0.25%,1.92%,100.00%,86.25%,99.87%,97.14%,0.29%,2.23%,330349.3,341122.4,341272.1,330603.4,230519.3,772406.5,274222.8,321569.8,321729.9,315156.8,224834.6,746996.9,291839.2,306162.3,306329.1,303644.6,219518.0,754492.1,32.66%,27.73%,27.72%,26.82%,19.64%,23.24%,95307.1,84907.2,84899.4,81430.0,43122.5,175374.3,131.58%,39.40%,39.39%,34.27%,24.00%,25.59%,434672.8,134416.9,134421.6,113286.8,55321.9,197661.2,510165.8,476430.4,476605.4,456969.8,288084.6,1271586.5,380176.3,433001.0,433241.7,422574.2,273976.6,1205902.9,396161.3,416300.8,416389.3,412295.8,275449.1,1289918.8,41.07%,36.38%,36.35%,35.29%,32.46%,31.52%,162712.2,151447.2,151353.8,145512.9,89405.1,406612.2,297.49%,50.62%,50.59%,43.81%,32.77%,29.48%,1517677.5,241153.2,241099.5,200179.8,94391.9,374810.1,371000.5,384162.0,384455.9,364215.2,78022.7,1219456.9,290159.8,344061.6,344458.6,335064.8,75730.1,1199289.8,313347.6,331522.7,331717.3,327618.5,82641.6,1148401.0,45.83%,40.85%,40.82%,39.52%,17.67%,15.24%,143617.8,135436.4,135405.3,129467.3,14605.8,175062.1,80.81%,53.52%,53.46%,42.78%,21.20%,20.18%,299803.7,205588.7,205541.8,155810.6,16541.8,246041.5,266563.8,269603.2,269855.9,258229.5,181456.5,738605.0,212168.7,244191.2,244814.4,238594.3,162232.6,698852.4,227024.9,235472.6,235592.0,232694.9,172397.5,722989.0,42.40%,39.49%,39.43%,38.33%,47.37%,29.97%,96254.3,92980.4,92891.6,89197.8,81656.8,216693.7,78.18%,52.00%,51.52%,43.48%,45.93%,35.07%,208405.5,140199.8,139022.0,112273.2,83336.7,259024.9
01-KO1-B2,,124385,111659,111515,107920,344,2808,100.00%,89.77%,89.65%,86.76%,0.28%,2.26%,100.00%,89.77%,99.87%,96.78%,0.31%,2.52%,357212.2,356302.3,356449.9,342191.0,226482.9,858575.8,299840.1,331893.6,332057.7,323608.9,221934.7,830173.1,302787.1,312767.0,312858.3,309760.9,216179.1,833408.6,32.97%,29.46%,29.44%,28.28%,20.60%,23.19%,99827.9,92133.5,92115.7,87592.4,44535.4,193299.4,138.71%,43.72%,43.70%,37.21%,20.99%,25.76%,495491.5,155788.0,155766.4,127328.3,47547.5,221136.1,509086.0,455191.0,455340.7,433137.2,275575.5,1236656.3,381732.7,409040.9,409227.3,397393.2,262500.2,1162437.1,379003.3,390587.9,390697.1,385914.4,255443.8,1257805.3,41.17%,38.11%,38.08%,36.86%,31.42%,35.37%,156032.2,148846.1,148770.2,142264.4,80264.3,444872.9,309.72%,54.15%,54.13%,46.32%,32.72%,31.92%,1576763.9,246478.2,246468.1,200620.0,90170.5,394733.3,367910.2,367995.6,368242.7,343872.1,79537.8,1247790.4,291918.2,323088.3,323405.9,312439.2,77591.9,1222872.4,297006.1,309023.8,309227.0,304628.6,85119.0,1159095.0,47.06%,43.67%,43.63%,42.03%,17.24%,16.32%,139771.7,134959.5,134911.1,128031.3,14676.3,189194.2,91.04%,59.64%,59.60%,46.36%,20.13%,21.98%,334951.1,219488.3,219464.7,159416.5,16012.0,274231.5,261394.8,257244.3,257263.5,244521.3,169338.7,706734.6,212971.3,230368.0,230888.0,224124.7,151364.8,665127.4,216143.0,221101.1,221253.8,217910.0,150636.8,685865.3,43.10%,41.00%,40.95%,39.65%,39.61%,32.76%,93155.0,90657.9,90608.2,86405.9,59667.0,224712.5,86.54%,56.19%,54.60%,46.09%,57.46%,35.33%,226207.4,144553.7,140453.5,112691.3,97303.4,249654.6
01-KO1-C2,,140715,121944,121850,118375,299,2768,100.00%,86.66%,86.59%,84.12%,0.21%,1.97%,100.00%,86.66%,99.92%,97.15%,0.25%,2.27%,329951.9,343368.5,343450.2,331459.8,223888.5,815792.8,273378.0,322185.1,322279.7,315066.7,219430.1,791191.5,291589.6,304927.6,304990.4,302358.4,215732.7,803074.0,32.55%,27.77%,27.76%,26.81%,18.64%,22.94%,94907.5,84672.2,84662.1,81061.2,40203.8,184230.2,113.64%,41.22%,41.20%,35.37%,21.27%,24.39%,374965.7,141542.1,141512.8,117232.8,47629.3,198967.6,474944.5,451966.6,452060.1,431241.3,265326.4,1272435.8,355903.8,407924.3,408052.2,397112.9,253299.0,1203509.0,371128.3,389871.2,389942.2,385520.5,245963.7,1289552.3,41.77%,37.17%,37.16%,36.10%,29.80%,32.17%,155025.5,144902.3,144892.7,139158.9,73290.4,414854.8,266.33%,53.22%,53.19%,45.29%,31.69%,30.00%,1264933.5,240514.6,240456.3,195288.2,84074.9,381755.0,359491.5,368745.1,368855.6,347127.8,77919.5,1243195.6,276477.2,328037.1,328210.1,318304.0,75697.1,1218579.5,296042.1,312001.6,312107.1,308165.5,80897.6,1163875.4,45.02%,40.32%,40.29%,38.87%,21.68%,16.98%,133279.1,125786.9,125762.7,119789.5,17538.3,197677.5,88.37%,56.90%,56.83%,44.36%,21.20%,22.13%,317669.8,209800.2,209609.3,153988.9,16515.9,275107.9,270860.2,271767.8,271807.5,259005.8,198685.0,774696.4,214247.0,245238.0,245580.3,238881.0,175201.3,729413.1,225806.1,234125.4,234213.0,231201.4,173762.1,762599.1,41.65%,39.10%,39.07%,37.98%,41.75%,31.22%,94055.4,91553.1,91505.0,87806.7,72541.1,238086.4,84.36%,54.07%,53.30%,44.46%,58.49%,34.35%,228486.4,146950.6,144866.6,115151.4,116211.8,266137.3
01-KO2-A3,,67286,57321,57248,52587,87,4052,100.00%,85.19%,85.08%,78.15%,0.13%,6.02%,100.00%,85.19%,99.87%,91.86%,0.15%,7.08%,359166.7,350722.2,350884.9,323490.3,222236.7,683275.3,289505.2,328135.7,328313.8,309846.5,217409.2,658866.3,295296.2,310877.2,311000.8,301472.0,213162.7,672034.6,36.48%,30.58%,30.58%,27.67%,19.88%,26.89%,107734.9,95078.8,95109.4,83429.8,42373.3,180701.8,187.26%,41.21%,41.19%,31.39%,22.13%,26.80%,672558.9,144534.9,144531.4,101542.6,49171.4,183142.3,588546.7,496265.1,496437.3,447682.0,263943.3,1090420.5,407690.5,445774.1,445981.3,416580.4,254492.0,1016696.8,407380.5,424638.9,424761.3,409411.0,256957.3,1051548.3,43.25%,39.08%,39.05%,35.87%,27.00%,38.56%,176205.5,165950.3,165865.3,146842.6,69372.8,405517.4,355.93%,53.31%,53.29%,40.75%,28.04%,35.12%,2094842.8,264552.6,264539.2,182417.2,74011.0,382933.1,516743.7,522411.3,522783.0,459293.8,78655.8,1300651.3,402502.4,463419.0,463967.0,427670.4,76928.8,1264780.1,420900.5,447342.2,447576.1,428809.5,81245.1,1188720.8,48.78%,43.03%,42.98%,39.15%,17.18%,19.06%,205316.5,192484.6,192356.5,167870.8,13959.4,226623.3,95.57%,55.64%,55.56%,37.60%,18.44%,26.54%,493874.9,290684.4,290440.4,172681.3,14503.6,345194.2,325415.0,323090.9,323152.7,291032.6,209482.1,716215.6,250646.1,288680.3,289320.7,270110.5,192787.4,663387.2,263781.3,276541.5,276710.2,264828.4,198601.5,674967.3,45.27%,41.67%,41.61%,38.27%,33.27%,35.45%,119402.9,115240.1,115130.7,101349.8,66065.7,239263.0,96.44%,56.31%,55.56%,41.25%,39.74%,42.11%,313816.0,181918.4,179557.0,120060.1,83258.1,301572.3
01-KO2-B3,,65489,52212,52150,46985,95,4551,100.00%,79.73%,79.63%,71.74%,0.15%,6.95%,100.00%,79.73%,99.88%,90.10%,0.18%,8.73%,379437.4,390020.5,390151.4,350853.9,222618.0,772457.2,282647.0,358715.9,358895.0,332782.9,216954.7,744576.2,308121.5,335797.4,335965.3,322364.0,212152.6,751410.9,45.60%,34.54%,34.50%,30.26%,25.15%,26.04%,140493.3,115976.5,115924.4,97560.4,53349.7,195671.4,176.95%,46.04%,45.98%,34.80%,23.68%,27.01%,671409.3,179555.0,179401.1,122100.8,52724.0,208654.3,595428.9,507415.3,507568.1,445449.8,263958.9,1114272.4,371126.3,446556.1,446770.1,409338.3,249406.3,1043980.0,388989.1,421949.7,422074.9,401088.1,234827.1,1091579.1,51.12%,42.90%,42.87%,38.63%,34.92%,36.61%,198841.1,181018.6,180959.0,154950.8,81999.0,399574.2,373.14%,57.59%,57.56%,44.27%,35.63%,34.01%,2221782.5,292201.9,292130.9,197191.9,94044.3,378909.4,504138.3,528500.1,528799.8,449685.1,72586.0,1306414.3,351892.0,459144.8,459629.3,414713.5,68318.2,1272039.4,396551.5,441391.3,441546.7,415767.8,78168.0,1207548.0,57.79%,47.26%,47.19%,42.09%,26.58%,20.42%,229150.2,208585.9,208366.9,175009.7,20773.8,246542.1,106.01%,59.74%,59.65%,40.01%,29.43%,25.58%,534449.0,315733.9,315453.0,179919.0,21361.1,334121.3,311336.1,314915.5,314809.1,276572.3,228757.2,687742.1,221075.1,277349.1,277883.3,254770.3,186352.4,643318.7,246619.5,266364.8,266529.1,251134.1,182724.8,656536.1,49.88%,44.59%,44.52%,40.56%,44.17%,34.23%,123006.4,118760.6,118656.6,101872.4,80705.0,224757.8,105.02%,59.39%,57.89%,43.47%,77.16%,37.84%,326967.0,187024.0,182228.8,120216.1,176499.9,260210.0
01-KO2-C3,,68820,52626,52565,47269,74,4710,100.00%,76.47%,76.38%,68.68%,0.11%,6.84%,100.00%,76.47%,99.88%,89.92%,0.14%,8.96%,351423.8,376267.1,376423.3,338119.3,219587.9,739872.2,254338.5,347650.9,347820.0,322333.7,213599.3,712099.4,294021.1,327514.6,327642.6,314722.0,202761.5,718086.4,47.84%,33.15%,33.14%,29.21%,22.11%,26.70%,140671.4,108571.3,108577.5,91923.0,44834.2,191729.2,177.25%,45.02%,45.00%,32.90%,26.40%,27.64%,622909.4,169402.5,169407.5,111245.1,57973.3,204471.0,550358.2,486316.7,486447.2,425811.3,257795.3,1065593.1,331000.2,430225.5,430361.3,394096.7,242255.0,990897.3,366986.0,407468.4,407549.3,388194.4,234259.2,1030689.0,52.18%,41.24%,41.24%,37.02%,38.53%,37.99%,191500.4,168047.2,168083.7,143708.0,90261.8,391558.0,391.85%,57.22%,57.21%,42.26%,39.03%,36.07%,2156583.8,278259.4,278315.8,179932.1,100621.6,384408.2,498681.7,544161.9,544566.3,462230.2,80003.8,1333665.3,334230.5,476302.7,476855.0,429673.4,76742.8,1294836.4,400343.4,454770.1,455150.4,429942.3,87582.5,1220300.5,57.81%,44.77%,44.73%,39.67%,14.23%,20.94%,231447.5,203582.6,203606.8,170556.7,12459.6,255488.0,108.04%,59.01%,58.96%,38.04%,23.66%,26.82%,538771.8,321134.5,321082.4,175834.9,18931.1,357674.2,322080.1,336347.9,336253.5,296173.8,272960.4,718546.4,225485.7,298385.2,298951.5,274492.7,224600.3,669170.0,260538.0,285886.2,286104.0,270884.2,217874.8,687787.9,49.35%,42.61%,42.57%,38.58%,39.89%,35.69%,128574.3,121813.5,121806.3,104495.1,86901.6,245441.3,104.10%,57.70%,56.39%,41.69%,72.17%,38.79%,335275.9,194077.1,189623.5,123481.6,196997.4,278715.2
01-KO3-A4,,158936,142140,142016,138131,2712,991,100.00%,89.43%,89.35%,86.91%,1.71%,0.62%,100.00%,89.43%,99.91%,97.26%,1.91%,0.70%,326300.6,336818.6,336916.0,334496.4,221185.7,901660.4,278960.2,315120.1,315217.5,314854.8,217711.0,861162.8,288990.2,300633.1,300753.2,301768.1,214558.7,876281.1,33.28%,29.30%,29.29%,28.74%,17.51%,28.99%,96171.7,88091.6,88103.7,86730.2,37578.1,254035.6,132.12%,42.26%,42.26%,39.39%,18.69%,29.58%,431121.3,142351.3,142368.7,131742.8,41340.0,266721.3,404056.8,377405.7,377474.1,374019.2,246306.5,1111432.0,311888.4,340509.5,340592.6,339861.6,238771.9,1023644.4,315031.7,326742.0,326790.3,327986.1,235817.4,1096811.0,41.03%,38.66%,38.64%,38.15%,20.90%,46.92%,129272.9,126322.4,126287.5,125123.3,49289.0,514613.8,365.29%,53.13%,53.12%,50.09%,27.38%,37.81%,1475971.0,200511.0,200515.4,187339.1,67428.4,420199.7,263857.6,275862.9,275988.7,272243.9,85005.4,1196971.3,213411.3,241635.1,241778.4,243639.5,83802.8,1177752.9,220135.7,231193.0,231305.0,232803.5,88708.5,1123530.9,48.88%,46.16%,46.14%,44.83%,10.82%,14.24%,107592.9,106712.8,106721.7,104367.9,9597.2,159976.5,73.16%,59.52%,59.50%,51.79%,14.79%,20.10%,193047.8,164190.8,164200.7,141007.2,12576.2,240564.5,200579.7,205853.7,205973.9,203859.7,123673.7,661163.3,165908.0,185583.0,185866.9,185650.3,118692.6,617665.5,170418.7,175134.5,175221.5,176017.3,116230.3,618614.5,40.70%,39.91%,39.88%,39.31%,21.39%,38.12%,69357.9,69889.6,69879.0,69187.5,24862.2,235806.6,69.63%,53.89%,53.55%,49.45%,32.48%,38.47%,139667.0,110944.2,110290.0,100813.9,40167.3,254368.7
