Experiment Name:,Mitotracker_Exp_20260518_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A
01-WT-A1,,105294,90217,90205,85882,1058,2707,100.00%,85.68%,85.67%,81.56%,1.00%,2.57%,100.00%,85.68%,99.99%,95.21%,1.17%,3.00%,333510.3,331738.2,331760.7,325965.8,88200.9,1109048.3,441860.6,395051.9,395092.2,370974.3,85171.8,1166438.6,218081.4,189230.3,189212,176689.7,9777.6,132136.6,86.54%,60.27%,60.26%,51.05%,13.33%,16.15%,458510.4,418386.2,418411.9,407910.3,231807.5,759314.1,361671.1,361059.3,361084.5,356403.3,229988.3,772661.8,164989.4,138875.7,138873.2,129173.6,32950.8,143804,91.71%,41.38%,41.37%,39.47%,15.48%,17.67%,420479.1,173112.8,173109.4,160995.3,35890,134179.6,45.62%,38.46%,38.46%,36.24%,14.33%,18.61%,372526.5,387329.4,387358.1,380361.8,229029.8,746225.6,443584.4,373216.6,373246.4,362661.4,185758.6,718723.1,341312.4,336776,336816.3,330107.3,181898.7,705007.4,323867.8,320034.8,320048.2,314915.2,179996.3,734232,52.52%,46.97%,46.96%,44.63%,18.68%,19.73%,170108.4,150324.8,150306.6,140562,33615.5,144876.5,232.21%,47.47%,47.47%,45.59%,21.66%,18.54%,1030025.4,177180.8,177172.1,165342.8,40229.1,133230,184920,167453,167471.8,160000.3,39062.9,413793,134501.4,137719.8,137758.3,134688.7,33111.1,403840.2,145298.1,144123.9,144152.4,141493,33692.6,411218.6,65.25%,59.20%,59.19%,56.32%,66.02%,21.52%,94812.1,85325.3,85321.7,79690.5,22243.7,88474.4,80.65%,60.32%,60.31%,55.88%,59.70%,21.48%,149145.4,101004.6,100997.8,89403,23321.3,88887.2,320885.5,335557.6,335627,326160.2,84195,1153417.5,65.39%,57.04%,57.03%,54.20%,11.09%,11.91%,382380.6,238104.4,238093.4,189398.1,11356.6,188422
01-WT-B1,,132777,112131,112116,106472,3194,1962,100.00%,84.45%,84.44%,80.19%,2.41%,1.48%,100.00%,84.45%,99.99%,94.97%,2.85%,1.75%,292275,290127.2,290153.1,291642.3,86595,1094064,391371.5,347028,347062.2,337341.2,84146.2,1151481.9,196907.8,171269.2,171250.5,162531.2,10558.9,120434.7,88.33%,62.37%,62.36%,53.78%,13.48%,15.87%,450635.9,409737.1,409762.7,407318.3,232373.7,752509.3,350980.6,351061.6,351087.1,352378.4,230454.4,762862.9,171820.9,142675.3,142667.6,138161.5,34403.7,144792.2,89.41%,42.62%,42.62%,41.13%,15.83%,17.90%,402911.7,174627.7,174625.1,167544.7,36794.8,134661.9,48.95%,40.64%,40.64%,39.21%,14.93%,18.98%,363551.7,377342.1,377370.1,377229,229499.4,739180.9,447947.3,374678.6,374706.9,372209.5,187845.4,732835.3,342713.6,335462.7,335500.3,335763.9,183405.2,719028.3,320604.3,318442.4,318463.6,319784.2,182464.1,750388.3,55.91%,49.25%,49.25%,47.51%,20.40%,19.56%,179241.4,156825.6,156833.5,151940.8,37222.7,146744.1,203.79%,48.89%,48.89%,47.26%,22.90%,18.22%,912862.5,183184.6,183177.6,175916,43023.1,133518.9,172862.3,154811.5,154828.8,152203.1,40564.9,427453.9,124962.4,124451.6,124484.1,125837.3,34994.3,416701.4,133560.4,130798.5,130816,131436.8,35097.8,422583,71.15%,65.65%,65.63%,61.58%,54.65%,21.72%,95029,85866.3,85857.3,80932.3,19180.5,91766.3,84.67%,64.92%,64.91%,60.25%,69.36%,22.55%,146354.5,100509.8,100505,91704.7,28133.9,96399.2,287466.5,291767.1,291819.2,293900.5,83216.2,1139393.3,67.37%,59.03%,59.02%,55.73%,12.19%,11.01%,345690,216424.3,216417.4,181425.8,11342.6,182758.9
01-WT-C1,,113955,88105,88083,83250,1864,2426,100.00%,77.32%,77.30%,73.06%,1.64%,2.13%,100.00%,77.32%,99.98%,94.51%,2.12%,2.75%,327333.3,323646.5,323682.3,320440.8,86839.9,1105275.1,463319.3,386208.6,386278.6,366770.9,83727.7,1160889.3,242007.5,196192.7,196172.7,183091.4,10654.9,130944.7,97.19%,61.81%,61.80%,52.63%,14.87%,15.97%,502489.7,435812.5,435864.3,428284.3,232938.7,781039.9,375169.3,374342.3,374423,371008.7,233478.9,799966.4,221757.7,167051.8,167101.2,157382.3,37235.4,133228.4,97.57%,43.08%,43.07%,41.47%,16.25%,16.61%,490289.9,187729.1,187723.6,177613.7,37844.9,129709.8,59.11%,44.63%,44.63%,42.42%,15.95%,16.65%,374471.2,399347.1,399403.3,395141.7,229804.1,768852.9,502875.2,389523.7,389586,381973.3,185463.2,737111.8,354265.7,346135.9,346223.2,342274.3,181056.6,723848.9,337658.5,334189.9,334230.9,331053.1,179829.7,758592.4,65.29%,53.63%,53.62%,51.36%,20.99%,18.44%,220458.5,179214.5,179225.8,170035,37743.1,139882.3,236.10%,49.52%,49.51%,47.94%,22.52%,17.84%,1187277,192902.5,192882.4,183135.6,41767.7,131473.3,201125.3,167407.1,167441.3,161667,45536.7,412725.6,140446.3,135927,135989.2,134836.6,36184.4,403345.9,148712.1,142108.6,142128.7,140615.5,36511.7,406356.4,71.20%,63.90%,63.88%,60.14%,63.83%,20.72%,105880.2,90812.5,90790.4,84570.4,23304.2,84186.5,91.02%,62.16%,62.14%,57.82%,102.38%,21.38%,183054.8,104066.5,104056.4,93481.4,46621.4,88258.2,316358.3,323615.2,323729.7,319433.8,82568.3,1148263.8,73.93%,60.62%,60.61%,57.14%,12.27%,11.85%,450294.1,238726.5,238713.6,193035.5,12449.5,185353.6
01-KO1-A2,,17930,10512,10508,9757,15,631,100.00%,58.63%,58.61%,54.42%,0.08%,3.52%,100.00%,58.63%,99.96%,92.85%,0.14%,6.00%,353542.4,478000.5,478000.5,460435.3,78103.4,1147058.3,398008.7,529588.6,529597.6,480843.5,68095.9,1223700.4,324848.3,210537,210469.2,189641.9,25263.9,175336.7,100.82%,48.90%,48.89%,37.48%,38.25%,20.15%,279676.8,320664.4,320696.4,305841.5,179821.7,533127.3,234418.3,294196.8,294253.8,288150,179476.5,519546.9,197340.1,81231.1,81282.5,74778.4,34989.8,185641.5,333.95%,35.70%,35.70%,30.49%,14.56%,31.64%,933984.7,114470.1,114479.8,93245.2,26175.4,168663.6,84.18%,27.61%,27.62%,25.95%,19.50%,35.73%,139610.3,304427.3,304456.7,293869.4,178020.4,505272.2,487614.8,362051.3,362137.9,344871.9,194892.5,610375.3,181018,336229.9,336358.7,323853.9,187682.1,579085.1,259149.4,335823.7,335850.4,327025.2,184434.6,616997.6,79.06%,36.93%,36.92%,34.87%,32.58%,31.65%,204876.3,124031.3,123987.5,114043.8,60082.9,195264.5,604.67%,39.77%,39.75%,35.98%,28.38%,29.61%,2948442.3,143999.4,143952.9,124099.3,55307.9,180703.2,185863.5,214595.1,214472.5,200370.8,137640,416216.2,98938.3,193820,193825,184080.1,95647.6,403085.9,171954.2,198569.9,198587.2,191925.6,89901,400757.5,66.40%,39.89%,39.87%,37.20%,57.75%,23.93%,114185.9,79208.9,79181.1,71397.8,51914.3,95887.6,91.31%,45.56%,44.94%,39.18%,87.98%,26.96%,169718.8,97779.4,96390.4,78508.6,121100.1,112197.3,180934,475408.1,475433.9,445772.3,62139,1203152,91.88%,44.05%,44.03%,41.19%,32.35%,15.29%,401289.8,258961.3,258937,180197.4,26044.5,246568.3
01-KO1-B2,,61090,51232,51217,46120,41,4448,100.00%,83.86%,83.84%,75.50%,0.07%,7.28%,100.00%,83.86%,99.97%,90.05%,0.08%,8.68%,480962.3,496754.1,496856.4,469265.6,83713.3,1170027.9,576044.4,559059.1,559158.9,488173.6,80418,1245442.1,261517.9,231029.2,231009,197612.1,15410.9,201998.3,80.90%,52.02%,52.01%,38.00%,20.30%,21.28%,371004.3,358543.3,358580.8,333188.9,212499.3,602751.7,310210.2,319792.7,319809.7,308467.1,199743.9,604717.9,113887,96149.2,96109.7,83013.1,44761.6,168149.8,142.97%,39.19%,39.19%,33.71%,27.95%,25.86%,530432.5,140528.1,140531.5,112321,59394.5,155864.4,36.71%,30.07%,30.05%,26.91%,22.41%,27.81%,293212.2,336433.6,336471.1,317754.3,206255.1,581292.4,462249.5,386630.1,386713.7,360451.8,210623.5,639143.9,333508.4,357375.7,357511.2,337769.6,197461.3,615323.6,344860.9,353894.2,353960.1,339038,188138.3,646962.9,45.25%,38.33%,38.31%,35.38%,25.28%,27.90%,156063.6,135630.8,135613.7,119951.2,47566.1,180503.9,347.33%,40.92%,40.90%,36.88%,43.35%,25.67%,1605515.5,158223.2,158169.9,132933.1,91303.4,164057.5,229841.9,216692.5,216737.9,196200.2,115857.2,414607,185724.3,194888.4,194962.8,180718,72087.3,402580,197511.6,198867.3,198887,188478,58808.6,404678.3,45.99%,41.60%,41.57%,37.92%,62.41%,24.79%,90843.4,82719.6,82681.2,71464.5,36704.6,100305.6,71.21%,46.54%,46.52%,38.61%,147.75%,25.49%,163664.9,100841.9,100820.8,75749.4,171174.2,105669.8,431113.5,495391.7,495524,451027.8,78501.3,1222232.3,54.37%,46.51%,46.49%,42.11%,18.41%,17.26%,466026.9,290844.5,290824.5,185506.8,16328.6,265075.6
01-KO1-C2,,48351,41181,41177,36796,26,3842,100.00%,85.17%,85.16%,76.10%,0.05%,7.95%,100.00%,85.17%,99.99%,89.36%,0.06%,9.33%,508777.1,523350,523358,491537.9,81510,1169006.8,603835,582580.5,582598.3,507967.6,78782.7,1251050.1,267032.8,236251.1,236247.1,200548.5,17607.7,201057.9,79.42%,50.37%,50.37%,36.64%,21.96%,21.26%,381866.4,364870.3,364883.3,338963,200279.8,597194.9,321382.8,328959.5,328978.7,316940.7,195189.5,593770.9,113516.9,97420.2,97423.1,84137.9,38742.6,177802.2,144.07%,37.75%,37.75%,32.06%,19.18%,26.38%,550158.7,137740.5,137740.8,108660.9,38418.3,157542.2,35.32%,29.61%,29.61%,26.55%,19.85%,29.94%,307516.2,343784.9,343798.3,324470.3,196962.2,575478.7,477738.2,385062.1,385090.6,359417.6,176746,613213.2,341503.1,358054.3,358101.4,338586.9,171589.1,587903.8,348504.8,354602.6,354609.4,339162.1,166906.2,614536.1,42.20%,36.42%,36.42%,33.61%,25.29%,30.49%,147079.7,129145.9,129135.2,113996.1,42207.8,187386.8,366.38%,39.44%,39.43%,35.32%,25.06%,27.33%,1750340.1,151850.6,151830.6,126946.3,44288.8,167614.4,238078,225663.8,225674.3,205277.4,102684.4,407492.1,190360.2,205852.5,205865.6,191165.7,73504.6,396306,205975.5,208621.2,208630.9,197445.3,61560.1,394948.6,44.30%,39.49%,39.49%,35.95%,71.09%,25.06%,91237,82391.2,82388.4,70977.9,43761.9,98968.7,71.39%,42.94%,42.94%,35.82%,117.70%,23.85%,169971.2,96897.8,96895.2,73521,120856.4,97197.9,458993,519341.2,519367.7,471389.4,76294.8,1227312.4,52.49%,45.14%,45.14%,40.80%,21.60%,17.20%,479568.6,293462.2,293458.7,186141.2,17300.1,265943.3
01-KO2-A3,,35554,27600,27592,21730,11,5280,100.00%,77.63%,77.61%,61.12%,0.03%,14.85%,100.00%,77.63%,99.97%,78.75%,0.04%,19.14%,588255.1,632961.3,633074.3,559119.4,71313.3,1225035.1,722705.6,718707.7,718829.4,567154.3,73536.5,1318850.4,339532.5,285190,285121.8,201402.1,10280.2,254986.5,91.58%,51.00%,50.98%,31.80%,18.24%,24.73%,380541,374824.8,374865.7,324604.3,229144.5,573185.1,316145.4,335469.9,335481.4,310310.1,218723.8,563867.3,141725.3,108503.4,108501.2,80629.6,44411.4,171892,179.10%,39.30%,39.30%,29.12%,31.84%,27.36%,681543.4,147305.6,147305.5,94524.5,72954.2,156802.2,44.83%,32.34%,32.34%,25.98%,20.30%,30.48%,272472.6,350703.8,350747.3,312441,219267.9,551148.9,466587.7,377581.5,377661.9,329406.1,195280.2,567394.6,297867.7,347141.3,347267.9,310640.3,178023.5,536508.6,324087.4,340059.9,340123.5,311569.6,176604.6,564512,49.34%,39.59%,39.59%,33.68%,28.82%,34.95%,159892.1,134626,134639.9,104926.4,50900.5,197315.2,391.64%,42.72%,42.70%,35.16%,49.59%,31.41%,1827321.3,161311,161264.9,115812.2,96838.1,178225.5,274580.5,265446.7,265463.1,223370.1,184124.5,431339.4,196615.3,243338,243380.2,211967.8,159320,416523.5,228461.8,239937,239955,214355.8,145024.3,412754.4,46.65%,38.94%,38.93%,31.63%,40.81%,27.15%,106566.2,93439.1,93410.5,67793.8,59180.9,112056.8,84.26%,43.68%,43.65%,31.83%,63.87%,26.92%,231355.5,115952.1,115879,71087.7,117605.9,116102,480417,640251.3,640417.6,535618.6,72306.3,1285481.3,57.72%,45.06%,45.04%,36.02%,14.42%,20.81%,661865.2,366511.4,366483.4,180380.3,13413.9,326107.6
01-KO2-B3,,34183,24898,24895,20305,8,4104,100.00%,72.84%,72.83%,59.40%,0.02%,12.01%,100.00%,72.84%,99.99%,81.56%,0.03%,16.49%,553622.6,614414.3,614563.9,554597.2,71459.7,1196245,667084.4,689308.2,689357.5,563115.7,60275.6,1284286,351019.1,271633.4,271644.3,201278,24617.4,228896.4,98.71%,48.93%,48.92%,32.16%,46.00%,22.83%,357542.4,348384.9,348399.5,308463.7,204940.6,535950.3,288669.1,313561.9,313573.1,292357.3,219884.3,522747.1,138683,98065.5,98055,75348,40740,160885.1,227.02%,38.35%,38.35%,29.13%,21.24%,28.11%,811700.6,133596.5,133598,89850.6,43529.8,150652.8,48.04%,31.27%,31.27%,25.77%,18.53%,30.78%,220512.7,327422.6,327436.9,297077.1,200563.1,514964.5,548346.3,396637.4,396673.5,353030.2,184439.6,601229.9,273248.7,367103.8,367162.7,333673.2,180608.1,573185.9,336078.2,361663,361673.7,334956.8,175133.3,603176.8,52.46%,37.72%,37.71%,32.97%,20.14%,31.80%,176311.5,136402.6,136378.3,110448.3,35272.4,191812.5,482.33%,40.70%,40.69%,34.30%,22.94%,28.83%,2644861.8,161441.3,161417.5,121079.8,42308.5,173316.7,256998.9,258587.6,258609.4,222757.2,120473.8,426973.5,154831.7,237555.9,237588.8,210836.4,102276.6,413458.4,219496,236674.1,236686.5,215469.2,95856.5,410551.9,51.59%,38.15%,38.15%,31.88%,69.44%,25.41%,113242.5,90295.4,90304.6,68691.5,66559.8,104307.2,90.71%,42.72%,42.71%,32.16%,63.81%,26.23%,233112.4,110464.6,110453.2,71628.4,76872.7,112009.7,376225.3,618585.1,618650.1,531220.3,53642.5,1255924.6,63.40%,44.21%,44.20%,36.29%,34.45%,19.13%,658472.4,337266.9,337255.4,181089.6,27727.5,293154.4
01-KO2-C3,,35796,27715,27700,21904,21,5211,100.00%,77.42%,77.38%,61.19%,0.06%,14.56%,100.00%,77.42%,99.95%,79.08%,0.08%,18.81%,581620.9,615445.6,615654.8,541040.3,85243.8,1227862.3,744958.9,704157.8,704261.1,553017.7,77953.3,1315425.3,354743.1,294404.2,294403.6,206616.9,15668,254433.1,93.91%,52.14%,52.13%,33.47%,28.00%,23.34%,405853.9,381169.1,381225.8,328143.1,199380.3,593901.7,321835.2,337113.4,337195.1,310370.1,186129,589465.7,152267.1,116084,116093.6,84040.1,42999.5,166884.1,166.69%,40.76%,40.75%,30.98%,20.53%,26.48%,676532.7,155357,155350.2,101653.6,40935.8,157289.6,47.31%,34.43%,34.43%,27.08%,23.10%,28.31%,292538.7,354600.5,354660.4,314439.6,195632.7,572105.9,515194.6,388317.5,388447.9,337552.1,198773.9,592821.3,324375.7,355086.3,355311.3,316569.5,195181.9,563284.6,336110.7,347338.8,347454.1,315935.3,197644.7,594666.3,52.21%,41.73%,41.73%,35.06%,18.98%,33.10%,175496.4,144935,144984.5,110755.5,37508.5,196825.1,392.70%,43.76%,43.72%,37.02%,19.72%,29.69%,2023177.5,169925,169818.8,124962.1,39198.2,176026.3,288169.1,264324.8,264116.3,221122.6,165796.1,437016.8,210988.6,240875.6,240902.7,209069.6,127693.2,423145.5,231572,237733.2,237798.5,211673.2,135241.3,425101.1,48.44%,41.17%,41.14%,33.24%,70.62%,26.60%,112177.2,97878,97837.2,70363.3,95512.6,113076.3,86.00%,46.62%,44.60%,33.02%,81.43%,25.51%,247827.7,123221.7,117808.3,73006.4,135007.8,111488.7,500272,622384.4,622515.3,519275.9,73719.4,1284743.4,60.99%,47.84%,47.82%,38.19%,18.38%,20.72%,699598.5,367128.7,367096.4,185112,21826.5,307000.8
01-KO3-A4,,63496,53355,53337,46826,23,5743,100.00%,84.03%,84.00%,73.75%,0.04%,9.04%,100.00%,84.03%,99.97%,87.79%,0.04%,10.77%,477789.4,496278.7,496355.9,460091.4,76927.6,1184945.9,599572.4,579626.3,579708.3,489265,72855.8,1270541.9,266406.1,237795.1,237828,193631.8,18203.7,214464,84.34%,54.54%,54.54%,37.87%,25.67%,22.98%,400074.4,385710.2,385761.2,350018,213157.3,655632.4,328633.9,338474.3,338502.7,323841.3,203551.1,658614.1,132809,109895.7,109850.9,90116.8,37325.4,161792,142.23%,40.75%,40.74%,33.88%,21.22%,24.08%,569033.9,157171.3,157172.9,118593.9,45240.5,157852.3,40.41%,32.47%,32.45%,27.83%,18.34%,24.57%,310903.6,359146.5,359198.5,332915.9,209034.9,634693.5,424994.3,359744.2,359833.9,330025.1,187590.4,584496.9,305355.3,330059.2,330199.3,308162.4,182536.4,554478.9,313674.7,321578,321606.5,305323.5,177546.4,590044.4,46.25%,39.51%,39.49%,35.55%,21.30%,32.91%,145074,127047.6,126992.8,108543.7,37817.3,194179.7,335.25%,43.65%,43.63%,38.75%,23.38%,30.13%,1424791.4,157040,156990.6,127885.6,43856.6,176117.1,244773.4,230809.3,230852.5,205367.5,113836.5,424452.2,193407.1,211661.3,211718.3,193761.5,94958.3,412011.7,201241.4,204678.2,204728.9,191415.3,102148.4,417657.1,44.43%,40.25%,40.24%,35.42%,26.27%,25.31%,89407.1,82378.9,82383.2,67801.8,26835.4,105691.6,75.42%,44.79%,44.78%,35.44%,59.68%,24.53%,184609,103375.8,103364.4,72788.8,67934.2,104125.8,438013.8,510743.3,510836.8,453952.9,70053.5,1243259.1,55.76%,47.92%,47.91%,42.09%,23.66%,18.10%,505678.1,316148.3,316158.4,185261.4,18703,291987.3
