Experiment Name:,Exp_20260525_HCT116_Mitotracker

Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A
01-WT-A1,,83948,71145,71140,66743,144,3512,100.00%,84.75%,84.74%,79.51%,0.17%,4.18%,100.00%,84.75%,99.99%,93.82%,0.20%,4.94%,485787.3,443482.2,443493.0,423849.8,226211.5,768096.9,399074.0,413708.0,413720.0,398981.0,222381.8,756601.6,394235.1,391009.8,391009.9,380494.8,223037.8,781698.1,44.60%,36.71%,36.71%,33.57%,16.04%,16.94%,175809.8,143547.9,143547.0,127737.4,35768.4,132427.3,76.35%,38.92%,38.92%,36.42%,18.82%,16.49%,370909.4,172612.7,172612.1,154381.6,42568.7,126623.0,464112.9,399286.2,399302.2,380120.8,191211.8,715200.1,370119.1,364676.6,364698.6,350599.3,186443.8,701534.7,357804.6,351378.9,351395.2,339592.6,185414.8,724307.4,50.71%,44.42%,44.42%,41.43%,21.21%,19.94%,181447.6,156091.7,156100.4,140680.8,39330.0,144434.6,119.00%,44.12%,44.12%,41.92%,24.01%,18.55%,552287.5,176172.1,176166.5,159327.9,45901.4,132645.4,531212.3,464969.3,464997.3,423263.0,84116.8,1172193.4,394788.6,404451.0,404559.7,380639.2,82676.9,1158252.6,404482.8,398118.8,398142.5,382255.5,87265.9,1116054.5,62.06%,53.40%,53.40%,50.04%,11.72%,12.44%,251039.0,212596.3,212609.1,191280.0,10228.4,138852.7,87.51%,55.29%,55.28%,45.65%,16.32%,16.87%,464881.3,257078.9,257065.3,193231.3,13728.3,197800.7,336410.0,298253.4,298273.3,280259.5,87767.9,598572.8,259554.9,260171.9,260244.2,248182.3,71521.3,584226.4,270280.1,265501.4,265527.6,255377.0,73109.1,602262.9,56.02%,49.61%,49.61%,47.00%,59.88%,20.30%,151399.0,131713.8,131727.5,120023.9,43779.5,122237.6,75.92%,50.99%,50.98%,47.63%,73.11%,21.15%,255400.7,152082.8,152069.6,133488.5,64169.7,126595.3
01-WT-B1,,104446,88813,88805,85406,356,2463,100.00%,85.03%,85.02%,81.77%,0.34%,2.36%,100.00%,85.03%,99.99%,96.17%,0.40%,2.77%,443421.8,428078.8,428092.8,417278.3,225855.6,759551.9,364109.3,399325.4,399340.6,391575.7,222582.1,746484.0,370705.5,377324.1,377340.5,372033.6,225598.9,771976.4,43.52%,36.22%,36.22%,34.37%,16.70%,17.20%,161322.7,136657.5,136659.3,127881.0,37678.1,132746.2,76.81%,39.07%,39.07%,37.39%,17.05%,17.44%,340574.8,167254.6,167253.5,156025.3,38502.9,132472.4,430824.9,383851.5,383866.5,373165.4,186094.0,712266.9,340723.9,349021.7,349044.4,341562.5,180579.2,698124.3,330796.3,335959.0,335990.3,329901.5,177756.2,727620.4,51.33%,45.18%,45.17%,43.37%,21.24%,19.43%,169805.4,151771.8,151764.1,143088.5,37750.0,141347.0,199.89%,45.28%,45.27%,43.81%,26.63%,18.87%,861157.6,173799.5,173792.3,163473.7,49557.2,134414.5,449497.9,416263.0,416273.1,392694.9,85034.1,1154828.1,341620.7,362434.4,362445.6,350483.7,83260.6,1142541.8,352322.7,358246.4,358274.5,350685.4,89031.0,1096679.5,60.56%,53.27%,53.27%,51.20%,10.66%,11.23%,213379.8,190845.7,190860.1,179554.8,9492.8,123186.6,83.88%,55.14%,55.14%,47.70%,16.69%,15.88%,377020.0,229528.1,229530.0,187331.1,14194.9,183413.8,306269.8,282102.8,281987.3,272068.8,115482.2,588778.1,246055.5,247657.0,247647.2,241494.7,88988.8,574720.0,252330.6,250348.0,250348.0,244988.7,90973.8,586330.3,52.67%,48.91%,48.91%,47.19%,66.24%,21.23%,132892.5,122449.6,122439.9,115602.7,60258.0,124504.8,71.73%,51.33%,50.69%,48.26%,82.08%,22.00%,219700.9,144802.1,142944.6,131312.1,94784.5,129516.4
01-WT-C1,,88075,72597,72591,68520,196,3218,100.00%,82.43%,82.42%,77.80%,0.22%,3.65%,100.00%,82.43%,99.99%,94.39%,0.27%,4.43%,452065.5,431252.8,431265.5,413738.0,220055.7,761026.9,355049.2,401331.8,401345.5,388423.0,216860.2,748455.7,371082.2,378988.4,378996.2,369934.1,220589.6,772104.1,46.05%,36.82%,36.82%,34.03%,16.49%,16.84%,170900.2,139561.5,139555.4,125901.0,36368.3,130025.8,96.44%,39.63%,39.63%,37.20%,16.88%,17.10%,435954.2,170897.6,170896.8,153924.9,37138.5,130142.7,445354.2,389207.3,389226.2,372166.8,186774.7,708244.0,337338.1,354170.2,354201.0,341861.6,181068.6,693998.2,333768.8,340219.6,340225.9,329938.0,178296.2,717515.1,52.35%,44.82%,44.82%,42.02%,26.54%,20.87%,174724.4,152502.3,152490.7,138633.3,47317.7,149758.8,231.23%,45.10%,45.10%,43.03%,26.17%,19.13%,1029786.6,175539.0,175528.6,160138.9,48883.7,135482.8,491956.1,452518.0,452536.3,415175.2,84073.0,1168619.8,357084.2,393165.7,393186.2,372350.8,82411.3,1154232.9,380418.8,388500.8,388528.5,375297.8,88117.2,1108884.5,62.52%,53.35%,53.35%,50.27%,11.02%,12.52%,237855.3,207262.8,207274.2,188656.7,9707.0,138813.4,86.52%,55.57%,55.57%,46.22%,16.80%,17.13%,425663.3,251466.1,251466.6,191908.8,14128.4,200169.7,330008.2,303999.4,303973.3,287967.7,107271.7,606691.4,254662.0,269519.0,269543.0,258871.3,90307.5,592295.3,269984.0,270815.7,270835.7,261614.8,88198.2,604157.6,53.33%,47.82%,47.80%,45.38%,53.49%,20.91%,143972.9,129491.6,129471.1,118710.5,47177.1,126312.8,72.44%,49.32%,49.17%,45.88%,69.04%,21.51%,239069.6,149931.6,149457.9,132129.4,74058.7,130518.9
01-KO1-A2,,63718,54122,54120,50566,42,2960,100.00%,84.94%,84.94%,79.36%,0.07%,4.65%,100.00%,84.94%,100.00%,93.43%,0.08%,5.47%,400491.8,375157.9,375162.5,356624.2,221620.6,655228.1,325009.7,355535.3,355540.0,342009.4,216508.1,637249.6,336982.2,340979.6,340980.2,333321.9,215237.8,665118.5,33.83%,28.23%,28.23%,26.16%,23.89%,22.71%,114016.3,96251.3,96251.3,87199.6,51430.1,151018.7,139.42%,35.56%,35.56%,30.93%,21.94%,22.24%,558356.7,133423.2,133423.4,110294.6,48631.6,145706.1,526940.3,418420.3,418432.2,399580.0,258665.8,701087.3,381259.6,391910.8,391931.2,377636.6,246648.8,682982.4,383677.8,385521.8,385527.3,374692.7,251043.4,721248.8,41.34%,35.44%,35.43%,33.26%,30.43%,22.00%,158629.0,136611.3,136604.8,124625.7,76404.4,158707.0,338.31%,37.36%,37.36%,34.51%,32.67%,21.12%,1782682.5,156319.8,156310.3,137887.0,84510.7,148074.3,560295.4,522520.8,522523.7,479572.0,74586.0,1182112.9,431427.3,474784.3,474785.7,447703.6,70889.7,1167947.0,464850.0,469449.7,469449.7,454545.8,78169.0,1121172.8,48.36%,41.43%,41.43%,38.55%,19.43%,13.25%,224820.7,194481.8,194493.4,175236.7,15186.6,148606.6,78.32%,46.17%,46.17%,36.43%,25.49%,16.64%,438813.4,241265.7,241269.3,174702.5,19011.6,196758.7,346380.7,316363.3,316369.0,299196.8,235379.9,575712.7,285580.3,294509.6,294516.1,282081.3,210684.7,561628.9,293647.3,292567.0,292574.1,283057.9,207612.9,569815.3,41.63%,37.59%,37.59%,35.37%,41.02%,22.25%,122233.3,109979.9,109986.6,100121.9,85161.7,126776.5,71.01%,39.36%,39.36%,34.81%,54.18%,22.46%,245980.7,124522.2,124521.0,104157.1,127535.6,129304.1
01-KO1-B2,,52733,45171,45169,41613,24,3053,100.00%,85.66%,85.66%,78.91%,0.05%,5.79%,100.00%,85.66%,100.00%,92.13%,0.05%,6.76%,403515.1,380725.0,380731.6,358206.9,229250.1,658928.6,328642.9,359628.7,359635.7,343146.9,222382.8,639665.3,338388.8,343382.7,343384.8,334264.0,214183.5,669329.3,33.78%,28.47%,28.46%,26.06%,18.55%,23.89%,114317.7,97746.5,97733.9,87109.0,39720.6,159898.3,142.54%,36.85%,36.85%,31.63%,26.78%,22.93%,575168.3,140312.4,140312.0,113285.2,61384.4,151124.8,499246.4,403233.9,403247.5,381301.0,238863.8,672832.9,365543.8,376651.7,376674.4,360043.5,229939.3,653974.4,366828.6,369278.5,369289.4,356768.7,233574.5,682060.4,40.97%,35.69%,35.69%,33.17%,28.58%,24.43%,150273.4,131790.7,131801.2,118357.8,66763.6,166600.5,341.88%,38.40%,38.39%,35.02%,27.97%,22.35%,1706801.6,154836.0,154826.0,133515.7,66802.6,150409.2,563887.6,532759.2,532774.8,478766.3,78326.8,1206144.9,434876.0,478971.7,478992.9,444999.8,71900.8,1189845.3,468539.5,474565.7,474570.6,454951.9,84517.1,1147734.4,49.71%,43.50%,43.50%,39.86%,17.54%,15.02%,232890.8,206421.5,206419.1,181350.6,14822.1,172353.0,77.64%,48.84%,48.84%,37.24%,29.98%,17.67%,437801.2,260186.7,260181.7,178277.3,23478.9,213172.7,326633.9,302963.4,302974.2,282710.3,161036.3,553321.3,267504.8,279671.7,279691.9,265059.5,133171.2,540389.8,278210.8,278369.2,278376.3,266963.5,132445.7,547918.9,42.27%,38.31%,38.31%,35.50%,51.69%,22.26%,117591.7,106636.1,106637.5,94761.9,68460.1,121961.0,70.98%,41.25%,41.24%,36.12%,62.75%,21.52%,231853.9,124965.8,124958.0,102112.4,101048.1,119098.1
01-KO1-C2,,49962,41627,41623,38615,31,2565,100.00%,83.32%,83.31%,77.29%,0.06%,5.13%,100.00%,83.32%,99.99%,92.77%,0.07%,6.16%,389252.3,370110.2,370125.3,350038.5,202084.9,643688.3,312354.5,350644.7,350662.4,336027.8,199166.8,624714.8,328639.7,336529.4,336549.5,328250.6,196745.3,647325.5,34.54%,28.16%,28.16%,25.95%,13.44%,24.35%,113498.3,94777.6,94777.3,85168.1,26434.6,157619.5,159.07%,35.80%,35.80%,30.58%,17.58%,23.25%,619180.7,132516.2,132512.7,107038.5,35526.5,149673.6,506691.2,411231.0,411248.6,390752.7,224686.8,688864.4,367773.3,385496.5,385518.3,370064.6,218311.9,669661.0,373911.0,379836.8,379865.9,368193.5,219868.7,706954.6,40.84%,34.90%,34.90%,32.58%,34.90%,23.63%,152687.2,132563.3,132588.8,119946.6,76742.8,167046.1,325.29%,37.21%,37.21%,33.79%,24.43%,22.12%,1648190.6,153019.5,153014.1,132016.9,54895.7,152351.3,555813.8,531960.6,531986.5,484359.9,71575.9,1187015.0,423944.1,482529.8,482573.0,452417.0,65219.7,1172657.4,468362.5,478907.5,478924.2,461719.2,78566.7,1127775.5,48.74%,41.30%,41.30%,38.16%,31.85%,13.62%,228268.5,197795.4,197797.4,176169.9,25026.9,153565.2,77.65%,46.46%,46.46%,36.00%,35.26%,16.62%,431563.8,247153.4,247145.3,174363.5,25239.7,197325.9,349753.3,326698.9,326681.8,307526.8,207390.3,588444.9,288553.8,304060.7,304058.5,290153.0,179657.7,573489.0,299971.7,302840.4,302840.4,292424.7,212431.2,580457.2,41.18%,36.73%,36.73%,34.22%,35.13%,22.07%,123513.8,111222.3,111221.3,100079.0,74622.8,128094.0,69.73%,39.40%,39.37%,34.31%,51.42%,23.88%,243872.0,128735.6,128621.7,105513.8,106632.3,140501.0
01-KO2-A3,,32573,25985,25983,23189,22,2400,100.00%,79.77%,79.77%,71.19%,0.07%,7.37%,100.00%,79.77%,99.99%,89.25%,0.08%,9.24%,400352.5,375550.0,375554.8,345569.8,193381.2,639752.3,293460.4,352276.8,352281.5,330241.1,189055.8,620408.9,322581.4,336308.7,336308.7,322456.7,179357.4,644323.4,41.42%,31.56%,31.56%,27.77%,13.19%,23.79%,133621.7,106152.5,106146.4,89548.4,23653.6,153292.2,193.49%,38.61%,38.61%,32.01%,23.27%,23.59%,774626.6,144987.8,144989.7,110602.5,45002.8,150948.2,531371.4,397329.7,397331.7,368411.8,255065.8,649457.8,333321.6,367867.1,367872.3,346032.5,245345.5,625871.5,349506.2,360162.0,360162.0,343152.1,229738.5,660702.3,46.59%,38.14%,38.14%,34.71%,26.19%,26.94%,162844.9,137373.4,137370.3,119108.2,60166.3,177982.7,420.45%,40.73%,40.73%,36.55%,30.47%,25.17%,2234130.3,161823.7,161819.5,134645.0,77718.3,163446.4,597810.3,579880.2,579879.8,509059.4,64975.0,1210647.5,421764.2,523979.8,523975.4,477601.1,60691.2,1192088.9,491709.6,515347.6,515347.2,484834.8,65842.8,1144581.8,53.15%,42.78%,42.78%,38.14%,37.73%,15.24%,261364.9,220481.8,220484.3,184930.5,24842.4,174394.3,85.81%,47.62%,47.63%,34.71%,33.86%,19.11%,512953.7,276167.8,276178.3,176669.5,21997.8,231395.4,351296.3,329869.0,329582.3,302709.6,241840.3,565602.7,268705.6,306265.8,306213.3,286338.7,188378.9,549689.9,293569.4,300304.1,300294.9,285071.2,195456.5,557911.7,43.58%,37.28%,37.28%,33.52%,59.21%,23.78%,127949.1,111964.6,111955.1,95543.1,115725.7,132674.5,80.78%,42.54%,40.68%,34.83%,69.41%,23.97%,283767.8,140311.9,134086.5,105443.5,167850.1,135563.8
01-KO2-B3,,24658,19906,19903,17260,19,2276,100.00%,80.73%,80.72%,70.00%,0.08%,9.23%,100.00%,80.73%,99.98%,86.72%,0.10%,11.44%,408825.6,370700.3,370721.3,337269.3,201131.0,602953.7,294943.8,349284.6,349306.4,324356.9,191268.0,582436.0,322686.8,334498.5,334541.5,319087.8,175361.4,601280.5,38.90%,30.11%,30.11%,26.23%,26.17%,27.18%,125509.9,100714.0,100737.3,83709.5,45889.4,163446.0,214.27%,37.32%,37.32%,29.51%,35.00%,25.44%,875985.4,138358.2,138357.9,99518.4,70402.4,153386.7,612553.7,399286.5,399306.9,365408.3,255792.1,634974.6,340531.7,370745.6,370774.5,345021.4,230731.8,609910.7,353655.4,363992.9,363993.0,344187.8,216991.5,645187.9,45.04%,36.73%,36.73%,32.92%,29.64%,28.68%,159288.0,133710.0,133709.8,113304.4,64321.0,185063.1,476.04%,39.99%,39.98%,34.85%,56.11%,26.33%,2915996.8,159655.5,159649.2,127329.6,143527.7,167188.4,639989.6,622819.1,622856.5,533966.9,56468.1,1250867.6,450838.8,562026.0,562066.8,502938.6,48230.0,1229025.1,529079.5,553957.3,553981.4,515278.0,62775.6,1187094.8,52.65%,42.55%,42.55%,36.90%,48.90%,17.67%,278576.1,235699.0,235721.9,190131.5,30694.4,209808.8,87.95%,47.86%,47.85%,33.28%,47.98%,20.15%,562883.2,298062.4,298063.3,177693.6,27094.8,252088.2,356707.1,336523.4,336289.4,303777.1,305495.8,564124.2,273893.4,312499.1,312438.8,288159.8,251386.2,546988.5,299759.3,306708.8,306693.1,288670.3,212975.0,556133.1,42.76%,36.85%,36.85%,32.31%,53.86%,25.86%,128176.8,113026.5,113006.4,93263.3,114700.8,143806.1,81.04%,41.80%,41.21%,34.65%,70.66%,24.74%,289067.2,140657.1,138569.9,105265.0,215850.0,139548.6
01-KO2-C3,,26983,21186,21183,17644,9,3097,100.00%,78.52%,78.50%,65.39%,0.03%,11.48%,100.00%,78.52%,99.99%,83.29%,0.04%,14.62%,391262.3,368373.7,368396.3,329017.1,188466.9,580452.6,290389.8,347897.3,347923.6,318108.8,185744.7,560811.4,321204.5,333286.8,333322.4,314652.7,178738.4,575805.6,39.69%,29.71%,29.69%,24.89%,11.99%,27.33%,127470.5,99011.8,98972.1,78321.1,21427.6,157342.2,184.51%,36.61%,36.61%,27.15%,18.95%,25.60%,721913.4,134858.5,134853.6,89326.7,35708.0,148612.6,551872.9,421478.6,421519.1,379083.5,194429.9,649024.6,361218.8,393091.2,393155.2,360303.8,185579.1,625133.6,376709.0,386458.6,386465.9,360982.1,168418.4,658732.5,45.34%,36.36%,36.36%,31.66%,47.77%,28.32%,170815.4,140506.5,140501.2,114280.4,80450.6,186573.2,390.45%,38.51%,38.50%,32.47%,32.53%,25.33%,2154813.0,162303.9,162278.3,123097.2,63240.4,164419.6,715724.4,677984.6,678033.8,571223.1,64763.6,1249647.3,505487.2,619713.6,619774.4,544522.7,57154.7,1228262.3,586028.4,608135.8,608152.5,559698.9,59176.4,1181304.8,50.74%,40.21%,40.21%,33.57%,78.88%,17.55%,297325.4,244528.6,244546.4,187889.1,46677.3,207343.7,89.39%,44.73%,44.73%,29.69%,44.42%,19.87%,639797.2,303262.5,303252.8,169572.3,28767.9,248263.6,416642.1,383441.2,383418.7,342583.3,276853.4,603092.1,319463.4,359060.8,359078.5,327603.0,192028.7,584789.4,347039.0,354812.6,354825.3,328261.1,187259.1,592583.3,42.71%,35.67%,35.66%,31.06%,69.01%,26.12%,148214.2,126574.2,126541.6,101942.5,129229.8,154809.1,85.54%,38.17%,38.13%,30.63%,101.54%,24.94%,356411.9,146360.3,146186.8,104948.1,281125.4,150412.5
01-KO3-A4,,59820,51445,51442,49690,48,1438,100.00%,86.00%,85.99%,83.07%,0.08%,2.40%,100.00%,86.00%,99.99%,96.59%,0.09%,2.80%,366429.9,367259.5,367267.9,356684.9,244646.9,686393.1,299706.7,347941.3,347950.3,340532.2,234044.0,666693.6,324539.1,334294.0,334300.7,330661.1,217880.5,700407.3,32.48%,27.11%,27.11%,26.05%,24.84%,22.47%,105425.7,90637.4,90641.6,86139.9,54130.9,157356.6,128.92%,36.08%,36.08%,33.06%,33.01%,22.41%,472385.6,132524.2,132523.5,117907.8,80766.7,153796.4,433053.2,382473.3,382490.0,373103.2,266322.3,665256.8,325356.8,358070.1,358097.5,351258.0,249203.1,641250.3,343108.2,351525.4,351531.8,347446.1,260020.6,679489.3,38.71%,33.58%,33.58%,32.61%,33.55%,26.31%,132815.3,118048.6,118041.0,113309.4,87235.4,178778.0,321.27%,38.05%,38.04%,36.19%,38.88%,24.70%,1391274.9,145519.0,145506.9,135043.7,103536.8,164337.8,441517.2,441976.2,441983.0,418500.3,73520.0,1171007.6,338605.1,401226.8,401231.9,387990.1,67665.6,1156782.4,379064.3,392204.8,392211.9,386094.1,80690.5,1111325.3,46.66%,40.34%,40.34%,38.81%,22.15%,12.13%,176889.4,158222.2,158219.0,149841.6,17875.9,134788.3,76.84%,47.61%,47.61%,39.44%,31.17%,16.95%,339262.4,210437.0,210441.0,165042.9,22915.1,198494.9,299778.6,291908.7,291916.3,282905.6,206948.5,564821.7,248784.3,272820.0,272828.3,266578.2,170670.5,551622.6,262933.6,267791.7,267801.9,263684.1,173232.9,561894.0,38.90%,35.75%,35.75%,34.52%,47.83%,21.86%,102288.3,95739.2,95746.0,91023.4,82859.7,122835.8,68.38%,38.99%,38.99%,35.99%,72.08%,21.72%,204987.6,113808.6,113807.5,101808.7,149176.4,122678.7
