Experiment Name:,Exp_20260531_HCT116_MitoTracker

Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A
01-WT-A1,,101415,85078,84985,76393,6613,1625,100.00%,83.89%,83.80%,75.33%,6.52%,1.60%,100.00%,83.89%,99.89%,89.89%,7.78%,1.91%,455271.1,397787.6,397880.9,402829.9,253681.9,696087.8,367198.4,369613.8,369711.8,376717.0,248824.7,681457.3,348550.6,341326.1,341402.8,350685.9,245672.8,704557.1,45.36%,37.05%,37.06%,36.28%,15.70%,19.46%,158115.7,126461.4,126509.1,127219.7,38562.7,137127.8,83.59%,40.59%,40.58%,38.63%,21.56%,19.53%,380581.2,161451.1,161449.3,155624.4,54686.9,135955.5,491773.1,399983.8,400105.7,406138.3,230979.9,738714.1,378056.9,362063.7,362205.8,371085.3,223313.8,723903.8,355126.3,342657.1,342769.9,354041.9,217455.3,760363.2,53.79%,46.37%,46.34%,44.66%,22.20%,18.58%,191033.9,158879.3,158851.6,158116.9,48274.0,141302.1,135.30%,46.45%,46.43%,44.11%,28.85%,18.66%,665385.6,185786.3,185761.5,179166.4,66635.9,137866.9,204367.1,177427.1,177610.7,180934.5,45484.4,502113.9,138246.9,138301.8,138713.9,149969.2,38944.0,489343.1,156089.6,152796.2,152957.0,159983.4,39823.1,497361.2,77.26%,70.22%,70.08%,60.63%,58.52%,22.41%,120591.0,107290.0,107195.1,97002.1,23303.1,111451.5,93.01%,67.17%,67.07%,58.78%,61.68%,22.66%,190084.0,119179.6,119115.3,106351.0,28056.2,113770.6,386082.0,328383.9,328696.3,329486.4,77974.9,1179105.1,262569.2,263599.5,264173.3,283481.7,76326.8,1162475.3,277742.4,268101.6,268302.6,281641.8,80571.7,1108781.0,76.37%,67.42%,67.31%,59.49%,18.62%,12.51%,212113.8,180767.3,180598.3,167545.4,15005.7,138683.5,102.86%,69.43%,69.34%,56.08%,18.79%,18.58%,397115.3,227997.9,227926.0,184761.5,14649.9,219047.2
01-WT-B1,,88401,68414,67833,56777,10051,812,100.00%,77.39%,76.73%,64.23%,11.37%,0.92%,100.00%,77.39%,99.15%,83.70%,14.82%,1.20%,474813.4,387558.2,387684.8,405628.1,257484.8,679396.6,347273.7,356901.1,357074.3,375964.5,250965.3,664174.8,334443.5,327514.8,327767.1,352837.1,247855.5,681822.8,54.90%,39.94%,39.87%,41.56%,19.18%,20.36%,183604.0,130794.7,130678.9,146652.1,47539.3,138803.6,121.85%,42.74%,42.70%,40.42%,24.83%,20.27%,578556.8,165631.0,165535.7,163936.7,63933.1,137743.0,560916.8,404613.3,404830.4,427220.5,242715.1,764095.9,378223.2,361890.1,362208.4,387066.6,231558.7,751221.3,355190.5,343334.9,343587.0,376380.4,227136.7,793317.4,62.87%,50.02%,49.92%,48.75%,26.42%,16.38%,223312.9,171731.6,171508.5,183499.9,60006.8,129928.3,265.86%,48.42%,48.35%,44.92%,34.46%,16.93%,1491265.6,195902.6,195754.0,191921.5,83633.7,129348.7,192057.8,157994.0,159271.7,173079.4,48720.7,498344.3,119505.3,119327.4,122159.2,144702.5,41008.4,485554.4,140344.7,135113.2,136165.8,152005.0,42587.5,494161.4,83.36%,73.40%,72.47%,57.97%,63.56%,22.66%,116992.0,99166.4,98677.3,88111.7,27070.3,111987.1,102.24%,70.91%,70.11%,58.60%,60.42%,22.75%,196359.2,112038.9,111658.2,101417.9,29436.4,113377.7,349000.2,281239.9,283358.9,305408.1,73793.2,1178613.0,212848.7,216568.8,220336.3,261277.2,71582.2,1163271.9,232175.3,223419.8,225360.4,255726.8,75932.2,1108192.4,84.88%,73.27%,72.50%,59.90%,23.51%,11.82%,197060.2,163692.0,163396.5,153191.4,17851.7,131037.2,114.06%,75.49%,74.80%,58.35%,22.35%,17.82%,398053.7,212302.4,211959.5,178208.2,16495.7,210022.4
01-WT-C1,,134208,107660,107525,94163,11390,1635,100.00%,80.22%,80.12%,70.16%,8.49%,1.22%,100.00%,80.22%,99.87%,87.57%,10.59%,1.52%,463262.5,382296.7,382369.3,392775.8,248535.4,664404.3,361889.1,354387.3,354464.9,366285.4,243673.4,651229.3,340694.2,326163.2,326245.5,341737.3,241806.2,663233.7,49.74%,37.89%,37.89%,38.30%,16.91%,18.75%,169457.5,123572.0,123619.0,130880.2,40890.0,124364.7,95.29%,41.10%,41.09%,39.13%,21.55%,19.22%,441463.0,157124.2,157115.0,153697.0,53547.5,127730.4,550505.9,416527.0,416629.7,430447.1,242405.0,768449.9,402931.5,376332.6,376454.4,393007.3,234045.5,757105.1,379596.4,357756.6,357870.1,378369.7,230755.0,789077.2,58.78%,47.68%,47.67%,46.22%,24.01%,15.79%,223125.8,170578.3,170608.3,174873.0,55400.2,124590.4,172.03%,46.23%,46.21%,43.48%,28.60%,15.99%,947017.4,192558.5,192532.9,187178.0,69322.4,122858.4,213545.8,173365.6,173569.3,181597.5,51970.8,502230.5,141615.0,135628.3,136073.6,151926.3,43997.7,489202.9,159692.8,150791.8,150938.1,161641.2,45776.8,493208.2,77.77%,69.36%,69.20%,58.17%,62.27%,22.05%,124187.5,104594.8,104454.2,94033.6,28504.0,108728.4,96.54%,66.83%,66.71%,57.56%,61.09%,23.05%,206160.5,115857.0,115786.3,104523.0,31750.1,115758.3,387169.2,306729.4,307055.0,317667.0,76692.6,1167905.8,251376.8,243302.7,243838.7,272444.7,74915.6,1154029.4,267350.4,249325.7,249580.6,269834.8,79105.5,1105057.0,80.14%,69.86%,69.75%,60.04%,20.79%,12.34%,214263.0,174188.4,174080.5,162010.4,16449.7,136407.0,106.66%,71.31%,71.21%,57.20%,19.88%,16.73%,412965.2,218725.9,218667.9,181702.4,15245.1,195444.2
01-KO1-A2,,71198,60136,60133,56712,670,2353,100.00%,84.46%,84.46%,79.65%,0.94%,3.30%,100.00%,84.46%,100.00%,94.31%,1.11%,3.91%,385208.1,361579.5,361583.9,353410.5,237158.1,567829.8,305871.0,340910.2,340914.6,335088.4,231859.8,541910.7,321417.8,327358.8,327359.7,323217.4,229790.3,559155.4,36.15%,29.81%,29.81%,28.40%,18.55%,34.75%,116201.1,97572.2,97572.9,91803.0,42628.7,194287.2,140.56%,37.29%,37.29%,35.44%,22.58%,29.76%,541456.7,134843.7,134844.8,125263.0,53549.2,168991.0,478642.9,387676.0,387679.6,377473.0,229154.1,645902.8,341290.5,359352.1,359356.1,352202.4,220796.8,622326.4,347650.1,351507.5,351504.8,346388.4,216969.7,649315.8,44.32%,37.81%,37.81%,36.09%,25.21%,29.61%,154077.1,132894.9,132900.4,125016.3,54694.7,192260.3,330.29%,40.70%,40.70%,38.92%,29.09%,25.61%,1580923.5,157795.1,157796.0,146922.5,66658.5,165415.4,212552.6,194435.3,194283.8,184212.3,77232.7,441206.8,159959.4,172958.8,172933.6,167505.5,68304.7,429276.1,173026.2,173017.5,173015.9,169212.9,66541.5,429898.6,54.18%,48.41%,48.40%,45.71%,32.27%,22.67%,93752.6,83755.9,83746.4,77349.4,21475.8,97455.9,87.50%,51.47%,50.30%,43.98%,70.27%,24.65%,185983.9,100074.9,97719.8,81013.9,54270.8,108759.3,439986.5,410131.8,410136.3,376108.9,82584.7,1231318.9,305876.7,345162.2,345170.1,330975.8,80918.7,1208336.1,336350.8,342564.0,342554.2,333491.2,86947.8,1147683.5,66.21%,58.33%,58.33%,55.13%,13.61%,16.04%,222686.7,199816.2,199799.6,183859.0,11831.6,184116.9,96.83%,63.36%,63.36%,50.61%,17.44%,21.42%,426031.1,259879.8,259881.8,190355.9,14399.3,263690.0
01-KO1-B2,,56705,47805,47802,45515,609,1409,100.00%,84.30%,84.30%,80.27%,1.07%,2.48%,100.00%,84.30%,99.99%,95.22%,1.27%,2.95%,375568.2,350006.8,350016.3,343758.0,231653.8,568040.1,295909.1,330615.2,330625.9,326401.1,226425.0,543187.1,311752.1,318162.7,318164.9,315813.4,224038.5,560622.5,35.70%,29.37%,29.36%,28.16%,18.14%,33.61%,111307.7,93428.9,93426.4,88924.7,40635.0,188444.1,164.37%,36.78%,36.78%,34.99%,22.91%,29.04%,617336.8,128724.2,128722.5,120268.6,53076.4,164952.5,488421.2,386459.1,386463.5,378431.9,230468.7,670621.1,339566.0,358602.5,358605.8,353375.5,222009.3,646010.1,346643.2,351128.1,351130.9,347702.5,216822.2,687971.3,43.33%,36.99%,36.99%,35.54%,23.77%,29.13%,150194.8,129895.5,129898.2,123578.6,51536.1,200381.1,355.22%,40.55%,40.55%,38.74%,29.57%,25.18%,1734982.8,156692.2,156695.5,146596.1,68147.5,168880.8,194913.9,178754.8,178726.9,171348.9,67092.1,431012.6,146488.3,158284.0,158293.2,154908.7,58759.6,419547.9,159570.6,159673.1,159676.7,157469.2,57306.5,421762.3,54.26%,48.74%,48.73%,46.35%,35.40%,21.87%,86590.8,77817.5,77815.6,72993.0,20286.3,92258.8,86.06%,51.50%,51.33%,45.43%,79.69%,23.87%,167734.6,92066.8,91746.4,77842.7,53467.3,102874.3,415401.1,388117.3,388135.3,362890.7,82559.1,1227640.6,289974.1,329064.9,329093.6,320081.0,81156.9,1206196.6,318585.1,325806.2,325839.5,320487.6,86192.7,1149213.3,64.35%,56.20%,56.19%,53.35%,12.68%,15.14%,205006.0,183087.3,183077.1,170983.1,10930.3,174023.0,98.00%,62.23%,62.23%,50.60%,16.43%,20.47%,407109.3,241535.2,241531.4,183614.7,13565.5,251294.3
01-KO1-C2,,78283,65784,65778,62098,998,2268,100.00%,84.03%,84.03%,79.33%,1.27%,2.90%,100.00%,84.03%,99.99%,94.41%,1.52%,3.45%,392191.4,362641.2,362652.2,354852.9,233625.3,600114.8,308399.2,340849.4,340860.5,335635.4,229143.8,574313.3,320630.7,326166.7,326173.2,323182.6,226383.4,603920.8,37.38%,30.51%,30.51%,29.13%,18.75%,31.10%,119865.4,99523.1,99526.1,94157.8,42456.6,187790.8,144.97%,38.25%,38.25%,36.21%,20.25%,28.33%,568577.6,138714.9,138715.8,128475.7,47299.4,170009.6,489405.5,384342.5,384366.5,375318.6,227931.8,662367.4,339824.7,355017.9,355055.6,349125.1,219732.1,638167.2,344048.5,347088.8,347103.2,343002.4,214764.4,676511.1,45.23%,38.37%,38.37%,36.54%,25.11%,28.74%,155614.1,133167.8,133178.4,125344.7,53924.8,194405.7,358.03%,41.75%,41.75%,39.86%,29.37%,25.29%,1752207.3,160474.4,160461.0,149620.6,66939.7,167485.4,209832.1,190229.3,190185.1,181938.4,65629.8,438345.1,157116.7,168414.3,168415.5,164780.1,57751.4,426798.2,170435.8,169867.3,169871.0,167288.9,56554.5,426392.1,53.58%,47.42%,47.42%,44.77%,38.23%,21.74%,91313.8,80551.0,80548.8,74893.6,21622.5,92677.1,85.94%,51.20%,50.96%,44.94%,72.87%,24.11%,180319.5,97401.6,96924.7,81770.8,47826.3,105693.8,439984.6,404764.8,404784.1,376533.6,82403.3,1219755.4,307009.0,342770.1,342794.8,332869.2,81037.7,1199055.0,337254.0,342798.6,342810.9,336135.8,85695.9,1143223.1,64.47%,55.86%,55.85%,52.60%,13.77%,15.19%,217433.7,191485.5,191469.4,176809.5,11800.2,173706.5,98.69%,61.61%,61.61%,49.61%,16.44%,20.27%,434215.9,249382.7,249382.0,186813.0,13548.9,247214.2
01-KO2-A3,,54092,40926,40917,37234,194,3021,100.00%,75.66%,75.64%,68.83%,0.36%,5.58%,100.00%,75.66%,99.98%,91.00%,0.47%,7.38%,429774.5,400568.1,400601.3,378819.5,219992.7,651001.9,303040.3,372495.1,372528.7,356202.1,213386.4,628313.4,341038.2,355548.1,355569.1,343982.3,206888.0,660507.1,51.42%,35.56%,35.56%,32.33%,22.33%,26.93%,175378.6,126448.9,126448.9,111225.2,46195.9,177878.8,142.12%,40.22%,40.21%,37.15%,26.36%,25.16%,610807.5,161094.4,161095.6,140722.1,57994.2,163770.6,495950.7,387452.5,387515.9,365313.0,220410.8,642096.5,313869.1,352628.9,352729.3,336067.6,210510.9,617209.4,332913.6,343978.3,343997.4,329641.7,205365.5,653338.2,56.60%,43.37%,43.36%,40.10%,29.54%,28.68%,188422.8,149194.6,149146.9,132190.1,60663.1,187367.0,318.26%,44.87%,44.86%,42.57%,31.96%,26.17%,1578437.3,173864.6,173830.7,155502.3,70443.2,168038.2,243045.5,215279.9,215279.2,197154.6,108057.5,424395.0,159209.5,193875.6,193902.6,181832.2,87039.6,412471.4,186003.8,190654.0,190683.3,181238.5,90709.4,415805.3,56.22%,45.40%,45.39%,41.57%,45.48%,24.12%,104570.7,86565.8,86544.6,75343.7,41250.9,100283.3,105.54%,47.92%,47.85%,40.92%,78.88%,24.40%,256518.3,103162.5,103004.8,80674.4,85238.2,103567.4,551527.3,497267.7,497323.8,432854.2,77327.4,1248078.4,339413.8,424532.4,424590.9,389209.5,75247.2,1223123.0,397386.7,419920.7,419952.2,394976.2,79745.1,1162439.3,71.14%,54.91%,54.90%,50.21%,21.13%,17.30%,282700.1,230579.2,230571.7,198325.0,16852.2,201052.6,115.64%,59.99%,59.99%,45.18%,20.70%,22.01%,637811.0,298314.9,298320.4,195553.9,16009.4,274703.4
01-KO2-B3,,52987,39578,39575,36506,287,2423,100.00%,74.69%,74.69%,68.90%,0.54%,4.57%,100.00%,74.69%,99.99%,92.25%,0.73%,6.12%,415479.5,393463.0,393475.6,376685.1,229050.9,636943.0,287006.9,365648.4,365661.7,353266.9,222291.2,611989.8,328842.3,347789.1,347793.8,338876.9,214362.5,640591.3,52.84%,35.96%,35.96%,33.15%,19.14%,29.50%,173768.7,125072.0,125064.2,112328.1,41031.6,188983.3,150.26%,40.55%,40.54%,38.05%,26.45%,26.74%,624318.6,159533.1,159532.5,143320.5,60586.2,170294.4,492274.2,377773.7,377795.2,360358.9,222055.3,630390.8,296696.7,343075.7,343109.4,330272.4,210893.8,603909.6,317979.5,333173.9,333180.7,322248.2,205214.8,635291.7,57.53%,43.70%,43.70%,41.06%,30.08%,31.45%,182918.7,145594.1,145588.8,132304.0,61736.2,199829.7,354.08%,45.70%,45.70%,43.77%,35.17%,27.41%,1743051.5,172652.7,172641.6,157712.0,78102.4,172773.4,212264.0,191800.2,191809.5,177249.2,98477.8,401524.1,136327.5,171227.5,171239.7,162138.4,77905.0,389413.8,162023.9,168870.0,168879.7,161831.8,76829.3,388050.6,58.66%,47.24%,47.23%,43.54%,50.98%,23.38%,95044.0,79773.5,79764.6,70468.3,39170.7,90715.4,108.09%,51.10%,51.10%,44.23%,91.05%,26.70%,229427.0,98011.4,98009.2,78398.3,89667.3,107203.4,502527.7,464610.7,464630.3,409987.2,78317.9,1261084.3,300543.3,392355.5,392375.7,365134.8,76373.3,1234530.5,360013.3,387811.3,387840.0,369250.4,82826.4,1173291.8,73.81%,56.89%,56.89%,52.65%,18.95%,17.12%,265743.2,220629.9,220656.4,194423.8,15695.5,200829.4,121.89%,62.71%,62.71%,47.55%,20.44%,22.63%,612535.2,291377.8,291379.8,194967.1,16007.7,285329.0
01-KO2-C3,,65329,49276,49268,45175,230,3358,100.00%,75.43%,75.42%,69.15%,0.35%,5.14%,100.00%,75.43%,99.98%,91.69%,0.47%,6.82%,406465.4,384103.4,384124.3,365526.0,226552.1,618108.1,285113.1,358402.2,358422.3,344513.8,219586.5,593733.3,325200.6,342339.6,342382.7,332820.1,217552.3,620257.8,50.03%,34.65%,34.64%,31.88%,22.49%,30.12%,162689.7,118621.0,118611.1,106111.8,48929.7,186822.6,152.15%,39.48%,39.48%,36.49%,27.11%,27.02%,618438.6,151660.3,151663.2,133362.6,61425.9,167036.1,515296.5,385342.1,385383.4,365440.3,229547.0,637095.5,304731.1,351445.6,351510.5,336670.6,217535.9,609015.3,329647.4,344340.7,344369.2,332117.7,208413.2,647746.3,55.69%,42.65%,42.64%,39.83%,33.07%,30.69%,183592.1,146855.6,146843.4,132282.7,68925.0,198790.8,389.52%,44.46%,44.45%,42.14%,35.09%,27.60%,2007194.0,171333.3,171312.2,154013.6,80549.1,175820.1,232368.0,213697.6,213638.3,196717.5,102714.8,427857.5,151509.2,191740.0,191755.1,180694.1,81534.9,414099.6,182937.8,190506.3,190509.5,182003.1,82029.6,416207.3,57.31%,45.61%,45.61%,42.29%,49.04%,24.65%,104836.7,86894.2,86888.4,76966.5,40228.4,102610.7,102.55%,50.00%,49.33%,42.64%,102.24%,26.71%,238284.1,106849.9,105397.4,83879.7,105020.1,114261.2,522569.0,489703.0,489745.5,430241.7,79289.0,1248461.5,321909.4,419003.2,419047.7,386753.3,77204.5,1222853.0,388710.7,416484.3,416519.5,395004.6,83511.6,1159920.5,71.18%,54.70%,54.70%,50.39%,16.46%,17.02%,276667.0,227816.5,227840.6,199041.9,13745.8,197399.4,113.94%,59.70%,59.70%,45.16%,20.30%,22.52%,595406.9,292373.8,292377.3,194288.5,16094.2,281166.2
01-KO3-A4,,94851,81892,81878,78862,982,1687,100.00%,86.34%,86.32%,83.14%,1.04%,1.78%,100.00%,86.34%,99.98%,96.32%,1.20%,2.06%,397945.7,384725.9,384752.3,378233.6,236641.1,714147.7,316364.6,358616.8,358644.1,354624.5,231308.8,690680.2,332053.3,339683.4,339721.7,338085.7,230446.3,732883.0,39.05%,32.78%,32.78%,31.62%,20.75%,23.27%,129652.0,111356.8,111374.3,106917.2,47827.1,170530.9,128.52%,40.42%,40.42%,38.62%,22.31%,23.47%,511445.1,155511.4,155511.5,146070.5,52795.6,167575.1,412446.3,355075.5,355120.4,349251.4,238831.8,644293.6,302882.2,326487.0,326557.3,322682.3,230324.3,619362.3,310911.9,317313.3,317340.3,315130.2,226174.1,660013.4,44.47%,38.80%,38.80%,37.79%,23.51%,27.27%,138262.3,123131.7,123131.8,119088.5,53166.4,180008.8,326.49%,43.42%,43.41%,42.10%,29.10%,25.84%,1346594.4,154177.3,154152.4,147032.3,69510.5,166471.2,188497.9,179055.1,179075.7,174441.6,90283.1,410498.0,149143.3,163302.1,163333.1,161043.0,82621.1,401402.1,156794.1,158050.2,158058.3,156850.9,83819.5,404336.6,45.10%,41.25%,41.23%,39.72%,26.31%,20.98%,70706.7,65191.2,65173.0,62308.7,22056.8,84847.3,73.00%,46.10%,46.09%,42.33%,54.90%,21.30%,137596.4,82552.6,82544.1,73832.9,49563.4,87431.8,380674.6,369789.9,369823.9,353197.8,82012.4,1194170.0,277367.6,319002.4,319040.9,314109.3,80443.5,1176171.8,302502.1,312415.2,312457.1,309723.6,85891.2,1122222.6,59.11%,51.76%,51.76%,49.78%,13.20%,13.83%,178816.7,161711.2,161723.0,154174.6,11333.4,155155.6,84.03%,58.93%,58.93%,49.72%,17.24%,19.05%,319882.8,217921.7,217923.0,175626.9,14137.1,227487.2
