Experiment Name:,Exp_20260603_Cal51_Mito

Tube Name:,Sample ID:,All Events ,Cell size Events,Hoechst Events,medium Mito Events,low Mito Events,High Mito Events,All Events  % Total,Cell size % Total,Hoechst % Total,medium Mito % Total,low Mito % Total,High Mito % Total,All Events  % Parent,Cell size % Parent,Hoechst % Parent,medium Mito % Parent,low Mito % Parent,High Mito % Parent,All Events  Mean FSC-A,Cell size Mean FSC-A,Hoechst Mean FSC-A,medium Mito Mean FSC-A,low Mito Mean FSC-A,High Mito Mean FSC-A,All Events  GeoMean FSC-A,Cell size GeoMean FSC-A,Hoechst GeoMean FSC-A,medium Mito GeoMean FSC-A,low Mito GeoMean FSC-A,High Mito GeoMean FSC-A,All Events  Median FSC-A,Cell size Median FSC-A,Hoechst Median FSC-A,medium Mito Median FSC-A,low Mito Median FSC-A,High Mito Median FSC-A,All Events  rCV FSC-A,Cell size rCV FSC-A,Hoechst rCV FSC-A,medium Mito rCV FSC-A,low Mito rCV FSC-A,High Mito rCV FSC-A,All Events  rSD FSC-A,Cell size rSD FSC-A,Hoechst rSD FSC-A,medium Mito rSD FSC-A,low Mito rSD FSC-A,High Mito rSD FSC-A,All Events  CV FSC-A,Cell size CV FSC-A,Hoechst CV FSC-A,medium Mito CV FSC-A,low Mito CV FSC-A,High Mito CV FSC-A,All Events  SD FSC-A,Cell size SD FSC-A,Hoechst SD FSC-A,medium Mito SD FSC-A,low Mito SD FSC-A,High Mito SD FSC-A,All Events  Mean SSC-A,Cell size Mean SSC-A,Hoechst Mean SSC-A,medium Mito Mean SSC-A,low Mito Mean SSC-A,High Mito Mean SSC-A,All Events  GeoMean SSC-A,Cell size GeoMean SSC-A,Hoechst GeoMean SSC-A,medium Mito GeoMean SSC-A,low Mito GeoMean SSC-A,High Mito GeoMean SSC-A,All Events  Median SSC-A,Cell size Median SSC-A,Hoechst Median SSC-A,medium Mito Median SSC-A,low Mito Median SSC-A,High Mito Median SSC-A,All Events  rCV SSC-A,Cell size rCV SSC-A,Hoechst rCV SSC-A,medium Mito rCV SSC-A,low Mito rCV SSC-A,High Mito rCV SSC-A,All Events  rSD SSC-A,Cell size rSD SSC-A,Hoechst rSD SSC-A,medium Mito rSD SSC-A,low Mito rSD SSC-A,High Mito rSD SSC-A,All Events  CV SSC-A,Cell size CV SSC-A,Hoechst CV SSC-A,medium Mito CV SSC-A,low Mito CV SSC-A,High Mito CV SSC-A,All Events  SD SSC-A,Cell size SD SSC-A,Hoechst SD SSC-A,medium Mito SD SSC-A,low Mito SD SSC-A,High Mito SD SSC-A,All Events  Mean Violet610-A,Cell size Mean Violet610-A,Hoechst Mean Violet610-A,medium Mito Mean Violet610-A,low Mito Mean Violet610-A,High Mito Mean Violet610-A,All Events  GeoMean Violet610-A,Cell size GeoMean Violet610-A,Hoechst GeoMean Violet610-A,medium Mito GeoMean Violet610-A,low Mito GeoMean Violet610-A,High Mito GeoMean Violet610-A,All Events  Median Violet610-A,Cell size Median Violet610-A,Hoechst Median Violet610-A,medium Mito Median Violet610-A,low Mito Median Violet610-A,High Mito Median Violet610-A,All Events  rCV Violet610-A,Cell size rCV Violet610-A,Hoechst rCV Violet610-A,medium Mito rCV Violet610-A,low Mito rCV Violet610-A,High Mito rCV Violet610-A,All Events  rSD Violet610-A,Cell size rSD Violet610-A,Hoechst rSD Violet610-A,medium Mito rSD Violet610-A,low Mito rSD Violet610-A,High Mito rSD Violet610-A,All Events  CV Violet610-A,Cell size CV Violet610-A,Hoechst CV Violet610-A,medium Mito CV Violet610-A,low Mito CV Violet610-A,High Mito CV Violet610-A,All Events  SD Violet610-A,Cell size SD Violet610-A,Hoechst SD Violet610-A,medium Mito SD Violet610-A,low Mito SD Violet610-A,High Mito SD Violet610-A,All Events  Mean PE-A,Cell size Mean PE-A,Hoechst Mean PE-A,medium Mito Mean PE-A,low Mito Mean PE-A,High Mito Mean PE-A,All Events  GeoMean PE-A,Cell size GeoMean PE-A,Hoechst GeoMean PE-A,medium Mito GeoMean PE-A,low Mito GeoMean PE-A,High Mito GeoMean PE-A,All Events  Median PE-A,Cell size Median PE-A,Hoechst Median PE-A,medium Mito Median PE-A,low Mito Median PE-A,High Mito Median PE-A,All Events  rCV PE-A,Cell size rCV PE-A,Hoechst rCV PE-A,medium Mito rCV PE-A,low Mito rCV PE-A,High Mito rCV PE-A,All Events  rSD PE-A,Cell size rSD PE-A,Hoechst rSD PE-A,medium Mito rSD PE-A,low Mito rSD PE-A,High Mito rSD PE-A,All Events  CV PE-A,Cell size CV PE-A,Hoechst CV PE-A,medium Mito CV PE-A,low Mito CV PE-A,High Mito CV PE-A,All Events  SD PE-A,Cell size SD PE-A,Hoechst SD PE-A,medium Mito SD PE-A,low Mito SD PE-A,High Mito SD PE-A
01-WT-A2,,75417,62539,62371,57231,190,4331,100.00%,82.92%,82.70%,75.89%,0.25%,5.74%,100.00%,82.92%,99.73%,91.76%,0.30%,6.94%,350304.0,362438.0,362723.2,342147.7,227285.2,617232.8,280721.4,341868.9,342171.8,327091.0,221400.5,597697.7,314133.5,331733.6,332021.8,322888.7,213673.4,611295.6,39.83%,31.24%,31.19%,28.54%,20.94%,25.49%,125130.7,103626.9,103557.8,92144.7,44746.8,155840.4,141.94%,36.56%,36.53%,31.41%,24.37%,24.40%,497233.5,132494.8,132489.6,107459.7,55400.3,150629.2,348210.4,290338.1,290281.8,268832.9,179929.0,553144.3,240558.0,257006.8,256981.1,242444.1,163817.2,524072.3,239468.1,249443.8,249406.8,237643.7,159782.8,542514.6,54.04%,48.90%,48.86%,45.72%,37.32%,35.99%,129413.0,121968.8,121868.1,108658.9,59626.6,195268.1,427.28%,52.70%,52.69%,48.29%,53.63%,31.14%,1487849.9,152996.2,152949.0,129813.1,96501.8,172255.4,208759.1,208559.0,209008.4,191618.1,94625.2,424658.7,165527.9,188744.3,189562.7,178169.4,86098.2,410502.6,178278.3,184204.4,184466.9,177012.5,81323.5,407432.0,46.37%,42.14%,42.02%,38.54%,41.20%,25.32%,82669.3,77627.3,77513.4,68214.4,33504.1,103159.0,70.33%,47.84%,47.62%,39.33%,47.95%,26.80%,146828.7,99782.2,99534.4,75372.8,45372.5,113802.8,500543.8,511464.4,512406.9,453187.8,79329.4,1250646.8,370295.8,446899.2,448316.0,414544.2,77011.0,1223646.5,417569.1,443909.4,444592.3,424178.0,85207.0,1159870.3,56.48%,48.85%,48.71%,44.76%,16.38%,16.93%,235825.6,216844.2,216580.7,189874.2,13954.2,196373.3,80.25%,55.76%,55.61%,41.06%,21.45%,23.23%,401663.7,285206.2,284972.6,186062.6,17019.6,290539.9
01-WT-B1,,76017,63931,63725,59460,264,3414,100.00%,84.10%,83.83%,78.22%,0.35%,4.49%,100.00%,84.10%,99.68%,93.31%,0.41%,5.36%,319648.8,340614.7,340881.9,325493.1,220684.6,588192.4,266773.0,322627.7,322919.1,311761.4,216402.0,570167.9,297802.2,314151.5,314451.0,307561.9,215740.7,582168.8,37.48%,30.23%,30.20%,28.10%,19.37%,24.48%,111611.0,94956.1,94951.0,86433.8,41779.4,142501.0,67.94%,35.33%,35.29%,30.78%,20.54%,24.37%,217168.5,120322.3,120286.9,100183.0,45330.0,143365.4,305823.7,287269.3,287239.7,269321.4,182322.9,573277.4,237262.7,256316.5,256345.0,244467.0,167738.9,547227.1,239453.8,248520.1,248561.1,240112.9,157183.6,572443.3,50.86%,46.48%,46.43%,43.66%,36.19%,32.00%,121791.1,115511.1,115402.0,104844.8,56883.1,183189.4,251.87%,51.27%,51.22%,46.83%,47.20%,28.81%,770282.7,147269.1,147123.5,126110.4,86053.2,165155.0,199492.6,202318.0,202851.4,188688.7,98792.8,432586.9,156299.3,182982.7,183986.9,175020.0,86631.1,418971.5,172873.2,179410.6,179739.6,174154.6,82501.1,418331.7,45.95%,41.45%,41.30%,38.42%,44.15%,24.64%,79438.3,74367.9,74234.1,66902.6,36421.6,103078.0,66.70%,47.92%,47.65%,39.87%,85.13%,26.83%,133064.9,96960.1,96654.0,75236.0,84102.3,116069.3,468702.2,481881.1,482950.9,436282.0,79283.3,1245808.8,344561.2,421398.4,423008.8,397840.1,77400.2,1220606.1,395128.0,420141.7,420913.4,406087.8,82330.2,1157756.5,55.88%,48.55%,48.37%,45.14%,18.99%,16.26%,220814.6,203971.6,203593.9,183311.0,15636.7,188224.0,78.53%,55.57%,55.38%,42.05%,19.82%,22.46%,368090.4,267760.4,267473.9,183469.3,15715.7,279831.9
01-WT-B2,,63610,51488,51327,46043,120,4514,100.00%,80.94%,80.69%,72.38%,0.19%,7.10%,100.00%,80.94%,99.69%,89.71%,0.23%,8.79%,359101.8,374405.2,374796.3,350845.7,230732.7,602012.3,285068.8,353549.8,354000.5,335895.8,225482.6,581706.7,325322.9,345104.9,345446.6,332813.7,222676.3,596783.6,41.86%,31.75%,31.71%,28.58%,21.38%,26.48%,136166.3,109558.5,109536.9,95122.1,47613.8,158036.3,129.55%,35.80%,35.73%,30.60%,22.04%,25.15%,465198.8,134024.7,133927.1,107358.6,50864.5,151411.7,360148.0,313196.6,313189.3,287728.1,191533.8,553934.2,254794.8,277510.1,277530.1,259354.9,177320.2,524943.7,260061.8,271660.8,271671.6,256525.0,170582.4,547460.4,56.69%,49.87%,49.84%,46.16%,34.19%,35.66%,147434.8,135465.3,135403.6,118401.3,58330.1,195222.6,351.00%,51.49%,51.47%,47.84%,46.16%,31.05%,1264128.0,161254.1,161199.2,137654.8,88403.2,171999.2,220570.2,220760.5,221331.5,200262.2,94295.5,422250.4,170798.0,200205.5,201294.9,186884.7,85205.1,408389.8,189443.8,196756.2,197096.5,186567.7,84909.0,405818.4,47.40%,41.95%,41.82%,37.45%,47.96%,25.94%,89794.1,82539.5,82432.0,69863.8,40723.0,105288.0,69.00%,46.64%,46.37%,37.76%,47.08%,27.18%,152188.1,102970.7,102620.4,75620.4,44390.1,114784.9,539957.9,553418.4,554663.9,481292.3,76322.4,1258092.4,386370.0,484370.9,486354.2,442014.5,73524.0,1230332.1,454559.1,486784.7,487853.2,457764.0,79863.5,1171828.5,58.80%,49.18%,49.02%,44.44%,23.23%,17.42%,267290.8,239398.8,239139.7,203416.9,18553.9,204094.8,78.64%,54.82%,54.63%,39.51%,23.35%,24.64%,424630.5,303384.4,302988.8,190149.5,17818.9,310031.1
01-WT-C1,,79369,65372,64936,59114,238,4883,100.00%,82.36%,81.82%,74.48%,0.30%,6.15%,100.00%,82.36%,99.33%,91.03%,0.37%,7.52%,331814.6,349000.0,349507.8,329653.8,223748.9,574093.2,265102.2,329989.8,330529.9,315786.2,217807.6,554666.2,302929.8,321316.2,321745.3,312097.9,207848.1,564089.8,39.62%,30.82%,30.76%,28.11%,20.63%,26.09%,120023.3,99033.3,98958.6,87728.5,42888.4,147184.5,119.73%,35.81%,35.75%,30.70%,24.64%,25.65%,397288.4,124965.4,124941.3,101205.7,55136.6,147252.8,342320.5,296452.5,296597.7,273532.5,194943.7,556206.1,238989.1,263857.6,264100.2,248288.3,177811.4,528038.6,244066.5,255919.0,256154.1,244119.3,171887.6,547108.6,53.29%,47.44%,47.37%,43.75%,37.90%,34.66%,130065.7,121401.4,121327.9,106803.6,65142.4,189651.3,428.21%,51.46%,51.37%,46.66%,49.70%,30.63%,1465847.1,152550.6,152353.8,127617.0,96884.0,170349.3,204231.3,206040.6,207131.1,188376.8,88528.8,420915.8,155827.0,184085.8,186184.0,173955.3,79010.4,406752.8,175349.9,182959.0,183635.8,175235.3,75798.3,402676.1,49.58%,44.09%,43.74%,39.88%,41.64%,25.31%,86931.8,80669.8,80317.1,69882.6,31566.0,101901.9,72.57%,49.78%,48.99%,40.19%,55.60%,27.48%,148209.1,102565.0,101464.7,75714.9,49225.0,115657.0,501950.1,517578.3,520032.3,455117.5,80927.4,1264823.9,351476.0,447236.1,450975.8,414155.9,78384.7,1236517.8,416220.2,448932.9,450860.7,426891.2,86129.9,1170689.8,60.21%,51.00%,50.60%,46.25%,14.04%,17.60%,250600.3,228937.0,228142.7,197450.6,12096.9,205988.1,84.18%,57.47%,57.08%,41.90%,20.69%,23.59%,422558.7,297443.7,296814.0,190689.2,16742.4,298372.1
01-WT-C2,,68428,54956,54764,49726,147,4286,100.00%,80.31%,80.03%,72.67%,0.21%,6.26%,100.00%,80.31%,99.65%,90.80%,0.27%,7.83%,357855.2,369546.4,369983.3,348816.2,230858.1,598639.8,276646.5,349425.7,349906.9,333979.9,222532.3,578987.9,320552.3,341015.9,341367.6,330615.6,215788.1,594676.7,41.51%,31.30%,31.24%,28.45%,25.11%,25.41%,133071.4,106741.9,106645.5,94047.6,54179.0,151085.5,148.94%,35.40%,35.35%,30.63%,31.39%,24.76%,532976.9,130825.8,130774.8,106835.7,72465.1,148226.4,391389.2,313904.3,313850.5,290696.8,207642.2,561849.4,253382.9,278706.3,278650.2,262208.9,191357.8,533053.3,260118.8,272669.4,272533.3,258199.2,192487.9,553839.4,56.35%,49.22%,49.20%,45.86%,44.99%,35.27%,146585.1,134197.2,134099.6,118405.8,86609.0,195362.9,463.88%,51.15%,51.16%,47.70%,43.95%,30.74%,1815569.6,160554.5,160573.1,138661.2,91266.2,172692.9,219662.4,220994.5,221638.3,202207.8,105272.5,432772.5,164637.7,200283.0,201527.6,188435.2,94221.1,418276.6,188349.3,196615.3,196984.3,187667.8,90306.4,415559.5,48.16%,41.84%,41.70%,37.72%,52.38%,25.22%,90708.4,82270.4,82133.3,70780.1,47302.4,104802.6,71.65%,46.96%,46.64%,38.27%,49.08%,27.73%,157378.6,103773.3,103378.6,77380.6,51671.6,119988.2,516082.2,531572.4,532958.2,466631.7,74063.2,1258588.0,362874.5,464830.4,467091.9,428330.1,71165.6,1230475.1,431000.3,463001.6,464114.2,439142.2,76849.9,1169546.0,58.66%,48.66%,48.43%,44.32%,25.65%,17.08%,252807.0,225280.4,224786.3,194639.8,19714.6,199748.1,81.31%,55.44%,55.21%,40.08%,25.26%,23.91%,419608.3,294705.8,294253.4,187008.9,18708.9,300964.3
01-WT_AZ-D1,,79752,65875,65761,59375,155,5520,100.00%,82.60%,82.46%,74.45%,0.19%,6.92%,100.00%,82.60%,99.83%,90.29%,0.24%,8.39%,324330.8,343628.5,343787.4,320188.1,215041.1,583086.3,261016.8,324328.0,324492.9,307316.0,210167.6,562262.7,294676.6,313614.0,313753.3,303426.9,204392.5,574880.5,39.09%,30.42%,30.40%,27.43%,20.46%,27.61%,115197.6,95400.1,95373.9,83238.8,41815.6,158708.6,132.71%,36.82%,36.81%,30.00%,22.35%,26.13%,430433.3,126537.8,126546.0,96069.3,48059.5,152353.8,313845.3,270433.1,270352.7,245610.3,178936.4,521648.1,222017.9,241695.2,241661.2,225089.3,164555.8,494272.0,222256.6,233126.1,233102.5,220877.1,159668.1,507159.2,49.86%,45.50%,45.46%,41.51%,34.14%,35.22%,110813.0,106071.1,105966.5,91693.2,54503.3,178609.0,469.08%,51.57%,51.54%,44.58%,46.32%,31.73%,1472171.1,139452.0,139347.7,109488.5,82874.9,165524.9,231523.3,236408.5,236746.7,212847.2,118859.0,479903.9,185369.5,213138.8,213778.2,198117.6,101823.7,462445.0,198754.3,208156.1,208316.6,197788.8,104522.9,459729.4,46.76%,42.32%,42.23%,37.96%,51.01%,27.51%,92942.4,88095.8,87968.0,75082.3,53317.7,126471.7,66.77%,49.00%,48.85%,38.52%,74.82%,27.92%,154582.3,115830.0,115642.2,81992.9,88935.9,133965.4,522727.8,542798.9,543460.2,469409.6,76154.8,1300100.9,384951.7,473686.8,474687.9,431797.0,73897.7,1265870.1,437211.0,468684.2,469186.4,442897.8,78925.2,1197713.5,55.42%,48.09%,48.01%,43.45%,22.39%,19.49%,242312.6,225385.7,225256.8,192422.4,17668.3,233386.7,79.85%,57.08%,56.98%,39.55%,22.21%,25.77%,417382.8,309826.4,309665.9,185650.8,16913.9,335003.3
01-WT_AZ-D2,,65311,52347,52191,44678,105,6544,100.00%,80.15%,79.91%,68.41%,0.16%,10.02%,100.00%,80.15%,99.70%,85.60%,0.20%,12.54%,366908.3,375850.2,376193.4,341941.4,213535.4,595736.8,278853.1,352876.5,353255.8,327310.8,209764.8,574563.2,319759.6,342233.6,342532.3,324248.3,207554.4,586696.0,44.27%,33.33%,33.27%,28.61%,18.14%,27.90%,141552.7,114062.6,113970.0,92756.1,37651.5,163687.6,163.24%,37.75%,37.71%,30.75%,19.78%,26.03%,598929.9,141897.2,141863.6,105160.6,42236.3,155095.7,394102.1,298866.5,298655.9,264275.0,196984.8,517890.5,242487.7,264258.5,264090.5,239616.8,181313.7,488184.3,244112.8,256985.0,256867.5,235850.0,173236.0,504951.3,56.53%,49.94%,49.86%,44.45%,34.57%,37.07%,138009.0,128325.6,128075.7,104839.8,59889.6,187188.9,510.25%,52.47%,52.47%,46.94%,45.97%,32.93%,2010914.4,156810.7,156697.8,124049.2,90547.3,170558.3,258085.9,259962.4,260609.0,226451.5,111267.6,480598.8,194634.9,233478.3,234705.8,211040.7,97043.0,463230.6,218873.2,229622.2,230057.8,212316.7,93187.9,459494.3,50.24%,43.83%,43.67%,37.57%,51.26%,26.95%,109964.4,100652.5,100457.6,79762.4,47763.7,123833.2,73.26%,48.82%,48.56%,37.80%,59.51%,27.97%,189064.5,126910.9,126543.1,85598.3,66216.9,134436.0,593975.1,611176.9,612482.9,506486.8,74522.1,1299614.9,419055.7,531885.8,533910.3,467481.6,70749.1,1265320.5,494026.1,532829.2,533691.8,487068.9,80146.4,1194410.5,60.12%,49.81%,49.64%,43.28%,23.10%,19.29%,297019.8,265428.7,264924.2,210797.9,18511.7,230362.5,82.95%,56.05%,55.87%,37.91%,27.30%,25.88%,492720.3,342537.0,342170.5,192010.4,20346.4,336281.0
01-WT_AZ-E1,,71423,59239,59112,52306,218,5849,100.00%,82.94%,82.76%,73.23%,0.31%,8.19%,100.00%,82.94%,99.79%,88.49%,0.37%,9.89%,331043.3,351481.5,351701.4,324499.6,207998.6,583083.7,268261.6,330838.5,331068.2,311091.0,203976.4,562289.3,300501.8,318883.5,319084.0,306727.9,198525.8,573965.8,39.91%,31.43%,31.41%,27.73%,17.45%,27.21%,119936.3,100222.1,100225.9,85069.0,34635.1,156201.8,104.37%,37.54%,37.52%,30.52%,21.22%,26.05%,345514.8,131959.8,131968.2,99033.4,44137.8,151896.0,311592.1,276291.4,276225.8,247586.1,169898.3,519388.3,226531.1,245406.3,245401.7,225997.9,154876.2,492110.4,226135.3,236866.0,236856.4,222061.8,144401.2,505478.3,51.90%,47.17%,47.12%,42.23%,33.00%,35.33%,117366.3,111735.3,111604.4,93784.8,47657.9,178603.1,392.64%,52.63%,52.59%,45.64%,53.25%,31.79%,1223450.4,145401.0,145270.9,112991.0,90474.4,165139.0,239291.9,241284.7,241710.4,213323.5,100986.9,484402.3,186452.5,214810.8,215600.0,197026.1,89716.4,466678.2,202818.5,210903.0,211108.1,198333.9,86310.5,466896.1,49.73%,44.62%,44.54%,39.38%,57.75%,27.05%,100853.7,94104.8,94020.1,78095.7,49844.7,126284.9,70.43%,51.09%,50.91%,39.93%,49.99%,27.97%,168543.3,123274.5,123059.6,85185.6,50482.4,135480.7,549062.9,560806.7,561655.0,475481.9,78750.7,1300543.8,400589.3,483988.9,485263.7,435079.6,76475.2,1266750.6,453512.6,483850.1,484397.4,451809.8,83288.9,1199460.6,58.46%,50.46%,50.33%,44.94%,18.27%,19.12%,265122.8,244146.8,243812.4,203036.3,15213.9,229302.3,84.09%,58.27%,58.14%,40.23%,21.10%,25.49%,461703.8,326757.9,326563.1,191298.3,16615.4,331462.7
01-WT_AZ-E2,,60488,49527,49375,42753,126,5730,100.00%,81.88%,81.63%,70.68%,0.21%,9.47%,100.00%,81.88%,99.69%,86.59%,0.26%,11.61%,367372.3,370349.3,370737.8,340741.5,210614.0,581776.6,288411.3,348611.6,349038.7,326191.7,206516.8,561225.8,320315.3,339873.7,340232.9,323595.4,204328.1,574592.3,42.23%,32.94%,32.89%,29.00%,17.15%,26.97%,135254.6,111940.9,111902.6,93844.1,35047.8,154950.0,173.01%,36.83%,36.78%,30.65%,22.11%,26.05%,635578.9,136394.6,136354.5,104451.2,46563.5,151523.9,386938.9,298353.4,298234.8,267577.1,174382.7,513604.5,250519.9,264065.2,264005.7,242125.8,161977.5,482786.2,247630.1,255869.1,255845.0,236835.5,157973.7,500663.2,54.54%,49.40%,49.34%,44.68%,42.02%,38.31%,135052.9,126401.0,126237.2,105827.5,66376.4,191826.7,509.37%,52.38%,52.35%,47.60%,40.49%,33.74%,1970961.5,156268.0,156127.1,127379.3,70610.3,173271.8,256671.9,257023.4,257681.5,226313.7,98286.4,479845.7,198290.2,230588.9,231862.8,210297.4,88203.3,462142.8,218761.8,228355.7,228723.7,212186.8,91269.7,459152.9,50.00%,43.97%,43.78%,38.37%,58.01%,26.77%,109377.0,100411.5,100139.9,81421.6,52945.1,122923.4,71.21%,48.95%,48.68%,38.41%,47.07%,28.82%,182781.5,125825.0,125450.6,86930.2,46259.7,138310.3,586380.5,593688.5,595039.0,495884.1,77934.9,1298083.5,426560.4,513327.6,515495.3,454661.6,75948.3,1263625.3,483603.9,516347.8,517334.3,475116.5,82980.3,1192213.8,60.00%,51.27%,51.05%,45.06%,19.05%,18.94%,290183.0,264748.6,264089.4,214096.2,15808.2,225811.0,83.23%,57.11%,56.92%,39.31%,20.10%,26.00%,488064.8,339067.2,338670.2,194946.3,15663.1,337519.1
01-WT_AZ-F1,,81489,65441,65286,59081,150,5306,100.00%,80.31%,80.12%,72.50%,0.18%,6.51%,100.00%,80.31%,99.76%,90.50%,0.23%,8.13%,316046.6,345662.6,345876.2,323538.0,217771.1,577542.8,249275.8,326331.2,326554.0,310188.8,212559.4,555655.0,292965.5,316667.5,316799.7,306482.7,210122.8,572433.8,41.46%,30.62%,30.59%,27.80%,21.17%,28.54%,121466.7,96979.2,96896.2,85204.0,44479.9,163378.5,124.48%,36.59%,36.57%,30.39%,23.12%,26.85%,393429.2,126468.3,126478.0,98321.0,50338.6,155047.7,292195.9,267468.6,267291.6,243848.4,184688.9,509596.2,212863.8,238817.9,238699.1,223003.3,171330.0,479530.2,217180.4,229604.5,229501.8,218084.6,163462.7,495079.8,50.54%,45.13%,45.09%,41.57%,35.19%,37.76%,109755.4,103628.8,103493.3,90654.2,57519.7,186930.5,381.06%,52.08%,52.05%,45.50%,43.33%,33.61%,1113442.3,139288.0,139131.8,110956.4,80018.7,171262.1,225547.8,233499.3,233952.8,211112.1,116104.3,471771.7,174771.7,210743.7,211592.6,196598.5,100166.1,453645.6,194904.6,205254.8,205602.2,195652.4,94720.4,452785.3,47.04%,42.05%,41.95%,37.64%,45.94%,27.61%,91683.5,86317.4,86241.0,73637.3,43519.3,125023.1,68.48%,48.72%,48.52%,38.40%,81.21%,28.85%,154453.3,113771.0,113519.9,81070.7,94289.3,136120.9,510090.2,538289.9,539160.6,467594.1,76145.3,1290453.6,363467.8,469236.8,470564.1,428997.1,73374.8,1256847.8,428688.3,466267.0,466826.0,440737.8,80730.3,1186176.8,57.52%,49.03%,48.92%,44.29%,23.80%,18.82%,246565.9,228630.0,228354.2,195199.4,19217.1,223286.7,82.79%,56.94%,56.81%,40.13%,24.05%,25.75%,422292.5,306527.8,306315.3,187662.9,18312.6,332293.1
