"","GeneID","MeanBeta","AneuScore.lm","AneuScore.lm.R2","AneuScore.P"
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)11357","PPP1R12A..4659.",-1.07228141347444,-0.0116836657418141,0.345138542747777,8.12512805756026e-06
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)7590","KIF18A..81930.",-0.981603025968037,-0.00936271054424242,0.279221898759534,0.000470520828773011
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15522","TP53..7157.",0.235900549374096,-0.00814673748715952,0.348320057963748,6.58615013387408e-06
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)4513","EIF1AX..1964.",NA,-0.00769455467783514,0.256952739470586,0.0201893346329997
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)3059","CLTC..1213.",-1.39665254269241,-0.00676372900325667,0.256557129533362,0.000610355948821853
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)3249","COPS4..51138.",-0.982112221315551,-0.00653745382822784,0.241396027461907,1.95285527603935e-05
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)4529","EIF3A..8661.",-1.50920037875041,-0.00630392725641035,0.225909951534882,0.000193763692074817
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13899","SNRPB2..6629.",-0.672582761683084,-0.00629734236387864,0.257406287547848,0.00660176864744669
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)12887","SCAP..22937.",-0.879398124208326,-0.00629641460679052,0.199196750871384,0.0438788029484425
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16357","VPS52..6293.",-0.471494591165124,-0.00629056142695516,0.239575986506717,0.000138375713423503
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)2819","CHEK1..1111.",-2.02528541218826,-0.006196134952275,0.245723586372782,0.000548400317037371
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)9280","MTOR..2475.",-1.1163544457437,-0.00606684422111467,0.22989981533676,0.00012610493533971
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)16416","WBP11..51729.",-1.12843520122544,-0.00591497609466549,0.261190103159804,5.70602322797308e-05
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)13194","SGO1..151648.",-1.1348976936519,-0.00578575256785933,0.328853048412655,0.00561264835647277
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15900","TUBB..203068.",-1.37682406047029,-0.00570095892074702,0.229082429702589,0.0355580428929108
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)3746","DBF4..10926.",-0.720133416907181,-0.00562666051390109,0.235786668393373,0.000802436653985035
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)14302","STAMBP..10617.",-0.426385130332111,-0.00552269528612936,0.290248930538162,0.00281440328316132
"as.numeric(CRISPR_Gene_AneuScore2$Aneuploidy.score)15894","TUBA1B..10376.",-1.14270165308339,-0.00549842499697482,0.321825803309731,0.00186647018357414
