sgRNA	Gene	Cont1.initial	Cont1.final
108157552	SLC25A24	978	976
7867646	FASTKD3	1977	2068
114575706	BCAS2	1237	1168
99255304	GPR18	642	702
56577092	ZNF470	865	1093
67514079	CENPC	477	338
57434100	CIAPIN1	719	772
95003616	NDUFA12	275	415
114065325	QTRTD1	504	450
67558888	STAP1	1108	1510
88131108	ABCG2	2340	2628
24999402	ENKUR	1085	1410
201781107	NAV1	1891	1953
108584520	COL4A5	550	542
27858534	RBKS	994	1349
127943981	MFSD8	1020	1093
66129037	LLPH	562	404
206965821	FCAMR	1580	2139
36894008	STRN	1203	1429
13316574	TBC1D7	650	594
26597977	ABT1	932	466
26199608	HIST1H2BF	899	1091
4069763	FAM217A	708	1047
172555897	SUCO	816	1285
73485895	AFM	1084	1066
206116391	AVPR1B	488	532
56443818	MNS1	2653	2854
59503899	OR4D11	1135	1489
20990594	METTL17	468	291
56074126	RPS20	893	351
94367787	MCTP2	577	450
99731064	CYP3A7-CYP3A51P	1591	1512
99779997	CYP3A4	703	828
7313750	SYT9	924	1115
32953556	CCR4	1166	1463
64616015	CYP7B1	2005	2038
167340151	TTLL2	2578	3450
78118079	PGK1	1717	997
161306752	MPZ	1275	1442
99900985	EML1	1315	1441
74067385	ALDH6A1	990	1163
19806062	ZNF506	902	875
53973604	HOXC11	1278	1035
24748923	PIWIL3	1016	1078
151102964	RPS3A	2815	621
158398976	OR10T2	2165	2599
53254417	TSHZ2	435	583
111912687	TRPC5	1562	1900
32310903	KIF3B	440	703
9938100	CRELD1	1011	1162
229305138	SPHAR	635	800
132588876	RAD50	1364	937
48762584	CEP152	2544	2084
37499841	CCDC167	445	374
64989780	BATF2	809	1089
96208864	SLC25A13	2096	2659
74041731	LRRIQ3	1094	966
35620153	FKBP5	882	1074
7828711	SLC2A14	1158	1212
58211393	ACTR10	715	451
67404319	ETAA1	1296	1272
123630254	EIF2B1	1197	1153
122404319	FAM162A	1207	1210
8097339	EEF1E1	765	694
128335639	RBM28	1842	1045
174303759	CEP44	1101	1094
89113685	TIGD2	1387	1438
63873259	CSH2	1639	1235
78957338	NRXN3	711	712
102175664	PARPBP	1056	1080
NA	Non-Targeting_Control-N1	2247	3276
6197740	RPL22	1363	1153
113759322	CAMK2D	996	1161
48306705	OR4S1	1660	1907
147654261	ACP6	486	593
184732933	EDEM3	1792	1552
29282556	EWSR1	847	466
52238880	IL17F	1230	1469
107558114	COG5	637	505
104491111	CXXC4	868	1016
144074733	OR2A25	1359	1696
145446	DEFB126	636	518
87257668	ZNF292	828	793
50015947	KCNRG	970	962
139259366	UBN2	1487	1071
36815199	PVALB	1197	1401
55598538	SMEK2	1182	1226
1288853	CSF2RA	1350	1534
41907088	C2CD2	1573	1781
179377149	MFN1	1140	1515
44427668	NUDCD3	2084	2166
145827838	TMEM257	1631	2532
100380718	SLC17A8	1311	1251
122303705	FEZF1	843	856
8751483	NXPH1	1446	1690
109781485	MAN2A1	2653	3163
38596193	ANKRD18A	1485	1797
57064687	TMEM194A	854	706
138742713	PIK3CB	1947	2418
200949619	ORC2	1715	1748
7488154	OLFML1	1806	2365
77278836	CCDC146	757	862
116325348	CCDC172	1070	1261
168512408	PALLD	2224	2524
84194968	CEP162	1386	1500
64507873	RGS7BP	1561	1864
17814958	NCAPG	1534	361
48694402	CCNT1	1210	1224
30653465	GTF2E2	1371	1239
54337979	LILRA4	2479	2902
883408	GAK	2346	1215
28113038	ELP3	1597	2021
158804327	DAPL1	1357	1479
59565052	CCDC175	1323	1283
59315307	DAAM1	1294	1219
75265348	GOLGA6C	1593	1160
231187524	LOC149373	719	863
49368470	RHOA	1113	935
219505273	GMPPA	1344	1982
99691138	CYP46A1	2803	2856
125057961	RNF217	1506	1954
42644183	MTA3	857	882
101429914	ALDOB	838	893
133121417	ZNF891	2541	2829
32954067	CCR4	2212	2668
16693171	CTPS2	775	773
NA	Non-Targeting_Control-N2	1591	1598
78589853	CHRNA5	2725	2796
13751287	OFD1	1943	1916
122663471	CADPS2	755	712
172659447	FASLG	775	665
124570402	OR8A1	1915	2243
NA	Non-Targeting_Control-N3	1881	2330
53073606	FBXO9	1032	785
112247467	HECTD4	761	1013
154437717	LOC100144595	1625	1668
111555286	LAYN	2633	2779
48581862	STON1	1569	2152
22409946	SLC39A14	1089	1341
107167690	NUP62CL	3285	4176
103253934	TCEAL8	858	1178
27520052	GABRG3	1790	1443
9961308	GRHL1	1535	2117
41771670	JUP	2103	2749
183897868	RGL1	1461	2060
56466920	OGFOD1	1226	1643
144096428	CYC1	1630	713
7730092	ITIH2	1799	2451
23918572	RPL15	2165	396
99210275	ADH6	2869	3541
93574729	SOCS2	1860	2351
82152347	EFTUD1	1004	1229
153057351	PNMA3	2665	3767
33455815	ZBTB9	1254	1366
100246840	CWF19L1	1255	869
61300236	CLVS1	465	602
53426373	RIBC1	2100	2526
10213330	IRAK2	2188	3079
74515698	TLX2	486	528
47365821	ITFG1	815	955
73297226	RDH10	2926	3642
13043198	FAM9C	1621	1677
94035430	ARL13B	1406	1319
169674607	CCDC173	704	626
106009912	MSANTD4	864	883
75147715	GTF2IRD2B	1821	1518
159018299	IFI16	2658	2515
75391171	GLIPR1L2	558	710
39868549	ZPBP2	309	436
19980710	WDR35	1448	1728
3323964	SLC22A23	1284	1130
58404500	GINS3	475	492
105049244	MRPS9	1953	1188
147644870	JAKMIP2	2186	2212
8515271	CLEC4D	902	843
57529720	MSI2	2262	2867
232540057	CHRNG	2117	2727
139911317	TBXAS1	2153	2308
125816220	UROS	2384	1892
29799325	KIF22	959	1130
77753290	SLAIN1	1438	1731
10495000	AMPD3	1698	1918
101897916	ZMAT1	986	1258
135701708	SLC13A4	1782	2477
134393948	PHF6	1985	2190
123548562	TRDN	1387	1379
47232858	DDB2	1485	1298
227112907	CDC42BPA	996	1158
101783297	NPM3	1189	1137
72470025	RGS6	654	953
69386404	RAD17	1902	1568
103321937	DNAJC2	1153	444
153374571	S100A12	1363	2025
154959466	PYGO2	837	826
130981884	ADGRD1	523	688
24872882	FAM65B	1098	1409
93215237	UBR7	1582	1756
67228372	TMEM208	1247	1647
19933892	EFHB	1600	2380
85077532	KIAA0513	900	760
79082870	BHMT2	2021	2238
134206098	PPP2CA	1785	1877
16568121	SLC35E1	578	659
52681827	TMEM14A	1186	1514
53576902	ZNF331	1852	2289
56525050	ZNF471	642	796
1652470	CDK11B	473	366
130412409	RBMX2	1577	1755
118176388	SCN2B	385	543
57253127	ZNF805	2275	2679
77801504	FAM73A	948	824
76990570	ACER3	637	808
11616949	ZNF627	3341	3375
54214405	PFDN4	1552	1609
28233162	HERC2	2136	1884
128341422	EEFSEC	760	498
31837432	C6orf48	1515	1535
17703204	SMC6	1002	736
36125903	DCLK1	1739	2132
38684414	GLO1	869	1034
4859926	UBN1	1647	1745
185672635	IGF2BP2	1985	2631
52030159	UTP14C	1525	2314
14438235	ATF7IP	2868	2497
65172520	SPDYC	828	833
79064445	RASGRF1	1483	1465
36548166	ZNF529	1619	1582
630957	SHOX	898	1219
98154834	LMTK2	1597	2060
1442197	MICALL2	1958	2454
27055591	BBOX1	747	651
30474827	RBPMS	422	454
15650738	TUSC3	667	644
9522202	RALBP1	777	720
193647116	OPA1	2195	1077
95938008	C10orf131	1324	1561
55161091	GPX8	914	353
120163318	SEC22B	1437	1092
68199616	CALML4	772	774
50863862	TOB1	1237	1219
141292398	PXYLP1	999	1128
99129724	SYNM	488	550
45000740	C10orf25	1200	1027
58470867	ZNF324	2564	2407
141209629	PCDHB12	627	824
5689193	EVC2	1500	2068
140561706	APBB3	1684	1465
146672463	ADGB	1312	1450
99400407	PDAP1	1986	1487
106639610	CXorf57	1539	1967
90013173	ZNF326	607	487
169654107	CCDC173	1242	1363
121328467	ANAPC5	2129	711
15894101	STRAP	1536	844
161284357	PCP4L1	982	939
196939383	NCBP2	1430	737
31615542	AIF1	881	1196
25489929	NINL	925	1131
34890504	APIP	1949	2105
21284289	NCAM2	1954	1983
16257788	SLC15A5	896	838
31950353	PDRG1	1548	1159
24676410	NPAP1	798	1127
34240847	HMGA1	417	320
42163609	GUCA2A	648	555
197420452	SF3B1	3035	1151
52112296	NEK5	2095	2423
32609854	C21orf59	2851	1594
1020824	IDI2	922	1214
41116580	CYP2F1	1363	1458
158420380	OR10K2	1298	1359
11003291	CLEC16A	2816	2853
22318826	POLR3E	2087	109
43595999	STK17A	556	823
69453684	RPLP1	803	292
58129110	ZNF329	1644	1913
105694705	TMEM38B	1997	2585
7375817	CD163L1	1281	1381
34579160	C17orf102	1275	1136
36174802	CCDC169-SOHLH2	1180	1223
78270559	DNAJA4	1499	1669
13021602	KIAA1456	856	1219
98428777	KCNS2	961	1278
48345943	SKAP1	1779	2171
138152227	FAM135B	2024	2320
73478556	PPP3CB	1926	1992
247948915	OR2L8	978	1345
37875547	GDNF-AS1	1249	1848
127000281	DOCK1	711	810
73214255	NAP1L2	1113	1398
17803787	DCAF16	1637	2014
5205809	AKR1C4	1657	2062
42762528	CCDC152	1724	2051
55365171	OR6C75	943	1515
158563438	OR6P1	857	889
201749721	ALS2	1212	1443
44722085	GNPDA2	1203	1072
99722301	CYP3A7	697	863
66129003	LLPH	2058	1502
69309	OR4F5	1663	769
22073790	DMTN	1842	2677
165758855	GALNT3	1069	1520
143991924	GRINA	1124	1088
34684541	ZNF302	2721	2832
77708319	TBCA	1104	1532
49589885	FAM227B	1873	2446
7690517	FCER2	1183	1111
138129443	NME5	1390	1838
162855727	C1orf110	2573	3298
48076917	CBX1	2123	2040
970392	PLEKHN1	1026	1390
39023294	ADAM9	1288	1184
40766791	MRPS31	1462	1442
8811671	PMM2	982	784
115279663	CCDC112	511	619
105648570	ARHGEF38	1024	1129
76983664	PEX2	1294	1243
25616545	NANP	1180	1517
34888303	APIP	466	521
122103600	CD86	680	759
3098165	IL5RA	2042	3090
52406609	ZNF528	1476	1756
NA	Non-Targeting_Control-N4	2026	2107
29693902	GRIK1	561	854
184894198	FAM129A	927	920
46604302	SHCBP1	506	378
55878062	EXOC1	2007	383
94842092	SLC44A3	856	689
57992804	ALDH1A2	1032	1182
70312653	DDX19B	2385	2195
95927271	UGGT2	2102	1869
109149663	FRRS1L	2208	2250
138007054	FAM13B	669	791
63658591	SERPINB3	581	506
178469766	FKBP7	921	742
61088439	KIAA1841	1452	1708
6741661	AGPAT5	2423	2696
32226461	EIF3I	3457	3159
33717412	CD59	2264	2722
56784895	HSD17B6	1517	1149
82399090	METTL25	1969	1855
63640952	SERPINB4	742	872
137892591	PKD2L2	1117	1435
3467459	SPATA22	933	1205
107961973	RAB39A	2451	2407
50096468	C7orf72	848	938
103713720	TMEM31	1378	1819
26354488	PPP2R2A	682	533
39648474	ADAM18	810	647
43495260	PHLDB3	1164	1511
29813689	PRRT2	784	955
47456609	COMMD8	1279	1218
102862257	BIVM-ERCC5	346	288
75879889	UVRAG	1018	1647
NA	Non-Targeting_Control-N5	2544	2991
43781845	C17orf105	754	780
119789943	RPL39	608	242
24155818	CABYR	760	653
94606882	FBP1	1490	975
56232831	OR5T2	2115	2859
227817239	PRSS38	641	450
46651667	RPL10L	634	747
22072518	PRY2	1790	2349
52414013	PHF7	2610	2466
135830791	CT45A7	928	852
69286224	ABCA5	1061	753
113164533	PROZ	579	554
104536576	OR13C3	1273	937
94445140	HIATL1	1148	1123
78892048	CEP295NL	1252	1446
57290919	ZNF460	2616	2659
43078665	DNAJC15	461	392
91325365	AUH	1401	1983
57327924	ZNF543	1393	1326
76384269	CCDC158	2588	2275
15061836	OLAH	1262	1163
49427247	GFY	1310	1428
74155399	TIMM21	2815	3260
54645661	DCD	1778	2005
93922851	PDP1	584	515
63411215	ALG6	794	1069
40202413	BUB1B	518	234
144399460	ZEB2	1250	1364
47503428	NAPA	1822	760
54924529	TRO	1379	1879
27212383	ATRAID	319	260
88431999	ZNF469	862	1133
169949752	UBR3	1411	1398
48230677	CARD8	1091	1130
101156658	AP1S1	489	471
3738922	TJP3	539	427
119559960	CFAP221	1393	1102
117183871	SIDT2	1787	1681
92534594	RBM48	2530	1469
32336749	BRCA2	1702	978
62047906	KHDRBS2	683	1090
31148500	DSC1	658	595
16086971	ABCC1	1309	1536
58031453	OR6Q1	1365	1361
113840622	USP28	1119	1247
100948728	YWHAZ	1215	695
NA	Non-Targeting_Control-N6	2549	3141
102625198	MMP20	1682	1558
102954527	MMP13	724	709
150985707	HMGB3	1662	2120
22273102	ZNF645	1743	1989
125576265	EI24	1159	1055
18797957	ARL6IP1	740	668
197535589	MOB4	1925	1280
113005996	IL36A	1484	1980
45722466	SPINT4	708	856
202961254	CARF	1118	1075
100529571	ANKRD46	1057	972
118045889	RAB11FIP2	548	707
31950314	PDRG1	1094	826
23626007	DRICH1	959	1178
51627871	SIGLEC5	766	966
20548629	CDKAL1	1507	1656
89339390	IFIT3	989	1107
230668683	COG2	1509	2042
24132228	FITM1	554	794
123980774	FER1L6	2307	2072
53391091	FIP1L1	1447	1073
117817544	DDX18	930	249
111233289	ARHGEF7	2192	1957
892310	GET4	720	656
32559020	AVL9	1171	1410
43104324	U2AF1	1439	310
99244115	LYG2	1659	1516
13782575	ESF1	969	522
53050104	OLFM4	2686	3425
170504629	KCNIP1	804	1120
53930103	HSPB11	2016	1762
116250421	TES	1613	1702
222540264	HHIPL2	929	917
33407248	SYT10	923	866
28398282	ZSCAN12	1624	1591
49833432	NEMF	1219	1312
39314886	LRFN1	1809	2695
247157366	ZNF124	1821	2186
190060144	MSTN	898	758
84433374	SUCLG1	1158	966
188569338	GULP1	765	923
25370913	UBE3A	980	1413
50129760	C7orf72	2052	2207
38769654	FREM2	715	838
143971062	FAM72C	931	150
48453034	RB1	2263	2631
201807593	CDK15	2051	2426
129833556	TMEM244	1914	2348
9934821	LZIC	1085	1069
113901740	NHLRC2	2137	2026
183651061	RWDD4	1078	1249
153797505	SSR4	2882	2794
40852268	CARD6	1060	1077
37632264	DDX52	2277	1945
57786287	TSFM	2214	1620
69454860	SLC39A9	1725	1475
102910557	SLC9B1	1608	1883
102463126	TCP11X2	1882	1940
76771866	SCAPER	1438	1775
150848302	IRGM	1285	1634
86116540	PTCD3	3292	1757
161367866	PSMD14	3127	937
63281005	RHOJ	748	540
176410277	CLTB	1534	1767
41727101	GPR82	2153	2068
109092902	TMEM167B	2644	2901
101855158	BANK1	2293	1928
150622396	SELT	714	503
113797943	RSBN1	3180	2984
99884180	AGL	1436	1588
2986807	PTPRA	957	868
70958964	MOB1B	667	648
133153899	GBGT1	1578	1722
32457641	EVA1C	1181	1284
17077175	RPS13	1156	414
42980053	PTGES3L-AARSD1	801	752
41912354	C2CD2	1406	1233
36548251	ZNF529	1401	1425
48156687	TEC	738	699
57779355	ZNF586	813	540
71730100	TMEM2	1211	1265
50289609	IFRD2	2401	2972
93103176	SAMD9	1337	1513
231123619	HTR2B	1348	1293
132604042	RAD50	636	191
23397936	TCEA3	1248	1279
4685051	CDC37L1	1292	1239
70300122	SMC5	1305	924
38914991	FAM114A1	1953	1906
67160544	MAST4	1196	1145
170031891	KIFAP3	1982	1791
150742362	GIMAP1-GIMAP5	1512	1556
18870127	GDF1	1393	1563
26211673	CBX3	1042	1356
38688186	FREM2	1568	1440
181155514	OR2V2	387	316
148282160	SPINK13	1623	1706
103941513	RD3L	815	1010
23338428	SACS	908	906
9931943	VAPA	1692	855
75077558	NMRK1	1359	987
44304248	SLC3A1	2119	2680
10809525	TAS2R9	443	400
23360856	ZNF91	1279	1134
21508466	GOLT1B	1214	1127
14668092	CCDC174	1645	1478
7509566	OLFML1	1462	1440
96551864	CDC14B	1326	1481
52800547	ZNF28	1422	1073
89207016	CH25H	1292	1186
95972610	UGGT2	1345	1508
134637617	ZFAT	2984	3264
178495587	PLEKHA3	1012	1066
125578143	EI24	797	826
37142014	ANKRD30A	1073	1070
7577062	EIF4A1	1404	533
183633135	ARPC5	506	508
49679777	POLE2	2181	1006
74172663	MOB1A	1895	1801
139627664	NMNAT3	1195	1482
10986404	TAS2R50	1735	1102
206960885	CPO	1247	1557
43299701	SLC22A7	1920	1717
122573158	KNTC1	966	240
100243711	CWF19L1	1106	525
39247703	MIA2	1288	1483
33867809	AVEN	1663	1574
96158155	ZNF518A	2048	2218
50079971	MLC1	1963	1947
137654757	DGKI	2139	2227
123060597	HSPA8	2256	1128
109301840	COL25A1	539	797
40657705	KRT222	728	673
136992565	SPOCK1	805	750
39743278	PPIE	1067	839
54610525	FAM151A	2418	1915
89382682	GBP6	1067	1231
68713956	CORO2B	1873	1846
90035975	TRIM49C	1807	1020
20814965	LOC81691	1746	1407
36950360	AATF	1934	1193
145639574	MMAA	1080	1015
247921218	OR2T8	2613	2899
248273615	OR2T33	1081	1355
248681763	OR14I1	2434	3039
16325729	KLF2	930	979
44673242	PATL2	864	1097
158939106	PYHIN1	1	1
151286655	ZNF687	1835	1706
73123708	TMEM171	1142	1267
49516151	PGBD3	1135	1140
118978852	FOXR1	2763	3210
135557558	KHDRBS3	1145	1402
7630599	PET100	1749	1025
94941920	CYP2C9	1998	3060
99929357	GJC3	998	922
75690698	CSPG4	1900	2316
100214857	DBT	885	736
37169657	ANKRD30A	979	717
48577003	HOXB4	384	526
NA	Non-Targeting_Control-N7	3297	3905
58692784	RAD51C	1918	1037
103331427	TCEAL7	2625	2741
67113856	CSPP1	2024	2636
57480659	C14orf105	2324	3172
26033110	EBF2	553	787
96247315	ELK3	1012	1427
179032482	ZNF879	1172	1474
130427662	ADAMTS8	892	1300
62361688	TNFRSF11A	1410	1452
92909483	EXOC6	606	661
65691356	DENND4A	2037	1925
100953186	MUC3A	2291	2712
3559443	ATRN	1398	1639
