sgRNA,Gene,DLD1-Cont3.initial,DLD1-Cont3.final
AAK1_PKc_E2_40.1,AAK1,1652,1106
AAK1_PKc_E3_119.6,AAK1,770,492
AAK1_PKc_E4_109.3,AAK1,798,1583
AAK1_PKc_E5_143.1,AAK1,809,662
AAK1_PKc_E6_122,AAK1,1187,757
AAK1_PKc_E7_82.6,AAK1,1093,701
AATK_PKc_E4_36,AATK,464,831
AATK_PKc_E5_119.11,AATK,1331,1786
AATK_PKc_E6_88.9,AATK,1869,994
AATK_PKc_E7_134.11,AATK,943,501
AATK_PKc_E8_85.7,AATK,2413,2104
AATK_PKc_E9_122.1,AATK,1812,1516
ABL1_PKc_E4_120.11,ABL1,1133,770
ABL1_PKc_E5_85,ABL1,2859,3204
ABL1_PKc_E6_178.11,ABL1,1739,2148
ABL1_PKc_E7_185.15,ABL1,1781,2036
ABL1_PKc_E8_153.18,ABL1,2474,2640
ABL1_PKc_E9_68,ABL1,1758,3668
ABL2_PKc_E10_68.4,ABL2,1075,1960
ABL2_PKc_E5_120.8,ABL2,598,440
ABL2_PKc_E6_85.1,ABL2,1035,614
ABL2_PKc_E7_178.9,ABL2,1280,1775
ABL2_PKc_E8_185,ABL2,727,599
ABL2_PKc_E9_153.7,ABL2,2005,3657
ACVR1_PKc_E10_131,ACVR1,1631,1734
ACVR1_PKc_E11_102.2,ACVR1,1772,1624
ACVR1_PKc_E6_40,ACVR1,1234,1058
ACVR1_PKc_E7_147.15,ACVR1,1356,1022
ACVR1_PKc_E8_276.19,ACVR1,454,70
ACVR1_PKc_E9_198.4,ACVR1,819,904
ACVR1B_PKc_E10_102.5,ACVR1B,813,571
ACVR1B_PKc_E4_193.4,ACVR1B,1155,1237
ACVR1B_PKc_E5_123.4,ACVR1B,1687,1249
ACVR1B_PKc_E6_168.13,ACVR1B,2491,2519
ACVR1B_PKc_E7_157.5,ACVR1B,1812,1688
ACVR1B_PKc_E9_131.14,ACVR1B,1015,924
ACVR1C_PKc_E4_193.16,ACVR1C,1501,1746
ACVR1C_PKc_E5_168.6,ACVR1C,1126,676
ACVR1C_PKc_E6_157.1,ACVR1C,945,850
ACVR1C_PKc_E7_125.7,ACVR1C,771,710
ACVR1C_PKc_E8_131.1,ACVR1C,1788,1835
ACVR1C_PKc_E9_102.6,ACVR1C,2816,3952
ACVR2A_PKc_E10_131.1,ACVR2A,2940,1075
ACVR2A_PKc_E5_87.3,ACVR2A,882,1372
ACVR2A_PKc_E6_144,ACVR2A,357,741
ACVR2A_PKc_E7_146.12,ACVR2A,806,963
ACVR2A_PKc_E8_115.6,ACVR2A,2415,2615
ACVR2A_PKc_E9_139.9,ACVR2A,1617,1308
ACVRL1_PKc_E6_147.3,ACVRL1,1264,1227
ACVRL1_PKc_E6_147.8,ACVRL1,1939,1647
ACVRL1_PKc_E8_198.28,ACVRL1,445,47
ACVRL1_PKc_E8_198.4,ACVRL1,1882,1999
ACVRL1_PKc_E9_131,ACVRL1,688,658
ACVRL1_PKc_E9_131.6,ACVRL1,1460,936
ADCK1_PKc_E5_159.11,ADCK1,1067,1279
ADCK1_PKc_E5_159.31,ADCK1,1139,223
ADCK1_PKc_E6_159.6,ADCK1,860,1059
ADCK1_PKc_E7_117.13,ADCK1,1252,729
ADCK1_PKc_E8_150.18,ADCK1,1388,1815
ADCK1_PKc_E9_99.4,ADCK1,1949,2355
ADCK2_PKc_E1_534.7,ADCK2,913,365
ADCK2_PKc_E3_129.17,ADCK2,1829,1500
ADCK2_PKc_E4_96.5,ADCK2,1058,841
ADCK2_PKc_E6_129.2,ADCK2,504,576
ADCK2_PKc_E7_54,ADCK2,2148,1766
ADCK2_PKc_E8_114.6,ADCK2,1152,1443
ADCK3_PKc_E10_94.9,ADCK3,1723,1990
ADCK3_PKc_E11_142.6,ADCK3,883,821
ADCK3_PKc_E12_108.8,ADCK3,1445,925
ADCK3_PKc_E13_66.1,ADCK3,1321,2350
ADCK3_PKc_E8_141.23,ADCK3,1315,1337
ADCK3_PKc_E9_82.2,ADCK3,2480,3637
ADCK4_PKc_E10_94.6,ADCK4,554,162
ADCK4_PKc_E12_108.1,ADCK4,744,753
ADCK4_PKc_E13_66.2,ADCK4,2007,2091
ADCK4_PKc_E14_87.6,ADCK4,1725,1040
ADCK4_PKc_E8_141.12,ADCK4,1028,739
ADCK4_PKc_E9_82.4,ADCK4,1083,1109
ADCK5_PKc_E10_82.1,ADCK5,1636,1298
ADCK5_PKc_E11_79.1,ADCK5,1649,1390
ADCK5_PKc_E12_52.5,ADCK5,703,381
ADCK5_PKc_E7_114.17,ADCK5,1717,1323
ADCK5_PKc_E8_132.7,ADCK5,1939,1244
ADCK5_PKc_E9_84.2,ADCK5,1551,1068
ADRBK1_PKc_E10_79.2,ADRBK1,1905,1386
ADRBK1_PKc_E11_131.9,ADRBK1,1468,435
ADRBK1_PKc_E12_95.3,ADRBK1,930,512
ADRBK1_PKc_E13_108.17,ADRBK1,2480,2804
ADRBK1_PKc_E8_80.4,ADRBK1,426,134
ADRBK1_PKc_E9_100.8,ADRBK1,1979,1437
