sgRNA,Gene,DLD1-Ts10.21.initial,DLD1-Ts10.21.final
AAK1_PKc_E2_40.1,AAK1,1631,1306
AAK1_PKc_E3_119.6,AAK1,698,343
AAK1_PKc_E4_109.3,AAK1,809,462
AAK1_PKc_E5_143.1,AAK1,867,698
AAK1_PKc_E6_122,AAK1,1254,755
AAK1_PKc_E7_82.6,AAK1,1029,537
AATK_PKc_E4_36,AATK,643,322
AATK_PKc_E5_119.11,AATK,1282,1293
AATK_PKc_E6_88.9,AATK,1741,1557
AATK_PKc_E7_134.11,AATK,888,733
AATK_PKc_E8_85.7,AATK,2075,900
AATK_PKc_E9_122.1,AATK,1992,1270
ABL1_PKc_E4_120.11,ABL1,1218,859
ABL1_PKc_E5_85,ABL1,3018,2617
ABL1_PKc_E6_178.11,ABL1,1579,800
ABL1_PKc_E7_185.15,ABL1,1874,1729
ABL1_PKc_E8_153.18,ABL1,2527,2329
ABL1_PKc_E9_68,ABL1,1954,1724
ABL2_PKc_E10_68.4,ABL2,1049,903
ABL2_PKc_E5_120.8,ABL2,533,290
ABL2_PKc_E6_85.1,ABL2,1026,541
ABL2_PKc_E7_178.9,ABL2,1415,1249
ABL2_PKc_E8_185,ABL2,700,490
ABL2_PKc_E9_153.7,ABL2,2152,2446
ACVR1_PKc_E10_131,ACVR1,1656,1573
ACVR1_PKc_E11_102.2,ACVR1,1890,889
ACVR1_PKc_E6_40,ACVR1,1314,980
ACVR1_PKc_E7_147.15,ACVR1,1308,1010
ACVR1_PKc_E8_276.19,ACVR1,410,58
ACVR1_PKc_E9_198.4,ACVR1,821,787
ACVR1B_PKc_E10_102.5,ACVR1B,733,1042
ACVR1B_PKc_E4_193.4,ACVR1B,1083,1167
ACVR1B_PKc_E5_123.4,ACVR1B,1664,1513
ACVR1B_PKc_E6_168.13,ACVR1B,2663,1726
ACVR1B_PKc_E7_157.5,ACVR1B,1751,1596
ACVR1B_PKc_E9_131.14,ACVR1B,1052,813
ACVR1C_PKc_E4_193.16,ACVR1C,1409,845
ACVR1C_PKc_E5_168.6,ACVR1C,1099,870
ACVR1C_PKc_E6_157.1,ACVR1C,906,1398
ACVR1C_PKc_E7_125.7,ACVR1C,711,554
ACVR1C_PKc_E8_131.1,ACVR1C,1847,1378
ACVR1C_PKc_E9_102.6,ACVR1C,2863,2454
ACVR2A_PKc_E10_131.1,ACVR2A,2654,1872
ACVR2A_PKc_E5_87.3,ACVR2A,849,764
ACVR2A_PKc_E6_144,ACVR2A,391,275
ACVR2A_PKc_E7_146.12,ACVR2A,886,756
ACVR2A_PKc_E8_115.6,ACVR2A,2435,2659
ACVR2A_PKc_E9_139.9,ACVR2A,1533,1239
ACVRL1_PKc_E6_147.3,ACVRL1,1131,993
ACVRL1_PKc_E6_147.8,ACVRL1,1860,1403
ACVRL1_PKc_E8_198.28,ACVRL1,462,354
ACVRL1_PKc_E8_198.4,ACVRL1,2040,1565
ACVRL1_PKc_E9_131,ACVRL1,631,1009
ACVRL1_PKc_E9_131.6,ACVRL1,1458,1801
ADCK1_PKc_E5_159.11,ADCK1,1035,1898
ADCK1_PKc_E5_159.31,ADCK1,1106,668
ADCK1_PKc_E6_159.6,ADCK1,659,982
ADCK1_PKc_E7_117.13,ADCK1,1189,991
ADCK1_PKc_E8_150.18,ADCK1,1503,1236
ADCK1_PKc_E9_99.4,ADCK1,2175,1601
ADCK2_PKc_E1_534.7,ADCK2,826,468
ADCK2_PKc_E3_129.17,ADCK2,1724,1060
ADCK2_PKc_E4_96.5,ADCK2,951,515
ADCK2_PKc_E6_129.2,ADCK2,530,457
ADCK2_PKc_E7_54,ADCK2,2110,1007
ADCK2_PKc_E8_114.6,ADCK2,1162,1475
ADCK3_PKc_E10_94.9,ADCK3,1727,1114
ADCK3_PKc_E11_142.6,ADCK3,1287,1396
ADCK3_PKc_E12_108.8,ADCK3,1264,1311
ADCK3_PKc_E13_66.1,ADCK3,1405,901
ADCK3_PKc_E8_141.23,ADCK3,1315,1025
ADCK3_PKc_E9_82.2,ADCK3,2724,2386
ADCK4_PKc_E10_94.6,ADCK4,653,530
ADCK4_PKc_E12_108.1,ADCK4,612,350
ADCK4_PKc_E13_66.2,ADCK4,1901,618
ADCK4_PKc_E14_87.6,ADCK4,1834,1701
ADCK4_PKc_E8_141.12,ADCK4,1133,854
ADCK4_PKc_E9_82.4,ADCK4,1038,1227
ADCK5_PKc_E10_82.1,ADCK5,1511,1439
ADCK5_PKc_E11_79.1,ADCK5,1636,1069
ADCK5_PKc_E12_52.5,ADCK5,861,505
ADCK5_PKc_E7_114.17,ADCK5,1760,1176
ADCK5_PKc_E8_132.7,ADCK5,1760,2337
ADCK5_PKc_E9_84.2,ADCK5,1521,1192
ADRBK1_PKc_E10_79.2,ADRBK1,1916,1334
ADRBK1_PKc_E11_131.9,ADRBK1,1295,1263
ADRBK1_PKc_E12_95.3,ADRBK1,981,1147
ADRBK1_PKc_E13_108.17,ADRBK1,2654,2429
ADRBK1_PKc_E8_80.4,ADRBK1,527,219
ADRBK1_PKc_E9_100.8,ADRBK1,1896,2121
ADRBK2_PKc_E10_79.5,ADRBK2,279,253
ADRBK2_PKc_E11_131.8,ADRBK2,1530,1706
ADRBK2_PKc_E12_95.1,ADRBK2,2406,1512
ADRBK2_PKc_E13_108.5,ADRBK2,1455,1052
ADRBK2_PKc_E8_92.2,ADRBK2,941,851
ADRBK2_PKc_E9_100.2,ADRBK2,2363,2357
AK1_PKc_E3_28,AK1,1609,1106
AK1_PKc_E3_28.1,AK1,899,551
AK1_PKc_E4_164.19,AK1,2048,1351
AK1_PKc_E4_164.27,AK1,3289,3039
AK1_PKc_E5_117.13,AK1,1436,977
AK1_PKc_E5_117.2,AK1,1067,1129
AK2_PKc_E6_159,AK2,1669,719
AK2_PKc_E6_159.16,AK2,1576,363
AK2_PKc_E6_159.17,AK2,800,982
AK2_PKc_E6_159.19,AK2,1443,1307
AK2_PKc_E6_159.21,AK2,1336,579
AK2_PKc_E6_159.6,AK2,9,5
AK3_PKc_E1_127.14,AK3,1933,1146
AK3_PKc_E1_127.18,AK3,1013,727
AK3_PKc_E2_120.3,AK3,1969,1345
AK3_PKc_E3_173.2,AK3,1351,1192
AK3_PKc_E4_119.7,AK3,1329,750
AK3_PKc_E5_40,AK3,442,101
AKT1_PKc_E10_129.13,AKT1,1423,863
AKT1_PKc_E5_66.5,AKT1,865,639
AKT1_PKc_E6_132.15,AKT1,1026,374
AKT1_PKc_E7_66.3,AKT1,925,766
AKT1_PKc_E8_69.2,AKT1,1951,1043
AKT1_PKc_E9_126.3,AKT1,1061,425
AKT2_PKc_E10_129.1,AKT2,857,651
AKT2_PKc_E11_215.3,AKT2,418,494
AKT2_PKc_E6_120.14,AKT2,1206,737
AKT2_PKc_E7_66.3,AKT2,747,334
AKT2_PKc_E8_69.8,AKT2,2821,1618
AKT2_PKc_E9_123.8,AKT2,1584,1004
AKT3_PKc_E10_215.1,AKT3,410,633
AKT3_PKc_E4_36,AKT3,1329,1125
AKT3_PKc_E5_132.2,AKT3,1703,1669
AKT3_PKc_E7_69.7,AKT3,2587,2187
AKT3_PKc_E8_123.3,AKT3,2268,2280
AKT3_PKc_E9_129.5,AKT3,1549,1297
ALK_PKc_E20_35,ALK,2146,1258
ALK_PKc_E21_91.12,ALK,388,254
ALK_PKc_E22_65.1,ALK,829,734
ALK_PKc_E23_130,ALK,3100,3431
ALK_PKc_E24_98.8,ALK,1931,1857
ALK_PKc_E25_93.7,ALK,2464,1901
