sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final,test2,test3,DLD1-Ts4.final_recalculate
ZNF521_E4_276.4,ZNF521,1482,2728,1246,1246,1246
SETD1B_e17_118.2,SETD1B,3518,8339,4821,4821,4821
ZNF717_E5_1770.65,ZNF717,2790,5708,2918,2918,2918
HP_1221.43,HP,2296,4984,2688,2688,2688
MID1_2004.245,MID1,1052,2552,1500,1500,1500
NFATC4_E5_200.4,NFATC4,2309,4842,2533,2533,2533
ZNF253_E4_828.54,ZNF253,2922,9897,6975,6975,6975
ZNF619_E6_732.57,ZNF619,1472,1863,391,391,391
LTK_PKc_E12_91.7,LTK,1372,2476,1104,1104,1104
SETDB2_e14_89.4,SETDB2,1775,4144,2369,2369,2369
SOX10_E3_91.6,SOX10,2650,6624,3974,3974,3974
ZNF600_E3_1785.112,ZNF600,2786,5344,2558,2558,2558
PIAS4_E9_132.2,PIAS4,3777,6422,2645,2645,2645
PIAS4_1533.71,PIAS4,3777,6422,2645,2645,2645
MEIS2_E9_77.4,MEIS2,1672,3114,1442,1442,1442
ZIC3_E1_118.19,ZIC3,555,1075,520,520,520
ZNF112_E5_1077.55,ZNF112,1337,2667,1330,1330,1330
ZNF367_E3_53.3,ZNF367,2557,6411,3854,3854,3854
UBE2V2_438.7,UBE2V2,695,1362,667,667,667
RHBDF2_2571.26,RHBDF2,810,1237,427,427,427
DDB1_3423.28,DDB1,727,806,79,79,79
KLHL34_BTB19126_E1_1935.403,KLHL34,538,1158,620,620,620
DIDO1_Phd_E4_118.8,DIDO1,672,909,237,237,237
DCAF6_2856.232,DCAF6,969,1697,728,728,728
PCGF2_1035.12,PCGF2,1046,2207,1161,1161,1161
HOXA1_E2_168.1,HOXA1,1516,3357,1841,1841,1841
ZNF77_E4_834.85,ZNF77,1572,3225,1653,1653,1653
CDK2_PKc_E3_121.2,CDK2,509,631,122,122,122
TFEB_E7_76.0,TFEB,4184,8922,4738,4738,4738
ZNF367_E2_31.0,ZNF367,855,1551,696,696,696
KAT2B_BD_e18_190.12,KAT2B,936,1679,743,743,743
ZNF549_E4_1143.10,ZNF549,3398,8577,5179,5179,5179
KCNA5_BTB122213_E1_1842.351,KCNA5,1235,1559,324,324,324
MMP8_1404.114,MMP8,1811,4055,2244,2244,2244
ZNF574_E2_1602.35,ZNF574,1694,2942,1248,1248,1248
AZU1_756.19,AZU1,1965,4377,2412,2412,2412
GRHL2_E8_95.0,GRHL2,1026,2001,975,975,975
neg39,neg39,6713,13213,6500,6500,6500
TIP60_e10_94.0,TIP60,8341,14702,6361,6361,6361
RNF113B_969.116,RNF113B,1426,2171,745,745,745
SMARCA4_HELIC_e25.2,SMARCA4,25202,54315,29113,29113,29113
ZNF131_BTB24129_E1_1770.135,ZNF131,1372,1605,233,233,233
TRPS1_E7_69.1,TRPS1,1277,2879,1602,1602,1602
SMARCC1_Chromo_E7_70.3,SMARCC1,1286,2057,771,771,771
SOCS7_1746.171,SOCS7,358,866,508,508,508
KDM4C_tudor935990_E1_3171.194,KDM4C,954,1878,924,924,924
FBXO11_2784.155,FBXO11,848,1064,216,216,216
PKN3_PKc_E18_77.5,PKN3,703,962,259,259,259
ZNF276_E2_231.7,ZNF276,1214,2143,929,929,929
FBXO34_2136.163,FBXO34,1034,1711,677,677,677
DCAF17_1362.91,DCAF17,1243,3880,2637,2637,2637
ZNF688_E3_153.5,ZNF688,841,1196,355,355,355
CDKL2_PKc_E5_113.6,CDKL2,240,278,38,38,38
ADAMTS14_3681.98,ADAMTS14,1199,1917,718,718,718
LEUTX_E2_73.1,LEUTX,2749,5998,3249,3249,3249
ZSCAN10_E6_1281.169,ZSCAN10,2099,3058,959,959,959
ABL1_PKc_E9_68,ABL1,914,1883,969,969,969
STK3_PKc_E4_41,STK3,704,1167,463,463,463
DZIP3_3627.150,DZIP3,2890,6524,3634,3634,3634
RNF34_1122.98,RNF34,1076,1439,363,363,363
BNC2_E6_176.7,BNC2,1673,4057,2384,2384,2384
MORF_e14_210.22,MORF,860,1558,698,698,698
FOXD4_E1_234.40,FOXD4,1178,2515,1337,1337,1337
MYT1_E10_114.1,MYT1,1905,4057,2152,2152,2152
CAPN2_2103.67,CAPN2,1139,1786,647,647,647
TULP1_E10_108.16,TULP1,2603,6721,4118,4118,4118
POLR2A_e2.2,POLR2A,2890,3604,714,714,714
ERBB4_PKc_E20_186.2,ERBB4,871,1681,810,810,810
TRRAP_PKc_E71_195,TRRAP,745,732,-13,13,13
DDB1_3423.305,DDB1,1622,2350,728,728,728
MORF_e12_162.8,MORF,2842,5306,2464,2464,2464
ADAMTS8_2670.123,ADAMTS8,1367,2569,1202,1202,1202
BHLHE40_E3_108.9,BHLHE40,510,847,337,337,337
PSEN1_1404.131,PSEN1,2061,4483,2422,2422,2422
ZNF770_E3_1944.67,ZNF770,1865,2808,943,943,943
TBX15_E6_63.0,TBX15,2915,4434,1519,1519,1519
WHSC1_PWWP218337_E1_4098.534,WHSC1,1054,2473,1419,1419,1419
ZNF280D_E12_101.1,ZNF280D,1841,3755,1914,1914,1914
RNF41_954.9,RNF41,1447,3132,1685,1685,1685
RFFL_1092.87,RFFL,885,2004,1119,1119,1119
TBX21_E3_122.0,TBX21,1548,2731,1183,1183,1183
STK31_PKc_E20_84,STK31,981,2498,1517,1517,1517
CBX2_Chromo_E1_42.2,CBX2,876,2020,1144,1144,1144
VPS41_2565.173,VPS41,1836,3883,2047,2047,2047
KDM8_e4_133.7,KDM8,2745,4920,2175,2175,2175
SPPL2A_1563.54,SPPL2A,1334,1845,511,511,511
NRF1_E7_87.6,NRF1,1250,1665,415,415,415
DDIT3_E4_192.22,DDIT3,1008,1410,402,402,402
FAP_2283.129,FAP,2597,6029,3432,3432,3432
CNDP1_1524.43,CNDP1,1601,2969,1368,1368,1368
VPS11_2825.273,VPS11,1510,1903,393,393,393
SOCS3_678.21,SOCS3,564,845,281,281,281
ZFP30_E6_1074.18,ZFP30,1077,2464,1387,1387,1387
RCOR3_E11_92.1,RCOR3,2623,5647,3024,3024,3024
RCOR3_SANT2_E11_101.1,RCOR3,2623,5647,3024,3024,3024
USP17L10_1593.147,USP17L10,1298,1598,300,300,300
PDK1_PKc_E2_142.3,PDK1,1316,2880,1564,1564,1564
NEDD4_3960.104,NEDD4,1099,2117,1018,1018,1018
SMARCA4_HELIC_e25.1,SMARCA4,11706,14834,3128,3128,3128
BRPF1_ePhd_E3_363.44,BRPF1,389,669,280,280,280
RSPRY1_1731.64,RSPRY1,407,757,350,350,350
neg8,neg8,11574,24956,13382,13382,13382
RHOBTB1_BTB476581_E1_2091.176,RHOBTB1,411,780,369,369,369
ALG13_51.4,ALG13,958,2570,1612,1612,1612
SIRT4_e4_158.10,SIRT4,820,1718,898,898,898
RNF133_1131.13,RNF133,1157,3106,1949,1949,1949
PAX5_E2_166.9,PAX5,873,1979,1106,1106,1106
HOXB9_E2_177.12,HOXB9,1357,2463,1106,1106,1106
neg46,neg46,5509,12835,7326,7326,7326
TFDP2_E9_108.0,TFDP2,6940,12330,5390,5390,5390
PHF14_ePhd_E8_39.0,PHF14,1284,2480,1196,1196,1196
ZNF581_E2_246.42,ZNF581,2329,5938,3609,3609,3609
ZNF527_E5_831.41,ZNF527,5480,8924,3444,3444,3444
STAT6_E13_207.12,STAT6,1103,1729,626,626,626
MTF2_tudor4595_E1_1782.11,MTF2,963,1619,656,656,656
ZBTB18_E2_69.0,ZBTB18,1272,2432,1160,1160,1160
CTSH_1008.87,CTSH,2451,5000,2549,2549,2549
GZF1_BTB21133_E1_2136.3,GZF1,1185,2685,1500,1500,1500
RFPL3_954.120,RFPL3,1947,3968,2021,2021,2021
FOXO6_E1_153.2,FOXO6,1603,3006,1403,1403,1403
NEDD4_3960.299,NEDD4,1335,2654,1319,1319,1319
PRKX_PKc_E1_52.2,PRKX,514,1190,676,676,676
TRIM69_1503.154,TRIM69,1781,3386,1605,1605,1605
ASB13_837.31,ASB13,2004,4469,2465,2465,2465
TRIM24_BD_e19_86.2,TRIM24,1607,2376,769,769,769
SIX3_E1_147.5,SIX3,694,1209,515,515,515
ZNF71_E3_1110.131,ZNF71,1600,3156,1556,1556,1556
ZXDA_E1_384.9,ZXDA,1070,1704,634,634,634
TAOK1_PKc_E2_129.8,TAOK1,450,695,245,245,245
NFX1_E10_98.3,NFX1,2899,6297,3398,3398,3398
NFX1_3366.289,NFX1,2899,6297,3398,3398,3398
HES4_E2_75.7,HES4,1538,3317,1779,1779,1779
DSTYK_PKc_E11_115.6,DSTYK,921,2427,1506,1506,1506
DPF1_Phd2_E11_82.6,DPF1,1236,2097,861,861,861
PAK4_PKc_E8_126.5,PAK4,1084,1976,892,892,892
MAZ_E2_78.0,MAZ,1443,2585,1142,1142,1142
HMGB1_E2_135.8,HMGB1,760,826,66,66,66
ZBTB33_E3_657.35,ZBTB33,1325,2752,1427,1427,1427
