sgRNA,Gene,DLD1-Ts8.initial,DLD1-Ts8.final
TMPRSS11B_1251.35,TMPRSS11B,7534,7597
ZNF212_E5_66.0,ZNF212,4773,5865
PBX1_E5_136.9,PBX1,4604,4979
NFATC3_E4_200.2,NFATC3,3683,4927
EN1_E2_180.21,EN1,2715,2724
PBRM1_Bah11301248_E1_4749.15,PBRM1,2627,1768
CUL3_2325.14,CUL3,2564,264
NR2E3_E3_104.11,NR2E3,1578,2223
ZIC5_E1_118.17,ZIC5,2224,1843
HSFX2_E1_273.12,HSFX2,4438,5113
DPP8_2697.102,DPP8,3096,3247
PRSS36_2568.161,PRSS36,2337,3796
neg40,neg40,10577,14817
KCNA6_BTB43134_E1_1590.318,KCNA6,894,886
KDM4A_tudor897953_E1_3195.183,KDM4A,927,879
MEP1A_2241.272,MEP1A,1456,1611
ADNP_E6_126.5,ADNP,4575,4816
ZNF639_E7_747.3,ZNF639,3532,4274
LONP2_2559.228,LONP2,2282,2890
ZBTB20_BTB94196_E1_2226.15,ZBTB20,1927,2060
HSF1_E2_109.1,HSF1,2459,816
ZNF563_E4_579.27,ZNF563,1651,1876
SPOPL_BTB190297_E1_1179.38,SPOPL,2496,3540
SEC11A_558.29,SEC11A,1717,1905
ATF2_E12_133.0,ATF2,4452,4439
KDM4B_e9_96.5,KDM4B,900,758
ESX1_E2_89.2,ESX1,1185,1299
ZNF354A_E5_1209.10,ZNF354A,2330,2490
LACTB_1644.113,LACTB,1301,1576
POU4F3_E2_177.2,POU4F3,2236,2733
TRIM59_1212.9,TRIM59,3386,2781
USP16_2472.82,USP16,1179,864
SKP2_1275.27,SKP2,2434,1037
ZNF382_E5_765.86,ZNF382,1107,908
NHLRC1_1188.6,NHLRC1,1102,897
LMX1B_E4_84.10,LMX1B,2688,2712
UBE2G1_513.45,UBE2G1,1414,1384
ADAMTS14_3681.674,ADAMTS14,3119,3942
KDM4C_e8_96.5,KDM4C,5260,4351
NPEPL1_1572.48,NPEPL1,615,653
AMBRA1_3906.692,AMBRA1,2815,4146
ZNF317_E7_1077.34,ZNF317,1354,1105
MPND_1416.239,MPND,1304,1367
ZNF541_E12_78.2,ZNF541,3188,3155
RFX7_E4_101.10,RFX7,1054,1455
KDM5A_e12_163.8,KDM5A,2386,2085
ZNF302_E6_495.11,ZNF302,3457,4402
ZCWPW1_CW256303_E1_1947.6,ZCWPW1,1226,1267
NR1D1_E5_248.53,NR1D1,3597,4062
NKX6_1_E2_135.11,NKX6,3475,3372
ZNF219_E5_38.1,ZNF219,4024,3539
SUV39H1_Chromo_E3_108.1,SUV39H1,461,593
ENDOU_1233.68,ENDOU,3353,4218
RPS6KA1_PKc2_E17_159,RPS6KA1,993,764
SHPRH_H_e27_179.16,SHPRH,3371,3371
F7_1401.96,F7,1595,1351
ASCL2_E2_126.8,ASCL2,958,727
neg18,neg18,9520,13276
HKR1_E6_1070.123,HKR1,3324,3418
FBXL12_981.10,FBXL12,779,469
ANKIB1_3270.274,ANKIB1,2680,2767
ASB6_1266.113,ASB6,1065,957
KLHL20_BTB59165_E1_1830.197,KLHL20,1570,1697
ZNF25_E6_930.61,ZNF25,4935,5604
TMPRSS4_1314.63,TMPRSS4,1864,2235
MLL5_e13_110.2,MLL5,4812,6798
NFKB1_E5_99.3,NFKB1,3132,3986
