sgRNA,Gene,DLD1_Ts3.12.17_D0,DLD1_Ts3.12.17_D10
AAK1_PKc_E2_40.1,AAK1,642,749
AAK1_PKc_E3_119.6,AAK1,195,370
AAK1_PKc_E4_109.3,AAK1,309,543
AAK1_PKc_E5_143.1,AAK1,346,395
AAK1_PKc_E6_122,AAK1,450,772
AAK1_PKc_E7_82.6,AAK1,374,655
AATK_PKc_E4_36,AATK,224,331
AATK_PKc_E5_119.11,AATK,497,627
AATK_PKc_E6_88.9,AATK,747,1146
AATK_PKc_E7_134.11,AATK,385,411
AATK_PKc_E8_85.7,AATK,796,973
AATK_PKc_E9_122.1,AATK,661,829
ABL1_PKc_E4_120.11,ABL1,435,604
ABL1_PKc_E5_85,ABL1,1163,1739
ABL1_PKc_E6_178.11,ABL1,541,814
ABL1_PKc_E7_185.15,ABL1,655,1044
ABL1_PKc_E8_153.18,ABL1,995,1377
ABL1_PKc_E9_68,ABL1,716,1188
ABL2_PKc_E10_68.4,ABL2,344,535
ABL2_PKc_E5_120.8,ABL2,158,221
ABL2_PKc_E6_85.1,ABL2,380,586
ABL2_PKc_E7_178.9,ABL2,488,795
ABL2_PKc_E8_185,ABL2,300,607
ABL2_PKc_E9_153.7,ABL2,956,1291
ACVR1_PKc_E10_131,ACVR1,675,1171
ACVR1_PKc_E11_102.2,ACVR1,650,886
ACVR1_PKc_E6_40,ACVR1,456,690
ACVR1_PKc_E7_147.15,ACVR1,523,692
ACVR1_PKc_E8_276.19,ACVR1,192,252
ACVR1_PKc_E9_198.4,ACVR1,375,612
ACVR1B_PKc_E10_102.5,ACVR1B,283,442
ACVR1B_PKc_E4_193.4,ACVR1B,376,689
ACVR1B_PKc_E5_123.4,ACVR1B,719,1007
ACVR1B_PKc_E6_168.13,ACVR1B,946,1062
ACVR1B_PKc_E7_157.5,ACVR1B,685,933
ACVR1B_PKc_E9_131.14,ACVR1B,433,693
ACVR1C_PKc_E4_193.16,ACVR1C,429,758
ACVR1C_PKc_E5_168.6,ACVR1C,432,556
ACVR1C_PKc_E6_157.1,ACVR1C,394,590
ACVR1C_PKc_E7_125.7,ACVR1C,249,415
ACVR1C_PKc_E8_131.1,ACVR1C,792,1058
ACVR1C_PKc_E9_102.6,ACVR1C,1006,1271
ACVR2A_PKc_E10_131.1,ACVR2A,1014,1497
ACVR2A_PKc_E5_87.3,ACVR2A,237,468
ACVR2A_PKc_E6_144,ACVR2A,146,219
ACVR2A_PKc_E7_146.12,ACVR2A,367,502
ACVR2A_PKc_E8_115.6,ACVR2A,947,1314
ACVR2A_PKc_E9_139.9,ACVR2A,715,1004
ACVRL1_PKc_E6_147.3,ACVRL1,458,708
ACVRL1_PKc_E6_147.8,ACVRL1,654,907
ACVRL1_PKc_E8_198.28,ACVRL1,194,277
ACVRL1_PKc_E8_198.4,ACVRL1,698,1275
ACVRL1_PKc_E9_131,ACVRL1,326,450
ACVRL1_PKc_E9_131.6,ACVRL1,638,818
ADCK1_PKc_E5_159.11,ADCK1,406,679
ADCK1_PKc_E5_159.31,ADCK1,477,566
ADCK1_PKc_E6_159.6,ADCK1,276,621
ADCK1_PKc_E7_117.13,ADCK1,450,580
ADCK1_PKc_E8_150.18,ADCK1,495,634
ADCK1_PKc_E9_99.4,ADCK1,802,982
ADCK2_PKc_E1_534.7,ADCK2,235,207
ADCK2_PKc_E3_129.17,ADCK2,547,818
ADCK2_PKc_E4_96.5,ADCK2,350,645
ADCK2_PKc_E6_129.2,ADCK2,219,330
ADCK2_PKc_E7_54,ADCK2,745,955
ADCK2_PKc_E8_114.6,ADCK2,418,639
