sgRNA,Gene,Ts13.initial,Ts13.final
49066497,RHEBL1,2431,2547
102195599,CUX1,4407,5291
72936062,KCNB2,1887,2377
55546875,PYGO1,664,816
27773394,STX12,2266,1465
57470349,GLI1,1764,1742
33626266,LARGE,2268,2766
33963999,SLC45A2,2501,3331
93793330,LGI1,1329,1398
2698365,CLUH,1795,1081
38978079,HTRA4,2910,3231
98176778,RNF113B,1094,1112
52393506,ORC1,776,273
21057054,ZNF430,1140,1553
178828298,KCNMB2,2623,3054
124461934,LHPP,2247,2822
63237989,BIRC7,1191,1184
5778492,OR52N5,1382,2813
22514811,ZNF280A,1731,2332
20502125,MUL1,1214,1216
71630561,DACH1,1100,1056
40115414,LRRC4C,1242,1853
77708164,SLIRP,832,252
48835814,HSD17B14,1807,1492
11285659,UBIAD1,1522,2298
38803527,LGALS4,1656,2149
98310472,BAIAP2L1,1714,2600
127614990,PAX4,973,1376
127575987,TPRA1,959,1090
42722137,PRPH2,1093,1261
9380811,ZNF177,856,828
39879409,DAAM2,1588,1427
50446867,FIGNL1,1147,862
151134552,AGAP3,1002,986
47681826,ADGRF2,2381,2028
133006764,ZCCHC10,2120,2706
63006645,BHLHE23,616,593
75288317,GOLGA6D,2132,1980
47275019,INAFM1,1208,761
49295391,PRPH,1134,1736
133547173,ADAMTSL2,940,1557
41440762,KRT38,380,611
76733211,METTL23,1020,1278
140281514,PFDN1,1762,2236
13345178,PRAMEF14,972,734
65065222,RASL12,1283,1486
,Non-Targeting_Control-N202,3545,5249
100097608,EVL,1092,1085
102361749,GBF1,1987,612
33099335,RP9,1202,1661
248813042,SH3BP5L,842,567
114324551,CHAMP1,2414,2112
27312604,STK38L,821,1091
153905729,AVPR2,2101,2123
71088511,HYDIN,1703,1451
81642414,TSPAN10,2607,2510
62376765,ZNF365,1842,907
62666509,METTL12,761,329
240895517,C2orf54,1210,1593
57615291,ARHGEF25,2446,2506
127709679,C9orf117,2359,2694
79513561,LCA5,689,1102
21527778,SPX,477,598
25161721,POMC,2894,3088
160816704,LY9,2068,2970
85661442,GSE1,634,617
68489474,DEPDC1,1655,1863
20774896,LDAH,1335,1267
3289431,ZNF263,2533,1676
62241179,RTKN2,1247,751
45783860,SIAH3,1432,1030
57556846,PDE12,1493,51
235744783,AGAP1,2414,2489
55146226,FAM104B,2058,2643
21198676,TMEM11,1306,809
226796964,IRS1,1401,2045
,Non-Targeting_Control-N234,3103,4135
,Non-Targeting_Control-N214,3204,4811
6165988,ACSBG2,1302,1500
39730225,MIEN1,1680,1670
86101937,MAPK10,2436,2493
42553439,HSD17B1,578,479
57687283,ZNF551,2630,3465
219477735,SPEG,460,616
10909169,TAS2R13,2208,2648
8977575,MUC16,1639,1506
80415696,ENDOV,2173,2270
35719843,KMT2B,1978,2314
112408504,ACSL5,2370,1752
55839015,OR5D16,704,619
154333258,DCHS2,1574,1706
34684760,ZNF302,2196,3573
72461129,ZNF366,1104,1561
90726789,CDK14,1895,2406
132747853,CCNI2,1929,2142
11664446,ARHGAP6,1886,2598
132859181,CHFR,895,1401
116096672,GFRA1,1310,1364
137956616,LOC100130880,2014,2322
57773089,METTL21B,1963,2839
125585723,MAPKAP1,1152,880
64222048,C12orf66,1148,1509
7580122,CD68,420,578
72067666,SPOCK2,1754,2705
2646714,FAM193A,2533,3213
45630888,WFDC10A,1036,1422
23568267,CST9L,2591,4548
196716873,PIGX,1759,2271
248348903,OR14C36,1564,1340
94899399,CNN3,2808,4134
161154159,AGPAT4,1123,983
43966078,ZNF221,2242,2909
200493273,KCTD18,2553,2887
45512823,SPINT3,645,650
150680801,ERICH6,2715,2796
