sgRNA,Gene,DLD1__Ts2.8_D0,DLD1__Ts2.8_D10
AAK1_PKc_E2_40.1,AAK1,782,880
AAK1_PKc_E3_119.6,AAK1,304,272
AAK1_PKc_E4_109.3,AAK1,407,456
AAK1_PKc_E5_143.1,AAK1,359,401
AAK1_PKc_E6_122,AAK1,493,578
AAK1_PKc_E7_82.6,AAK1,525,561
AATK_PKc_E4_36,AATK,314,98
AATK_PKc_E5_119.11,AATK,546,689
AATK_PKc_E6_88.9,AATK,910,1092
AATK_PKc_E7_134.11,AATK,442,551
AATK_PKc_E8_85.7,AATK,849,807
AATK_PKc_E9_122.1,AATK,841,624
ABL1_PKc_E4_120.11,ABL1,503,546
ABL1_PKc_E5_85,ABL1,1414,1825
ABL1_PKc_E6_178.11,ABL1,801,1276
ABL1_PKc_E7_185.15,ABL1,841,1093
ABL1_PKc_E8_153.18,ABL1,1192,1685
ABL1_PKc_E9_68,ABL1,1021,992
ABL2_PKc_E10_68.4,ABL2,486,495
ABL2_PKc_E5_120.8,ABL2,250,228
ABL2_PKc_E6_85.1,ABL2,508,482
ABL2_PKc_E7_178.9,ABL2,665,758
ABL2_PKc_E8_185,ABL2,384,379
ABL2_PKc_E9_153.7,ABL2,1077,1539
ACVR1_PKc_E10_131,ACVR1,889,932
ACVR1_PKc_E11_102.2,ACVR1,761,973
ACVR1_PKc_E6_40,ACVR1,648,737
ACVR1_PKc_E7_147.15,ACVR1,687,812
ACVR1_PKc_E8_276.19,ACVR1,230,288
ACVR1_PKc_E9_198.4,ACVR1,422,662
ACVR1B_PKc_E10_102.5,ACVR1B,329,621
ACVR1B_PKc_E4_193.4,ACVR1B,527,703
ACVR1B_PKc_E5_123.4,ACVR1B,857,949
ACVR1B_PKc_E6_168.13,ACVR1B,1138,1096
ACVR1B_PKc_E7_157.5,ACVR1B,774,872
ACVR1B_PKc_E9_131.14,ACVR1B,560,442
ACVR1C_PKc_E4_193.16,ACVR1C,582,768
ACVR1C_PKc_E5_168.6,ACVR1C,574,565
ACVR1C_PKc_E6_157.1,ACVR1C,544,723
ACVR1C_PKc_E7_125.7,ACVR1C,334,561
ACVR1C_PKc_E8_131.1,ACVR1C,869,1426
ACVR1C_PKc_E9_102.6,ACVR1C,1255,1550
ACVR2A_PKc_E10_131.1,ACVR2A,1200,1424
ACVR2A_PKc_E5_87.3,ACVR2A,387,542
ACVR2A_PKc_E6_144,ACVR2A,162,240
ACVR2A_PKc_E7_146.12,ACVR2A,473,483
ACVR2A_PKc_E8_115.6,ACVR2A,1249,1576
ACVR2A_PKc_E9_139.9,ACVR2A,858,1013
ACVRL1_PKc_E6_147.3,ACVRL1,567,600
ACVRL1_PKc_E6_147.8,ACVRL1,795,544
