sgRNA,Gene,HCT116-Cont1.initial,HCT116-Cont1.final
TMPRSS11B_1251.35,TMPRSS11B,1134,6673
ZNF212_E5_66.0,ZNF212,771,4413
PBX1_E5_136.9,PBX1,623,4981
NFATC3_E4_200.2,NFATC3,594,4289
EN1_E2_180.21,EN1,460,3153
PBRM1_Bah11301248_E1_4749.15,PBRM1,333,2084
CUL3_2325.14,CUL3,429,826
NR2E3_E3_104.11,NR2E3,270,1946
ZIC5_E1_118.17,ZIC5,380,1808
HSFX2_E1_273.12,HSFX2,636,3974
DPP8_2697.102,DPP8,444,3293
PRSS36_2568.161,PRSS36,342,3383
neg40,neg40,1582,13547
KCNA6_BTB43134_E1_1590.318,KCNA6,134,934
KDM4A_tudor897953_E1_3195.183,KDM4A,114,701
MEP1A_2241.272,MEP1A,268,1104
ADNP_E6_126.5,ADNP,632,4114
ZNF639_E7_747.3,ZNF639,517,3460
LONP2_2559.228,LONP2,366,1688
ZBTB20_BTB94196_E1_2226.15,ZBTB20,330,1386
HSF1_E2_109.1,HSF1,296,1153
ZNF563_E4_579.27,ZNF563,299,1467
SPOPL_BTB190297_E1_1179.38,SPOPL,292,2083
SEC11A_558.29,SEC11A,261,2323
ATF2_E12_133.0,ATF2,649,4745
KDM4B_e9_96.5,KDM4B,151,668
ESX1_E2_89.2,ESX1,210,1581
ZNF354A_E5_1209.10,ZNF354A,421,2032
LACTB_1644.113,LACTB,217,1431
POU4F3_E2_177.2,POU4F3,317,2408
TRIM59_1212.9,TRIM59,507,2626
USP16_2472.82,USP16,179,1026
SKP2_1275.27,SKP2,435,1539
ZNF382_E5_765.86,ZNF382,144,1059
NHLRC1_1188.6,NHLRC1,206,1036
LMX1B_E4_84.10,LMX1B,412,3234
UBE2G1_513.45,UBE2G1,237,1388
ADAMTS14_3681.674,ADAMTS14,556,3285
KDM4C_e8_96.5,KDM4C,717,4969
NPEPL1_1572.48,NPEPL1,95,520
AMBRA1_3906.692,AMBRA1,366,2890
ZNF317_E7_1077.34,ZNF317,225,1407
MPND_1416.239,MPND,198,1679
ZNF541_E12_78.2,ZNF541,481,3324
RFX7_E4_101.10,RFX7,134,1140
KDM5A_e12_163.8,KDM5A,310,2047
ZNF302_E6_495.11,ZNF302,553,3918
ZCWPW1_CW256303_E1_1947.6,ZCWPW1,161,1189
NR1D1_E5_248.53,NR1D1,631,3741
NKX6_1_E2_135.11,NKX6,545,3251
ZNF219_E5_38.1,ZNF219,701,3915
SUV39H1_Chromo_E3_108.1,SUV39H1,112,738
ENDOU_1233.68,ENDOU,550,2739
RPS6KA1_PKc2_E17_159,RPS6KA1,135,812
SHPRH_H_e27_179.16,SHPRH,591,3910
F7_1401.96,F7,280,1748
ASCL2_E2_126.8,ASCL2,185,996
neg18,neg18,1625,11576
HKR1_E6_1070.123,HKR1,557,3342
FBXL12_981.10,FBXL12,111,588
ANKIB1_3270.274,ANKIB1,359,2388
ASB6_1266.113,ASB6,158,761
KLHL20_BTB59165_E1_1830.197,KLHL20,279,1657
ZNF25_E6_930.61,ZNF25,703,5171
TMPRSS4_1314.63,TMPRSS4,292,2168
MLL5_e13_110.2,MLL5,674,4803
NFKB1_E5_99.3,NFKB1,453,3496
ZNF586_E3_495.6,ZNF586,342,2994
PLAG1_E4_110.2,PLAG1,1250,8423
ZMYND8_BD_e7_88.6,ZMYND8,333,1498
FBXO40_6,FBXO40,267,1674
FOXQ1_E1_237.3,FOXQ1,111,789
ZNF197_E6_1911.23,ZNF197,637,4665
TPSD1_729.87,TPSD1,265,1331
ZNF580_E1_237.34,ZNF580,353,2092
ZNF10_E5_666.53,ZNF10,475,2451
ZNF358_E2_741.32,ZNF358,227,1270
RCHY1_720.40,RCHY1,242,2030
ZNF519_E3_1131.9,ZNF519,687,4225
TRIM63_1062.50,TRIM63,395,2084
FBXO34_2136.164,FBXO34,445,2883
PITX3_E3_135.9,PITX3,159,1098
JADE2_Phd_E4_158.2,JADE2,86,507
KLHL9_BTB40146_E1_1854.22,KLHL9,420,2975
TRIM13_1224.0,TRIM13,375,1977
ZNF566_E5_570.15,ZNF566,799,5341
ZNF567_E6_1281.4,ZNF567,926,5274
ASH1L_Phd_E20_63.0,ASH1L,171,1377
LEUTX_E2_73.1,LEUTX,893,6374
ZNF628_E3_1746.168,ZNF628,134,1089
NKX2_6_E2_177.17,NKX2,152,788
OVCH2_1698.2,OVCH2,502,3031
TAOK1_PKc_E6_97.2,TAOK1,83,813
MMP27_1542.151,MMP27,470,2870
