sgRNA,Gene,HCT116-Ts3.initial,HCT116-Ts3.final
MME_2253.8,MME,1022,1816
UBC_2058.135,UBC,1130,210
TTF1_E6_130.3,TTF1,1211,464
TTF1_SANT_E6_130.3,TTF1,1211,464
RNF19B_1764.186,RNF19B,1620,1844
CDYL2_Chromo_E2_144.13,CDYL2,1333,1907
DOT1L_e7_63.4,DOT1L,1887,1421
CUL3_2325.9,CUL3,1699,2233
CPA6_1314.57,CPA6,747,656
ARAF_PKc_E14_132.7,ARAF,974,869
CDK12_PKc_E8_102.1,CDK12,1170278,1838785
NAALADL2_2388.28,NAALADL2,2221,2386
PCSK4_2268.389,PCSK4,1856,1856
KMT2C_e58_117.5,KMT2C,5389,3688
KMT2C_14736.745,KMT2C,5389,3688
ZNF264_E4_1155.81,ZNF264,2144,2465
KLF6_E3_65.2,KLF6,1498,1423
ZNF555_E4_1170.105,ZNF555,657,652
MLLT10_Phd_E7_94.2,MLLT10,1234,1008
CAPN14_2055.271,CAPN14,1284,1337
LTK_PKc_E14_130.1,LTK,773,852
FBXW9_11,FBXW9,377,385
USP13_2592.129,USP13,1020,893
CDK12_PKc_E9_78.1,CDK12,573418,384330
PROZ_1269.74,PROZ,883,684
ZSCAN22_E3_654.1,ZSCAN22,326,363
YBX3_E4_90.6,YBX3,1312,695
CDKL2_PKc_E7_66.4,CDKL2,307,416
NFATC2_E4_203.5,NFATC2,2126,2413
CYLD_2871.182,CYLD,1336,1894
VPS11_2825.273,VPS11,1303,861
TGIF2_E2_138.2,TGIF2,729,950
PCSK6_2910.93,PCSK6,770,846
SHH_1389.118,SHH,1286,911
FGR_PKc_E12_132.2,FGR,437,279
SMN1_Tudor_E5_201.4,SMN1,1142,557
ZNF257_E4_936.60,ZNF257,1737,2498
TRIM33_BD_e20_79.0,TRIM33,1017,1233
BRWD3_BD2_e36_75.0,BRWD3,1306,1849
IKBKE_PKc_E7_161.24,IKBKE,137,214
neg3,neg3,5281,7190
NR1I2_E3_134.0,NR1I2,484,406
ZNF587_E3_567.30,ZNF587,4816,5147
PMS1_E10_52.0,PMS1,1107,1004
GGTLC2_657.101,GGTLC2,1451,324
ZKSCAN8_E7_744.88,ZKSCAN8,1152,1295
DCAF16_651.27,DCAF16,906,1029
KDM2A_5,KDM2A,851,164
NEK7_PKc_E8_95.4,NEK7,1365,1067
PCGF5_771.5,PCGF5,1108,931
RNF217_1629.97,RNF217,1569,2426
MMP27_1542.149,MMP27,2133,1801
TRIM50_1464.7,TRIM50,647,803
