sgRNA,Gene,Snu-1_clone_24_D=0,Snu-1_clone_24_D=10
AAK1_PKc_E2_40.1,AAK1,525,553
AAK1_PKc_E3_119.6,AAK1,209,129
AAK1_PKc_E4_109.3,AAK1,252,371
AAK1_PKc_E5_143.1,AAK1,322,252
AAK1_PKc_E6_122,AAK1,453,163
AAK1_PKc_E7_82.6,AAK1,343,482
AATK_PKc_E4_36,AATK,201,77
AATK_PKc_E5_119.11,AATK,438,254
AATK_PKc_E6_88.9,AATK,672,336
AATK_PKc_E7_134.11,AATK,260,363
AATK_PKc_E8_85.7,AATK,618,362
AATK_PKc_E9_122.1,AATK,564,161
ABL1_PKc_E4_120.11,ABL1,407,271
ABL1_PKc_E5_85,ABL1,1004,699
ABL1_PKc_E6_178.11,ABL1,518,382
ABL1_PKc_E7_185.15,ABL1,696,383
ABL1_PKc_E8_153.18,ABL1,1007,830
ABL1_PKc_E9_68,ABL1,801,506
ABL2_PKc_E10_68.4,ABL2,332,277
ABL2_PKc_E5_120.8,ABL2,120,120
ABL2_PKc_E6_85.1,ABL2,356,300
ABL2_PKc_E7_178.9,ABL2,366,441
ABL2_PKc_E8_185,ABL2,261,384
ABL2_PKc_E9_153.7,ABL2,748,1046
ACVR1_PKc_E10_131,ACVR1,610,708
ACVR1_PKc_E11_102.2,ACVR1,586,745
ACVR1_PKc_E6_40,ACVR1,484,661
ACVR1_PKc_E7_147.15,ACVR1,588,527
ACVR1_PKc_E8_276.19,ACVR1,125,163
ACVR1_PKc_E9_198.4,ACVR1,284,263
ACVR1B_PKc_E10_102.5,ACVR1B,272,277
ACVR1B_PKc_E4_193.4,ACVR1B,452,550
ACVR1B_PKc_E5_123.4,ACVR1B,712,784
ACVR1B_PKc_E6_168.13,ACVR1B,848,635
ACVR1B_PKc_E7_157.5,ACVR1B,596,445
ACVR1B_PKc_E9_131.14,ACVR1B,350,181
ACVR1C_PKc_E4_193.16,ACVR1C,470,510
ACVR1C_PKc_E5_168.6,ACVR1C,464,373
ACVR1C_PKc_E6_157.1,ACVR1C,405,499
ACVR1C_PKc_E7_125.7,ACVR1C,287,405
ACVR1C_PKc_E8_131.1,ACVR1C,767,975
ACVR1C_PKc_E9_102.6,ACVR1C,988,1128
ACVR2A_PKc_E10_131.1,ACVR2A,873,540
ACVR2A_PKc_E5_87.3,ACVR2A,240,416
ACVR2A_PKc_E6_144,ACVR2A,134,201
ACVR2A_PKc_E7_146.12,ACVR2A,340,418
ACVR2A_PKc_E8_115.6,ACVR2A,931,802
ACVR2A_PKc_E9_139.9,ACVR2A,623,589
ACVRL1_PKc_E6_147.3,ACVRL1,448,1128
ACVRL1_PKc_E6_147.8,ACVRL1,589,432
ACVRL1_PKc_E8_198.28,ACVRL1,200,247
ACVRL1_PKc_E8_198.4,ACVRL1,680,646
ACVRL1_PKc_E9_131,ACVRL1,252,258
ACVRL1_PKc_E9_131.6,ACVRL1,549,320
ADCK1_PKc_E5_159.11,ADCK1,422,409
ADCK1_PKc_E5_159.31,ADCK1,385,273
ADCK1_PKc_E6_159.6,ADCK1,328,367
ADCK1_PKc_E7_117.13,ADCK1,393,444
ADCK1_PKc_E8_150.18,ADCK1,537,820
ADCK1_PKc_E9_99.4,ADCK1,781,1172
ADCK2_PKc_E1_534.7,ADCK2,276,157
ADCK2_PKc_E3_129.17,ADCK2,572,776
ADCK2_PKc_E4_96.5,ADCK2,336,377
ADCK2_PKc_E6_129.2,ADCK2,136,256
ADCK2_PKc_E7_54,ADCK2,801,978
ADCK2_PKc_E8_114.6,ADCK2,380,544
ADCK3_PKc_E10_94.9,ADCK3,427,535
ADCK3_PKc_E11_142.6,ADCK3,511,352
ADCK3_PKc_E12_108.8,ADCK3,527,455
ADCK3_PKc_E13_66.1,ADCK3,368,432
ADCK3_PKc_E8_141.23,ADCK3,390,368
ADCK3_PKc_E9_82.2,ADCK3,1058,715
ADCK4_PKc_E10_94.6,ADCK4,243,129
ADCK4_PKc_E12_108.1,ADCK4,240,123
ADCK4_PKc_E13_66.2,ADCK4,667,675
ADCK4_PKc_E14_87.6,ADCK4,725,731
ADCK4_PKc_E8_141.12,ADCK4,504,418
ADCK4_PKc_E9_82.4,ADCK4,330,301
ADCK5_PKc_E10_82.1,ADCK5,464,526
ADCK5_PKc_E11_79.1,ADCK5,601,325
ADCK5_PKc_E12_52.5,ADCK5,296,196
ADCK5_PKc_E7_114.17,ADCK5,671,526
ADCK5_PKc_E8_132.7,ADCK5,801,354
ADCK5_PKc_E9_84.2,ADCK5,537,343
ADRBK1_PKc_E10_79.2,ADRBK1,659,560
ADRBK1_PKc_E11_131.9,ADRBK1,469,303
ADRBK1_PKc_E12_95.3,ADRBK1,429,213
ADRBK1_PKc_E13_108.17,ADRBK1,996,1125
ADRBK1_PKc_E8_80.4,ADRBK1,134,263
ADRBK1_PKc_E9_100.8,ADRBK1,602,662
ADRBK2_PKc_E10_79.5,ADRBK2,94,85
ADRBK2_PKc_E11_131.8,ADRBK2,569,658
ADRBK2_PKc_E12_95.1,ADRBK2,780,797
ADRBK2_PKc_E13_108.5,ADRBK2,480,524
ADRBK2_PKc_E8_92.2,ADRBK2,280,415
ADRBK2_PKc_E9_100.2,ADRBK2,701,869
AK1_PKc_E3_28,AK1,663,444
AK1_PKc_E3_28.1,AK1,371,178
AK1_PKc_E4_164.19,AK1,697,748
AK1_PKc_E4_164.27,AK1,1125,889
AK1_PKc_E5_117.13,AK1,380,252
AK1_PKc_E5_117.2,AK1,349,101
AK2_PKc_E6_159,AK2,577,516
AK2_PKc_E6_159.16,AK2,492,356
AK2_PKc_E6_159.17,AK2,236,198
AK2_PKc_E6_159.19,AK2,651,496
AK2_PKc_E6_159.21,AK2,404,77
AK2_PKc_E6_159.6,AK2,5,8
AK3_PKc_E1_127.14,AK3,630,445
AK3_PKc_E1_127.18,AK3,206,292
AK3_PKc_E2_120.3,AK3,702,1145
AK3_PKc_E3_173.2,AK3,550,651
AK3_PKc_E4_119.7,AK3,471,379
AK3_PKc_E5_40,AK3,203,129
AKT1_PKc_E10_129.13,AKT1,503,564
AKT1_PKc_E5_66.5,AKT1,248,441
AKT1_PKc_E6_132.15,AKT1,356,226
AKT1_PKc_E7_66.3,AKT1,304,316
AKT1_PKc_E8_69.2,AKT1,661,392
AKT1_PKc_E9_126.3,AKT1,408,196
AKT2_PKc_E10_129.1,AKT2,282,260
AKT2_PKc_E11_215.3,AKT2,175,205
AKT2_PKc_E6_120.14,AKT2,330,189
AKT2_PKc_E7_66.3,AKT2,188,113
AKT2_PKc_E8_69.8,AKT2,1103,479
AKT2_PKc_E9_123.8,AKT2,485,171
AKT3_PKc_E10_215.1,AKT3,186,227
AKT3_PKc_E4_36,AKT3,453,303
AKT3_PKc_E5_132.2,AKT3,687,664
AKT3_PKc_E7_69.7,AKT3,1114,1251
AKT3_PKc_E8_123.3,AKT3,794,536
AKT3_PKc_E9_129.5,AKT3,438,309
ALK_PKc_E20_35,ALK,540,672
ALK_PKc_E21_91.12,ALK,120,388
ALK_PKc_E22_65.1,ALK,360,169
ALK_PKc_E23_130,ALK,1061,1919
ALK_PKc_E24_98.8,ALK,709,652
ALK_PKc_E25_93.7,ALK,855,662
AMHR2_PKc_E10_137.5,AMHR2,731,664
AMHR2_PKc_E11_108.5,AMHR2,607,968
AMHR2_PKc_E6_231.14,AMHR2,311,53
AMHR2_PKc_E7_115.1,AMHR2,801,461
AMHR2_PKc_E8_173.31,AMHR2,921,1113
AMHR2_PKc_E9_148.14,AMHR2,264,292
ANKK1_PKc_E1_113.15,ANKK1,365,484
ANKK1_PKc_E1_113.4,ANKK1,1149,1868
ANKK1_PKc_E2_295.2,ANKK1,513,706
ANKK1_PKc_E3_152.22,ANKK1,444,490
ANKK1_PKc_E5_156.2,ANKK1,292,217
ANKK1_PKc_E6_41,ANKK1,466,703
ARAF_PKc_E10_152.4,ARAF,679,534
ARAF_PKc_E10_152.5,ARAF,376,530
ARAF_PKc_E11_177.1,ARAF,200,226
ARAF_PKc_E11_177.9,ARAF,364,175
ARAF_PKc_E12_47,ARAF,492,339
ARAF_PKc_E14_132.7,ARAF,1102,1216
ATM_PKc_E60_115.5,ATM,441,700
ATM_PKc_E60_115.6,ATM,175,608
ATM_PKc_E61_64,ATM,208,535
ATM_PKc_E61_64.1,ATM,341,812
ATM_PKc_E62_36,ATM,635,1332
ATM_PKc_E62_36.1,ATM,289,725
ATR_PKc_E41_144.3,ATR,259,10
ATR_PKc_E42_151.4,ATR,803,26
ATR_PKc_E43_157.9,ATR,750,31
ATR_PKc_E44_154.6,ATR,325,1
ATR_PKc_E45_152,ATR,352,7
ATR_PKc_E46_46.1,ATR,563,19
AURKA_PKc_E10_175.19,AURKA,602,92
AURKA_PKc_E7_188.1,AURKA,584,3
AURKA_PKc_E7_188.1,AURKA,259,8
AURKA_PKc_E8_139,AURKA,327,54
AURKA_PKc_E8_139.6,AURKA,480,272
AURKA_PKc_E9_149.6,AURKA,442,853
AURKB_PKc_E5_191.1,AURKB,607,34
AURKB_PKc_E5_191.2,AURKB,313,13
AURKB_PKc_E6_139.5,AURKB,479,29
AURKB_PKc_E7_149.8,AURKB,726,1089
AURKB_PKc_E8_175.4,AURKB,348,2
AURKB_PKc_E9_156.14,AURKB,642,38
AURKC_PKc_E3_191.2,AURKC,383,449
AURKC_PKc_E3_191.21,AURKC,165,114
AURKC_PKc_E4_139.1,AURKC,545,539
AURKC_PKc_E5_149.13,AURKC,135,130
AURKC_PKc_E6_175.14,AURKC,401,348
AURKC_PKc_E7_156.13,AURKC,374,511
AXL_PKc_E13_31,AXL,239,77
AXL_PKc_E14_78.7,AXL,409,418
AXL_PKc_E15_93.5,AXL,649,456
AXL_PKc_E16_122.7,AXL,384,201
AXL_PKc_E17_110.5,AXL,231,314
AXL_PKc_E18_160.14,AXL,594,663
BCR_PKc_E1_1278.13,BCR,149,176
BCR_PKc_E1_1278.203,BCR,181,279
BCR_PKc_E1_1278.242,BCR,429,362
BCR_PKc_E1_1278.57,BCR,1,1
BCR_PKc_E1_1278.9,BCR,187,249
BCR_PKc_E1_1278.96,BCR,723,523
BLK_PKc_E10_77.4,BLK,576,661
BLK_PKc_E11_151.13,BLK,257,212
BLK_PKc_E12_132.4,BLK,410,413
BLK_PKc_E13_176.19,BLK,385,466
BLK_PKc_E8_76.7,BLK,236,302
BLK_PKc_E9_180.11,BLK,616,421
BMP2K_PKc_E1_40.1,BMP2K,576,442
BMP2K_PKc_E2_119.7,BMP2K,229,278
BMP2K_PKc_E3_106.5,BMP2K,306,307
BMP2K_PKc_E4_143.5,BMP2K,622,485
BMP2K_PKc_E5_122.2,BMP2K,657,545
BMP2K_PKc_E6_82.7,BMP2K,303,193
BMPR1A_PKc_E10_298,BMPR1A,201,69
BMPR1A_PKc_E10_298.1,BMPR1A,783,450
BMPR1A_PKc_E11_176.18,BMPR1A,282,53
BMPR1A_PKc_E11_176.4,BMPR1A,660,344
BMPR1A_PKc_E13_99.2,BMPR1A,190,258
BMPR1A_PKc_E13_99.3,BMPR1A,315,256
BMPR1B_PKc_E10_131.6,BMPR1B,888,607
BMPR1B_PKc_E11_123.7,BMPR1B,668,374
BMPR1B_PKc_E7_187.11,BMPR1B,419,208
BMPR1B_PKc_E7_187.4,BMPR1B,382,316
BMPR1B_PKc_E8_298.19,BMPR1B,708,1081
BMPR1B_PKc_E9_176,BMPR1B,954,615
BMPR2_PKc_E10_137.6,BMPR2,623,315
BMPR2_PKc_E11_99.2,BMPR2,592,431
BMPR2_PKc_E6_231,BMPR2,512,566
BMPR2_PKc_E6_231.14,BMPR2,90,130
BMPR2_PKc_E7_115.4,BMPR2,756,509
BMPR2_PKc_E7_115.6,BMPR2,459,355
BRAF_PKc_E12_85.2,BRAF,475,474
BRAF_PKc_E13_177.6,BRAF,482,179
BRAF_PKc_E14_47.1,BRAF,965,987
BRAF_PKc_E15_119.2,BRAF,697,572
BRAF_PKc_E16_132.5,BRAF,415,669
BRAF_PKc_E17_135,BRAF,180,212
BRSK1_PKc_E1_43.4,BRSK1,461,457
BRSK1_PKc_E2_95.4,BRSK1,587,582
BRSK1_PKc_E3_86,BRSK1,320,394
BRSK1_PKc_E4_141.5,BRSK1,252,322
BRSK1_PKc_E5_117.2,BRSK1,356,229
BRSK1_PKc_E6_34,BRSK1,289,211
BRSK2_PKc_E1_43.7,BRSK2,227,243
BRSK2_PKc_E2_95.4,BRSK2,320,506
BRSK2_PKc_E3_86.2,BRSK2,346,539
BRSK2_PKc_E4_141.11,BRSK2,144,247
BRSK2_PKc_E5_117.9,BRSK2,327,576
BRSK2_PKc_E6_34.3,BRSK2,727,644
