sgRNA,Gene,Snu-1_clone_24_D=0,Snu-1_clone_23_D=10
AAK1_PKc_E2_40.1,AAK1,525,587
AAK1_PKc_E3_119.6,AAK1,209,256
AAK1_PKc_E4_109.3,AAK1,252,260
AAK1_PKc_E5_143.1,AAK1,322,286
AAK1_PKc_E6_122,AAK1,453,456
AAK1_PKc_E7_82.6,AAK1,343,364
AATK_PKc_E4_36,AATK,201,360
AATK_PKc_E5_119.11,AATK,438,435
AATK_PKc_E6_88.9,AATK,672,756
AATK_PKc_E7_134.11,AATK,260,434
AATK_PKc_E8_85.7,AATK,618,768
AATK_PKc_E9_122.1,AATK,564,972
ABL1_PKc_E4_120.11,ABL1,407,579
ABL1_PKc_E5_85,ABL1,1004,1371
ABL1_PKc_E6_178.11,ABL1,518,768
ABL1_PKc_E7_185.15,ABL1,696,729
ABL1_PKc_E8_153.18,ABL1,1007,984
ABL1_PKc_E9_68,ABL1,801,843
ABL2_PKc_E10_68.4,ABL2,332,430
ABL2_PKc_E5_120.8,ABL2,120,144
ABL2_PKc_E6_85.1,ABL2,356,492
ABL2_PKc_E7_178.9,ABL2,366,723
ABL2_PKc_E8_185,ABL2,261,289
ABL2_PKc_E9_153.7,ABL2,748,1336
ACVR1_PKc_E10_131,ACVR1,610,913
ACVR1_PKc_E11_102.2,ACVR1,586,838
ACVR1_PKc_E6_40,ACVR1,484,631
ACVR1_PKc_E7_147.15,ACVR1,588,826
ACVR1_PKc_E8_276.19,ACVR1,125,103
ACVR1_PKc_E9_198.4,ACVR1,284,487
ACVR1B_PKc_E10_102.5,ACVR1B,272,509
ACVR1B_PKc_E4_193.4,ACVR1B,452,697
ACVR1B_PKc_E5_123.4,ACVR1B,712,825
ACVR1B_PKc_E6_168.13,ACVR1B,848,1197
ACVR1B_PKc_E7_157.5,ACVR1B,596,503
ACVR1B_PKc_E9_131.14,ACVR1B,350,508
ACVR1C_PKc_E4_193.16,ACVR1C,470,591
ACVR1C_PKc_E5_168.6,ACVR1C,464,436
ACVR1C_PKc_E6_157.1,ACVR1C,405,482
ACVR1C_PKc_E7_125.7,ACVR1C,287,223
ACVR1C_PKc_E8_131.1,ACVR1C,767,554
ACVR1C_PKc_E9_102.6,ACVR1C,988,1066
ACVR2A_PKc_E10_131.1,ACVR2A,873,681
ACVR2A_PKc_E5_87.3,ACVR2A,240,368
ACVR2A_PKc_E6_144,ACVR2A,134,220
ACVR2A_PKc_E7_146.12,ACVR2A,340,467
ACVR2A_PKc_E8_115.6,ACVR2A,931,1085
ACVR2A_PKc_E9_139.9,ACVR2A,623,939
ACVRL1_PKc_E6_147.3,ACVRL1,448,502
ACVRL1_PKc_E6_147.8,ACVRL1,589,835
ACVRL1_PKc_E8_198.28,ACVRL1,200,229
ACVRL1_PKc_E8_198.4,ACVRL1,680,710
ACVRL1_PKc_E9_131,ACVRL1,252,265
ACVRL1_PKc_E9_131.6,ACVRL1,549,516
ADCK1_PKc_E5_159.11,ADCK1,422,613
ADCK1_PKc_E5_159.31,ADCK1,385,589
ADCK1_PKc_E6_159.6,ADCK1,328,688
ADCK1_PKc_E7_117.13,ADCK1,393,571
ADCK1_PKc_E8_150.18,ADCK1,537,935
ADCK1_PKc_E9_99.4,ADCK1,781,1052
ADCK2_PKc_E1_534.7,ADCK2,276,504
ADCK2_PKc_E3_129.17,ADCK2,572,521
ADCK2_PKc_E4_96.5,ADCK2,336,456
ADCK2_PKc_E6_129.2,ADCK2,136,213
ADCK2_PKc_E7_54,ADCK2,801,1021
ADCK2_PKc_E8_114.6,ADCK2,380,534
ADCK3_PKc_E10_94.9,ADCK3,427,830
ADCK3_PKc_E11_142.6,ADCK3,511,550
ADCK3_PKc_E12_108.8,ADCK3,527,834
ADCK3_PKc_E13_66.1,ADCK3,368,544
ADCK3_PKc_E8_141.23,ADCK3,390,530
ADCK3_PKc_E9_82.2,ADCK3,1058,1202
ADCK4_PKc_E10_94.6,ADCK4,243,214
ADCK4_PKc_E12_108.1,ADCK4,240,332
ADCK4_PKc_E13_66.2,ADCK4,667,1029
ADCK4_PKc_E14_87.6,ADCK4,725,674
ADCK4_PKc_E8_141.12,ADCK4,504,632
ADCK4_PKc_E9_82.4,ADCK4,330,643
ADCK5_PKc_E10_82.1,ADCK5,464,833
ADCK5_PKc_E11_79.1,ADCK5,601,770
ADCK5_PKc_E12_52.5,ADCK5,296,566
ADCK5_PKc_E7_114.17,ADCK5,671,702
ADCK5_PKc_E8_132.7,ADCK5,801,784
ADCK5_PKc_E9_84.2,ADCK5,537,573
ADRBK1_PKc_E10_79.2,ADRBK1,659,687
ADRBK1_PKc_E11_131.9,ADRBK1,469,601
ADRBK1_PKc_E12_95.3,ADRBK1,429,445
ADRBK1_PKc_E13_108.17,ADRBK1,996,985
ADRBK1_PKc_E8_80.4,ADRBK1,134,215
ADRBK1_PKc_E9_100.8,ADRBK1,602,808
ADRBK2_PKc_E10_79.5,ADRBK2,94,196
ADRBK2_PKc_E11_131.8,ADRBK2,569,806
ADRBK2_PKc_E12_95.1,ADRBK2,780,1063
ADRBK2_PKc_E13_108.5,ADRBK2,480,504
ADRBK2_PKc_E8_92.2,ADRBK2,280,328
ADRBK2_PKc_E9_100.2,ADRBK2,701,920
AK1_PKc_E3_28,AK1,663,696
AK1_PKc_E3_28.1,AK1,371,363
AK1_PKc_E4_164.19,AK1,697,755
AK1_PKc_E4_164.27,AK1,1125,1960
AK1_PKc_E5_117.13,AK1,380,589
AK1_PKc_E5_117.2,AK1,349,429
AK2_PKc_E6_159,AK2,577,860
AK2_PKc_E6_159.16,AK2,492,766
AK2_PKc_E6_159.17,AK2,236,396
AK2_PKc_E6_159.19,AK2,651,684
AK2_PKc_E6_159.21,AK2,404,489
AK2_PKc_E6_159.6,AK2,5,6
AK3_PKc_E1_127.14,AK3,630,549
AK3_PKc_E1_127.18,AK3,206,596
AK3_PKc_E2_120.3,AK3,702,1076
