sgRNA,Gene,Vaco_Control_D0,Vaco_Control_D10
58351502,A1BG,1672,1902
58350637,A1BG,1806,1849
58351668,A1BG,52,41
58351593,A1BG,3031,3125
9090399,A2M,1021,1035
9101535,A2M,1836,2014
9106521,A2M,911,1000
9110031,A2M,457,472
18222483,NAT1,734,823
18222178,NAT1,1012,1304
18222239,NAT1,567,683
18222438,NAT1,1240,1295
18400195,NAT2,619,573
18400314,NAT2,1192,1622
18400392,NAT2,1304,1441
18400248,NAT2,1172,1520
94619236,SERPINA3,501,502
94614585,SERPINA3,1259,1385
94614866,SERPINA3,995,1224
94619355,SERPINA3,589,579
151817539,AADAC,1418,1275
151824724,AADAC,1166,1578
151827706,AADAC,414,488
151824798,AADAC,1183,1273
218267537,AAMP,1822,1920
218269414,AAMP,966,848
218266904,AAMP,1275,1083
218266511,AAMP,693,600
76468895,AANAT,475,472
76469257,AANAT,1624,1636
76468853,AANAT,1006,1170
76468820,AANAT,2029,2193
70270295,AARS,1855,1898
70262386,AARS,1668,1143
70259155,AARS,2544,2601
70269716,AARS,1577,1381
8764819,ABAT,571,578
8772875,ABAT,362,479
8768843,ABAT,922,1224
8750463,ABAT,414,640
104819703,ABCA1,1481,1306
104822641,ABCA1,685,740
104826976,ABCA1,236,174
104832696,ABCA1,664,632
137017246,ABCA2,1424,1570
137020695,ABCA2,255,297
137016128,ABCA2,691,724
137013505,ABCA2,600,625
2292140,ABCA3,2105,2589
2323662,ABCA3,629,837
2298507,ABCA3,1678,1581
2304112,ABCA3,528,620
75114808,ABCB7,170,171
75069409,ABCB7,1841,1322
75075423,ABCB7,340,379
75073876,ABCB7,755,436
30584469,ABCF1,1531,1189
30583082,ABCF1,1608,1600
30583862,ABCF1,1233,1439
30585666,ABCF1,1118,1229
94048910,ABCA4,510,504
94036747,ABCA4,334,378
94029620,ABCA4,616,556
94063146,ABCA4,412,497
130854834,ABL1,1173,1414
130862824,ABL1,1380,1318
130872883,ABL1,1360,1340
130884018,ABL1,1866,2387
150857589,AOC1,500,459
150857067,AOC1,345,374
150857427,AOC1,936,955
150857797,AOC1,454,685
179109075,ABL2,1083,1188
179131462,ABL2,392,600
179114919,ABL2,661,666
179121807,ABL2,635,712
133258102,ABO,765,683
133256075,ABO,1008,1178
133256248,ABO,611,699
133256143,ABO,1294,1617
1067082,ABR,1172,1256
1072623,ABR,442,502
1073626,ABR,583,529
1058016,ABR,756,955
38129350,ACAA1,381,426
38136672,ACAA1,949,716
38126639,ACAA1,835,917
