sgRNA,Gene,Vaco_Ts13_D0,Vaco_Ts13_D10
58351502,A1BG,1998,1930
58350637,A1BG,2026,1472
58351668,A1BG,56,44
58351593,A1BG,3374,2788
9090399,A2M,1068,1122
9101535,A2M,1974,1991
9106521,A2M,974,1252
9110031,A2M,482,737
18222483,NAT1,854,784
18222178,NAT1,1162,1187
18222239,NAT1,704,702
18222438,NAT1,1491,1167
18400195,NAT2,693,630
18400314,NAT2,1327,1819
18400392,NAT2,1515,1320
18400248,NAT2,1367,1484
94619236,SERPINA3,599,755
94614585,SERPINA3,1374,1210
94614866,SERPINA3,1103,1233
94619355,SERPINA3,661,676
151817539,AADAC,1582,1434
151824724,AADAC,1213,1460
151827706,AADAC,460,444
151824798,AADAC,1315,998
218267537,AAMP,2023,1354
218269414,AAMP,1098,920
218266904,AAMP,1444,395
218266511,AAMP,868,297
76468895,AANAT,506,553
76469257,AANAT,1782,1618
76468853,AANAT,1180,981
76468820,AANAT,2253,2174
70270295,AARS,1973,1334
70262386,AARS,1894,481
70259155,AARS,2696,1523
70269716,AARS,1724,1145
8764819,ABAT,609,481
8772875,ABAT,413,469
8768843,ABAT,1057,1349
8750463,ABAT,475,430
104819703,ABCA1,1631,1469
104822641,ABCA1,748,667
104826976,ABCA1,295,255
104832696,ABCA1,712,731
137017246,ABCA2,1608,1773
137020695,ABCA2,331,340
137016128,ABCA2,797,471
137013505,ABCA2,683,668
2292140,ABCA3,2374,2069
2323662,ABCA3,804,815
2298507,ABCA3,1953,1299
2304112,ABCA3,533,480
75114808,ABCB7,191,90
75069409,ABCB7,2152,557
75075423,ABCB7,348,359
75073876,ABCB7,768,171
30584469,ABCF1,1579,651
30583082,ABCF1,1663,1138
30583862,ABCF1,1394,648
30585666,ABCF1,1210,752
94048910,ABCA4,561,399
94036747,ABCA4,388,389
94029620,ABCA4,632,641
94063146,ABCA4,461,363
130854834,ABL1,1410,1414
130862824,ABL1,1352,1127
130872883,ABL1,1548,1039
130884018,ABL1,2015,2244
150857589,AOC1,453,508
150857067,AOC1,344,490
150857427,AOC1,1036,1013
150857797,AOC1,532,668
179109075,ABL2,1195,1019
179131462,ABL2,451,611
179114919,ABL2,708,632
179121807,ABL2,782,778
133258102,ABO,836,868
133256075,ABO,1054,1105
133256248,ABO,595,523
133256143,ABO,1481,1584
1067082,ABR,1397,1375
1072623,ABR,551,506
1073626,ABR,676,399
1058016,ABR,784,828
38129350,ACAA1,381,485
38136672,ACAA1,1075,1006
38126639,ACAA1,897,872
38131957,ACAA1,1214,1031
37283355,ACACA,1661,693
37206821,ACACA,1588,355
37240559,ACACA,1722,829
37191140,ACACA,909,286
109166953,ACACB,766,646
109191728,ACACB,1364,1206
109179272,ACACB,703,885
109235327,ACACB,500,630
210205715,ACADL,480,498
210217984,ACADL,1212,1011
210220655,ACADL,694,689
210205637,ACADL,667,524
75740093,ACADM,764,693
75733590,ACADM,1137,1559
75745890,ACADM,513,237
75734852,ACADM,818,970
120727071,ACADS,2366,2648
120737113,ACADS,1630,1315
120737460,ACADS,1370,1044
120727179,ACADS,1030,881
123040563,ACADSB,722,809
123037826,ACADSB,485,611
123034426,ACADSB,617,504
123043146,ACADSB,1280,1662
7223161,ACADVL,813,964
7221990,ACADVL,309,258
7220980,ACADVL,490,211
7220496,ACADVL,554,680
108133856,ACAT1,131,154
108134252,ACAT1,328,372
108138973,ACAT1,1464,1103
108138905,ACAT1,1280,795
159767036,ACAT2,494,400
159767135,ACAT2,1055,950
159768520,ACAT2,479,636
159776185,ACAT2,995,974
34156057,ASIC2,2623,2734
34156259,ASIC2,577,548
33088975,ASIC2,966,943
33028309,ASIC2,1543,1375
50077248,ASIC1,1781,1771
50058999,ASIC1,1104,1002
50058876,ASIC1,1412,1318
50059779,ASIC1,1189,902
100893686,ACHE,643,534
100893910,ACHE,681,683
100893338,ACHE,597,480
100893785,ACHE,950,849
41901788,ACLY,537,353
41906538,ACLY,837,399
41912508,ACLY,954,902
41898632,ACLY,374,183
32425982,ACO1,518,587
32429424,ACO1,805,978
32418455,ACO1,941,1197
32430516,ACO1,408,422
