"","sgRNA","Gene","mergeD0","Vaco.Cont1.final"
"3",100007455,"AFF3",4607.36726039016,236
"5",100011509,"SLC35A3",3425.41221374046,2025
"8",10001800,"COL5A3",3059.75318066158,660
"9",100022122,"ERP44",3062.82612383376,1146
"10",100023877,"ZKSCAN1",7934.84987277354,2136
"11",100024190,"ZKSCAN1",4373.75233248516,2445
"12",100024303,"ZKSCAN1",2326.40118744699,442
"13",100033374,"ZKSCAN1",2956.0780322307,2309
"14",100049997,"HIAT1",7939.59711620017,1371
"15",100052435,"ERP44",5788.32485156913,1256
"16",100052849,"RGS22",2196.03731976251,4782
"17",1000530,"C7orf50",2105.28583545377,1347
"18",100057089,"ZSCAN21",3378.6395250212,1098
"21",100057886,"ZSCAN21",3868.39525021204,974
"23",100059483,"UHRF1BP1L",2646.42408821035,721
"24",100061836,"HIAT1",6907.67514843087,2995
"25",100063478,"RGS22",5770.09499575912,2382
"28",100068044,"HIAT1",1832.56997455471,1444
"29",100068544,"HIAT1",5459.60390161154,1744
"31",100071903,"ZNF3",3394.86598812553,2027
"32",100071987,"ZNF3",4965.71840542833,368
"33",100072067,"ZNF3",3131.16539440204,2540
"35",10007489,"LOC401052",2107.70653095844,2728
"37",10007586,"LOC401052",993.322307039864,1718
"38",100076021,"CPN1",1245.27735368957,680
"40",10007668,"RBP7",942.016963528414,14
"43",100081490,"CPN1",1674.12468193384,646
"44",100083021,"UHRF1BP1L",1111.18999151824,1194
"45",10008407,"LOC401052",1157.91433418151,1785
"47",100086339,"UHRF1BP1L",5242.59796437659,413
"48",100089732,"COPS6",1544.17302798982,1429
"53",100097608,"EVL",3546.30534351145,440
"57",100099297,"MCM7",965.98812553011,615
"58",100102710,"AP4M1",886.5614927905,1382
"61",100105262,"AP4M1",629.373197625106,1341
"64",10010825,"CLEC12B",2145.05597964377,3394
"65",100109005,"ADAMTS17",9052.8481764207,4984
"67",100122286,"CNPY4",2846.22561492791,675
"68",100122518,"CNPY4",3690.83799830365,1311
"69",100122573,"CNPY4",38.9711620016964,1339
"70",100124516,"CNPY4",2774.59202714165,996
"76",100132054,"ADAMTS17",3125.84478371501,281
"77",100133314,"TRMT13",1879.65055131467,731
"78",10013516,"RDH8",3540.71501272265,655
"80",100140977,"FBXO43",1920.7090754877,555
"82",100141789,"FBXO43",4819.49109414758,408
"83",100142138,"FBXO43",2983.80661577608,3145
"84",100144132,"TRMT13",2579.44783715013,1406
"85",10014617,"CLEC12B",3144.87871077184,2088
"86",10014684,"CLEC12B",5572.21374045802,4480
"88",100149225,"DEGS2",3032.29431721798,245
"90",100149355,"DEGS2",2864.30788804071,600
"91",100149513,"DEGS2",5521.92027141645,5354
"93",100151386,"POLR2K",3994.97455470738,1871
"96",10015278,"CLEC12B",8032.71840542833,1564
"97",100153404,"LAMTOR4",1693.93129770992,562
"100",100155079,"PCCA",3282.85156912638,1390
"102",100156520,"C7orf43",7892.47158608991,1742
"103",100157406,"C7orf43",7589.24257845632,2
"104",100157678,"C7orf43",1836.72010178117,1582
"105",100158398,"C7orf43",1039.25190839695,1087
"106",100159266,"LRRC39",1888.28837998304,461
"107",100159405,"LRRC39",1052.61662425785,270
"108",100160559,"GAL3ST4",9022.24681933842,3940
"110",100160775,"GAL3ST4",1414.5122985581,1229
"111",100162342,"CMSS1",2009.79728583545,1631
"116",1001706,"IDUA",3463.89143341815,1004
"117",100171854,"CMSS1",4287.88210347752,439
"119",100173894,"GPC2",5018.92366412214,576
"121",100175730,"GPC2",5771.27226463104,2030
"124",100177906,"SPAG1",2313.78625954198,1900
"125",100179213,"ERLIN1",2118.85835453774,1297
"126",1001818,"IDUA",2447.17302798982,1252
"127",100183814,"ERLIN1",1265.00848176421,674
"128",100187143,"SPAG1",1954.64037319763,1394
"129",100187956,"DDIT4L",6320.86853265479,1206
"131",100188126,"DDIT4L",4178.73876166243,1433
"132",100188832,"STAG3",1797.85920271416,1610
"133",100189592,"STAG3",1034.44444444444,893
"134",100189898,"DDIT4L",3157.06191687871,791
"135",100191199,"CNTN5",7483.98388464801,4
"136",10019811,"GAS7",7542.2256149279,919
"138",100200238,"STAG3",2040.68532654792,705
"139",100205155,"CHUK",6803.35029686175,2650
"141",1002091,"RSPO4",10847.2654792197,767
"142",100209615,"CHUK",1499.32230703986,2363
"143",100210107,"ACTR6",3123.84308736217,2206
"145",100212321,"ACTR6",1705.51908396947,1255
"146",10021282,"RDH8",2606.13401187447,2071
"148",100213378,"SPAG1",618.93893129771,299
"151",100218670,"DBT",1155.34944868533,905
"152",100219093,"CHUK",7479.07463952502,1921
"153",100220123,"PVRIG",7354.29770992366,992
"154",100220181,"PVRIG",5699.89567430025,1596
"157",100222969,"CHUK",8462.28074639525,1396
"158",100223983,"GATS",3474.35623409669,619
"161",100230776,"DBT",7697.23324851569,2746
"162",1002325,"IDUA",2664.60899067006,3713
"163",100233646,"GATS",5212.87022900763,693
"164",100239360,"YY1",1778.92875318066,1445
"166",100240100,"INVS",2521.35962680237,1472
"167",100242634,"INVS",4688.24512298558,88
"170",100250289,"CWF19L1",3789.89228159457,1383
"171",100252437,"INVS",3567.53095843936,1308
"172",100253485,"CWF19L1",554.525869380831,970
"173",100261717,"RNF19A",4098.48176420696,586
"174",100262331,"YY1",1675.81849024597,786
"175",100262817,"PCCA",7157.55555555556,127
"176",100263588,"DEPDC4",5456.9058524173,1292
"177",100263696,"DEPDC4",4633.46480067854,433
"180",100267020,"DEPDC4",5781.80831212892,1879
"181",100268260,"RTCA",7131.40542832909,990
"182",100269988,"RNF19A",3760.80491942324,1037
"183",100270676,"RTCA",6528.53011026293,2
"185",100272920,"INVS",10086.8719253605,3540
"190",100281048,"BLOC1S2",828.239185750636,1243
"191",100281387,"ADAMTS17",4536.84648006785,598
"195",100290697,"TBC1D23",3800.10093299406,2702
"196",100291586,"SCYL2",4408.62340966921,1155
"197",100292670,"SLC25A29",3716.96861747243,2
"199",100293334,"SLC25A29",1321.78201865988,753
"203",100298662,"PKD2L1",2494.87022900763,1415
"204",100298847,"SLC25A29",7280.10008481764,2645
"205",100299233,"LONRF2",10103.6717557252,4347
"207",100299674,"PKD2L1",922.188295165394,1283
"208",100299765,"LONRF2",3569.13316369805,1237
"209",100302212,"TBC1D23",5650.81849024597,149
"210",100302932,"PCCA",4116.25106022053,1980
"211",100309116,"LONRF2",3917.58354537744,2801
"213",100309858,"PCCA",5017.99830364716,2948
"214",100311088,"SCYL2",8455.67514843087,7570
"215",100311801,"SPDYE3",4922.74809160305,3338
"216",100313534,"SCYL2",5624.11620016964,1175
"217",100314557,"SPDYE3",1401.92451229856,1087
"218",100321748,"LONRF2",2592.368956743,3040
"220",100326741,"SCYL2",10249.7362171332,1467
"221",100327224,"SLC25A47",2682.4385072095,4526
"223",100329000,"SLC25A47",4804.48091603053,2688
"226",100341124,"ADAMTS17",2428.7786259542,1890
"227",100345670,"NIT2",3264.60305343511,68
"228",100346152,"TEX10",624.955046649703,747
"230",100346861,"TEX10",60.0474978795589,2307
"233",100348157,"SCD",152.373197625106,437
"235",100353769,"WARS",130.373197625106,526
"237",100358802,"PILRB",4035.95674300254,3009
"239",100358968,"PILRB",1077.46649703138,1065
"241",1003599,"GRIN3B",2382.34520780322,476
