"","sgRNA","Gene","mergeD0","Vaco.Ts13.final"
"1",100006769,"AFF3",1344.74639525021,669
"2",100007125,"SLC35A3",1242.78795589483,265
"3",100007455,"AFF3",4607.36726039016,488
"4",100008533,"RGS22",2933.34351145038,802
"5",100011509,"SLC35A3",3425.41221374046,940
"6",100016352,"ERP44",3260.29262086514,904
"7",100016416,"ERP44",3849.64800678541,391
"8",10001800,"COL5A3",3059.75318066158,1293
"9",100022122,"ERP44",3062.82612383376,101
"10",100023877,"ZKSCAN1",7934.84987277354,1314
"11",100024190,"ZKSCAN1",4373.75233248516,815
"12",100024303,"ZKSCAN1",2326.40118744699,670
"13",100033374,"ZKSCAN1",2956.0780322307,1650
"14",100049997,"HIAT1",7939.59711620017,1668
"15",100052435,"ERP44",5788.32485156913,970
"16",100052849,"RGS22",2196.03731976251,103
"17",1000530,"C7orf50",2105.28583545377,866
"18",100057089,"ZSCAN21",3378.6395250212,950
"19",100057185,"ZSCAN21",3559.15436810857,1003
"20",100057728,"ZSCAN21",3706.32909245123,247
"21",100057886,"ZSCAN21",3868.39525021204,454
"22",100058932,"UHRF1BP1L",1955.40712468193,416
"23",100059483,"UHRF1BP1L",2646.42408821035,930
"24",100061836,"HIAT1",6907.67514843087,1569
"25",100063478,"RGS22",5770.09499575912,912
"26",100065270,"CPN1",3317.10008481764,590
"27",100066216,"RGS22",5574.9058524173,479
"28",100068044,"HIAT1",1832.56997455471,738
"29",100068544,"HIAT1",5459.60390161154,2154
"30",100069763,"CPN1",753.967769296014,203
"31",100071903,"ZNF3",3394.86598812553,677
"32",100071987,"ZNF3",4965.71840542833,575
"33",100072067,"ZNF3",3131.16539440204,685
"34",100072159,"ZNF3",2793.16624257846,216
"35",10007489,"LOC401052",2107.70653095844,1456
"36",10007540,"LOC401052",4460.12128922816,655
"37",10007586,"LOC401052",993.322307039864,348
"38",100076021,"CPN1",1245.27735368957,291
"39",10007633,"RBP7",1915.91857506361,148
"40",10007668,"RBP7",942.016963528414,289
"41",10007721,"RBP7",343.185750636132,240
"42",10007744,"RBP7",1936.46564885496,30
"43",100081490,"CPN1",1674.12468193384,30
"44",100083021,"UHRF1BP1L",1111.18999151824,404
"45",10008407,"LOC401052",1157.91433418151,685
"46",100084762,"EVL",3659.41899915182,193
"47",100086339,"UHRF1BP1L",5242.59796437659,598
"48",100089732,"COPS6",1544.17302798982,409
"51",1000954,"GTPBP4",7.74639525021204,1
"52",100097483,"EVL",3133.84902459712,705
"53",100097608,"EVL",3546.30534351145,470
"55",100098258,"MCM7",237.189991518236,91
"56",1000988,"IDUA",242.68278201866,1
"57",100099297,"MCM7",965.98812553011,1
"58",100102710,"AP4M1",886.5614927905,456
"60",100104930,"AP4M1",4207.86513994911,406
"61",100105262,"AP4M1",629.373197625106,250
"62",100107529,"SASS6",1331.37319762511,3
"63",100107824,"SASS6",666.594571670907,150
"64",10010825,"CLEC12B",2145.05597964377,240
"65",100109005,"ADAMTS17",9052.8481764207,1959
"66",100121383,"SASS6",1512.77438507209,163
"67",100122286,"CNPY4",2846.22561492791,305
"68",100122518,"CNPY4",3690.83799830365,356
"69",100122573,"CNPY4",38.9711620016964,713
"70",100124516,"CNPY4",2774.59202714165,1229
"71",100127452,"MBLAC1",2663.20780322307,23
"72",100127572,"MBLAC1",1179.58015267176,455
"73",100127739,"MBLAC1",1691.70144189992,261
"74",100127815,"MBLAC1",4199.01272264631,26
"75",100128685,"EVL",2634.21798134012,816
"76",100132054,"ADAMTS17",3125.84478371501,982
"77",100133314,"TRMT13",1879.65055131467,378
"78",10013516,"RDH8",3540.71501272265,381
"79",100140447,"TRMT13",2501.31128074639,634
"80",100140977,"FBXO43",1920.7090754877,686
"81",100141338,"FBXO43",1394.11365564037,406
"82",100141789,"FBXO43",4819.49109414758,596
"83",100142138,"FBXO43",2983.80661577608,1010
"84",100144132,"TRMT13",2579.44783715013,493
"85",10014617,"CLEC12B",3144.87871077184,1013
"86",10014684,"CLEC12B",5572.21374045802,1731
"87",100148011,"TRMT13",1290.58269720102,594
"88",100149225,"DEGS2",3032.29431721798,165
"89",100149280,"DEGS2",3266.66157760814,322
"90",100149355,"DEGS2",2864.30788804071,424
"91",100149513,"DEGS2",5521.92027141645,1373
"92",100149540,"LAMTOR4",1386.40118744699,191
"93",100151386,"POLR2K",3994.97455470738,248
"95",100151876,"POLR2K",1026.7786259542,137
"96",10015278,"CLEC12B",8032.71840542833,435
"97",100153404,"LAMTOR4",1693.93129770992,316
"98",100153470,"LAMTOR4",243.435114503817,1
"99",100153489,"LAMTOR4",1949.57591178965,142
"100",100155079,"PCCA",3282.85156912638,1164
"101",100156286,"LRRC39",5212.41306191688,576
"102",100156520,"C7orf43",7892.47158608991,1671
"103",100157406,"C7orf43",7589.24257845632,1032
"104",100157678,"C7orf43",1836.72010178117,462
"105",100158398,"C7orf43",1039.25190839695,721
"106",100159266,"LRRC39",1888.28837998304,427
"107",100159405,"LRRC39",1052.61662425785,1
"108",100160559,"GAL3ST4",9022.24681933842,2740
"109",100160568,"LRRC39",3045.51314673452,156
"110",100160775,"GAL3ST4",1414.5122985581,332
"111",100162342,"CMSS1",2009.79728583545,710
"112",100166347,"CMSS1",2185.25784563189,226
"113",100166569,"GAL3ST4",7246.64546225615,989
"114",100166780,"GAL3ST4",745.843935538592,82
"115",100167775,"CMSS1",2329.01187446989,315
"116",1001706,"IDUA",3463.89143341815,689
"117",100171854,"CMSS1",4287.88210347752,628
"118",10017193,"RDH8",1251.83969465649,100
"119",100173894,"GPC2",5018.92366412214,962
"120",100174222,"ERLIN1",1722.51908396947,378
"121",100175730,"GPC2",5771.27226463104,529
"122",100175829,"GPC2",1628.06700593724,76
"123",100176060,"ERLIN1",942.798134011874,610
"124",100177906,"SPAG1",2313.78625954198,554
"125",100179213,"ERLIN1",2118.85835453774,538
"126",1001818,"IDUA",2447.17302798982,1044
"127",100183814,"ERLIN1",1265.00848176421,3
"128",100187143,"SPAG1",1954.64037319763,185
"129",100187956,"DDIT4L",6320.86853265479,1306
"130",100188033,"DDIT4L",6746.33248515691,1417
"131",100188126,"DDIT4L",4178.73876166243,736
"132",100188832,"STAG3",1797.85920271416,345
"133",100189592,"STAG3",1034.44444444444,602
"134",100189898,"DDIT4L",3157.06191687871,148
"135",100191199,"CNTN5",7483.98388464801,955
"136",10019811,"GAS7",7542.2256149279,1401
"137",100198564,"STAG3",2048.51314673452,735
"138",100200238,"STAG3",2040.68532654792,268
"139",100205155,"CHUK",6803.35029686175,963
"140",10020754,"RDH8",2644.27480916031,305
"141",1002091,"RSPO4",10847.2654792197,1716
"142",100209615,"CHUK",1499.32230703986,474
"143",100210107,"ACTR6",3123.84308736217,590
"144",100210300,"ACTR6",1947.09499575912,732
"145",100212321,"ACTR6",1705.51908396947,448
"146",10021282,"RDH8",2606.13401187447,775
"147",100213134,"SPAG1",2410.26717557252,107
"148",100213378,"SPAG1",618.93893129771,102
"149",100214857,"DBT",1498.06191687871,476
"150",100216020,"DBT",1354.74469889737,195
"151",100218670,"DBT",1155.34944868533,187
"152",100219093,"CHUK",7479.07463952502,1704
"153",100220123,"PVRIG",7354.29770992366,1271
"154",100220181,"PVRIG",5699.89567430025,437
"155",100220277,"PVRIG",3331.6556403732,262
"156",100220669,"PVRIG",349.697201017812,154
"157",100222969,"CHUK",8462.28074639525,1998
"158",100223983,"GATS",3474.35623409669,279
"159",100224051,"GATS",842.70737913486,4
"160",100224705,"CNTN5",647.284987277354,1
"161",100230776,"DBT",7697.23324851569,1082
"162",1002325,"IDUA",2664.60899067006,723
"163",100233646,"GATS",5212.87022900763,413
"164",100239360,"YY1",1778.92875318066,71
"165",100239528,"YY1",1648.02544529262,185
"166",100240100,"INVS",2521.35962680237,692
"167",100242634,"INVS",4688.24512298558,851
"168",100243711,"CWF19L1",3770.50551314673,159
"169",100246840,"CWF19L1",2028.7048346056,340
"170",100250289,"CWF19L1",3789.89228159457,482
"171",100252437,"INVS",3567.53095843936,1466
"172",100253485,"CWF19L1",554.525869380831,638
"173",100261717,"RNF19A",4098.48176420696,652
"174",100262331,"YY1",1675.81849024597,639
"175",100262817,"PCCA",7157.55555555556,1233
"176",100263588,"DEPDC4",5456.9058524173,1017
"177",100263696,"DEPDC4",4633.46480067854,568
"178",100263860,"DEPDC4",5360.96522476675,428
"179",100266598,"RTCA",3975.46649703138,578
"180",100267020,"DEPDC4",5781.80831212892,1955
"181",100268260,"RTCA",7131.40542832909,2233
"182",100269988,"RNF19A",3760.80491942324,1093
"183",100270676,"RTCA",6528.53011026293,1433
"184",100271876,"GATS",1587.04664970314,754
"185",100272920,"INVS",10086.8719253605,630
"186",100274839,"RTCA",6446.05513146734,791
"187",100275075,"RNF19A",1236.54707379135,187
"188",100280965,"BLOC1S2",4393.63358778626,537
"189",100281003,"BLOC1S2",3715.54028837998,588
"190",100281048,"BLOC1S2",828.239185750636,310
"191",100281387,"ADAMTS17",4536.84648006785,1002
"192",100283762,"TBC1D23",599.714164546226,36
"193",100286610,"BLOC1S2",120.420695504665,295
"194",100287617,"RNF19A",1322.08057675997,53
"195",100290697,"TBC1D23",3800.10093299406,917
"196",100291586,"SCYL2",4408.62340966921,673
