Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
RHEBL1	4	0.038518	0.44757	0.59012	0.92683	0.65446	0.78037
CUX1	4	0.038587	0.40528	0.58967	0.92671	0.68527	0.80213
KCNB2	4	0.10874	1.5963	0.30532	0.75852	0.11043	0.45658
PYGO1	4	0.23255	1.4717	0.044847	0.30701	0.1411	0.45658
STX12	4	-0.042178	-0.68585	0.92826	0.99278	0.49281	0.70223
GLI1	4	-0.12516	-1.5897	0.7879	0.97651	0.11189	0.45658
LARGE	4	0.0951	0.96136	0.35529	0.80319	0.33637	0.57975
SLC45A2	4	0.1478	1.3504	0.18471	0.6203	0.17687	0.45963
LGI1	4	0.11665	1.3207	0.27793	0.73251	0.1866	0.46265
CLUH	4	-0.31586	-2.0867	0.35514	0.80319	0.036918	0.32284
HTRA4	4	-0.029423	-0.38387	0.87849	0.98722	0.70107	0.81337
RNF113B	4	0.083746	0.77947	0.39875	0.83472	0.4357	0.66256
ORC1	4	-1.2208	-3.0379	0.00079551	0.01406	0.0023827	0.049919
ZNF430	4	0.15338	1.4579	0.17029	0.60119	0.14486	0.45658
KCNMB2	4	0.036182	0.50419	0.60026	0.93047	0.61413	0.75286
LHPP	4	-0.059508	-0.93456	0.99334	0.99835	0.35001	0.59132
BIRC7	4	0.062509	0.61185	0.48461	0.88054	0.54064	0.71308
OR52N5	4	0.32576	1.45	0.0044747	0.056533	0.14706	0.45658
ZNF280A	4	0.065958	0.55044	0.47014	0.87369	0.58202	0.72996
MUL1	4	0.024404	0.14531	0.6542	0.94894	0.88447	0.9345
DACH1	4	0.059465	0.85801	0.49888	0.88885	0.39089	0.62595
LRRC4C	4	0.2286	1.4916	0.048327	0.31734	0.13581	0.45658
SLIRP	4	-0.4555	-1.6922	0.16616	0.59474	0.090602	0.45658
HSD17B14	4	0.038427	0.46818	0.59071	0.92726	0.63966	0.77062
UBIAD1	4	0.039834	0.82362	0.5844	0.92444	0.41016	0.64223
LGALS4	4	0.078876	0.84524	0.41928	0.84868	0.39798	0.63229
BAIAP2L1	4	-0.11119	-1.02	0.8318	0.98175	0.30773	0.55632
PAX4	4	-0.042973	-0.32524	0.93139	0.99278	0.745	0.84365
TPRA1	4	0.089843	1.3123	0.37598	0.82165	0.18943	0.46422
PRPH2	4	-0.00033478	-0.0035244	0.75936	0.97231	0.99719	0.99838
ZNF177	4	-0.0049229	-0.082256	0.77795	0.97514	0.93444	0.96283
DAAM2	4	0.081341	1.6582	0.40899	0.8424	0.097275	0.45658
FIGNL1	4	-0.10131	-1.0889	0.86059	0.9845	0.27618	0.53024
AGAP3	4	0.08589	0.85892	0.39079	0.82929	0.39039	0.62559
ADGRF2	4	0.18856	1.4365	0.096604	0.46174	0.15085	0.45658
ZCCHC10	4	-0.031575	-0.36355	0.88719	0.98722	0.7162	0.82367
BHLHE23	4	-0.01648	-0.22589	0.82663	0.98115	0.82129	0.89633
GOLGA6D	4	-0.81681	-2.2874	0.020087	0.17821	0.022172	0.2317
INAFM1	4	-0.040432	-0.29574	0.92219	0.99278	0.76743	0.85934
PRPH	4	0.17657	1.3291	0.11823	0.50888	0.1838	0.46213
ADAMTSL2	4	0.11361	1.0141	0.28817	0.74238	0.31055	0.55848
KRT38	4	0.056985	0.45842	0.50912	0.89385	0.64665	0.77585
METTL23	4	-0.13355	-1.4669	0.76388	0.97283	0.1424	0.45658
PFDN1	4	-0.27237	-1.6875	0.43902	0.85793	0.091513	0.45658
PRAMEF14	4	0.044977	0.2969	0.56222	0.916	0.76654	0.85891
RASL12	4	-0.14075	-1.6831	0.74425	0.9698	0.092353	0.45658
Non-Targeting_Control-N202	1	0.25795	0.62302	0.26664	0.72248	0.53327	0.71164
EVL	4	-0.030825	-0.23879	0.8848	0.98722	0.81127	0.88919
GBF1	4	-0.89139	-2.6029	0.011237	0.11548	0.0092444	0.12606
RP9	4	0.065629	0.9208	0.47173	0.8752	0.35716	0.59807
SH3BP5L	4	0.068441	0.64613	0.46119	0.87107	0.5182	0.70937
CHAMP1	4	-0.22197	-1.8289	0.54423	0.90936	0.067418	0.45163
STK38L	4	0.071337	0.51123	0.44931	0.86325	0.60919	0.7495
AVPR2	4	0.04909	0.61641	0.54497	0.90951	0.53763	0.71275
HYDIN	4	0.016328	0.18711	0.6898	0.95881	0.85158	0.91485
TSPAN10	4	-0.12935	-0.94996	0.77482	0.97382	0.34213	0.58484
ZNF365	4	0.14491	1.3921	0.19236	0.63111	0.1639	0.45704
METTL12	4	-0.091504	-0.51564	0.89251	0.98806	0.60611	0.74725
C2orf54	4	-0.053599	-0.8327	0.97067	0.99619	0.40501	0.63777
ARHGEF25	4	0.038596	0.77712	0.58962	0.92671	0.43709	0.66424
C9orf117	4	0.16343	1.6639	0.14518	0.55693	0.096124	0.45658
LCA5	4	0.13906	1.1056	0.20778	0.65021	0.26891	0.52515
SPX	4	0.24384	1.4484	0.035599	0.26578	0.1475	0.45658
POMC	4	0.052722	1.0275	0.52648	0.89938	0.30418	0.55304
LY9	4	0.15186	1.4941	0.17481	0.60865	0.13515	0.45658
GSE1	4	0.087356	1.3559	0.38443	0.82431	0.17514	0.4587
DEPDC1	4	0.11755	1.5062	0.27465	0.72886	0.13202	0.45658
LDAH	4	0.27589	1.5696	0.016954	0.15794	0.11652	0.45658
ZNF263	4	-0.1496	-1.8226	0.71879	0.96541	0.068368	0.45502
RTKN2	4	0.1394	0.96783	0.20668	0.64923	0.33313	0.57706
SIAH3	4	0.25357	1.4218	0.028837	0.23016	0.15509	0.45658
PDE12	4	-1.0737	-2.9844	0.0030826	0.041949	0.002841	0.055747
AGAP1	4	-0.050083	-0.44527	0.95754	0.99531	0.65613	0.7817
FAM104B	4	0.15795	1.1786	0.1593	0.58202	0.23857	0.5012
TMEM11	4	-0.40339	-2.1313	0.21946	0.66476	0.033067	0.30007
IRS1	4	-0.058195	-0.76434	0.98762	0.99719	0.44466	0.66983
Non-Targeting_Control-N234	1	0.20813	0.63935	0.38035	0.82313	0.52259	0.70944
Non-Targeting_Control-N214	1	0.016437	0.70399	0.95769	0.99531	0.48144	0.6967
ACSBG2	4	0.0053904	0.15697	0.73544	0.96879	0.87527	0.92884
MIEN1	4	-0.054655	-0.46677	0.97454	0.99619	0.64067	0.77137
MAPK10	4	0.049233	0.89905	0.54413	0.90936	0.36862	0.60715
HSD17B1	4	0.20437	1.0582	0.074081	0.40189	0.28994	0.54097
ZNF551	4	0.23401	1.4529	0.043256	0.30062	0.14625	0.45658
SPEG	4	-0.07932	-0.63122	0.93447	0.99278	0.5279	0.71018
TAS2R13	4	0.010172	0.14686	0.71591	0.96463	0.88324	0.9338
MUC16	4	0.014198	0.23124	0.69875	0.96116	0.81713	0.89333
ENDOV	4	-0.08767	-0.67236	0.90558	0.99055	0.50135	0.70535
KMT2B	4	-0.023481	-0.32531	0.85442	0.9845	0.74495	0.84365
ACSL5	4	0.16185	1.3862	0.14911	0.5637	0.1657	0.45711
OR5D16	4	0.039242	0.51897	0.58664	0.92548	0.60378	0.74542
DCHS2	4	0.092078	1.306	0.36747	0.81506	0.19154	0.46476
ZNF302	4	0.1444	1.6079	0.19336	0.63169	0.10785	0.45658
ZNF366	4	0.065309	0.69669	0.47338	0.87654	0.486	0.6987
CDK14	4	0.25001	1.5203	0.031422	0.24534	0.12843	0.45658
CCNI2	4	-0.016726	-0.15909	0.82713	0.98115	0.8736	0.92804
ARHGAP6	4	0.21275	1.5842	0.063094	0.36645	0.11316	0.45658
CHFR	4	0.07156	0.48681	0.44857	0.86318	0.6264	0.76168
GFRA1	4	0.053345	0.56426	0.52399	0.89938	0.57258	0.72438
LOC100130880	4	0.11398	0.75641	0.28663	0.74081	0.4494	0.67333
METTL21B	4	-0.2111	-1.2438	0.57018	0.91985	0.21358	0.48179
