Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
TMPRSS11B	6	0.10762	1.4829	0.29835	0.73096	0.13809	0.41846
ZNF212	6	0.037468	0.38453	0.59897	0.88622	0.70059	0.83066
PBX1	7	0.012113	0.18269	0.69652	0.9264	0.85504	0.92325
NFATC3	6	0.059975	0.66041	0.49287	0.83558	0.50899	0.72336
EN1	6	0.064595	0.83377	0.47262	0.82974	0.40441	0.64861
PBRM1	49	0	0	0.36252	0.77292	1	1
CUL3	16	-1.4503	-5.9871	0	0	2.1367e-09	4.9942e-07
NR2E3	6	0.1367	1.4156	0.2085	0.63345	0.15691	0.43487
ZIC5	7	0.13535	1.0024	0.17684	0.59615	0.31616	0.5836
HSFX2	6	0.0013867	0.023878	0.79036	0.95924	0.98095	0.99343
DPP8	5	0.054234	1.2821	0.57558	0.87549	0.19982	0.46955
PRSS36	17	-0.054517	-0.86808	0.98403	0.99567	0.38535	0.63358
neg40	1	0.3653	0.58879	0.19566	0.61913	0.55601	0.73884
KCNA6	6	0.19397	1.1176	0.086423	0.42201	0.26375	0.52961
KDM4A	31	-0.0079466	-0.22111	0.49258	0.83558	0.82501	0.90724
MEP1A	6	-0.11853	-0.86006	0.668	0.92277	0.38976	0.63735
ADNP	6	-0.089635	-1.7175	0.78266	0.95918	0.085895	0.36996
ZNF639	5	0.079291	1.7205	0.46492	0.82235	0.085341	0.3698
LONP2	6	-0.15274	-1.6157	0.54763	0.85951	0.10617	0.38734
ZBTB20	11	0.11007	1.2697	0.14461	0.53871	0.20419	0.47221
HSF1	7	-0.57208	-3.075	0.018254	0.1658	0.0021053	0.037468
ZNF563	6	0.08242	1.1695	0.39276	0.78947	0.24222	0.51406
SPOPL	6	0.22009	1.6409	0.053908	0.32756	0.10082	0.38332
SEC11A	2	0.027844	0.10811	0.85425	0.96564	0.91391	0.9559
ATF2	12	-0.019281	-0.47578	0.77325	0.95391	0.63423	0.78545
KDM4B	33	-0.080321	-1.573	0.78408	0.95918	0.11571	0.39439
ESX1	6	0.23622	1.5303	0.041643	0.28571	0.12594	0.40385
ZNF354A	6	0.083969	1.4723	0.38819	0.7872	0.14093	0.42376
LACTB	6	0.037291	0.37233	0.59897	0.88622	0.70965	0.83716
POU4F3	6	-0.1104	-1.4567	0.69795	0.92725	0.14521	0.42745
TRIM59	8	-0.074442	-0.91403	0.85339	0.96564	0.3607	0.61232
USP16	12	-0.15704	-2.6575	0.42556	0.80301	0.0078714	0.10568
SKP2	16	-0.43546	-3.9442	0.0039932	0.056911	8.0081e-05	0.0023794
ZNF382	6	0.14478	1.2682	0.18768	0.60982	0.20472	0.47227
NHLRC1	10	0.13332	1.8263	0.11694	0.48751	0.067798	0.35542
LMX1B	6	0.02008	0.18684	0.69424	0.92635	0.85178	0.92206
UBE2G1	8	-0.079961	-1.2847	0.82573	0.96481	0.19891	0.4693
ADAMTS14	6	0.021452	0.22364	0.68397	0.92515	0.82304	0.90599
KDM4C	34	0.048584	1.4664	0.11238	0.47816	0.14255	0.42501
NPEPL1	6	0.11017	1.3516	0.28865	0.72441	0.17651	0.45013
AMBRA1	10	-0.0091378	-0.1398	0.75328	0.94292	0.88882	0.94088
ZNF317	6	0.22755	1.7842	0.047918	0.30713	0.074396	0.35878
MPND	6	-0.06565	-0.84901	0.88106	0.97216	0.39588	0.643
ZNF541	5	-0.23508	-1.9022	0.35653	0.77292	0.057141	0.35024
RFX7	6	0.023176	0.47542	0.67598	0.92412	0.63449	0.78549
KDM5A	28	0.083003	2.1113	0.047918	0.30713	0.034751	0.27957
ZNF302	6	-0.066279	-1.3392	0.87849	0.97192	0.1805	0.45249
ZCWPW1	12	-0.056766	-0.97887	0.97718	0.99448	0.32764	0.58866
NR1D1	6	0.18715	1.8366	0.095836	0.43807	0.066267	0.35542
NKX6	13	0.25867	2.3083	0.0022818	0.035398	0.020984	0.20666
ZNF219	5	0.03457	0.3012	0.66058	0.91799	0.76326	0.87126
SUV39H1	15	0.19616	1.876	0.0057045	0.075472	0.060653	0.35542
ENDOU	5	-0.025831	-0.30823	0.94438	0.98692	0.75791	0.8678
RPS6KA1	12	-0.14306	-1.3977	0.48774	0.83558	0.16221	0.4408
SHPRH	17	0.065704	1.2652	0.19509	0.61913	0.2058	0.47377
F7	6	0.030727	0.48018	0.63349	0.90616	0.6311	0.78268
ASCL2	6	0.44311	1.49	0	0	0.13622	0.41601
neg18	1	0.30821	0.60681	0.27695	0.71136	0.54398	0.73495
HKR1	6	0.045141	1.2723	0.56361	0.86711	0.20326	0.47146
FBXL12	16	-0.10589	-1.6893	0.65516	0.91296	0.091153	0.37199
ANKIB1	9	0.034144	0.58359	0.53337	0.85479	0.55949	0.73981
ASB6	17	-0.090206	-1.5288	0.74701	0.94276	0.12631	0.40391
KLHL20	6	-0.16996	-1.552	0.49287	0.83558	0.12067	0.39951
ZNF25	6	-0.076061	-0.98442	0.83771	0.96485	0.32491	0.58776
TMPRSS4	6	-0.022055	-0.28182	0.90816	0.97756	0.77808	0.88035
MLL5	9	-0.04668	-0.8206	0.98602	0.99625	0.41188	0.65341
NFKB1	7	-0.0085564	-0.24005	0.81061	0.96437	0.81029	0.90043
ZNF586	6	0.076921	1.1378	0.41301	0.7943	0.25519	0.5247
PLAG1	6	-0.025783	-0.54009	0.92356	0.97973	0.58914	0.7605
ZMYND8	20	-0.52831	-4.255	0.00028523	0.0057143	2.0902e-05	0.00081425
FBXO40	14	0.10821	1.8575	0.099544	0.44744	0.063246	0.35542
FOXQ1	6	0.23546	1.8319	0.042213	0.28794	0.066969	0.35542
ZNF197	4	0.07012	0.87298	0.55334	0.86239	0.38268	0.63137
TPSD1	6	-0.28746	-1.3521	0.22875	0.65338	0.17633	0.45013
ZNF580	6	-0.030913	-0.35139	0.95037	0.98755	0.72529	0.8465
ZNF10	6	-0.12675	-1.4633	0.63862	0.90795	0.14337	0.42519
ZNF358	6	0.11565	0.61669	0.26811	0.70082	0.53744	0.73284
RCHY1	10	-0.061374	-1.3947	0.94638	0.98692	0.1631	0.44158
ZNF519	6	0.076306	0.82937	0.41586	0.79672	0.40689	0.65021
TRIM63	12	0.15182	1.3916	0.052196	0.32389	0.16405	0.4423
FBXO34	12	-0.11334	-1.6515	0.63719	0.90791	0.098628	0.38271
PITX3	6	0.42023	1.635	0	0	0.10206	0.38332
JADE2	6	0.12947	1.2375	0.2259	0.65185	0.21591	0.48369
KLHL9	6	0.10751	0.78183	0.29835	0.73096	0.43431	0.67109
TRIM13	9	0.0020636	0.03872	0.71107	0.93118	0.96911	0.98656
ZNF566	6	0.03526	0.8739	0.60839	0.88949	0.38217	0.63113
ZNF567	6	0.13926	1.5855	0.2008	0.62621	0.11284	0.39276
ASH1L	24	-0.13236	-2.788	0.40987	0.7943	0.005303	0.075887
LEUTX	7	0.054347	1.3071	0.48089	0.83432	0.19119	0.46324
ZNF628	6	0.16847	1.5636	0.13634	0.52546	0.11792	0.39638
NKX2	42	0	0	0.36252	0.77292	1	1
OVCH2	5	-0.078448	-0.88718	0.832	0.96481	0.37498	0.62681
TAOK1	6	0.052269	0.92357	0.52824	0.85235	0.35571	0.60984
MMP27	6	0.071362	1.0362	0.43468	0.80596	0.3001	0.5678
POU6F2	6	0.039708	0.66537	0.5907	0.88015	0.50581	0.72059
ZNF660	6	0.075443	0.61641	0.41814	0.79837	0.53763	0.73284
RING1	12	-0.073355	-1.0681	0.87079	0.96921	0.28549	0.55178
CAPN7	6	0.012958	0.22322	0.73075	0.93896	0.82336	0.90606
ZIM3	6	0.20763	1.9025	0.070165	0.38378	0.057109	0.35024
ZNF552	6	-0.10692	-0.99509	0.71278	0.93118	0.31969	0.58469
FOXR1	6	0.16625	1.3378	0.13805	0.52546	0.18095	0.45283
ZNF585B	6	0.09908	0.91343	0.33115	0.75	0.36101	0.61232
ACY1	6	0.0095646	0.1274	0.74643	0.94274	0.89862	0.94608
MYO3B	6	-0.058789	-0.53204	0.915	0.97756	0.5947	0.76345
ALK	6	-0.089147	-1.162	0.78408	0.95918	0.24522	0.51699
KLKB1	6	0.10412	1.9345	0.31118	0.73887	0.053051	0.34631
UBR7	6	0.1104	1.0226	0.28779	0.72401	0.30651	0.574
NFXL1	9	0.066966	1.2286	0.36366	0.77367	0.21923	0.48897
ZSCAN16	6	-0.075415	-0.90653	0.84141	0.96564	0.36466	0.61641
DMRTA1	6	0.065548	0.75312	0.46606	0.82235	0.45138	0.6836
RHOXF2B	7	0.047214	1.3787	0.51398	0.84489	0.16798	0.44347
RHOXF1	7	0.0082562	0.10134	0.71392	0.93118	0.91928	0.9598
