Gene	sgRNA	Cont2_P10|beta	Cont2_P10|z	Cont2_P10|p-value	Cont2_P10|fdr	Cont2_P10|wald-p-value	Cont2_P10|wald-fdr
ZNF521	6	-0.077056	-0.81501	0.46699	0.83545	0.41507	0.70603
SETD1B	7	0.13913	1.8666	0.11269	0.5457	0.06196	0.47092
ZNF717	6	-0.016456	-0.31722	0.89926	0.98489	0.75108	0.89498
HP	6	-0.00062527	-0.0087578	0.97126	0.9939	0.99301	1
MID1	11	0.045363	0.88115	0.48833	0.84653	0.37824	0.68164
NFATC4	7	0.058101	1.2872	0.48293	0.84386	0.19804	0.54009
ZNF253	6	-0.016524	-0.26315	0.89841	0.98489	0.79243	0.91767
ZNF619	6	-0.11263	-1.825	0.29055	0.73594	0.068004	0.47092
LTK	6	0.15132	1.5762	0.10785	0.54298	0.11499	0.48419
SETDB2	10	-0.027005	-0.67314	0.78941	0.95491	0.50086	0.74343
SOX10	6	0.14498	1.573	0.12094	0.55556	0.11573	0.48419
ZNF600	6	-0.01818	-0.22987	0.88389	0.98291	0.81819	0.92773
PIAS4	16	0.10279	1.2388	0.069721	0.45794	0.21542	0.55863
MEIS2	6	-0.25357	-2.1932	0.018213	0.25	0.028294	0.46939
ZIC3	7	0.060054	0.77831	0.47069	0.83704	0.43639	0.71954
ZNF112	6	0.024828	0.36492	0.76153	0.94691	0.71517	0.87544
ZNF367	5	0.11101	0.75236	0.27689	0.72391	0.45183	0.72457
UBE2V2	7	-0.15995	-1.9459	0.096756	0.5175	0.051665	0.47092
RHBDF2	11	0.0021464	0.078311	0.90837	0.98489	0.93758	0.9826
DDB1	22	-0.05364	-1.6034	0.34946	0.77919	0.10885	0.48297
KLHL34	6	-0.046372	-0.23527	0.66249	0.9166	0.814	0.92619
DIDO1	6	-0.18494	-1.7123	0.08082	0.47682	0.086843	0.47893
DCAF6	10	-0.12332	-2.5021	0.12977	0.57338	0.012344	0.4578
PCGF2	10	0.051495	1.235	0.45959	0.83076	0.21681	0.55863
HOXA1	6	-0.18158	-1.1705	0.085942	0.48475	0.2418	0.58437
ZNF77	6	-0.041418	-0.65258	0.69579	0.93004	0.51402	0.7461
CDK2	6	-0.042907	-0.79635	0.68697	0.92791	0.42583	0.71426
TFEB	6	0.1206	1.9982	0.19124	0.6443	0.0457	0.47092
KAT2B	6	-0.089576	-1.255	0.40268	0.81285	0.20948	0.55182
ZNF549	6	0.034998	0.60661	0.68042	0.92424	0.54411	0.76662
KCNA5	6	-0.02211	-0.208	0.84775	0.97194	0.83523	0.93564
MMP8	6	0.12244	1.6351	0.18327	0.63261	0.10204	0.47911
ZNF574	6	0.084667	1.0685	0.35174	0.78206	0.28531	0.61671
AZU1	6	0.12642	1.468	0.17075	0.61641	0.1421	0.50299
GRHL2	7	0.16765	2.1379	0.057769	0.42918	0.032521	0.47092
neg39	1	-0.01034	-0.71144	0.96357	0.99238	0.47681	0.73876
TIP60	5	-0.31148	-1.3662	0.0082527	0.16571	0.17189	0.5207
RNF113B	10	0.10883	0.75773	0.12977	0.57338	0.44861	0.72356
SMARCA4	14	-0.059146	-0.52532	0.40125	0.81254	0.59936	0.80199
ZNF131	8	-0.32281	-2.5483	0.0011383	0.057143	0.010825	0.4578
TRPS1	6	-0.012655	-0.22859	0.93085	0.98776	0.81918	0.92773
SMARCC1	8	0.052008	0.64806	0.51281	0.85768	0.51695	0.7461
SOCS7	19	-0.072007	-1.4607	0.23734	0.69097	0.14411	0.50344
KDM4C	34	0.0085334	0.26291	0.73591	0.94178	0.79262	0.91767
FBXO11	16	-0.24635	-3.3406	0	0	0.00083591	0.27176
PKN3	5	-0.10859	-0.99139	0.34092	0.77042	0.3215	0.63899
ZNF276	6	0.16723	1.7825	0.076266	0.46609	0.074666	0.47099
FBXO34	12	-0.1362	-2.5538	0.067729	0.4542	0.010655	0.4578
DCAF17	8	0.098973	1.1556	0.23193	0.68803	0.24783	0.58683
ZNF688	6	0.051809	0.87511	0.55265	0.87635	0.38151	0.68365
CDKL2	6	-0.23251	-1.9189	0.028173	0.30745	0.054992	0.47092
ADAMTS14	6	0.12911	1.6513	0.16249	0.61246	0.098677	0.47911
LEUTX	7	-0.073631	-1.5763	0.45333	0.8271	0.11495	0.48419
ZSCAN10	6	-0.17966	-1.7524	0.089641	0.49065	0.079701	0.47099
ABL1	6	-0.011771	-0.19895	0.93682	0.98776	0.8423	0.93934
STK3	6	0.070533	0.84851	0.43227	0.82293	0.39615	0.69562
DZIP3	6	0.061083	1.31	0.49146	0.8488	0.1902	0.53598
RNF34	10	0.19309	2.2578	0.0065452	0.15132	0.023956	0.4578
BNC2	7	0.032246	0.39324	0.67274	0.91877	0.69414	0.86276
MORF	6	-0.094351	-1.1862	0.3745	0.79758	0.23555	0.5779
FOXD4	4	0.36718	1.5419	0.001992	0.073684	0.12311	0.48419
MYT1	8	-0.084563	-0.9282	0.37735	0.79928	0.35331	0.66427
CAPN2	6	-0.030999	-0.55133	0.77689	0.95056	0.58141	0.78822
TULP1	8	0.020381	0.20873	0.76266	0.94691	0.83466	0.93557
POLR2A	8	-0.11093	-1.6157	0.249	0.69992	0.10616	0.48079
ERBB4	6	-0.068513	-0.87744	0.51651	0.85768	0.38025	0.68277
