Gene	sgRNA	DLD1-Ts2.18|beta	DLD1-Ts2.18|z	DLD1-Ts2.18|p-value	DLD1-Ts2.18|fdr	DLD1-Ts2.18|wald-p-value	DLD1-Ts2.18|wald-fdr
ZNF521	6	0.07388	1.2511	0.14969	0.59865	0.2109	0.51358
SETD1B	7	-0.066591	-1.7298	0.36056	0.77596	0.083674	0.39458
ZNF717	6	0.052813	1.2877	0.28059	0.73747	0.19783	0.49885
HP	6	0.0070688	0.31087	0.7823	0.95655	0.7559	0.89291
MID1	11	0.041014	1.5516	0.23278	0.71369	0.12076	0.43436
NFATC4	7	-0.018668	-0.48175	0.893	0.98174	0.62999	0.8115
ZNF253	6	0.098616	1.8022	0.061753	0.40037	0.071515	0.37634
ZNF619	6	-0.005169	-0.15505	0.928	0.98669	0.87678	0.94635
LTK	6	0.021191	0.67012	0.60359	0.90829	0.50278	0.738
SETDB2	10	0.059078	1.8253	0.12777	0.57342	0.067949	0.3739
SOX10	6	-0.042829	-0.83085	0.60985	0.90829	0.40606	0.68312
ZNF600	6	0.069843	1.7651	0.17075	0.62959	0.077547	0.38598
PIAS4	16	-0.030069	-1.0932	0.64741	0.92301	0.27429	0.58099
MEIS2	6	0.034575	1.3785	0.43654	0.82618	0.16805	0.47187
ZIC3	7	0.054949	1.4811	0.23705	0.71369	0.13858	0.44432
ZNF112	6	0.024237	0.64902	0.56375	0.89194	0.51633	0.74156
ZNF367	5	0.065739	1.2163	0.24758	0.71805	0.22387	0.52903
UBE2V2	7	-0.165	-2.2073	0.019351	0.20235	0.027295	0.3173
RHBDF2	11	0.020846	0.97786	0.47524	0.8483	0.32814	0.62387
DDB1	22	-0.31239	-4.647	0	0	3.3681e-06	0.0014794
KLHL34	6	0.025267	0.23258	0.55037	0.8823	0.81608	0.91914
DIDO1	6	-0.27939	-2.567	0.00085373	0.017442	0.010259	0.2014
DCAF6	10	-0.042354	-1.9256	0.53301	0.87413	0.054157	0.3645
PCGF2	10	-0.058345	-2.0184	0.35515	0.77231	0.043546	0.34557
HOXA1	6	0.0087919	0.17205	0.76266	0.95421	0.86339	0.94042
ZNF77	6	0.018509	0.39399	0.63204	0.91519	0.69359	0.85369
CDK2	6	-0.162	-1.7	0.033011	0.28293	0.089135	0.39628
TFEB	6	0.047957	1.5713	0.32015	0.75453	0.11611	0.43077
KAT2B	6	0.053237	1.1106	0.27945	0.73747	0.26676	0.57431
ZNF549	6	0.030176	0.48664	0.48691	0.84879	0.62652	0.8094
KCNA5	6	0.04989	0.58497	0.30307	0.75053	0.55857	0.76984
MMP8	6	0.051072	1.4299	0.29539	0.74786	0.15273	0.45956
ZNF574	6	-0.13069	-1.9987	0.085088	0.47611	0.045643	0.35019
AZU1	6	-0.017851	-0.52684	0.91491	0.98263	0.5983	0.79307
GRHL2	7	-0.02909	-0.77651	0.7473	0.95049	0.43745	0.70721
neg39	1	0.014155	0.70417	0.928	0.98669	0.48133	0.738
TIP60	5	-0.51728	-2.4694	0	0	0.013535	0.22979
RNF113B	10	0.058549	1.4169	0.12948	0.57503	0.15653	0.46374
SMARCA4	14	-0.18844	-2.0192	0.00028458	0.0072993	0.043463	0.34557
ZNF131	8	-0.27111	-2.7637	0	0	0.0057146	0.16738
TRPS1	6	0.083503	1.1846	0.11554	0.54926	0.23616	0.54056
SMARCC1	8	0.025801	0.56466	0.47268	0.84745	0.57231	0.77798
SOCS7	19	-0.036081	-1.393	0.51394	0.86329	0.16362	0.46784
KDM4C	34	-0.0043724	-0.25646	0.751	0.95168	0.7976	0.91325
FBXO11	16	0.020666	0.84674	0.38389	0.78216	0.39714	0.67594
PKN3	5	0.0033415	0.093545	0.8395	0.96884	0.92547	0.9702
ZNF276	6	0.065768	1.609	0.19437	0.67026	0.10763	0.42424
FBXO34	12	-0.03309	-1.356	0.64969	0.92429	0.17509	0.47651
DCAF17	8	0.053621	1.7083	0.20973	0.69137	0.087584	0.39524
ZNF688	6	-0.032865	-0.77304	0.72112	0.94041	0.4395	0.70844
CDKL2	6	-0.14618	-1.849	0.054639	0.37573	0.064455	0.36784
ADAMTS14	6	-0.0076721	-0.34749	0.95874	0.99505	0.72822	0.87396
LEUTX	7	-0.010583	-0.39265	0.99573	0.99886	0.69458	0.85436
ZSCAN10	6	-0.13084	-2.3552	0.085088	0.47611	0.018514	0.26574
ABL1	6	0.044843	0.89746	0.34434	0.76772	0.36947	0.65506
STK3	6	0.027659	0.77439	0.51907	0.86775	0.4387	0.70791
DZIP3	6	0.053447	1.3709	0.27746	0.73696	0.17041	0.47357
RNF34	10	0.058831	1.5251	0.12834	0.57342	0.12724	0.43535
BNC2	7	0.15208	1.9401	0.0031303	0.051163	0.052367	0.36439
MORF	6	-0.087856	-1.8591	0.24331	0.71429	0.063016	0.36742
FOXD4	4	-0.0096378	-0.42818	0.98919	0.99886	0.66852	0.8378
MYT1	8	-0.087236	-1.2874	0.18213	0.64975	0.19794	0.49885
CAPN2	6	-0.017837	-0.35218	0.91548	0.98263	0.72471	0.87213
TULP1	8	-0.035984	-0.98337	0.65595	0.92688	0.32543	0.62187
POLR2A	8	-0.30839	-3.0869	0	0	0.0020224	0.10451
ERBB4	6	0.033527	0.98472	0.44394	0.82909	0.32476	0.62146
TRRAP	6	-0.3292	-2.2702	0.00028458	0.0072993	0.023194	0.29303
ADAMTS8	6	0.10075	1.8812	0.058907	0.38983	0.059941	0.36742
BHLHE40	6	0.050244	1.1027	0.29994	0.74876	0.27017	0.57783
PSEN1	6	-0.057507	-0.98662	0.46158	0.84041	0.32383	0.62146
ZNF770	6	0.00044084	0.015503	0.86283	0.97626	0.98763	0.99798
TBX15	6	-0.032835	-0.89682	0.7214	0.94041	0.36981	0.65533
WHSC1	18	0.11699	3.1087	0.00028458	0.0072993	0.0018789	0.10158
ZNF280D	6	0.029031	1.3465	0.5037	0.85839	0.17813	0.48151
RNF41	9	-0.02635	-0.92317	0.76836	0.95421	0.35592	0.64436
RFFL	9	0.00048395	0.018091	0.81873	0.96243	0.98557	0.99774
TBX21	7	-0.037128	-1.0593	0.66249	0.92781	0.28948	0.59245
STK31	12	0.01459	0.3906	0.53899	0.87483	0.6961	0.85557
CBX2	6	-0.079165	-1.4484	0.29681	0.74786	0.14751	0.45193
VPS41	11	-0.07168	-2.1467	0.22965	0.71369	0.031816	0.32782
KDM8	11	-0.23253	-3.2999	0.00028458	0.0072993	0.00096709	0.074171
SPPL2A	12	0.029108	1.1281	0.33836	0.76561	0.25928	0.56772
NRF1	8	-0.27765	-2.8733	0	0	0.0040622	0.15037
DDIT3	6	-0.040465	-0.99252	0.63887	0.9182	0.32094	0.61966
FAP	6	0.052373	1.7064	0.28401	0.74201	0.087932	0.39536
