Gene	sgRNA	Ts8|beta	Ts8|z	Ts8|p-value	Ts8|fdr	Ts8|wald-p-value	Ts8|wald-fdr
TMPRSS11B	6	0.025235	0.27676	0.58443	0.85589	0.78196	0.86896
ZNF212	6	0.031212	0.45755	0.55277	0.83764	0.64727	0.77584
PBX1	7	0.016728	0.15937	0.58043	0.85432	0.87338	0.92586
NFATC3	6	0.1106	1.3509	0.24615	0.60462	0.17671	0.3701
EN1	6	-0.033722	-0.29509	0.85881	0.95623	0.76793	0.86155
PBRM1	49	0	0	0.21107	0.56662	1	1
CUL3	16	-1.3158	-5.5137	0	0	3.5139e-08	3.0847e-06
NR2E3	6	-0.044658	-0.6531	0.91386	0.96593	0.51369	0.69115
ZIC5	7	0.033586	0.45218	0.50485	0.81155	0.65114	0.77994
HSFX2	6	0.089398	2.0412	0.31631	0.68182	0.041235	0.22912
DPP8	5	0.098057	1.5633	0.33001	0.69699	0.11797	0.3089
PRSS36	17	-0.15782	-1.8366	0.50057	0.80988	0.06627	0.25556
neg40	1	0.31958	0.60319	0.2316	0.5943	0.54638	0.70479
KCNA6	6	0.0031359	0.035587	0.68739	0.89829	0.97161	0.98453
KDM4A	31	0.059559	1.5596	0.045351	0.25359	0.11886	0.30915
MEP1A	6	0.0020081	0.017936	0.69253	0.89948	0.98569	0.99363
ADNP	6	0.071436	1.4043	0.38477	0.73946	0.16022	0.35456
ZNF639	5	0.13649	1.5662	0.20821	0.56589	0.1173	0.30783
LONP2	6	0.021984	0.58443	0.60125	0.86076	0.55893	0.71028
ZBTB20	11	-0.0050986	-0.088764	0.59184	0.85957	0.92927	0.95919
HSF1	7	-1.0729	-3.7796	0.00028523	0.0049505	0.00015708	0.0034421
ZNF563	6	0.18231	1.9911	0.077867	0.34296	0.046471	0.23855
SPOPL	6	0.32775	1.7251	0.002567	0.032609	0.084518	0.27111
SEC11A	2	-0.20232	-0.822	0.54564	0.83464	0.41107	0.60658
ATF2	12	0.090473	1.4131	0.12635	0.43948	0.15764	0.35235
KDM4B	33	-0.17915	-3.1854	0.2721	0.63558	0.0014455	0.022227
ESX1	6	-0.069434	-0.75767	0.97233	0.98783	0.44865	0.63993
ZNF354A	6	0.16513	1.9973	0.10439	0.40372	0.045797	0.23682
