Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
RHEBL1	4	0.035226	0.41177	0.58708	0.9299	0.68051	0.80785
CUX1	4	0.035295	0.3726	0.58676	0.9299	0.70944	0.82787
KCNB2	4	0.10545	1.589	0.3028	0.75898	0.11207	0.43501
PYGO1	4	0.22926	1.4694	0.04159	0.27757	0.14174	0.43501
STX12	4	-0.04547	-0.7328	0.93115	0.99392	0.46368	0.65523
GLI1	4	-0.12845	-1.6069	0.78812	0.9808	0.10807	0.43501
LARGE	4	0.091808	0.93851	0.3547	0.81052	0.34798	0.56364
SLC45A2	4	0.14451	1.3401	0.18368	0.61997	0.18021	0.4388
LGI1	4	0.11335	1.3058	0.27727	0.73741	0.19161	0.44533
CLUH	4	-0.31915	-2.0918	0.3559	0.8122	0.036458	0.30302
HTRA4	4	-0.032715	-0.42525	0.88015	0.98839	0.67065	0.80109
RNF113B	4	0.080454	0.75511	0.4001	0.84649	0.45019	0.64446
ORC1	4	-1.2241	-3.0425	0.00099398	0.016784	0.0023465	0.046723
ZNF430	4	0.15009	1.4506	0.16809	0.5967	0.14689	0.43501
KCNMB2	4	0.03289	0.46186	0.59775	0.93458	0.64418	0.78291
LHPP	4	-0.0628	-0.97473	0.99602	0.99921	0.32969	0.54815
BIRC7	4	0.059217	0.58365	0.4871	0.89291	0.55945	0.72402
OR52N5	4	0.32247	1.4499	0.0037667	0.045714	0.14708	0.43501
ZNF280A	4	0.062666	0.52603	0.47256	0.88645	0.59887	0.75194
MUL1	4	0.021112	0.12591	0.64818	0.94891	0.8998	0.94559
DACH1	4	0.056172	0.82133	0.50013	0.89963	0.41146	0.61417
LRRC4C	4	0.22531	1.4895	0.0452	0.28896	0.13636	0.43501
SLIRP	4	-0.45879	-1.6998	0.16437	0.59023	0.089162	0.43501
HSD17B14	4	0.035135	0.43082	0.58744	0.92994	0.6666	0.79847
UBIAD1	4	0.036541	0.76881	0.58153	0.92867	0.442	0.63871
LGALS4	4	0.075584	0.81803	0.4204	0.85909	0.41334	0.61525
BAIAP2L1	4	-0.11448	-1.043	0.82914	0.98429	0.29693	0.52215
PAX4	4	-0.046265	-0.34971	0.93445	0.99425	0.72655	0.8384
TPRA1	4	0.086551	1.2912	0.37614	0.83025	0.19664	0.44844
PRPH2	4	-0.003627	-0.038213	0.75836	0.97644	0.96952	0.98442
ZNF177	4	-0.0082151	-0.13716	0.77855	0.97985	0.8909	0.94081
DAAM2	4	0.078048	1.6501	0.41057	0.85425	0.098913	0.43501
FIGNL1	4	-0.1046	-1.1147	0.85964	0.98764	0.26498	0.49737
AGAP3	4	0.082597	0.83418	0.39215	0.84102	0.40418	0.60722
ADGRF2	4	0.18527	1.4314	0.094952	0.44937	0.15232	0.43501
