Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
RHEBL1	4	-0.087636	-1.1461	0.9492	0.99668	0.25175	0.49152
CUX1	4	0.0063239	0.042565	0.72937	0.97498	0.96605	0.98318
KCNB2	4	0.17941	1.3916	0.17154	0.62588	0.16404	0.4508
PYGO1	4	0.17315	1.6042	0.18551	0.64496	0.10867	0.4508
STX12	4	-0.10445	-0.6743	0.89971	0.99298	0.50012	0.68385
GLI1	4	-0.092176	-1.8076	0.93539	0.99529	0.070664	0.44041
LARGE	4	0.037113	0.74804	0.61481	0.95028	0.45444	0.65122
SLC45A2	4	0.057893	0.80091	0.53748	0.92251	0.42319	0.62663
LGI1	4	0.095657	0.79177	0.40256	0.8498	0.4285	0.63064
CLUH	4	-0.46761	-2.2872	0.25598	0.73325	0.022183	0.2179
HTRA4	4	0.056041	1.1416	0.54538	0.92583	0.25363	0.49189
RNF113B	4	0.20966	1.2456	0.11284	0.50957	0.21291	0.46757
ORC1	4	-1.5826	-3.1842	0.0027204	0.047794	0.0014514	0.0317
ZNF430	4	0.091804	0.62291	0.41685	0.85779	0.53335	0.70812
KCNMB2	4	0.17832	1.2342	0.1741	0.62959	0.21714	0.47028
LHPP	4	-0.072132	-0.65296	0.99786	0.99958	0.51378	0.69366
BIRC7	4	-0.053042	-1.5821	0.94036	0.99529	0.11363	0.4508
OR52N5	4	0.39363	1.4475	0.0047083	0.070699	0.14774	0.4508
ZNF280A	4	0.17517	1.3671	0.18101	0.63905	0.17161	0.4508
MUL1	4	-0.075429	-1.8435	0.98687	0.99852	0.065258	0.42156
DACH1	4	-0.26393	-1.9129	0.53717	0.9223	0.055758	0.38757
LRRC4C	4	0.13325	0.96956	0.28506	0.76056	0.33227	0.55088
SLIRP	4	-0.567	-1.7521	0.17144	0.62588	0.079753	0.4508
HSD17B14	4	-0.039317	-0.49699	0.89453	0.99298	0.61919	0.77248
UBIAD1	4	0.078362	0.6542	0.46398	0.88743	0.51299	0.69308
LGALS4	4	0.15729	1.4884	0.2214	0.69038	0.13666	0.4508
BAIAP2L1	4	0.033198	0.17278	0.63013	0.95569	0.86283	0.92745
PAX4	4	0.057911	0.475	0.53748	0.92251	0.63479	0.78354
TPRA1	4	-0.036875	-0.55023	0.88553	0.99298	0.58216	0.74555
PRPH2	4	0.13908	1.549	0.26806	0.74648	0.12137	0.4508
ZNF177	4	0.0027997	0.046339	0.74078	0.97656	0.96304	0.982
DAAM2	4	-0.071734	-1.2662	0.99901	0.99958	0.20542	0.4637
FIGNL1	4	-0.31003	-1.8003	0.4611	0.8862	0.071806	0.44305
AGAP3	4	-0.002616	-0.10063	0.76118	0.97868	0.91985	0.95814
ADGRF2	4	0.17575	1.127	0.17986	0.63832	0.25976	0.49663
ZCCHC10	4	0.05668	0.67366	0.5424	0.92423	0.50053	0.68404
BHLHE23	4	0.17352	1.0995	0.18467	0.64387	0.27154	0.50495
GOLGA6D	4	-0.83947	-2.1555	0.053466	0.34399	0.031123	0.27597
INAFM1	4	-0.067596	-0.5007	0.9875	0.99852	0.61658	0.77032
PRPH	4	0.28702	1.4483	0.033482	0.26045	0.14754	0.4508
ADAMTSL2	4	0.19627	1.2905	0.13654	0.56117	0.19689	0.45998
KRT38	4	0.29906	1.403	0.026838	0.2281	0.16063	0.4508
METTL23	4	-0.0088182	-0.10641	0.78373	0.98133	0.91526	0.95581
PFDN1	4	-0.30878	-1.2294	0.46304	0.88726	0.21891	0.47124
PRAMEF14	4	0.067846	0.5438	0.50044	0.90322	0.58658	0.74909
RASL12	4	-0.10193	-0.90724	0.90641	0.99336	0.36428	0.57884
Non-Targeting_Control	999	0	0	0.64206	0.9576	1	1
EVL	4	0.0090461	0.49004	0.71954	0.97346	0.62411	0.77552
GBF1	4	-1.6357	-3.1587	0.0023019	0.0444	0.0015849	0.033402
RP9	4	0.072823	0.72881	0.48402	0.89703	0.46612	0.66014
SH3BP5L	4	-0.18767	-1.3769	0.68752	0.96666	0.16854	0.4508
CHAMP1	4	-0.7436	-2.3715	0.081611	0.43309	0.017714	0.18682
STK38L	4	0.10272	1.032	0.37897	0.83255	0.30209	0.52608
AVPR2	4	-0.0076567	-0.36264	0.77965	0.98124	0.71688	0.83826
HYDIN	4	0.014318	0.17828	0.69992	0.97094	0.8585	0.92489
TSPAN10	4	-0.11239	-1.7097	0.87753	0.99298	0.087319	0.4508
ZNF365	4	-0.017114	-0.090296	0.8146	0.98699	0.92805	0.96244
METTL12	4	-0.28495	-1.2572	0.50207	0.90395	0.2087	0.46613
C2orf54	4	0.13768	1.5678	0.27214	0.7491	0.11693	0.4508
ARHGEF25	4	-0.033194	-1.1515	0.87193	0.9927	0.24951	0.4899
C9orf117	4	0.082091	0.73759	0.4497	0.87795	0.46076	0.65594
LCA5	4	0.22695	1.3045	0.088412	0.45199	0.19206	0.45718
SPX	4	0.13999	1.6175	0.26518	0.7426	0.10576	0.4508
POMC	4	0.056806	0.82205	0.54193	0.92423	0.41105	0.61681
LY9	4	0.01954	0.12401	0.67894	0.96522	0.90131	0.94892
GSE1	4	-0.011531	-0.27054	0.7933	0.98264	0.78675	0.88172
DEPDC1	4	0.11346	1.4718	0.34402	0.8089	0.14106	0.4508
LDAH	4	0.28185	1.3182	0.03662	0.27544	0.18744	0.4559
ZNF263	4	-0.21971	-1.4601	0.62014	0.95182	0.14427	0.4508
RTKN2	4	-0.02921	-0.19637	0.85838	0.99126	0.84432	0.91622
SIAH3	4	-0.0063054	-0.052665	0.77463	0.98027	0.958	0.97872
PDE12	4	-2.2599	-3.5684	0.00015694	0.0075758	0.00035916	0.012348
AGAP1	4	0.078112	1.0955	0.46482	0.88797	0.27328	0.50565
FAM104B	4	0.23229	1.6621	0.080774	0.4308	0.096499	0.4508
TMEM11	4	-0.35412	-2.1054	0.3932	0.84267	0.035257	0.29637
IRS1	4	-0.051485	-0.25456	0.93539	0.99529	0.79906	0.88901
ACSBG2	4	0.0018486	0.040126	0.74496	0.97709	0.96799	0.98379
MIEN1	4	0.074995	1.0198	0.47575	0.89218	0.30781	0.53
MAPK10	4	0.11087	1.2728	0.35286	0.81665	0.20308	0.46318
HSD17B1	4	-0.0036488	-0.038598	0.76511	0.97951	0.96921	0.98451
ZNF551	4	0.25067	1.4369	0.062464	0.37833	0.15074	0.4508
SPEG	4	0.021541	0.33219	0.67225	0.96414	0.73974	0.852
TAS2R13	4	0.043539	0.42882	0.591	0.94362	0.66805	0.80628
MUC16	4	-0.089809	-1.1576	0.94245	0.9958	0.24701	0.48878
ENDOV	4	0.0039577	0.18834	0.73806	0.97656	0.85061	0.91999
KMT2B	4	-0.052157	-0.70716	0.93738	0.99529	0.47947	0.66984
ACSL5	4	0.011497	0.065153	0.71044	0.97245	0.94805	0.97362
