Gene	sgRNA	Cont1|beta	Cont1|z	Cont1|p-value	Cont1|fdr	Cont1|wald-p-value	Cont1|wald-fdr
TMPRSS11B	6	0.0057891	0.10943	0.73446	0.91183	0.91287	0.95932
ZNF212	6	0.13369	1.564	0.12949	0.52064	0.11782	0.36492
PBX1	7	0.12812	1.4085	0.11409	0.48843	0.15899	0.40707
NFATC3	6	0.029884	0.42681	0.58414	0.85567	0.66952	0.81335
EN1	6	0.069173	1.1633	0.3765	0.75099	0.24469	0.50354
PBRM1	49	0	0	0.33828	0.72672	1	1
CUL3	16	-0.57409	-3.9166	0	0	8.9802e-05	0.0052555
NR2E3	6	0.082836	1.0689	0.30462	0.70495	0.28509	0.54411
ZIC5	7	0.01162	0.033463	0.6814	0.89401	0.9733	0.98728
HSFX2	6	0.063503	1.7703	0.40103	0.76047	0.076671	0.32387
DPP8	5	0.02993	0.68076	0.6275	0.87232	0.49602	0.72306
PRSS36	17	-0.07087	-1.282	0.76155	0.93031	0.19985	0.45528
neg40	1	0.33947	0.59706	0.13406	0.52514	0.55047	0.74371
KCNA6	6	0.13515	1.4644	0.12664	0.51748	0.14308	0.38861
KDM4A	31	0.022571	0.93343	0.21877	0.6243	0.3506	0.59958
MEP1A	6	-0.0034287	-0.034846	0.79064	0.94158	0.9722	0.98702
ADNP	6	0.04739	1.2899	0.48488	0.81232	0.19709	0.45253
ZNF639	5	-0.017477	-0.38006	0.91301	0.98192	0.7039	0.83776
LONP2	6	-0.11105	-1.5042	0.61124	0.86104	0.13253	0.37724
ZBTB20	11	-0.098025	-1.4656	0.61209	0.8615	0.14276	0.38861
HSF1	7	-0.4804	-3.0718	0.014261	0.14663	0.002128	0.048446
ZNF563	6	0.0077133	0.1516	0.72191	0.90873	0.87951	0.94234
SPOPL	6	0.032108	0.48011	0.57216	0.85325	0.63115	0.79114
SEC11A	2	0.029166	0.11886	0.82316	0.95091	0.90538	0.95467
ATF2	12	0.092198	1.7192	0.11124	0.48148	0.085577	0.33203
KDM4B	33	-0.072741	-1.9074	0.70593	0.90296	0.056465	0.30295
ESX1	6	0.081231	0.9091	0.31261	0.71003	0.3633	0.61058
ZNF354A	6	0.028969	0.56024	0.58871	0.85567	0.57532	0.75545
LACTB	6	-0.095572	-0.93201	0.68083	0.89401	0.35133	0.60028
POU4F3	6	0.029775	0.34886	0.58414	0.85567	0.72719	0.84919
TRIM59	8	0.065739	0.9088	0.3146	0.71024	0.36346	0.61058
USP16	12	-0.18275	-2.7819	0.21535	0.61987	0.0054049	0.093348
SKP2	16	-0.41447	-3.1725	0.00085568	0.015789	0.0015116	0.037321
ZNF382	6	0.12292	1.7607	0.15488	0.55521	0.07829	0.32572
NHLRC1	10	0.072268	0.92949	0.22447	0.6256	0.35263	0.60127
LMX1B	6	0.022481	0.37092	0.63035	0.87525	0.71069	0.84037
UBE2G1	8	-0.034698	-0.50791	0.96149	0.98888	0.61151	0.7768
ADAMTS14	6	0.10176	1.1409	0.22305	0.625	0.25391	0.51339
KDM4C	34	0.11709	3.0166	0.00085568	0.015789	0.0025566	0.055331
NPEPL1	6	0.078736	0.9886	0.32772	0.72173	0.32286	0.57413
AMBRA1	10	0.064629	1.2082	0.2567	0.65982	0.22698	0.48115
ZNF317	6	0.035977	0.53624	0.55106	0.84882	0.59179	0.76363
MPND	6	-0.21633	-1.5695	0.26241	0.66618	0.11654	0.36377
ZNF541	5	0.021274	0.33064	0.68026	0.89401	0.74092	0.85914
RFX7	6	0.032455	0.57476	0.57131	0.85325	0.56545	0.75212
KDM5A	28	0.058367	1.7969	0.065602	0.36624	0.072356	0.31909
ZNF302	6	0.050254	1.5926	0.46948	0.8034	0.11125	0.36086
ZCWPW1	12	-0.026755	-0.13659	0.86252	0.96244	0.89136	0.94442
NR1D1	6	0.0030523	0.083169	0.75214	0.92305	0.93372	0.96947
NKX6	13	0.0072082	0.05952	0.56218	0.85116	0.95254	0.97493
ZNF219	5	0.0041787	0.058636	0.77667	0.9364	0.95324	0.97493
SUV39H1	15	0.07336	1.7596	0.13092	0.52466	0.078471	0.32572
ENDOU	5	-0.18733	-1.949	0.35596	0.74065	0.05129	0.29998
RPS6KA1	12	-0.09831	-1.0161	0.60011	0.8594	0.30959	0.56357
SHPRH	17	0.13606	2.7617	0.0065602	0.085185	0.0057508	0.095557
F7	6	-0.017798	-0.3978	0.87992	0.96952	0.69078	0.82998
ASCL2	6	-0.029337	-0.7503	0.95037	0.98816	0.45307	0.68624
neg18	1	0.15549	0.65704	0.51198	0.82751	0.51115	0.73047
HKR1	6	0.057616	1.5881	0.42784	0.77359	0.11226	0.36109
FBXL12	16	-0.11225	-1.6257	0.46435	0.80118	0.10401	0.3537
ANKIB1	9	0.067986	1.1995	0.26497	0.66883	0.23035	0.48563
ASB6	17	-0.13326	-1.9602	0.33628	0.72672	0.049974	0.29998
KLHL20	6	-0.13652	-2.0211	0.50399	0.82186	0.043268	0.2917
ZNF25	6	0.089313	1.8329	0.27724	0.68211	0.06682	0.31048
TMPRSS4	6	0.012365	0.2911	0.69338	0.89804	0.77097	0.87825
MLL5	9	0.04214	1.0123	0.41786	0.76618	0.31139	0.56478
NFKB1	7	0.032351	0.62933	0.54735	0.84619	0.52913	0.73515
ZNF586	6	0.21862	1.9842	0.017399	0.16667	0.047235	0.2976
PLAG1	6	0.14858	1.802	0.095265	0.44356	0.071551	0.31754
ZMYND8	20	-0.27966	-3.6656	0.01255	0.1358	0.00024675	0.010264
FBXO40	14	0.022126	0.5304	0.43411	0.77852	0.59583	0.76576
FOXQ1	6	0.28032	1.8784	0.0014261	0.024272	0.060332	0.30572
ZNF197	4	0.083066	1.1011	0.42071	0.76743	0.27086	0.52994
TPSD1	6	-0.41911	-0.86134	0.036509	0.26337	0.38905	0.6356
ZNF580	6	-0.056789	-0.67055	0.88448	0.97088	0.50251	0.7269
ZNF10	6	0.062841	0.75532	0.40331	0.76047	0.45005	0.68337
ZNF358	6	-0.046909	-0.54694	0.94353	0.98805	0.58442	0.76029
RCHY1	10	0.042417	0.81769	0.3862	0.75553	0.41354	0.65521
