Gene	sgRNA	Ts3|beta	Ts3|z	Ts3|p-value	Ts3|fdr	Ts3|wald-p-value	Ts3|wald-fdr
MME	6	0.11518	0.9558	0.29454	0.65217	0.33917	0.53954
UBC	4	-1.0848	-2.3746	0.0051224	0.056426	0.01757	0.14735
TTF1	12	-1.6164	-5.9988	0	0	1.9877e-09	4.6566e-07
RNF19B	16	0.026671	0.32886	0.39442	0.74078	0.74227	0.84248
CDYL2	6	0.19015	1.3211	0.11212	0.40245	0.18647	0.38704
DOT1L	12	-0.27591	-2.9246	0.16135	0.49048	0.0034486	0.049665
CUL3	16	-0.3552	-2.9301	0.035287	0.20392	0.0033881	0.048995
CPA6	6	-0.022039	-0.44286	0.85287	0.95537	0.65787	0.78099
ARAF	6	0.092411	0.64958	0.37763	0.72952	0.51596	0.69615
CDK12	6	-0.25907	-1.0263	0.33865	0.69222	0.30474	0.50516
NAALADL2	12	0.17382	2.0746	0.041264	0.22799	0.038024	0.22844
PCSK4	6	-0.12624	-0.98499	0.71799	0.8985	0.32463	0.52366
KMT2C	67	0	0	0.34661	0.6992	1	1
ZNF264	6	0.11132	1.0724	0.3082	0.66138	0.28354	0.4861
KLF6	6	-0.35284	-2.1644	0.18839	0.52581	0.030433	0.20559
ZNF555	6	0.090678	1.408	0.38446	0.73344	0.15913	0.35573
MLLT10	6	-0.27554	-1.4193	0.3062	0.65972	0.15582	0.35274
CAPN14	6	0.0049652	0.054977	0.73392	0.90459	0.95616	0.97843
LTK	6	-0.10479	-1.1669	0.80279	0.93472	0.24324	0.44703
FBXW9	14	-0.13014	-1.8152	0.61298	0.85245	0.069492	0.27258
USP13	6	0.055992	0.7987	0.51736	0.80728	0.42446	0.61312
PROZ	6	-0.015857	-0.15012	0.82356	0.94144	0.88067	0.93467
ZSCAN22	6	0.21285	1.4498	0.078543	0.32624	0.1471	0.34307
YBX3	4	-0.016377	-0.097569	0.87934	0.96774	0.92227	0.95878
CDKL2	6	0.10419	1.4455	0.33267	0.68886	0.14832	0.34356
NFATC2	6	0.092392	1.2035	0.37792	0.72967	0.22876	0.43129
CYLD	6	0.27806	1.8456	0.023904	0.16406	0.064945	0.27258
VPS11	13	-0.22908	-1.6806	0.24986	0.60219	0.092833	0.29004
TGIF2	6	-0.056208	-0.56257	0.99459	0.99857	0.57373	0.72379
PCSK6	6	0.059229	0.47592	0.50484	0.80018	0.63413	0.76271
SHH	6	-0.18917	-1.4338	0.51423	0.80543	0.15164	0.34772
FGR	6	-0.18522	-1.9017	0.52561	0.81044	0.057204	0.26976
SMN1	6	-0.44924	-2.1251	0.098179	0.37582	0.033582	0.2139
ZNF257	6	0.35963	1.9348	0.0039841	0.047297	0.053021	0.26442
TRIM33	27	-0.12073	-2.0487	0.57484	0.84062	0.040489	0.23666
BRWD3	17	0.2273	3.0215	0.0011383	0.017857	0.0025155	0.039113
IKBKE	5	0.24751	0.99327	0.072567	0.31365	0.32058	0.52105
neg3	1	0.35279	0.59271	0.23791	0.58873	0.55337	0.71307
NR1I2	6	0.015393	0.23859	0.68469	0.88488	0.81142	0.88969
ZNF587	6	0.22239	1.9489	0.066875	0.30051	0.051312	0.26204
PMS1	7	0.17854	1.767	0.10586	0.38994	0.077224	0.27804
GGTLC2	6	-0.66092	-1.9463	0.020205	0.147	0.051621	0.26251
ZKSCAN8	6	0.22046	1.9987	0.068014	0.3033	0.045642	0.25178
DCAF16	7	0.13542	0.86601	0.19949	0.54383	0.38648	0.57964
KDM2A	42	0	0	0.34661	0.6992	1	1
NEK7	6	0.07746	1.2436	0.43455	0.76772	0.21363	0.41558
PCGF5	6	0.057806	0.87436	0.50939	0.80359	0.38192	0.576
RNF217	13	0.23564	2.444	0.0062607	0.065672	0.014526	0.13224
MMP27	6	-0.059958	-0.55589	0.98976	0.99771	0.57829	0.72472
TRIM50	8	0.11044	1.2401	0.23392	0.58464	0.21492	0.41634
KCNC4	6	-0.031408	-0.19481	0.89271	0.97061	0.84554	0.91214
GATA1	6	0.16197	1.1643	0.17018	0.49917	0.24431	0.44791
ZMIZ1	14	0.00075681	0.01365	0.5885	0.84421	0.98911	0.9962
HIVEP3	6	0.2757	1.7896	0.024189	0.16441	0.073517	0.27607
ZMYND8	20	0.087821	1.917	0.092772	0.36465	0.055234	0.26696
HABP2	6	-0.12066	-0.76582	0.73847	0.90671	0.44378	0.63212
TBX21	7	-0.29217	-2.4484	0.24189	0.59358	0.014349	0.13131
ZNF140	6	0.19655	1.1145	0.10273	0.38527	0.26505	0.4678
CSF1R	6	0.14092	0.84075	0.22652	0.57681	0.40049	0.59181
CFLAR	6	-0.19659	-1.3022	0.49175	0.79048	0.19284	0.39552
POU3F1	6	0.0063128	0.16448	0.72795	0.90261	0.86935	0.9277
CHD1L	13	-0.12425	-1.6675	0.66022	0.87651	0.095409	0.29275
MEIS1	5	0.23664	1.7033	0.082527	0.33798	0.088515	0.28649
SMAD4	5	-0.23442	-1.7878	0.41292	0.75104	0.073809	0.27607
USP48	6	-0.053276	-0.58325	0.98236	0.99453	0.55973	0.7169
SIRT6	10	-0.18681	-2.0961	0.42174	0.75818	0.036077	0.22238
SEBOX	7	-0.098462	-0.79849	0.81047	0.93623	0.42458	0.61312
CUX1	6	0.066715	0.53173	0.4761	0.78449	0.59491	0.73352
ZNF780A	6	0.32692	1.9299	0.0088219	0.083333	0.053624	0.26503
GUCY2D	6	-0.083319	-1.1452	0.88902	0.96868	0.25213	0.45494
LHX1	6	-0.044444	-0.35378	0.94878	0.98814	0.72351	0.82956
KDM5C	19	0.23384	3.0668	0.00056915	0.01	0.0021638	0.034866
MEOX1	6	-0.14012	-1.0578	0.66875	0.87728	0.29013	0.49136
USP17L20	6	-1.505	-4.3841	0	0	1.1646e-05	0.00071796
USP17L21	6	-1.1107	-3.2399	0	0	0.0011955	0.023339
USP17L24	6	-1.343	-3.9455	0	0	7.9625e-05	0.0028845
USP17L25	6	-1.343	-3.9455	0	0	7.9625e-05	0.0028845
USP17L26	6	-1.343	-3.9455	0	0	7.9625e-05	0.0028845
USP17L5	6	-1.3463	-3.8558	0	0	0.00011537	0.0038247
ZNF501	6	0.12493	1.5744	0.26722	0.61898	0.11539	0.31072
POU3F3	6	-0.10513	-0.96138	0.80108	0.93431	0.33636	0.53678
ZNF396	9	0.017085	0.090166	0.58765	0.84389	0.92816	0.96097
BARHL1	6	0.030362	0.31693	0.62066	0.85669	0.7513	0.84781
PSMB4	5	-1.8445	-4.0168	0	0	5.8985e-05	0.0024385
ATRX	13	-0.11513	-1.3981	0.70689	0.89565	0.16209	0.35845
TRIM41	10	0.11098	0.93967	0.18184	0.51491	0.34739	0.54761
CDH1	16	-0.018056	-0.26814	0.67018	0.87789	0.78859	0.87362
ZNF777	5	-0.033652	-0.37156	0.93312	0.98451	0.71022	0.81961
TMPRSS15	6	0.14044	1.8414	0.22795	0.57792	0.065565	0.27258
TBX4	7	0.042581	0.52498	0.53187	0.8158	0.5996	0.73771
IMMP1L	6	0.32245	1.6588	0.010529	0.095116	0.097158	0.29293
SMARCA4	13	-0.93751	-3.8897	0	0	0.00010037	0.0034244
ZNF645	6	0.38365	1.8649	0.001992	0.027237	0.062199	0.27258
WSB2	21	0.12161	2.094	0.034718	0.20333	0.036262	0.22238
IRX6	6	-0.35024	-1.4207	0.19124	0.53024	0.15541	0.35229
