Gene	sgRNA	Cont|beta	Cont|z	Cont|p-value	Cont|fdr	Cont|wald-p-value	Cont|wald-fdr
1-Mar	8	-0.061916	-0.77566	0.74776	0.94609	0.43795	0.69579
2-Mar	8	-0.048198	-0.85203	0.8749	0.97718	0.3942	0.66178
3-Mar	4	-0.032238	-0.50844	0.97032	0.99729	0.61114	0.76906
4-Mar	4	-0.066182	-1.3791	0.73568	0.94284	0.16786	0.52186
5-Mar	4	-0.077997	-0.67712	0.66264	0.92376	0.49833	0.71937
6-Mar	4	-0.025446	-0.12718	0.98334	0.99809	0.8988	0.94722
7-Mar	4	0.049042	1.0367	0.42631	0.84456	0.29988	0.58801
8-Mar	4	0.024781	0.32512	0.60029	0.9083	0.74509	0.85586
9-Mar	4	-0.60609	-2.0392	0.0029833	0.16349	0.041433	0.52186
10-Mar	4	0.024351	0.32633	0.60367	0.90917	0.74418	0.85504
11-Mar	4	-0.029161	-0.27644	0.9902	0.999	0.78221	0.87786
1-Sep	4	-0.24942	-1.9374	0.12197	0.63533	0.052694	0.52186
2-Sep	4	0.018087	0.34777	0.64986	0.92082	0.72802	0.84436
3-Sep	4	0.023244	0.4909	0.61113	0.91092	0.62349	0.77695
4-Sep	4	0.087558	1.6378	0.20744	0.70903	0.10147	0.52186
5-Sep	4	-0.14643	-1.4661	0.34581	0.80427	0.14262	0.52186
6-Sep	4	0.19325	1.5502	0.0081543	0.26156	0.1211	0.52186
7-Sep	4	-0.12192	-1.435	0.43939	0.85089	0.15127	0.52186
8-Sep	4	-0.035023	-1.5908	0.95033	0.99273	0.11166	0.52186
9-Sep	4	0.064078	0.86932	0.32931	0.79322	0.38467	0.65449
10-Sep	4	0.055243	1.1126	0.38609	0.82402	0.26589	0.56297
11-Sep	4	0.023427	0.17127	0.60974	0.91072	0.86401	0.92787
12-Sep	4	-0.15951	-1.5307	0.30469	0.7792	0.12585	0.52186
14-Sep	4	-0.10451	-1.4123	0.52058	0.8802	0.15786	0.52186
15-Sep	4	-0.1008	-1.2054	0.53779	0.88555	0.22805	0.54389
1-Dec	4	0.13275	1.3339	0.067373	0.56364	0.18223	0.52383
A1BG	4	-0.078816	-0.93101	0.65811	0.92324	0.35185	0.62961
A1CF	4	0.097956	1.55	0.16617	0.67858	0.12115	0.52186
A2M	4	-0.051241	-1.6369	0.83438	0.96789	0.10165	0.52186
A2ML1	4	0.024826	1.6331	0.59999	0.90818	0.10246	0.52186
A3GALT2	4	0.14692	1.5301	0.043109	0.50116	0.12599	0.52186
A4GALT	4	0.095566	0.83665	0.17492	0.6849	0.40279	0.66916
A4GNT	4	-0.078122	-0.69337	0.66194	0.92376	0.48808	0.71937
AAAS	4	0.0098393	0.11964	0.71157	0.93744	0.90477	0.95025
AACS	4	-0.081933	-0.95721	0.63887	0.91678	0.33846	0.61893
AADAC	4	-0.0033274	-0.048892	0.81404	0.96223	0.96101	0.98031
AADACL2	4	0.077344	0.56196	0.25641	0.7448	0.57414	0.7446
AADACL3	4	-0.065817	-1.0968	0.73832	0.94371	0.27272	0.56734
AADACL4	4	-0.13641	-0.92796	0.38246	0.82291	0.35343	0.63114
AADAT	4	0.10505	1.7037	0.13987	0.65503	0.088437	0.52186
AAED1	4	-0.10325	-0.93055	0.52605	0.88086	0.35209	0.62966
AAGAB	4	0.061358	1.6128	0.34646	0.80427	0.10678	0.52186
AAK1	4	0.0090839	0.4118	0.71738	0.93853	0.68048	0.816
AAMDC	4	0.02581	0.5754	0.59278	0.90527	0.56502	0.73933
AAMP	4	-0.2042	-1.9328	0.19362	0.69843	0.053264	0.52186
AANAT	4	-0.051223	-1.3081	0.83448	0.96789	0.19083	0.52591
AAR2	4	0.11338	1.2364	0.11361	0.62899	0.21632	0.53723
AARD	4	-0.035736	-0.41533	0.94531	0.99212	0.6779	0.81421
AARS	4	-0.22433	-1.7481	0.15717	0.66871	0.080442	0.52186
AARS2	4	-0.037217	-0.55022	0.93506	0.99053	0.58217	0.7504
AARSD1	4	-0.015925	-0.45394	0.91179	0.98538	0.64987	0.7944
AASDH	4	0.016794	0.30236	0.65931	0.92342	0.76238	0.86622
AASDHPPT	4	-0.13549	-0.77216	0.38549	0.82402	0.44002	0.69706
AASS	4	0.11902	1.3944	0.098996	0.61366	0.1632	0.52186
AATF	4	0.041321	0.67661	0.47961	0.86776	0.49866	0.71937
AATK	4	-0.11956	-1.4848	0.44963	0.85564	0.13759	0.52186
ABAT	4	0.14164	1.2971	0.050865	0.52542	0.19459	0.52694
ABCA1	4	-0.19831	-1.7101	0.20555	0.70824	0.087243	0.52186
ABCA10	4	0.07607	1.3581	0.26328	0.75192	0.17444	0.52186
ABCA12	4	0.053312	0.87316	0.39787	0.82861	0.38257	0.65316
ABCA13	4	0.036708	0.53338	0.51188	0.87881	0.59377	0.75803
ABCA2	4	-0.028237	-1.1302	0.99657	0.99955	0.2584	0.55929
ABCA3	4	0.035864	0.57135	0.5176	0.87919	0.56776	0.74035
ABCA4	4	-0.063738	-1.0575	0.75129	0.94675	0.29029	0.58042
ABCA5	4	-0.096444	-1.2826	0.56051	0.89447	0.19965	0.52889
ABCA6	4	0.12644	1.7457	0.081195	0.59612	0.080863	0.52186
ABCA7	4	-0.019065	-1.2808	0.93407	0.99053	0.20027	0.52889
ABCA8	4	0.17373	1.3477	0.0178	0.37924	0.17777	0.52215
ABCA9	4	-0.029762	-0.6536	0.98618	0.99809	0.51337	0.71937
ABCB1	4	0.10651	1.491	0.13534	0.65182	0.13597	0.52186
ABCB10	4	0.023462	0.5472	0.60954	0.91072	0.58424	0.75177
ABCB11	4	0.042761	0.57727	0.46982	0.86333	0.56375	0.7385
ABCB4	4	-0.073893	-0.76342	0.6876	0.93064	0.44521	0.70118
ABCB5	4	0.015508	0.16626	0.66945	0.92716	0.86795	0.92984
ABCB6	4	-0.080139	-0.69622	0.64941	0.92082	0.48629	0.71937
ABCB7	4	-0.3245	-1.7819	0.058473	0.54294	0.074761	0.52186
ABCB8	4	0.076265	1.1703	0.26183	0.75046	0.24189	0.55038
ABCB9	4	0.036691	0.86172	0.51198	0.87881	0.38884	0.658
ABCC1	4	-0.080421	-1.395	0.64802	0.92047	0.16301	0.52186
ABCC10	4	0.10529	1.3493	0.13927	0.65493	0.17723	0.52215
ABCC11	4	-0.085008	-1.3178	0.62137	0.91303	0.18755	0.52577
ABCC12	4	0.017706	0.52931	0.65269	0.92172	0.59659	0.76019
ABCC2	4	-0.12613	-1.552	0.42303	0.84355	0.12067	0.52186
ABCC3	4	-0.031663	-0.48396	0.9739	0.99809	0.62842	0.78007
ABCC4	4	0.098806	1.4897	0.16254	0.67263	0.1363	0.52186
ABCC5	4	0.066101	0.86779	0.31926	0.7879	0.38551	0.65523
ABCC6	4	-0.13415	-1.649	0.39086	0.82689	0.099156	0.52186
ABCC8	4	-0.11979	-1.6698	0.44864	0.85518	0.094954	0.52186
ABCC9	4	0.09103	1.0506	0.19327	0.69843	0.29345	0.58354
ABCD1	4	-0.029688	-0.82518	0.98682	0.99809	0.40927	0.67431
ABCD2	4	0.01633	0.35428	0.66244	0.92376	0.72313	0.8414
ABCD3	4	0.16714	1.6123	0.021977	0.39928	0.1069	0.52186
ABCD4	4	-0.053024	-0.75941	0.8214	0.96456	0.44761	0.70303
ABCE1	4	-0.20673	-1.574	0.18889	0.69515	0.11548	0.52186
ABCF1	4	-0.11228	-1.261	0.48483	0.8683	0.20729	0.53274
ABCF2	4	-0.11107	-1.9006	0.48966	0.86981	0.057354	0.52186
ABCF3	4	-0.044983	-0.80331	0.87749	0.97763	0.42179	0.68326
ABCG1	4	-0.089513	-1.2882	0.5974	0.90715	0.19766	0.52868
ABCG2	4	-0.061781	-0.77877	0.76352	0.9506	0.43611	0.69447
ABCG4	4	-0.030862	-0.59336	0.97951	0.99809	0.55294	0.73033
ABCG5	4	-0.010795	-0.12501	0.87341	0.97706	0.90052	0.94803
ABCG8	4	-0.031482	-0.5633	0.97464	0.99809	0.57323	0.74398
ABHD1	4	-0.079573	-1.1446	0.65354	0.92185	0.25235	0.55601
ABHD10	4	-0.12103	-0.82359	0.44302	0.85149	0.41017	0.67513
ABHD11	4	-0.17605	-1.2094	0.2592	0.74742	0.22649	0.54379
ABHD12	4	-0.2533	-1.3591	0.11729	0.63126	0.1741	0.52186
ABHD12B	4	-0.0064113	-0.20584	0.83786	0.96873	0.83691	0.91109
ABHD13	4	-0.043684	-0.84377	0.88554	0.97873	0.3988	0.66564
ABHD14A	4	-0.10378	-1.7923	0.52357	0.8802	0.073089	0.52186
ABHD14B	4	-0.15268	-1.8532	0.32448	0.79017	0.063852	0.52186
ABHD15	4	-0.6825	-2.5493	0.0013425	0.10385	0.010795	0.52186
ABHD16A	4	0.1125	1.5514	0.11625	0.63049	0.12081	0.52186
ABHD16B	4	0.10636	1.2137	0.13584	0.65182	0.22485	0.5435
ABHD17A	4	-0.40527	-1.4815	0.025557	0.42166	0.13848	0.52186
ABHD17B	4	0.13697	1.7076	0.059069	0.54421	0.087701	0.52186
ABHD17C	4	-0.088188	-1.7707	0.60456	0.9092	0.076607	0.52186
ABHD2	4	-0.0010494	-0.037899	0.79589	0.95724	0.96977	0.98515
ABHD3	4	-0.20992	-0.91329	0.18263	0.69157	0.36109	0.63679
ABHD4	4	0.035113	0.43255	0.52421	0.8802	0.66534	0.80528
ABHD5	4	-0.033377	-0.57375	0.96271	0.99578	0.56614	0.73974
ABHD6	4	0.091949	1.509	0.19028	0.69645	0.13131	0.52186
ABHD8	4	0.022317	0.62454	0.61878	0.91286	0.53227	0.71963
ABI1	4	-0.069016	-0.43188	0.71882	0.93853	0.66583	0.80551
ABI2	4	-0.054393	-0.80334	0.81305	0.96206	0.42178	0.68326
ABI3	4	-0.021106	-0.28016	0.95068	0.99273	0.77935	0.8762
ABI3BP	4	0.022586	1.0875	0.6165	0.91184	0.27684	0.57043
ABL1	4	-0.016144	-0.27779	0.91324	0.98538	0.78117	0.87732
ABL2	4	0.04533	0.58371	0.45197	0.85579	0.55942	0.73525
ABLIM1	4	0.026116	0.48619	0.59054	0.90512	0.62683	0.77913
ABLIM2	4	0.05291	1.1204	0.40021	0.82867	0.26252	0.56098
ABLIM3	4	0.14445	1.5522	0.046589	0.51597	0.12062	0.52186
ABO	4	-0.0076702	-0.13123	0.84835	0.97137	0.8956	0.94552
ABR	4	-0.025476	-0.45367	0.98344	0.99809	0.65007	0.79444
ABRA	4	-0.066338	-0.75337	0.73493	0.94284	0.45123	0.70555
ABRACL	4	0.19538	1.6303	0.0072096	0.24247	0.10303	0.52186
ABT1	4	-0.52472	-1.4406	0.0068616	0.2363	0.14971	0.52186
ABTB1	4	-0.1457	-1.5692	0.34855	0.8048	0.1166	0.52186
ABTB2	4	-0.031175	-0.30869	0.97678	0.99809	0.75756	0.86322
ACAA1	4	-0.11064	-1.2138	0.4918	0.87061	0.22482	0.5435
ACAA2	4	0.04662	0.79915	0.44317	0.85149	0.4242	0.6854
ACACA	4	-0.50856	-2.112	0.0083035	0.26382	0.03469	0.52186
ACACB	4	0.11235	1.2368	0.1166	0.63073	0.21615	0.53723
ACAD10	4	-0.028857	-0.31514	0.99264	0.9993	0.75265	0.86061
ACAD11	4	0.023796	0.27363	0.60685	0.90987	0.78437	0.87912
ACAD8	4	0.040414	1.2137	0.48548	0.8683	0.22487	0.5435
ACAD9	4	0.046838	0.58271	0.44193	0.85095	0.56009	0.73586
ACADL	4	-0.048483	-0.83906	0.85287	0.97267	0.40144	0.66794
ACADM	4	0.056568	0.73247	0.37629	0.81914	0.46388	0.71463
ACADS	4	-0.072991	-1.0085	0.69302	0.93112	0.31323	0.59866
ACADSB	4	0.11921	1.4697	0.098498	0.61327	0.14163	0.52186
ACADVL	4	-0.1922	-1.0961	0.21992	0.72003	0.27305	0.56736
ACAN	4	-0.11947	-1.24	0.44998	0.85564	0.21499	0.5369
ACAP1	4	-0.032639	-1.1814	0.96808	0.99677	0.23745	0.54864
ACAP2	4	-0.015713	-0.24857	0.9101	0.98483	0.80369	0.89045
ACAP3	4	-0.082411	-0.73918	0.63649	0.91656	0.4598	0.71164
ACAT1	4	0.034723	0.36249	0.5263	0.8812	0.71699	0.83716
ACAT2	4	-0.014031	-0.3399	0.89892	0.98186	0.73393	0.84857
ACBD3	4	-0.070448	-1.8203	0.70987	0.93744	0.068715	0.52186
ACBD4	4	-0.14345	-1.176	0.3572	0.80997	0.23959	0.54939
ACBD5	4	0.066136	1.468	0.31901	0.7879	0.14211	0.52186
ACBD6	4	0.012326	0.10327	0.69193	0.93112	0.91775	0.95697
ACBD7	4	0.047161	1.1016	0.43974	0.85095	0.27064	0.5657
ACCS	4	-0.064356	-1.4806	0.74736	0.94588	0.13871	0.52186
ACCSL	4	0.0036502	0.047617	0.76009	0.9495	0.96202	0.98065
ACD	4	-0.26386	-1.7431	0.10571	0.62084	0.081322	0.52186
ACE	4	-0.04815	-1.002	0.85561	0.9738	0.31633	0.60144
ACE2	4	0.093025	1.5406	0.18631	0.69338	0.12342	0.52186
ACER1	4	-0.18267	-0.88693	0.24224	0.73505	0.37512	0.64842
ACER2	4	-0.056746	-0.65923	0.79704	0.95787	0.50975	0.71937
ACER3	4	0.068889	0.82878	0.30266	0.77839	0.40723	0.67278
ACHE	4	0.053422	1.0339	0.39728	0.82861	0.30116	0.58875
