Gene	sgRNA	Ts13|beta	Ts13|z	Ts13|p-value	Ts13|fdr	Ts13|wald-p-value	Ts13|wald-fdr
1-Mar	8	0.0099307	0.094619	0.57866	0.87287	0.92462	0.95462
2-Mar	8	-0.05954	-0.76772	0.98921	0.99789	0.44265	0.66014
3-Mar	4	-0.087225	-1.2683	0.812	0.95785	0.2047	0.46455
4-Mar	4	-0.056128	-0.9266	0.95033	0.99031	0.35413	0.58524
5-Mar	4	-0.23893	-1.7526	0.35054	0.74178	0.07967	0.44583
6-Mar	4	-0.34612	-1.3926	0.18457	0.59193	0.16374	0.4459
7-Mar	4	-0.012083	-0.59167	0.84576	0.96444	0.55407	0.71395
8-Mar	4	0.054049	0.43993	0.52939	0.85244	0.65999	0.77906
9-Mar	4	-0.43712	-1.5522	0.10263	0.48101	0.1206	0.44583
10-Mar	4	0.17152	1.5727	0.12112	0.50973	0.1158	0.44583
11-Mar	4	-0.04609	-0.32807	0.99528	0.99895	0.74286	0.83594
1-Sep	4	-0.21473	-1.68	0.40538	0.77921	0.092962	0.44583
2-Sep	4	-0.011186	-0.15441	0.84159	0.96433	0.87729	0.92431
3-Sep	4	0.21026	1.5567	0.058721	0.38228	0.11955	0.44583
4-Sep	4	0.13652	1.625	0.20759	0.61834	0.10416	0.44583
5-Sep	4	-0.39726	-1.8478	0.13191	0.52389	0.064636	0.44583
6-Sep	4	0.16269	1.6737	0.14176	0.53904	0.094198	0.44583
7-Sep	4	-0.57072	-2.3708	0.040374	0.323	0.017748	0.44583
8-Sep	4	-0.025865	-0.98565	0.90981	0.98204	0.3243	0.56126
9-Sep	4	0.027798	0.43263	0.65066	0.901	0.66528	0.78287
10-Sep	4	0.010929	0.12949	0.73399	0.93263	0.89697	0.93743
11-Sep	4	-0.065367	-0.70383	0.90866	0.98195	0.48154	0.69206
12-Sep	4	-0.23589	-1.8265	0.35695	0.74618	0.067769	0.44583
14-Sep	4	-0.11926	-1.509	0.68874	0.91553	0.1313	0.44583
15-Sep	4	0.034097	0.81225	0.62197	0.88929	0.41665	0.63926
1-Dec	4	0.26353	1.5068	0.017701	0.22446	0.13187	0.44583
A1BG	4	-0.11873	-1.4632	0.69068	0.91625	0.14342	0.44583
A1CF	4	0.13621	1.3954	0.20878	0.61996	0.1629	0.4459
A2M	4	0.24549	1.4303	0.027645	0.27814	0.15262	0.44583
A2ML1	4	0.10149	1.2597	0.32757	0.72595	0.20779	0.46695
A3GALT2	4	0.11679	1.2106	0.27232	0.68449	0.22604	0.47991
A4GALT	4	0.070114	0.79477	0.45684	0.81376	0.42675	0.64692
A4GNT	4	-0.11732	-1.3967	0.69486	0.91794	0.16251	0.4459
AAAS	4	-0.19337	-1.1898	0.45818	0.81469	0.23414	0.48689
AACS	4	-0.054915	-0.77445	0.95585	0.99185	0.43866	0.65638
AADAC	4	0.01213	0.15891	0.72857	0.93082	0.87374	0.92187
AADACL2	4	0.17338	1.2941	0.11665	0.49989	0.19564	0.45869
AADACL3	4	-0.17702	-1.4543	0.50447	0.84021	0.14587	0.44583
AADACL4	4	-0.17788	-1.0292	0.50169	0.83916	0.3034	0.54427
AADAT	4	0.078714	0.9212	0.4188	0.7886	0.35694	0.58732
AAED1	4	0.019534	0.2104	0.69083	0.91625	0.83336	0.89662
AAGAB	4	-0.13818	-1.0756	0.6256	0.89057	0.2821	0.5267
AAK1	4	0.21748	1.528	0.050119	0.35644	0.12651	0.44583
AAMDC	4	0.084396	1.0454	0.39563	0.77328	0.29586	0.5382
AAMP	4	-0.64864	-2.0632	0.023618	0.25648	0.039096	0.44583
AANAT	4	0.0082215	0.17776	0.74866	0.93574	0.85891	0.91297
AAR2	4	0.06534	0.69141	0.47867	0.82792	0.48931	0.69811
AARD	4	0.12157	1.0493	0.25597	0.67049	0.29404	0.5369
AARS	4	-0.60319	-2.0932	0.032667	0.29357	0.036335	0.44583
AARS2	4	-0.59495	-2.3575	0.03401	0.29856	0.018399	0.44583
AARSD1	4	-0.0078295	-0.087458	0.82692	0.96127	0.93031	0.95739
AASDH	4	-0.17888	-1.3374	0.49831	0.83699	0.18109	0.45139
AASDHPPT	4	-0.32294	-1.473	0.21201	0.62348	0.14074	0.44583
AASS	4	0.095754	0.9295	0.34954	0.74146	0.35263	0.58409
AATF	4	-0.23255	-1.6286	0.36366	0.74985	0.1034	0.44583
AATK	4	-0.1888	-1.6673	0.47131	0.82299	0.09545	0.44583
ABAT	4	0.082361	0.83167	0.40359	0.77771	0.40559	0.62908
ABCA1	4	-0.01402	-0.44733	0.8563	0.96693	0.65464	0.77511
ABCA10	4	0.17673	1.1739	0.11048	0.49246	0.24044	0.49195
ABCA12	4	0.036612	1.3448	0.61103	0.88506	0.17869	0.4507
ABCA13	4	0.16044	1.4813	0.14628	0.54471	0.13852	0.44583
ABCA2	4	-0.034485	-0.30619	0.95202	0.99094	0.75946	0.84715
ABCA3	4	-0.094398	-1.1327	0.78267	0.9486	0.25733	0.50611
ABCA4	4	-0.070913	-0.90649	0.8836	0.97621	0.36467	0.59394
ABCA5	4	-0.01167	-0.10387	0.84402	0.96444	0.91727	0.94946
ABCA6	4	0.24612	1.5042	0.027297	0.27699	0.13254	0.44583
ABCA7	4	0.048169	0.54101	0.55703	0.8651	0.5885	0.72682
ABCA8	4	0.070573	0.64072	0.4548	0.81242	0.52171	0.71395
ABCA9	4	-0.032114	-0.30804	0.94004	0.987	0.75805	0.84652
ABCB1	4	0.16286	1.6835	0.14141	0.53843	0.092278	0.44583
ABCB10	4	0.033793	0.4839	0.62306	0.88929	0.62846	0.75614
ABCB11	4	0.099003	1.5507	0.33706	0.73251	0.12097	0.44583
ABCB4	4	0.0089054	0.30188	0.74463	0.9345	0.76275	0.84965
ABCB5	4	-0.15957	-0.47068	0.55738	0.8655	0.63787	0.76239
ABCB6	4	-0.18014	-1.2131	0.49503	0.83643	0.22508	0.47914
ABCB7	4	-0.85103	-2.213	0.005718	0.12339	0.026901	0.44583
ABCB8	4	0.16022	1.2687	0.14668	0.54519	0.20455	0.46455
ABCB9	4	0.00047735	0.0047478	0.78863	0.9511	0.99621	0.9979
ABCC1	4	-0.11949	-1.1777	0.6881	0.91534	0.2389	0.49054
ABCC10	4	0.10261	0.85149	0.32294	0.72143	0.3945	0.61869
ABCC11	4	-0.24234	-1.8744	0.34288	0.73809	0.060878	0.44583
ABCC12	4	0.11591	1.719	0.27576	0.68741	0.085606	0.44583
ABCC2	4	0.021533	0.16692	0.68094	0.91239	0.86743	0.91815
ABCC3	4	-0.0782	-1.0819	0.85113	0.96554	0.27931	0.52388
ABCC4	4	0.10989	1.266	0.29748	0.70395	0.20552	0.46539
ABCC5	4	-0.089897	-1.506	0.80096	0.95342	0.13208	0.44583
ABCC6	4	-0.36291	-1.814	0.16532	0.56696	0.069683	0.44583
ABCC8	4	0.1949	1.4821	0.080002	0.43914	0.13832	0.44583
ABCC9	4	0.19107	1.2355	0.08572	0.45097	0.21663	0.47275
ABCD1	4	0.052156	0.9611	0.53858	0.85723	0.3365	0.57097
ABCD2	4	0.050077	0.92089	0.54873	0.86172	0.35711	0.58735
ABCD3	4	0.1157	1.3099	0.2764	0.688	0.19022	0.45578
ABCD4	4	0.045949	0.47567	0.56762	0.86946	0.63431	0.75986
ABCE1	4	-0.57335	-1.9723	0.039529	0.31929	0.048577	0.44583
ABCF1	4	-0.55562	-2.296	0.045943	0.3426	0.021677	0.44583
ABCF2	4	0.010855	0.10866	0.73429	0.93263	0.91347	0.94693
ABCF3	4	-0.027053	-0.8656	0.91537	0.98291	0.38671	0.61249
ABCG1	4	-0.026015	-0.25854	0.9104	0.98204	0.79599	0.87204
ABCG2	4	-0.042829	-0.83913	0.9902	0.9983	0.4014	0.62513
ABCG4	4	-0.0029508	-0.052146	0.80464	0.95476	0.95841	0.97443
ABCG5	4	-0.14805	-1.6908	0.59407	0.87991	0.09088	0.44583
ABCG8	4	0.012135	0.16391	0.72857	0.93082	0.86981	0.91955
ABHD1	4	-0.19185	-1.8317	0.46216	0.81736	0.066992	0.44583
ABHD10	4	-0.11297	-1.0506	0.71092	0.92376	0.29342	0.53654
ABHD11	4	-0.36158	-1.5848	0.16682	0.56824	0.11301	0.44583
ABHD12	4	-0.16791	-1.0463	0.53282	0.85422	0.29542	0.53778
ABHD12B	4	0.081453	0.8557	0.40667	0.7793	0.39216	0.61624
ABHD13	4	-0.15126	-1.2375	0.58388	0.87459	0.21589	0.47245
ABHD14A	4	-0.11983	-1.332	0.68661	0.91451	0.18286	0.45213
ABHD14B	4	-0.18848	-1.5757	0.47201	0.82326	0.11508	0.44583
ABHD15	4	-0.74115	-2.6342	0.013126	0.19643	0.0084334	0.41776
ABHD16A	4	0.080022	0.90088	0.41155	0.78196	0.36765	0.59679
ABHD16B	4	0.061534	0.69784	0.49592	0.83656	0.48528	0.69539
ABHD17A	4	-0.75371	-1.6909	0.012281	0.18956	0.090852	0.44583
ABHD17B	4	0.094304	1.6572	0.35521	0.74502	0.097484	0.44583
ABHD17C	4	0.016753	0.81613	0.7049	0.92148	0.41442	0.63703
ABHD2	4	0.075399	0.77418	0.43283	0.79766	0.43882	0.65657
ABHD3	4	-0.21057	-1.1839	0.41587	0.78609	0.23644	0.4885
ABHD4	4	0.19578	1.0862	0.07866	0.43485	0.2774	0.52239
ABHD5	4	0.064069	0.72869	0.48464	0.83188	0.46619	0.67918
ABHD6	4	0.12241	1.4234	0.25298	0.66754	0.15463	0.44583
ABHD8	4	0.07836	1.0236	0.42015	0.78957	0.30602	0.54647
ABI1	4	-0.027538	-0.18883	0.91766	0.98291	0.85023	0.9078
ABI2	4	-0.15052	-1.5605	0.58567	0.8752	0.11864	0.44583
ABI3	4	0.15823	1.2725	0.1517	0.55312	0.20321	0.46359
ABI3BP	4	-0.16092	-1.3032	0.55275	0.86326	0.19252	0.45725
ABL1	4	-0.047021	-0.51959	0.99155	0.99875	0.60335	0.73754
ABL2	4	0.06946	0.74355	0.46042	0.816	0.45715	0.67123
ABLIM1	4	0.088561	1.5813	0.37803	0.76085	0.11381	0.44583
ABLIM2	4	0.10068	1.2145	0.33065	0.72861	0.22457	0.47875
ABLIM3	4	0.21144	1.6708	0.057379	0.37873	0.094769	0.44583
ABO	4	0.076778	1.3758	0.42656	0.793	0.16889	0.44733
