Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
KIAA1644	4	-0.44148	-1.9688	0.20764	0.77008	0.048973	0.49681
TRMT61A	4	-0.92784	-1.71	0.019242	0.22995	0.087269	0.60247
HLA-B	4	0.16582	1.1164	0.32697	0.85251	0.26426	0.61493
SNX30	4	-0.11336	-1.0916	0.80604	0.98041	0.27503	0.62015
CLVS2	4	-0.29766	-1.1581	0.393	0.88432	0.24682	0.60706
MTHFD2L	4	0.092737	0.50518	0.53302	0.93626	0.61343	0.78329
ADAMTSL5	4	-0.11845	-0.91689	0.79261	0.97881	0.3592	0.66647
CFAP97	4	0.34362	1.05	0.060064	0.45311	0.29373	0.62859
PRDX6	4	0.40627	1.1958	0.027993	0.29156	0.23179	0.60476
TM4SF20	4	0.044659	0.72635	0.68894	0.9643	0.46763	0.73502
SPRR4	4	0.31502	1.1868	0.082339	0.53368	0.23533	0.60512
ZNF709	4	0.23465	1.4846	0.18616	0.74036	0.13766	0.60247
C22orf24	4	0.11779	0.79542	0.4558	0.91178	0.42637	0.70968
FUT5	4	-0.016348	-0.097559	0.89439	0.98933	0.92228	0.96216
OPA1	4	-0.77684	-2.5071	0.039081	0.35199	0.012174	0.24027
ZDHHC4	4	-0.14456	-0.53883	0.71599	0.96976	0.59	0.77109
PHIP	4	-0.018716	-0.1179	0.9012	0.98968	0.90615	0.95311
E2F5	4	0.34014	1.5042	0.061903	0.45705	0.13252	0.60247
PIP5K1B	4	0.085581	0.5145	0.55504	0.94014	0.60691	0.77901
PPP1CA	4	-0.082999	-0.6207	0.89554	0.98933	0.5348	0.75846
ETS1	4	0.16931	0.90018	0.31886	0.85129	0.36802	0.6716
COBLL1	4	0.0063382	0.059478	0.81608	0.98217	0.95257	0.9778
G3BP1	4	-1.4131	-3.2475	0.001243	0.035063	0.0011643	0.065223
CCDC107	4	-0.23939	-1.3405	0.49722	0.92475	0.1801	0.60247
TRIM42	4	0.28448	0.92417	0.11446	0.61998	0.3554	0.66506
OR2A2	4	-0.04919	-0.35046	0.9992	0.9997	0.72599	0.85199
LIAS	4	-0.6351	-2.3532	0.082786	0.53481	0.018611	0.3051
CDC42	4	-2.167	-4.3928	4.9722e-05	0.0028986	1.119e-05	0.0056731
LOC149373	4	0.27042	1.3439	0.13072	0.64835	0.17899	0.60247
NPIPA5	4	-0.55598	-1.669	0.12077	0.62936	0.095126	0.60247
EIF2B2	4	-1.5633	-2.7376	0.00049722	0.015924	0.0061893	0.1625
CLUH	4	-0.053749	-0.64714	0.98722	0.99879	0.51754	0.75567
HAUS2	4	-0.45989	-1.0817	0.19247	0.75165	0.27937	0.62168
SPATA31E1	4	0.085301	0.45309	0.55589	0.94014	0.65049	0.80697
PGLYRP3	4	0.13836	1.1622	0.39713	0.8862	0.24517	0.60706
PNPLA4	4	0.31837	1.0603	0.079554	0.52511	0.289	0.62602
TRIM29	4	0.11228	0.92818	0.47305	0.91842	0.35332	0.66392
CSHL1	4	-0.67655	-2.0316	0.066875	0.47831	0.042195	0.46247
SLC25A41	4	-0.2759	-1.7677	0.4289	0.89995	0.077112	0.60247
LILRA5	4	0.053744	0.41499	0.65797	0.95962	0.67815	0.8244
CALHM3	4	0.18848	1.1956	0.27586	0.82636	0.23187	0.60476
KRT74	4	-0.056411	-0.32768	0.97902	0.99879	0.74315	0.86141
POLDIP2	4	-0.10308	-1.7999	0.83637	0.98572	0.071881	0.58967
DYTN	4	0.055365	0.20039	0.65324	0.95962	0.84118	0.91788
OR10A7	4	0.4648	1.3619	0.012629	0.1775	0.17322	0.60247
DYNLRB2	4	0.10372	1.0128	0.49881	0.92478	0.31118	0.63755
MINOS1-NBL1	4	-0.11295	-0.39396	0.80758	0.98075	0.69361	0.83348
TRIM14	4	-0.029473	-0.15375	0.93785	0.99525	0.87781	0.93894
ARF5	4	0.12402	0.73929	0.43785	0.90426	0.45973	0.7304
ZNF32	4	-0.17925	-0.75235	0.62873	0.9574	0.45184	0.72568
CGREF1	4	0.58448	1.2961	0.0013425	0.036635	0.19494	0.60247
SEBOX	4	-0.078993	-0.41202	0.90851	0.99138	0.68033	0.82529
H2AFB3	4	-0.10481	-0.65007	0.83085	0.9848	0.51565	0.75567
