Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
KIAA1644	4	0.12915	0.78703	0.27362	0.84476	0.43127	0.71772
TRMT61A	4	-0.53114	-1.4044	0.053351	0.48075	0.1602	0.58307
HLA-B	4	-0.014008	-0.19705	0.9012	0.99113	0.84379	0.92163
SNX30	4	-0.03694	-0.43098	0.98827	0.99884	0.66648	0.81823
CLVS2	4	-0.06746	-0.43036	0.85009	0.98924	0.66694	0.81844
MTHFD2L	4	-0.036259	-0.2569	0.9914	0.9989	0.79726	0.89799
ADAMTSL5	4	-0.078267	-0.80575	0.80435	0.98347	0.42038	0.71075
CFAP97	4	0.080358	0.7601	0.45381	0.92885	0.44719	0.72822
PRDX6	4	0.13536	1.0694	0.25393	0.82812	0.2849	0.62425
TM4SF20	4	0.04185	0.35537	0.62813	0.96393	0.72232	0.85425
SPRR4	4	-0.051743	-0.43867	0.92025	0.99334	0.6609	0.8146
ZNF709	4	-0.01224	-0.10459	0.8928	0.99062	0.9167	0.9591
C22orf24	4	0.37877	1.4785	0.0024364	0.079032	0.13928	0.58307
FUT5	4	-0.22992	-1.6135	0.34462	0.8851	0.10663	0.58307
OPA1	4	-0.4058	-2.183	0.11804	0.67348	0.029038	0.58307
ZDHHC4	4	0.0087965	0.093268	0.79306	0.98347	0.92569	0.96404
PHIP	4	-0.29113	-0.95786	0.23837	0.81804	0.33813	0.65778
E2F5	4	-0.080996	-0.54744	0.79276	0.98347	0.58408	0.76736
PIP5K1B	4	0.27427	1.1052	0.027993	0.34689	0.26905	0.61445
PPP1CA	4	-0.050407	-0.43726	0.92681	0.99381	0.66192	0.81522
ETS1	4	0.04692	0.50048	0.60442	0.96315	0.61674	0.78799
COBLL1	4	-0.20997	-1.5037	0.38629	0.90281	0.13266	0.58307
G3BP1	4	-0.73432	-2.5186	0.012778	0.2325	0.011781	0.53205
CCDC107	4	-0.2393	-1.5653	0.32478	0.8755	0.11751	0.58307
TRIM42	4	-0.090533	-0.43503	0.75557	0.98228	0.66354	0.81612
OR2A2	4	0.063378	0.86828	0.52799	0.94893	0.38524	0.68927
LIAS	4	-0.27233	-1.7265	0.26641	0.83719	0.084256	0.58307
CDC42	4	-1.2152	-2.7011	0.00044749	0.031579	0.006912	0.46444
LOC149373	4	-0.2421	-1.1556	0.31991	0.87182	0.24785	0.60318
NPIPA5	4	-0.46769	-1.3471	0.080052	0.56797	0.17794	0.58307
EIF2B2	4	-0.8282	-2.0309	0.0061655	0.14486	0.042265	0.58307
CLUH	4	-0.28011	-1.5102	0.25457	0.8284	0.13099	0.58307
HAUS2	4	0.1901	0.68433	0.12256	0.68455	0.49376	0.74686
SPATA31E1	4	0.020626	0.17252	0.73409	0.98072	0.86303	0.93173
PGLYRP3	4	0.084385	1.0853	0.43636	0.92282	0.2778	0.61921
PNPLA4	4	0.12059	1.3451	0.30161	0.86091	0.1786	0.58307
TRIM29	4	0.17802	0.93003	0.14663	0.71839	0.35235	0.66867
CSHL1	4	-0.60605	-2.0456	0.031822	0.36994	0.0408	0.58307
SLC25A41	4	-0.16945	-0.88279	0.48876	0.93727	0.37735	0.68464
