Gene	sgRNA	7qDi|beta	7qDi|z	7qDi|p-value	7qDi|fdr	7qDi|wald-p-value	7qDi|wald-fdr
KIAA1644	4	0.056904	0.59314	0.40837	0.92531	0.55309	0.72738
TRMT61A	4	-0.36058	-1.1656	0.16098	0.75029	0.24379	0.55277
HLA-B	4	0.063188	0.96222	0.37178	0.91766	0.33594	0.61296
SNX30	4	-0.0012707	-0.047462	0.80362	0.98491	0.96214	0.9801
CLVS2	4	0.081239	0.54886	0.27712	0.87742	0.5831	0.75011
MTHFD2L	4	0.20213	1.338	0.01223	0.19309	0.1809	0.51795
ADAMTSL5	4	-0.058295	-0.9707	0.8334	0.98846	0.3317	0.61103
CFAP97	4	0.09793	1.4752	0.2016	0.80396	0.14015	0.51558
PRDX6	4	0.081039	0.89712	0.27797	0.87802	0.36965	0.63661
TM4SF20	4	0.15393	1.7154	0.053595	0.46646	0.086272	0.51558
SPRR4	4	0.12393	1.3771	0.1143	0.6613	0.16847	0.51558
ZNF709	4	0.11108	1.3861	0.15472	0.73832	0.16571	0.51558
C22orf24	4	0.081548	1.1122	0.27538	0.87559	0.26604	0.56667
FUT5	4	0.0096305	0.18522	0.7276	0.97471	0.85306	0.91898
OPA1	4	-0.20227	-1.4646	0.36194	0.91343	0.14303	0.51558
ZDHHC4	4	0.052414	1.1494	0.43696	0.93513	0.25038	0.55804
PHIP	4	-0.28157	-1.6525	0.24297	0.83922	0.098439	0.51558
E2F5	4	0.13175	1.4079	0.096749	0.62212	0.15917	0.51558
PIP5K1B	4	0.1277	1.4079	0.10629	0.64651	0.15916	0.51558
PPP1CA	4	-0.10059	-1.365	0.63468	0.96508	0.17225	0.51558
ETS1	4	0.57265	1.3578	0	0	0.17451	0.51652
COBLL1	4	-0.014778	-0.24459	0.89957	0.99074	0.80677	0.89241
G3BP1	4	-0.92028	-2.8676	0.0048225	0.10464	0.0041363	0.23436
CCDC107	4	-0.11801	-1.5001	0.57105	0.95879	0.1336	0.51558
TRIM42	4	0.056896	1.0207	0.40852	0.92534	0.3074	0.59271
OR2A2	4	0.16526	1.5218	0.039326	0.39471	0.12806	0.51558
LIAS	4	-0.29963	-2.1159	0.22208	0.82858	0.034356	0.51558
CDC42	4	-1.4618	-3.1864	9.9433e-05	0.0074074	0.0014405	0.15794
LOC149373	4	0.096172	0.883	0.20896	0.81515	0.37724	0.64244
NPIPA5	4	-0.43415	-1.8574	0.10301	0.63844	0.063254	0.51558
EIF2B2	4	-1.1158	-2.6962	0.0013423	0.044702	0.0070141	0.29577
CLUH	4	0.0035432	0.052119	0.77006	0.98001	0.95843	0.97813
HAUS2	4	-0.23892	-1.5984	0.30178	0.89029	0.10995	0.51558
SPATA31E1	4	-0.036801	-0.37499	0.95535	0.99591	0.70767	0.83394
PGLYRP3	4	0.045533	0.84694	0.48136	0.94446	0.39703	0.65811
PNPLA4	4	0.031092	0.57919	0.57671	0.95923	0.56246	0.73374
TRIM29	4	0.03675	0.43938	0.53798	0.95638	0.66038	0.80343
CSHL1	4	-0.40127	-1.6714	0.12563	0.68359	0.094649	0.51558
SLC25A41	4	-0.12202	-0.97424	0.55747	0.9565	0.32994	0.60979
LILRA5	4	0.074992	1.1339	0.30785	0.89441	0.25685	0.56162
CALHM3	4	0.011544	0.28934	0.71502	0.97395	0.77232	0.87246
KRT74	4	-0.015604	-0.1715	0.90524	0.99124	0.86383	0.925
POLDIP2	4	-0.063192	-1.0583	0.80685	0.98491	0.28993	0.58207
DYTN	4	0.06568	1.0634	0.35846	0.91294	0.2876	0.58027
