Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
A1BG	4	0.16537	0.94111	0.24612	0.70672	0.34665	0.60613
A2M	4	0.39261	1.2568	0.0096957	0.14851	0.20882	0.51456
NAT1	4	-0.10356	-1.4449	0.8207	0.96509	0.14848	0.50807
NAT2	4	0.077825	0.99137	0.51507	0.87061	0.3215	0.59026
SERPINA3	4	0.14378	0.83359	0.30454	0.75357	0.40451	0.65153
AADAC	4	0.12849	1.3751	0.3486	0.78285	0.16911	0.50807
AAMP	4	-1.0479	-2.3382	0.0056683	0.10546	0.019378	0.34067
AANAT	4	-0.18748	-1.6007	0.58075	0.89761	0.10945	0.50807
AARS	4	-1.4303	-2.887	0.00089499	0.038462	0.0038895	0.17319
ABAT	4	0.035238	0.31776	0.67393	0.92912	0.75067	0.85635
ABCA1	4	0.040699	0.40555	0.65339	0.92443	0.68507	0.81402
ABCA2	4	-0.19738	-1.8834	0.55469	0.88656	0.059648	0.50807
ABCA3	4	-0.16698	-1.1708	0.63166	0.91732	0.24168	0.53293
ABCB7	4	-1.4016	-2.2173	0.00094471	0.038462	0.026604	0.39342
ABCF1	4	-1.1682	-3.0278	0.0030827	0.077019	0.0024633	0.13658
ABCA4	4	0.0082286	0.065968	0.77581	0.95472	0.9474	0.9719
ABL1	4	-0.20271	-1.1356	0.54281	0.88347	0.25612	0.5421
AOC1	4	0.11389	0.81718	0.39449	0.81183	0.41383	0.65872
ABL2	4	0.00042554	0.0021837	0.80619	0.96168	0.99826	0.99905
ABO	4	0.087404	1.2063	0.48245	0.85574	0.2277	0.52405
ABR	4	-0.29288	-1.6761	0.35939	0.78993	0.093719	0.50807
ACAA1	4	0.059323	0.21476	0.581	0.89761	0.82995	0.90604
ACACA	4	-1.0135	-2.6939	0.0071102	0.12413	0.0070626	0.22517
ACACB	4	0.22538	1.3126	0.12684	0.56869	0.18933	0.50837
ACADL	4	-0.17492	-1.8174	0.61282	0.91055	0.069148	0.50807
ACADM	4	-0.12016	-0.99176	0.76865	0.95285	0.32131	0.59026
ACADS	4	-0.15139	-1.1973	0.67243	0.92831	0.23118	0.5256
ACADSB	4	0.20026	1.3459	0.1693	0.62679	0.17832	0.50807
ACADVL	4	0.096008	0.69735	0.45271	0.84011	0.48558	0.71494
ACAT1	4	0.24118	0.9395	0.10372	0.52332	0.34747	0.60668
ACAT2	4	-0.01386	-0.36723	0.86038	0.97535	0.71345	0.83164
ASIC2	4	0.049479	0.96853	0.61958	0.91276	0.33278	0.59752
ASIC1	4	-0.20038	-1.9144	0.54758	0.88467	0.055566	0.50211
