Gene	sgRNA	Cont2|beta	Cont2|z	Cont2|p-value	Cont2|fdr	Cont2|wald-p-value	Cont2|wald-fdr
AAK1	6	-0.16437	-0.91885	0.6405	0.93924	0.35817	0.66038
AATK	6	-0.13449	-0.63221	0.72042	0.95783	0.52725	0.78028
ABL1	6	-0.17546	-1.1584	0.61121	0.92364	0.24668	0.58433
ABL2	6	0.22445	0.96808	0.22696	0.7125	0.333	0.63849
ACVR1	6	-0.18194	-0.94191	0.59386	0.92151	0.34624	0.64823
ACVR1B	6	0.31341	1.2519	0.1021	0.52256	0.21062	0.55923
ACVR1C	6	0.035572	0.23527	0.73379	0.96058	0.814	0.92329
ACVR2A	6	-0.043966	-0.21214	0.99943	0.99972	0.832	0.93163
ACVRL1	6	-0.028753	-0.15853	0.94482	0.98957	0.87404	0.95158
ADCK1	6	0.075681	0.44192	0.60267	0.92151	0.65855	0.84046
ADCK2	6	0.0048167	0.026064	0.83561	0.97907	0.97921	0.99553
ADCK3	6	0.082063	0.43815	0.58561	0.92043	0.66128	0.84055
ADCK4	6	0.2097	1.3965	0.26024	0.75102	0.16257	0.51583
ADCK5	6	-0.14985	-1.1949	0.68231	0.94471	0.23213	0.57316
ADRBK1	6	0.025947	0.1447	0.76792	0.97496	0.88494	0.95676
ADRBK2	6	0.099482	0.70417	0.53555	0.90057	0.48133	0.75755
AK1	6	-0.56273	-2.3447	0.064846	0.44101	0.019043	0.24172
AK2	6	0.069329	0.42809	0.62173	0.92827	0.66859	0.84423
AK3	6	-0.076489	-0.36133	0.89733	0.98455	0.71785	0.86812
AKT1	6	-0.23757	-1.1695	0.45449	0.86942	0.2422	0.58152
AKT2	6	-0.14304	-0.68433	0.70137	0.95216	0.49376	0.76462
AKT3	6	0.1164	0.90104	0.49289	0.8867	0.36757	0.66802
ALK	6	-0.092822	-1.2064	0.84386	0.97954	0.22768	0.56909
AMHR2	6	-0.012282	-0.091632	0.89505	0.98437	0.92699	0.97534
ANKK1	6	-0.12837	-0.97073	0.73891	0.96232	0.33168	0.63848
