Gene	sgRNA	Ts8|beta	Ts8|z	Ts8|p-value	Ts8|fdr	Ts8|wald-p-value	Ts8|wald-fdr
AAK1	6	1.4445	0.79784	0.0059727	0.12281	0.42496	0.68706
AATK	6	-0.07288	-0.23046	0.88311	0.97098	0.81774	0.89653
ABL1	6	-0.010113	-0.033709	0.97156	0.99014	0.97311	0.98629
ABL2	6	0.56414	0.85785	0.29494	0.76815	0.39098	0.66631
ACVR1	6	-0.084428	-0.18519	0.8632	0.96719	0.85308	0.91514
ACVR1B	6	0.28437	0.71764	0.60922	0.89809	0.47298	0.7142
ACVR1C	6	-1.1935	-2.413	0.052901	0.41611	0.015821	0.17716
ACVR2A	6	0.9087	1.0479	0.083333	0.50427	0.29469	0.65385
ACVRL1	6	-0.029952	-0.0869	0.94681	0.98462	0.93075	0.95907
ADCK1	6	0.55711	0.86541	0.30148	0.77276	0.38681	0.66604
ADCK2	6	-0.20264	-0.49212	0.69625	0.92412	0.62264	0.80283
ADCK3	6	1.1252	0.91072	0.034414	0.34278	0.36244	0.65834
ADCK4	6	-0.67304	-1.3929	0.23549	0.73356	0.16366	0.65385
ADCK5	6	-0.87942	-2.2918	0.13709	0.61795	0.021918	0.22209
ADRBK1	6	-0.0801	-0.2159	0.87088	0.96878	0.82906	0.90219
ADRBK2	6	-0.2205	-0.43871	0.67179	0.91306	0.66087	0.82359
AK1	6	-0.28414	-0.86821	0.59954	0.89809	0.38528	0.66587
AK2	6	-0.22814	-0.85034	0.66496	0.91205	0.39514	0.66727
AK3	6	-0.87509	-1.9583	0.13908	0.62047	0.050189	0.40197
AKT1	6	0.84831	0.90686	0.11064	0.56377	0.36448	0.65834
AKT2	6	-0.65233	-1.4135	0.24858	0.73693	0.1575	0.65385
AKT3	6	-0.34662	-0.93928	0.53299	0.8782	0.34759	0.65543
ALK	6	-0.26315	-0.77958	0.62457	0.90037	0.43564	0.69465
AMHR2	6	0.53637	1.032	0.3211	0.78896	0.30207	0.65385
ANKK1	6	-0.065451	-0.30016	0.89477	0.9719	0.76406	0.87226
ARAF	6	0.49875	0.95047	0.35381	0.81467	0.34187	0.65543
ATM	6	-0.59848	-1.2358	0.29209	0.76506	0.21653	0.65385
ATR	6	-3.1987	-5.0236	0.004835	0.12102	5.071e-07	3.876e-05
AURKA	6	-0.51884	-1.0057	0.35609	0.8167	0.31458	0.65385
AURKB	6	-2.5044	-3.6719	0.0054039	0.12102	0.00024078	0.0063653
AURKC	6	-0.45428	-1.2389	0.41923	0.84478	0.21537	0.65385
AXL	6	0.60071	0.82583	0.26479	0.751	0.4089	0.67752
BCR	6	0.47798	0.79238	0.37799	0.82983	0.42814	0.68917
BLK	6	0.32422	0.74412	0.55404	0.88366	0.4568	0.70381
BMP2K	6	0.19397	0.82854	0.73066	0.93264	0.40737	0.67625
BMPR1A	6	-0.36239	-0.66204	0.51678	0.87625	0.50795	0.73268
BMPR1B	6	0.13552	0.32222	0.81485	0.96012	0.74729	0.86475
BMPR2	6	-1.2177	-2.6459	0.049488	0.4	0.0081474	0.11044
BRAF	6	-0.59536	-1.7228	0.29437	0.76723	0.084922	0.54988
BRSK1	6	0.27788	0.62889	0.61746	0.89859	0.52942	0.74816
BRSK2	6	-0.083408	-0.19105	0.86519	0.96817	0.84849	0.91372
BTK	6	0.39927	0.81507	0.46104	0.85767	0.41503	0.6821
BUB1	6	-0.66693	-1.6541	0.23976	0.73356	0.098109	0.5968
BUB1B	6	-0.85328	-1.7367	0.14704	0.62156	0.082441	0.54281
CAMK1	6	-0.041452	-0.085592	0.92947	0.97991	0.93179	0.95907
CAMK1D	6	0.83461	0.99186	0.11917	0.57953	0.32126	0.65385
CAMK1G	6	-0.3586	-0.7553	0.52133	0.87625	0.45007	0.70274
CAMK2A	6	0.68265	1.2134	0.20677	0.70858	0.22499	0.65385
CAMK2B	6	0.18906	0.39592	0.73635	0.93264	0.69217	0.83898
CAMK2D	6	0.18697	0.44323	0.73862	0.93324	0.6576	0.82077
