Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
KIAA1644	4	0.49348	1.3952	0.0069106	0.096327	0.16296	0.53615
TRMT61A	4	-1.2254	-2.1014	0.0076564	0.10356	0.035608	0.34802
HLA-B	4	0.072846	0.93639	0.55538	0.90103	0.34907	0.62432
SNX30	4	0.23308	1.5304	0.16665	0.62783	0.12592	0.53615
CLVS2	4	0.2394	1.0896	0.15591	0.60964	0.2759	0.57187
MTHFD2L	4	-0.083086	-0.67173	0.9561	0.99146	0.50175	0.73308
ADAMTSL5	4	-0.12989	-0.75278	0.82738	0.9697	0.45158	0.70285
CFAP97	4	0.262	1.414	0.12305	0.54817	0.15736	0.53615
PRDX6	4	0.12946	1.0135	0.39276	0.83177	0.31081	0.59778
TM4SF20	4	0.14699	0.83686	0.34598	0.80016	0.40267	0.66563
SPRR4	4	0.056855	0.47356	0.60744	0.91711	0.63581	0.78465
ZNF709	4	0.099456	0.92145	0.47315	0.86977	0.35682	0.63095
C22orf24	4	0.28273	1.2465	0.10018	0.50112	0.21258	0.54229
FUT5	4	0.15011	0.65057	0.33832	0.79527	0.51532	0.73953
OPA1	4	-1.6309	-2.9889	0.0012429	0.029727	0.0028001	0.079103
ZDHHC4	4	-0.10557	-1.648	0.89341	0.98079	0.099353	0.53615
PHIP	4	-0.72856	-2.2009	0.074674	0.42902	0.027744	0.30361
E2F5	4	0.1995	1.1516	0.22696	0.69727	0.24949	0.55677
PIP5K1B	4	0.11289	0.79385	0.43696	0.85386	0.42728	0.68508
PPP1CA	4	-0.3026	-1.7139	0.46241	0.86628	0.086552	0.53615
ETS1	4	0.22583	0.97561	0.17953	0.64597	0.32926	0.61061
COBLL1	4	0.090898	0.81303	0.5004	0.88096	0.4162	0.67637
G3BP1	4	-0.59818	-2.2778	0.13692	0.57712	0.02274	0.27
CCDC107	4	-0.23496	-1.6426	0.58681	0.91138	0.10046	0.53615
TRIM42	4	0.11368	1.0525	0.43497	0.85256	0.29258	0.58517
OR2A2	4	0.32662	1.2134	0.059511	0.37947	0.22499	0.54432
LIAS	4	-1.9137	-3.8749	0.00019887	0.0069565	0.00010667	0.010141
CDC42	4	-1.7492	-3.8222	0.00049717	0.014706	0.00013225	0.01177
LOC149373	4	0.31945	1.448	0.065029	0.40061	0.14761	0.53615
NPIPA5	4	-0.50521	-1.2846	0.20443	0.67408	0.19892	0.5391
EIF2B2	4	-1.6254	-2.4902	0.0012429	0.029727	0.012767	0.19571
CLUH	4	-1.6837	-3.623	0.00099433	0.026631	0.00029119	0.018695
HAUS2	4	-0.4294	-1.1416	0.28179	0.755	0.25364	0.55844
SPATA31E1	4	0.0016233	0.010028	0.78398	0.96385	0.992	0.99636
PGLYRP3	4	0.11914	1.3555	0.41996	0.84453	0.17524	0.53615
PNPLA4	4	0.14989	1.1326	0.33882	0.79527	0.25739	0.56157
TRIM29	4	-0.060541	-0.58425	0.97589	0.99503	0.55905	0.75063
CSHL1	4	-0.34905	-1.0423	0.38978	0.82954	0.29727	0.58897
SLC25A41	4	-0.0048648	-0.014154	0.80471	0.96633	0.98871	0.99487
LILRA5	4	-0.0288	-0.28499	0.88093	0.9796	0.77565	0.87614
CALHM3	4	0.24679	1.4446	0.14477	0.59151	0.14857	0.53615
KRT74	4	-0.13163	-0.65433	0.82291	0.96801	0.5129	0.73868
POLDIP2	4	-0.48908	-2.2394	0.21885	0.69082	0.025133	0.28706
DYTN	4	-0.012396	-0.093034	0.82848	0.96975	0.92588	0.96268
OR10A7	4	0.10788	0.93805	0.45003	0.86029	0.34822	0.62317
DYNLRB2	4	0.017732	0.12749	0.73272	0.94984	0.89855	0.94837
MINOS1-NBL1	4	-0.16795	-0.63133	0.73247	0.94984	0.52783	0.74365
TRIM14	4	0.1129	1.3769	0.43686	0.85377	0.16854	0.53615
ARF5	4	-0.38739	-1.786	0.33415	0.79337	0.074094	0.50556
ZNF32	4	0.14657	0.58988	0.34752	0.80123	0.55527	0.74969
CGREF1	4	0.07053	0.87467	0.56339	0.90347	0.38176	0.64914
SEBOX	4	0.051644	0.256	0.62404	0.92187	0.79795	0.88885
H2AFB3	4	-0.69664	-2.0152	0.08775	0.46792	0.043887	0.38956
ZAR1	4	0.074489	0.60414	0.55021	0.89937	0.54575	0.74768
MTHFD2	4	0.10631	0.67721	0.45391	0.86181	0.49827	0.73133
ADAMTS4	4	0.005767	0.060232	0.77135	0.9605	0.95197	0.97549
SLC12A6	4	-0.24802	-0.98681	0.56055	0.90323	0.32373	0.60641
HDLBP	4	-0.91909	-1.0215	0.031868	0.26731	0.307	0.59466
FAM149B1	4	0.23522	0.90961	0.16297	0.62237	0.36303	0.63516
NCLN	4	-0.43842	-1.9378	0.2721	0.74778	0.052645	0.42658
TAF10	4	-1.0136	-2.2142	0.020782	0.2036	0.026817	0.29867
EHHADH	4	0.27779	1.5528	0.10565	0.51315	0.12048	0.53615
ACPT	4	-0.28601	-1.8179	0.49011	0.87714	0.069079	0.4889
MRPS10	4	-1.7763	-2.769	0.00039773	0.012442	0.0056223	0.12058
INTS7	4	-1.3218	-2.9484	0.0045242	0.071205	0.0031938	0.086379
DEDD2	4	0.01037	0.14372	0.75624	0.95673	0.88572	0.94095
DNAH6	4	0.047774	0.59152	0.63722	0.92508	0.55417	0.74969
LYZL6	4	-0.27618	-1.0258	0.50781	0.88411	0.30498	0.59315
CCDC102B	4	0.34076	1.42	0.050512	0.3483	0.15561	0.53615
SLC35G3	4	-0.15135	-1.2214	0.77434	0.96133	0.22193	0.54419
SLC26A1	4	0.16724	1.2839	0.29636	0.76423	0.19918	0.5393
DCBLD2	4	0.13565	1.1653	0.37626	0.82261	0.24391	0.55469
ANPEP	4	0.44063	1.4446	0.013921	0.15385	0.14858	0.53615
ABCB7	4	-1.5873	-2.2189	0.0015909	0.036364	0.026494	0.29655
TANC2	4	0.21975	1.3221	0.18912	0.65688	0.18614	0.53742
ZMYND15	4	-0.038159	-0.58543	0.90902	0.98312	0.55826	0.75058
DOCK8	4	-0.057701	-0.44926	0.96684	0.99281	0.65324	0.79628
CLEC1A	4	0.11068	0.67692	0.44288	0.85728	0.49846	0.7315
SLC16A1	4	0.063592	0.38986	0.58477	0.91051	0.69664	0.82619
CKMT1A	4	-0.24315	-0.28789	0.5697	0.90542	0.77343	0.87506
MOCS2	4	0.24936	1.1021	0.14159	0.58453	0.2704	0.56826
NF1	4	0.4297	1.1408	0.016158	0.17096	0.25394	0.55849
UQCRHL	4	-0.6438	-2.075	0.11141	0.52458	0.037986	0.35989
DMKN	4	-0.37234	-2.1061	0.35572	0.80629	0.035197	0.34603
NCKIPSD	4	0.12553	1.0239	0.40305	0.83672	0.30588	0.59375
FLAD1	4	-0.29857	-1.2406	0.46863	0.86874	0.21476	0.54306
HDAC11	4	0.0086292	0.056196	0.76186	0.95774	0.95519	0.97719
MAP3K15	4	0.11476	0.65615	0.43194	0.85146	0.51173	0.73816
CTSG	4	-0.27363	-1.5861	0.51258	0.88502	0.11271	0.53615
CCDC6	4	-0.015993	-0.081385	0.83996	0.97098	0.93514	0.96726
HOOK2	4	-0.1651	-0.82579	0.73993	0.95136	0.40892	0.67102
DMRTA1	4	0.13516	0.73616	0.3773	0.82266	0.46163	0.71054
ATG5	4	-0.10778	-0.42943	0.88759	0.97986	0.66761	0.80639
CYP3A4	4	-0.42865	-1.1047	0.28259	0.755	0.26929	0.56715
DNAJC25-GNG10	4	0.1903	0.85979	0.24575	0.72022	0.3899	0.65599
RWDD3	4	0.017074	0.35794	0.73466	0.95031	0.72039	0.8415
SUCLA2	4	-0.915	-2.4099	0.032167	0.2688	0.015955	0.22146
PKLR	4	-0.19334	-0.82312	0.67281	0.93574	0.41044	0.67186
