Gene	sgRNA	Control|beta	Control|z	Control|p-value	Control|fdr	Control|wald-p-value	Control|wald-fdr
KIAA1644	4	0.056951	1.033	0.58158	0.90625	0.30161	0.565
TRMT61A	4	-1.0949	-1.7103	0.014318	0.17465	0.087215	0.5
HLA-B	4	-0.0051853	-0.057735	0.80655	0.96245	0.95396	0.97517
SNX30	4	-0.20301	-1.6613	0.61793	0.92088	0.096659	0.5
CLVS2	4	0.10005	1.3938	0.43815	0.83869	0.16337	0.5
MTHFD2L	4	0.11795	0.53773	0.38182	0.80554	0.59077	0.75078
ADAMTSL5	4	-0.24481	-1.7415	0.53127	0.88395	0.081602	0.5
CFAP97	4	0.30178	1.5602	0.053147	0.37131	0.11871	0.5
PRDX6	4	0.22477	1.2921	0.13926	0.57418	0.19631	0.50354
TM4SF20	4	0.071519	1.5103	0.5343	0.88518	0.13096	0.5
SPRR4	4	-0.21204	-1.4782	0.59824	0.91242	0.13936	0.5
ZNF709	4	0.17074	1.1247	0.24292	0.69914	0.26071	0.53684
C22orf24	4	0.053985	0.68626	0.59262	0.90981	0.49255	0.71311
FUT5	4	0.33985	1.4799	0.029681	0.26194	0.1389	0.5
OPA1	4	-1.0884	-2.2953	0.015114	0.18106	0.021715	0.28292
ZDHHC4	4	0.30486	1.3704	0.050413	0.35868	0.17056	0.5
PHIP	4	-0.24022	-1.2683	0.54067	0.88878	0.2047	0.50624
E2F5	4	0.090588	1.1412	0.46913	0.85556	0.25379	0.53148
PIP5K1B	4	0.2396	1.4532	0.11673	0.5343	0.14617	0.5
PPP1CA	4	-0.079454	-0.76111	0.93989	0.98628	0.44659	0.67952
ETS1	4	0.093821	0.48275	0.45804	0.84897	0.62927	0.77267
COBLL1	4	0.57641	0.96755	0.0019389	0.053476	0.33327	0.58978
G3BP1	4	-0.34748	-1.8165	0.36636	0.79754	0.069294	0.48461
CCDC107	4	0.050023	0.44936	0.60774	0.91657	0.65317	0.78925
TRIM42	4	-0.099769	-1.6297	0.87775	0.97499	0.10317	0.5
OR2A2	4	0.1215	1.2031	0.37099	0.79951	0.22895	0.51719
LIAS	4	-1.547	-3.4304	0.0019887	0.053476	0.00060279	0.033218
CDC42	4	-1.4655	-3.2124	0.0027344	0.063879	0.0013165	0.05404
LOC149373	4	0.094771	0.6041	0.4554	0.84815	0.54578	0.73651
NPIPA5	4	-0.90275	-2.248	0.033608	0.27899	0.024579	0.30142
EIF2B2	4	-1.5871	-2.5475	0.0017898	0.052174	0.010851	0.19011
CLUH	4	-0.49173	-2.3291	0.20195	0.65512	0.019854	0.27001
HAUS2	4	0.19486	0.59525	0.19295	0.64571	0.55168	0.73666
SPATA31E1	4	0.16434	1.3209	0.25793	0.71707	0.18655	0.50162
PGLYRP3	4	0.17655	1.0893	0.23069	0.6871	0.27601	0.54751
PNPLA4	4	0.095771	0.75369	0.45227	0.84584	0.45104	0.68299
TRIM29	4	-0.28152	-1.2391	0.46669	0.85398	0.21531	0.5108
CSHL1	4	-0.54381	-1.658	0.16287	0.607	0.097324	0.5
SLC25A41	4	-0.19704	-1.3821	0.631	0.92622	0.16694	0.5
LILRA5	4	-0.012948	-0.071344	0.83424	0.96815	0.94312	0.96929
CALHM3	4	0.21669	1.2211	0.15348	0.59503	0.22203	0.51342
KRT74	4	-0.021235	-0.2659	0.86492	0.97315	0.79032	0.88074
POLDIP2	4	-0.39685	-2.207	0.30223	0.75356	0.027315	0.31998
DYTN	4	0.23511	1.0961	0.12384	0.54857	0.27304	0.54537
OR10A7	4	-0.1804	-1.0725	0.66814	0.93595	0.28351	0.55209
DYNLRB2	4	0.016367	0.20345	0.72964	0.9467	0.83878	0.90906
MINOS1-NBL1	4	-0.23508	-1.6195	0.55086	0.89319	0.10534	0.5
TRIM14	4	0.25757	1.4773	0.093567	0.48022	0.13961	0.5
ARF5	4	0.017577	0.14228	0.72522	0.94581	0.88686	0.93742
ZNF32	4	0.2383	1.4062	0.11872	0.53844	0.15968	0.5
CGREF1	4	0.021634	0.4958	0.7113	0.94339	0.62004	0.76658
SEBOX	4	0.11795	0.82253	0.38182	0.80554	0.41077	0.6494
H2AFB3	4	-0.94688	-2.1504	0.027692	0.25259	0.031527	0.34359
ZAR1	4	-0.091451	-0.81746	0.90315	0.98004	0.41366	0.65203
MTHFD2	4	-0.048457	-0.71463	0.95819	0.99166	0.47484	0.70077
ADAMTS4	4	-0.53419	-1.9835	0.16909	0.61674	0.047309	0.41325
SLC12A6	4	0.62803	1.3169	0.0013423	0.042925	0.18787	0.50162
HDLBP	4	-0.27589	-1.4023	0.47544	0.85936	0.16083	0.5
FAM149B1	4	0.10032	0.85385	0.43766	0.83857	0.39319	0.63606
NCLN	4	-0.16742	-1.3514	0.69812	0.94169	0.17656	0.50061
TAF10	4	-1.0369	-2.6204	0.018942	0.20684	0.0087827	0.1657
EHHADH	4	-0.055249	-0.62451	0.9821	0.99748	0.5323	0.73441
ACPT	4	-0.62665	-2.2737	0.114	0.53016	0.022983	0.29129
MRPS10	4	-1.2319	-2.7901	0.0072089	0.11206	0.0052693	0.12267
INTS7	4	-0.69076	-1.4814	0.087849	0.46575	0.1385	0.5
DEDD2	4	-0.1448	-1.4728	0.75455	0.95034	0.1408	0.5
