Gene	sgRNA	1qDi|beta	1qDi|z	1qDi|p-value	1qDi|fdr	1qDi|wald-p-value	1qDi|wald-fdr
KIAA1644	4	-0.76615	-1.7455	0.1248	0.69375	0.080899	0.62124
TRMT61A	4	-0.93776	-2.2597	0.06424	0.54263	0.023841	0.37656
HLA-B	4	-0.1067	-0.32322	0.90966	0.99095	0.74653	0.87702
SNX30	4	0.32581	1.4077	0.28466	0.83406	0.15923	0.69021
CLVS2	4	-0.24338	-0.8885	0.65414	0.95288	0.37427	0.71914
MTHFD2L	4	0.48852	1.393	0.11779	0.68271	0.16361	0.69021
ADAMTSL5	4	-0.027914	-0.57024	0.92741	0.99276	0.56851	0.79974
CFAP97	4	0.38643	1.2234	0.21166	0.78775	0.22119	0.69021
PRDX6	4	0.4848	1.0813	0.12057	0.68731	0.27958	0.69021
TM4SF20	4	-0.054887	-0.23169	0.9821	0.99763	0.81678	0.91307
SPRR4	4	0.32809	0.82125	0.28157	0.83055	0.4115	0.7364
ZNF709	4	0.40827	1.3691	0.18999	0.7727	0.17097	0.69021
C22orf24	4	0.11094	0.49704	0.64365	0.95155	0.61916	0.81682
FUT5	4	0.12143	0.81627	0.6243	0.94784	0.41435	0.73715
OPA1	4	-0.2887	-0.75103	0.57871	0.93498	0.45264	0.75294
ZDHHC4	4	0.023573	0.090925	0.81717	0.97967	0.92755	0.96673
PHIP	4	-1.0583	-1.8227	0.03933	0.44513	0.068356	0.58057
E2F5	4	0.29529	0.75628	0.32722	0.85664	0.44948	0.75176
PIP5K1B	4	-0.035617	-0.1746	0.94292	0.99429	0.86139	0.93564
PPP1CA	4	0.34609	0.94632	0.25875	0.81657	0.34399	0.70425
ETS1	4	-0.19192	-0.54516	0.74657	0.97028	0.58564	0.80617
COBLL1	4	0.2662	0.79418	0.3666	0.86995	0.42709	0.7426
G3BP1	4	0.099294	0.38495	0.66687	0.95514	0.70028	0.8518
CCDC107	4	-0.96117	-2.047	0.058373	0.52016	0.040654	0.4757
TRIM42	4	-0.0086893	-0.020708	0.88534	0.98745	0.98348	0.99276
OR2A2	4	-0.64083	-1.4418	0.19317	0.77514	0.14936	0.69021
LIAS	4	-0.44235	-1.7334	0.36859	0.86995	0.083026	0.62787
CDC42	4	-1.4563	-2.5387	0.0070107	0.2	0.011128	0.26361
LOC149373	4	0.87484	1.1137	0.0043755	0.15742	0.26541	0.69021
NPIPA5	4	-1.3542	-3.1165	0.011287	0.24918	0.0018302	0.11387
EIF2B2	4	-1.621	-2.7051	0.0034805	0.14056	0.0068289	0.21293
CLUH	4	-0.97902	-2.2434	0.053948	0.50867	0.024874	0.38511
HAUS2	4	-0.34568	-0.53045	0.49155	0.91946	0.5958	0.80795
SPATA31E1	4	-0.56551	-1.2349	0.24702	0.80636	0.21686	0.69021
PGLYRP3	4	-0.34394	-1.2662	0.49378	0.91946	0.20544	0.69021
PNPLA4	4	0.16039	0.47293	0.55072	0.93441	0.63626	0.82288
TRIM29	4	0.069266	0.27405	0.72589	0.9676	0.78404	0.89626
CSHL1	4	-0.65985	-1.6131	0.18059	0.76331	0.10673	0.69021
SLC25A41	4	0.26013	0.47324	0.37515	0.87356	0.63605	0.8228
LILRA5	4	0.014493	0.029823	0.83681	0.98295	0.97621	0.98889
CALHM3	4	-0.21373	-0.57616	0.70734	0.96457	0.56451	0.79851
KRT74	4	0.49929	0.87987	0.11058	0.66998	0.37893	0.72026
POLDIP2	4	0.10595	0.54187	0.65304	0.95288	0.58791	0.80674
DYTN	4	-0.56111	-1.2026	0.25144	0.81276	0.22914	0.69021
OR10A7	4	-0.074374	-0.27478	0.97763	0.99763	0.78349	0.89626
DYNLRB2	4	-0.20679	-0.52527	0.71992	0.96639	0.5994	0.80977
MINOS1-NBL1	4	-0.44933	-1.0677	0.35909	0.86918	0.28566	0.691
TRIM14	4	0.77549	1.1783	0.012977	0.27387	0.23866	0.69021
ARF5	4	-0.5706	-1.5818	0.24339	0.80292	0.11369	0.69021
ZNF32	4	-0.16902	-0.37255	0.78868	0.97433	0.70948	0.85716
CGREF1	4	-0.1819	-0.53098	0.76561	0.97236	0.59544	0.80795
SEBOX	4	0.44925	1.2683	0.14916	0.7284	0.20468	0.69021
H2AFB3	4	-0.12032	-0.47795	0.8839	0.98734	0.63269	0.82184
ZAR1	4	-0.29011	-1.7207	0.57687	0.93498	0.085303	0.63582
MTHFD2	4	0.27861	1.0477	0.35039	0.86475	0.29475	0.69235
ADAMTS4	4	-0.16212	-1.2359	0.80201	0.97654	0.2165	0.69021
SLC12A6	4	0.068414	0.2005	0.72743	0.96772	0.84109	0.92467
HDLBP	4	0.4746	1.2975	0.12803	0.69705	0.19447	0.69021
FAM149B1	4	0.20282	1.4162	0.47395	0.91472	0.15672	0.69021
NCLN	4	0.75477	1.0612	0.015314	0.28947	0.28861	0.69205
TAF10	4	-3.1904	-5.9308	0	0	3.0143e-09	8.8058e-06
EHHADH	4	-0.19352	-1.1114	0.74423	0.96956	0.26642	0.69021
ACPT	4	-0.12939	-0.61734	0.86605	0.98507	0.53701	0.78949
MRPS10	4	-0.99666	-2.2737	0.050965	0.49709	0.022984	0.37129
INTS7	4	-1.5625	-2.393	0.0042263	0.15455	0.016711	0.31798
DEDD2	4	-0.044536	-0.20745	0.96142	0.99696	0.83566	0.92213
DNAH6	4	0.5119	1.0969	0.10118	0.64624	0.27268	0.69021
LYZL6	4	0.42795	0.87561	0.17015	0.75424	0.38124	0.72146
