Gene	sgRNA	WT|beta	WT|z	WT|p-value	WT|fdr	WT|wald-p-value	WT|wald-fdr
KIAA1644	4	-0.052284	-0.16327	0.99493	0.99985	0.87031	0.93773
TRMT61A	4	-0.79111	-1.7265	0.060909	0.46987	0.084265	0.60964
HLA-B	4	0.00083757	0.0058349	0.8576	0.99002	0.99534	0.99792
SNX30	4	0.0040219	0.011944	0.8485	0.98873	0.99047	0.99507
CLVS2	4	0.14222	0.55512	0.49607	0.92165	0.57881	0.78386
MTHFD2L	4	-0.20752	-0.87852	0.63987	0.95412	0.37966	0.68574
ADAMTSL5	4	-0.47793	-1.626	0.23145	0.76743	0.10395	0.634
CFAP97	4	-0.22535	-1.1766	0.60193	0.94713	0.23937	0.6342
PRDX6	4	-0.06565	-0.5325	0.97012	0.99826	0.59438	0.78947
TM4SF20	4	-0.15097	-1.018	0.76208	0.97894	0.3087	0.64874
SPRR4	4	0.2592	1.1435	0.25984	0.79568	0.25285	0.63489
ZNF709	4	-0.16791	-1.4036	0.72484	0.97375	0.16043	0.634
C22orf24	4	0.46686	0.9171	0.052257	0.4343	0.35909	0.67413
FUT5	4	-0.2211	-0.90476	0.61167	0.9486	0.36559	0.67745
OPA1	4	-0.82158	-2.1802	0.05176	0.43177	0.029245	0.38771
ZDHHC4	4	0.083822	0.52484	0.63778	0.95395	0.5997	0.792
PHIP	4	-0.30892	-1.4644	0.44884	0.90315	0.14308	0.634
E2F5	4	0.13956	0.9543	0.50194	0.92372	0.33993	0.66454
PIP5K1B	4	0.45844	1.1883	0.056335	0.45121	0.2347	0.634
PPP1CA	4	0.41538	1.1129	0.081693	0.53535	0.26576	0.63722
ETS1	4	-0.13533	-0.35653	0.79937	0.98373	0.72144	0.84971
COBLL1	4	-0.19403	-1.0153	0.66895	0.96056	0.30995	0.64955
G3BP1	4	-0.27827	-1.7975	0.50204	0.92372	0.072249	0.57181
CCDC107	4	-0.63652	-1.871	0.11933	0.62484	0.06135	0.535
TRIM42	4	-0.1791	-1.5866	0.69913	0.96739	0.11261	0.634
OR2A2	4	-0.25637	-1.5715	0.54291	0.93275	0.11607	0.634
LIAS	4	-1.0676	-2.559	0.017154	0.23942	0.010498	0.22874
CDC42	4	-1.1618	-2.3337	0.010591	0.17459	0.019613	0.31956
LOC149373	4	0.1039	0.53766	0.58766	0.94333	0.59081	0.78759
NPIPA5	4	-0.84354	-1.5612	0.047037	0.414	0.11848	0.634
EIF2B2	4	-1.3108	-2.5457	0.0047733	0.10655	0.010905	0.23197
CLUH	4	-0.6052	-2.3329	0.13639	0.6507	0.019652	0.31956
HAUS2	4	-0.41654	-1.094	0.29808	0.82765	0.27397	0.63891
SPATA31E1	4	-0.29191	-1.1173	0.47768	0.9146	0.26386	0.63643
PGLYRP3	4	-0.054939	-0.45283	0.99732	0.9999	0.65067	0.81073
PNPLA4	4	-0.02022	-0.080694	0.91572	0.99393	0.93569	0.97144
TRIM29	4	-0.31999	-0.90815	0.43024	0.89814	0.3638	0.67689
CSHL1	4	-0.16984	-0.5568	0.71992	0.97181	0.57766	0.78386
SLC25A41	4	0.097626	0.39471	0.60402	0.94767	0.69306	0.8339
LILRA5	4	-0.18357	-1.2434	0.69128	0.96665	0.21374	0.634
CALHM3	4	0.35432	1.4591	0.13241	0.64582	0.14455	0.634
KRT74	4	0.28305	1.0346	0.22101	0.75685	0.30085	0.64531
POLDIP2	4	-0.45094	-1.6327	0.26069	0.79669	0.10253	0.634
DYTN	4	-0.083616	-0.26407	0.92497	0.99393	0.79173	0.89044
OR10A7	4	0.19026	0.95685	0.39136	0.88255	0.33864	0.66361
DYNLRB2	4	-0.51303	-1.7939	0.20068	0.7369	0.072825	0.57392
MINOS1-NBL1	4	-0.086674	-0.91159	0.91736	0.99393	0.36199	0.67598
TRIM14	4	0.16988	1.0723	0.43447	0.89861	0.28358	0.63926
ARF5	4	0.015191	0.21474	0.81911	0.98694	0.82997	0.91345
ZNF32	4	-0.13301	-0.54014	0.80449	0.98555	0.5891	0.78739
CGREF1	4	-0.27688	-0.94053	0.50522	0.92457	0.34694	0.6683
SEBOX	4	-0.2275	-1.5735	0.59855	0.94683	0.11561	0.634
H2AFB3	4	-0.2253	-0.91966	0.60213	0.94713	0.35775	0.6737
ZAR1	4	-0.57464	-2.3417	0.15687	0.68201	0.019195	0.31623
MTHFD2	4	-0.21727	-1.5863	0.61968	0.95116	0.11268	0.634
ADAMTS4	4	0.0067917	0.059262	0.84169	0.98787	0.95274	0.97917
SLC12A6	4	0.24272	0.97978	0.28918	0.82077	0.3272	0.65876
HDLBP	4	-0.1611	-1.1488	0.73986	0.9775	0.25062	0.63489
FAM149B1	4	-0.4428	-2.2812	0.2679	0.8022	0.022537	0.34053
NCLN	4	0.67582	1.2497	0.0050716	0.11051	0.21141	0.634
TAF10	4	-0.18563	-0.53013	0.68705	0.96602	0.59602	0.7904
EHHADH	4	0.038112	0.15549	0.75825	0.978	0.87644	0.94041
ACPT	4	0.080502	0.33353	0.64618	0.95475	0.73874	0.85981
MRPS10	4	-0.92071	-2.1201	0.033015	0.34708	0.033998	0.41788
INTS7	4	-0.83577	-1.9803	0.048876	0.42407	0.047669	0.48025
DEDD2	4	0.42804	1.0776	0.073588	0.5144	0.28122	0.639
DNAH6	4	0.26679	1.462	0.24637	0.78298	0.14373	0.634
LYZL6	4	-0.16054	-0.90231	0.74085	0.9775	0.36689	0.67822
CCDC102B	4	-0.23693	-0.83132	0.57931	0.93929	0.40579	0.70308
SLC35G3	4	-0.39455	-1.1196	0.32483	0.84646	0.26286	0.63562
SLC26A1	4	0.31165	1.1901	0.18054	0.71375	0.234	0.634
DCBLD2	4	-0.24972	-1.43	0.554	0.93544	0.15273	0.634
ANPEP	4	0.19197	1.4563	0.38857	0.88086	0.14531	0.634
ABCB7	4	-2.0713	-2.9065	4.9722e-05	0.0044248	0.0036547	0.12895
TANC2	4	0.38708	1.3847	0.10357	0.59805	0.16615	0.634
ZMYND15	4	0.13105	1.0984	0.52133	0.92668	0.27203	0.63891
DOCK8	4	0.30328	0.84945	0.19217	0.72392	0.39563	0.69589
CLEC1A	4	0.065779	0.25135	0.68223	0.96457	0.80154	0.89647
SLC16A1	4	0.39932	1.4408	0.094272	0.57527	0.14963	0.634
CKMT1A	4	-0.27801	-0.64833	0.50264	0.92372	0.51677	0.76472
MOCS2	4	-0.13262	-0.68719	0.80514	0.98555	0.49197	0.75512
NF1	4	-0.20298	-0.7285	0.64902	0.95475	0.46631	0.74026
UQCRHL	4	-0.4113	-1.4092	0.304	0.83367	0.15879	0.634
DMKN	4	-0.25181	-1.1224	0.54997	0.93455	0.26168	0.63562
NCKIPSD	4	0.101	0.31198	0.59527	0.94528	0.75506	0.86973
FLAD1	4	-0.023296	-0.20791	0.92283	0.99393	0.8353	0.91587
HDAC11	4	-0.27652	-1.7342	0.50592	0.92466	0.082874	0.60575
MAP3K15	4	0.036467	0.26261	0.76308	0.97926	0.79285	0.89113
CTSG	4	0.16059	0.57268	0.45441	0.9044	0.56686	0.78121
CCDC6	4	-0.32301	-1.7749	0.42591	0.89606	0.075913	0.58552
HOOK2	4	-0.036339	-0.29584	0.95436	0.99777	0.76736	0.87776
DMRTA1	4	0.24688	1.3604	0.28167	0.81299	0.17369	0.634
ATG5	4	0.30086	1.2165	0.19595	0.73036	0.22378	0.634
CYP3A4	4	0.063602	0.42374	0.6882	0.96648	0.67176	0.82174
DNAJC25-GNG10	4	-0.25836	-0.55918	0.53913	0.9326	0.57604	0.78332
RWDD3	4	-0.28208	-0.92091	0.49408	0.92079	0.3571	0.67322
SUCLA2	4	-0.6181	-1.9515	0.12933	0.64263	0.050996	0.49167
PKLR	4	0.17911	1.0805	0.41403	0.89203	0.27993	0.63891
MMP24	4	-0.3913	-2.1965	0.32856	0.84664	0.028058	0.38184
WSB1	4	-0.44528	-0.95106	0.26566	0.80009	0.34157	0.66528
ZEB1	4	-0.08398	-0.28963	0.92408	0.99393	0.7721	0.88074
MAP1LC3B2	4	-0.22402	-0.68519	0.60471	0.94786	0.49322	0.75548
