Gene	sgRNA	c24.23|beta	c24.23|z	c24.23|p-value	c24.23|fdr	c24.23|wald-p-value	c24.23|wald-fdr
AAK1	6	-0.24097	-2.488	0.056883	0.63068	0.012846	0.60373
AATK	6	0.030872	0.3637	0.65358	0.98521	0.71609	0.88685
ABL1	6	-0.1031	-1.4313	0.37856	0.91289	0.15235	0.60672
ABL2	6	0.08454	0.99045	0.31086	0.88305	0.32196	0.70725
ACVR1	6	0.025659	0.30397	0.69312	0.9874	0.76115	0.90459
ACVR1B	6	-0.0015772	-0.017531	0.90102	0.99404	0.98601	0.99578
ACVR1C	6	-0.31063	-2.3214	0.022469	0.45665	0.020265	0.60373
ACVR2A	6	-0.048157	-0.52766	0.73237	0.98906	0.59774	0.82867
ACVRL1	6	-0.18261	-2.182	0.13026	0.75	0.029107	0.60373
ADCK1	6	0.16914	1.7509	0.054892	0.63068	0.079957	0.60373
ADCK2	6	0.0070752	0.091371	0.83902	0.98953	0.9272	0.97528
ADCK3	6	0.045526	0.59861	0.55262	0.96777	0.54943	0.80526
ADCK4	6	-0.04069	-0.40507	0.78811	0.98953	0.68542	0.87252
ADCK5	6	-0.034472	-0.36146	0.83845	0.98953	0.71775	0.88756
ADRBK1	6	-0.1235	-1.6076	0.28896	0.879	0.10792	0.60373
ADRBK2	6	0.0014611	0.019152	0.87429	0.98953	0.98472	0.99541
AK1	6	-0.065608	-0.81641	0.60296	0.97786	0.41427	0.76431
AK2	6	0.024068	0.35631	0.70563	0.9874	0.72161	0.88901
AK3	6	0.017324	0.12739	0.76223	0.98906	0.89864	0.96339
AKT1	6	-0.050768	-0.56752	0.71303	0.9874	0.57036	0.81355
AKT2	6	0.015231	0.15244	0.77873	0.98953	0.87884	0.95488
AKT3	6	0.02046	0.19039	0.73663	0.98906	0.849	0.94108
ALK	6	0.06549	0.99643	0.41496	0.92551	0.31904	0.70476
AMHR2	6	0.066744	1.4384	0.40472	0.92044	0.15032	0.60672
ANKK1	6	0.18514	1.682	0.036974	0.55745	0.092568	0.60373
ARAF	6	0.019175	0.18944	0.74915	0.98906	0.84975	0.94132
ATM	6	-0.0013533	-0.011263	0.89846	0.99404	0.99101	0.99794
ATR	6	-0.12283	-1.1572	0.29238	0.88127	0.24718	0.67572
AURKA	6	-0.13436	-0.74406	0.25484	0.86286	0.45684	0.78679
