MGI Gene/Marker ID	Symbol	Name	Chr	Qualifier	Annotated Term	Context	Proteoform	Evidence	Inferred From	Reference(s)
MGI:1917115	A1cf	APOBEC1 complementation factor	19		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1915545	Aar2	AAR2 splicing factor homolog	2		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1915545	Aar2	AAR2 splicing factor homolog	2		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:1915545	Aar2	AAR2 splicing factor homolog	2		spliceosomal tri-snRNP complex assembly			IBA	PTN000294070 S000000170 	J:161428 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		tRNA modification			IDA		J:216802 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		tRNA modification			IMP		J:110647 	
MGI:2384560	Aars1	alanyl-tRNA synthetase 1	8		tRNA modification			IMP		J:262421 	
MGI:1353636	Abt1	activator of basal transcription 1	13		endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	PTN000267771 S000005337 	J:161428 	
MGI:1353636	Abt1	activator of basal transcription 1	13		endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	PTN000267771 S000005337 	J:161428 	
MGI:1353636	Abt1	activator of basal transcription 1	13		endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)			IBA	PTN000267771 S000005337 	J:161428 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		negative regulation of mRNA splicing, via spliceosome			ISO	Q9UKV3 	J:164563 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		negative regulation of mRNA splicing, via spliceosome			ISS	Q9UKV3-1 	J:342587 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		RNA splicing			IBA	PTN005311338 	J:161428 	
MGI:1891824	Acin1	apoptotic chromatin condensation inducer 1	14		RNA splicing			IEA	KW-0508 	J:60000 	
MGI:103258	Adad1	adenosine deaminase domain containing 1	3		RNA processing			IBA	MGI:1889575 P55265 P78563 PTN000098822 	J:161428 	
MGI:103258	Adad1	adenosine deaminase domain containing 1	3		RNA processing			IEA	IPR002466 	J:72247 	
MGI:1923023	Adad2	adenosine deaminase domain containing 2	8		RNA processing			IBA	MGI:1889575 P55265 P78563 PTN000098822 	J:161428 	
MGI:1923023	Adad2	adenosine deaminase domain containing 2	8		RNA processing			IEA	IPR002466 	J:72247 	
MGI:102518	Adam3	ADAM metallopeptidase domain 3	8		regulation of mRNA processing			IMP	MGI:2156167 	J:149644 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		miRNA processing			IMP	MGI:3032487 	J:197985 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		pre-miRNA processing			IEA	ENSP00000357459 P55265 	J:342605 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		pre-miRNA processing			ISO	P55265 	J:73065 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		RNA processing			IBA	MGI:1889575 P55265 P78563 PTN000098822 	J:161428 	
MGI:1889575	Adar	adenosine deaminase, RNA-specific	3		RNA processing			IEA	IPR002466 	J:72247 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		mRNA processing			IDA		J:300916 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		positive regulation of mRNA processing			ISO	RGD:2033 	J:155856 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		RNA processing			IBA	MGI:1889575 P55265 P78563 PTN000098822 	J:161428 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		RNA processing			IEA	IPR002466 	J:72247 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		RNA processing			IEA	ENSP00000015877 P78563 	J:342605 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		RNA processing			ISO	P78563 	J:164563 	
MGI:891999	Adarb1	adenosine deaminase, RNA-specific, B1	10		RNA processing			ISS	P78563-1 	J:113958 	
MGI:2151118	Adarb2	adenosine deaminase, RNA-specific, B2	13		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:2151118	Adarb2	adenosine deaminase, RNA-specific, B2	13		RNA processing			IBA	MGI:1889575 P55265 P78563 PTN000098822 	J:161428 	
MGI:2151118	Adarb2	adenosine deaminase, RNA-specific, B2	13		RNA processing			IEA	IPR002466 	J:72247 	
MGI:1353631	Adat1	adenosine deaminase, tRNA-specific 1	8		RNA processing			IEA	IPR002466 	J:72247 	
MGI:1353631	Adat1	adenosine deaminase, tRNA-specific 1	8		tRNA processing			IBA	PTN005308948 Q9BUB4 	J:161428 	
MGI:1353631	Adat1	adenosine deaminase, tRNA-specific 1	8		tRNA processing			IEA	KW-0819 	J:60000 	
MGI:1353631	Adat1	adenosine deaminase, tRNA-specific 1	8		tRNA processing			IEA	ENSP00000457501 Q9BUB4 	J:342605 	
MGI:1353631	Adat1	adenosine deaminase, tRNA-specific 1	8		tRNA processing			ISO	Q9BUB4 	J:164563 	
MGI:1353631	Adat1	adenosine deaminase, tRNA-specific 1	8		tRNA processing			ISS	Q9BUB4 	J:342587 	
MGI:1914007	Adat2	adenosine deaminase, tRNA-specific 2	10		tRNA processing			IEA	KW-0819 	J:60000 	
MGI:1914007	Adat2	adenosine deaminase, tRNA-specific 2	10		tRNA wobble adenosine to inosine editing			IBA	PTN000118390 SPBC16D10.10 	J:161428 	
MGI:1914007	Adat2	adenosine deaminase, tRNA-specific 2	10		tRNA wobble adenosine to inosine editing			IEA	IPR028883 	J:72247 	
MGI:1924344	Adat3	adenosine deaminase, tRNA-specific 3	10		tRNA processing			IEA	KW-0819 	J:60000 	
MGI:1915298	Aen	apoptosis enhancing nuclease	7		RNA processing			IBA	PTN000300925 Q580Z1 S000003508 S000004097 S000005440 	J:161428 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		mRNA processing			IEA	KW-0507 	J:60000 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			IBA	MGI:1202294 P51816 PTN002575678 	J:161428 	
MGI:1202294	Aff2	AF4/FMR2 family, member 2	X		regulation of RNA splicing			IDA		J:157426 	
