STUDY_ID	SAMPLE_ID	UBE2H
ov_tcga_pan_can_atlas_2018	TCGA-04-1331-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1332-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1335-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1336-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1337-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1338-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1341-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1342-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1343-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1346-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1347-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1348-01	2639.657
ov_tcga_pan_can_atlas_2018	TCGA-04-1349-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1350-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1351-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1353-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1356-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1357-01	2328.5352
ov_tcga_pan_can_atlas_2018	TCGA-04-1360-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1361-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1362-01	4139.9165
ov_tcga_pan_can_atlas_2018	TCGA-04-1364-01	2177.3987
ov_tcga_pan_can_atlas_2018	TCGA-04-1365-01	2618.6279
ov_tcga_pan_can_atlas_2018	TCGA-04-1367-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1369-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1371-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1514-01	3201.344
ov_tcga_pan_can_atlas_2018	TCGA-04-1516-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1517-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1519-01	3168.5167
ov_tcga_pan_can_atlas_2018	TCGA-04-1525-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1530-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1536-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1542-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1638-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1644-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1646-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1648-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1649-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1651-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1652-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1654-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-04-1655-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-09-0364-01	869.6148
ov_tcga_pan_can_atlas_2018	TCGA-09-0365-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-09-0366-01	1376.3894
ov_tcga_pan_can_atlas_2018	TCGA-09-0367-01	764.2088
ov_tcga_pan_can_atlas_2018	TCGA-09-0369-01	833.34
ov_tcga_pan_can_atlas_2018	TCGA-09-1659-01	993.0585
ov_tcga_pan_can_atlas_2018	TCGA-09-1661-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-09-1662-01	3190.1831
ov_tcga_pan_can_atlas_2018	TCGA-09-1664-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-09-1665-01	NA
ov_tcga_pan_can_atlas_2018	TCGA-09-1666-01	2936.3952
ov_tcga_pan_can_atlas_2018	TCGA-09-1667-01	3689.4654
ov_tcga_pan_can_atlas_2018	TCGA-09-1668-01	3098.2831
ov_tcga_pan_can_atlas_2018	TCGA-09-1669-01	2500.9376
ov_tcga_pan_can_atlas_2018	TCGA-09-1670-01	3414.0294
ov_tcga_pan_can_atlas_2018	TCGA-09-1672-01	NA
