DepMap_ID,Aneuploidy score,Ploidy,Genome doublings
ACH-000001,26,3.52,1
ACH-000002,6,1.97,0
ACH-000004,20,2.84,1
ACH-000005,19,2.8,1
ACH-000006,8,1.98,0
ACH-000007,8,2.28,0
ACH-000008,22,2.63,1
ACH-000009,16,1.38,0
ACH-000012,21,2.74,1
ACH-000013,21,3.13,1
ACH-000014,8,3.07,1
ACH-000015,19,1.66,0
ACH-000016,8,2.19,0
ACH-000017,27,4.04,2
ACH-000018,24,3.65,2
ACH-000019,18,2.02,0
ACH-000020,3,1.04,0
ACH-000021,26,2.9,1
ACH-000022,26,3.24,1
ACH-000023,23,3.02,1
ACH-000024,22,3.35,1
ACH-000025,10,1.88,1
ACH-000027,9,1.86,0
ACH-000028,20,3.68,1
ACH-000030,19,3.33,1
ACH-000031,13,1.86,0
ACH-000032,4,2.03,0
ACH-000035,13,2.08,1
ACH-000036,14,2.91,1
ACH-000037,34,6.44,2
ACH-000038,0,2,0
ACH-000039,8,2.01,0
ACH-000040,25,5.2,2
ACH-000041,24,3.03,1
ACH-000042,18,3.52,1
ACH-000043,0,2,0
ACH-000044,8,1.99,0
ACH-000045,4,2.07,0
ACH-000046,7,1.22,0
ACH-000047,22,2.75,1
ACH-000048,6,1.07,0
ACH-000050,10,2.06,0
ACH-000051,0,2,0
ACH-000052,3,2.01,0
ACH-000053,7,1.96,0
ACH-000054,4,2.04,0
ACH-000055,7,2.04,0
ACH-000056,2,2.06,0
ACH-000058,18,1.71,0
ACH-000059,2,2.02,0
ACH-000060,13,1.78,0
ACH-000061,5,2.04,0
ACH-000062,12,2.48,1
ACH-000063,0,2,0
ACH-000065,4,2.1,0
ACH-000066,20,3.47,1
ACH-000067,5,1.98,0
ACH-000068,11,1.84,0
ACH-000070,3,2.03,0
ACH-000071,0,2,0
ACH-000072,14,2.28,1
ACH-000073,7,1.92,0
ACH-000074,11,1.36,0
ACH-000075,6,1.94,0
ACH-000076,7,1.18,0
ACH-000077,1,2.03,0
ACH-000078,8,2.16,0
ACH-000079,0,2,0
ACH-000080,0,2,0
ACH-000081,5,2.07,0
ACH-000082,11,2.38,1
ACH-000083,0,2,0
ACH-000085,26,2.73,1
ACH-000086,5,1.1,0
ACH-000087,9,2.27,0
ACH-000088,0,2,0
ACH-000090,29,3.09,1
ACH-000091,7,1.94,0
