"","x"
"1","TRMT10C"
"2","HSD17B10"
"3","PRORP"
"4","POLRMT"
"5","TFAM"
"6","TFB2M"
"7","MRPL58"
"8","MTRFR"
"9","MTRF1"
"10","MTRF1L"
"11","MRPL1"
"12","MRPL2"
"13","MRPL3"
"14","MRPL4"
"15","MRPL9"
"16","MRPL10"
"17","MRPL11"
"18","MRPL12"
"19","MRPL13"
"20","MRPL14"
"21","MRPL15"
"22","MRPL16"
"23","MRPL17"
"24","MRPL18"
"25","MRPL19"
"26","MRPL20"
"27","MRPL21"
"28","MRPL22"
"29","MRPL23"
"30","MRPL24"
"31","MRPL27"
"32","MRPL28"
"33","MRPL30"
"34","MRPL32"
"35","MRPL33"
"36","MRPL34"
"37","MRPL35"
"38","MRPL36"
"39","MRPL37"
"40","MRPL38"
"41","MRPL39"
"42","MRPL40"
"43","MRPL41"
"44","MRPL42"
"45","MRPL43"
"46","MRPL44"
"47","MRPL45"
"48","MRPL46"
"49","MRPL47"
"50","MRPL48"
"51","MRPL49"
"52","MRPL50"
"53","MRPL51"
"54","MRPL52"
"55","MRPL53"
"56","MRPL54"
"57","MRPL55"
"58","MRPL58"
"59","MRPL57"
"60","GADD45GIP1"
"61","MRPS30"
"62","MRPS18A"
"63","MRPS2"
"64","MRPS5"
"65","MRPS6"
"66","MRPS7"
"67","MRPS9"
"68","MRPS10"
"69","MRPS11"
"70","MRPS12"
"71","MRPS14"
"72","MRPS15"
"73","MRPS16"
"74","MRPS17"
"75","MRPS18C"
"76","MRPS21"
"77","MRPS22"
"78","MRPS23"
"79","MRPS24"
"80","MRPS25"
"81","MRPS26"
"82","MRPS27"
"83","MRPS28"
"84","DAP3"
"85","MRPS31"
"86","MRPS33"
"87","MRPS34"
"88","MRPS35"
"89","CHCHD1"
"90","AURKAIP1"
"91","PTCD3"
"92","MRPS18B"
"93","FASTK"
"94","FASTKD1"
"95","FASTKD2"
"96","FASTKD3"
"97","TBRG4"
"98","FASTKD5"
