sgRNA,Gene,A2780_Cont1_D0,A2780_Cont1_D10
AAK1_PKc_E2_40.1,AAK1,1095,327
AAK1_PKc_E3_119.6,AAK1,475,6
AAK1_PKc_E4_109.3,AAK1,512,35
AAK1_PKc_E5_143.1,AAK1,667,8201
AAK1_PKc_E6_122,AAK1,678,1
AAK1_PKc_E7_82.6,AAK1,741,2450
AATK_PKc_E4_36,AATK,382,2254
AATK_PKc_E5_119.11,AATK,1000,364
AATK_PKc_E6_88.9,AATK,1340,7
AATK_PKc_E7_134.11,AATK,541,15
AATK_PKc_E8_85.7,AATK,1276,1340
AATK_PKc_E9_122.1,AATK,1210,101
ABL1_PKc_E4_120.11,ABL1,875,994
ABL1_PKc_E5_85,ABL1,2169,3995
ABL1_PKc_E6_178.11,ABL1,1093,39
ABL1_PKc_E7_185.15,ABL1,1333,364
ABL1_PKc_E8_153.18,ABL1,1969,362
ABL1_PKc_E9_68,ABL1,1444,80
ABL2_PKc_E10_68.4,ABL2,675,799
ABL2_PKc_E5_120.8,ABL2,391,1
ABL2_PKc_E6_85.1,ABL2,790,473
ABL2_PKc_E7_178.9,ABL2,937,969
ABL2_PKc_E8_185,ABL2,651,17
ABL2_PKc_E9_153.7,ABL2,1641,217
ACVR1_PKc_E10_131,ACVR1,1195,170
ACVR1_PKc_E11_102.2,ACVR1,1307,7610
ACVR1_PKc_E6_40,ACVR1,1001,1239
ACVR1_PKc_E7_147.15,ACVR1,1111,9
ACVR1_PKc_E8_276.19,ACVR1,336,14
ACVR1_PKc_E9_198.4,ACVR1,679,756
ACVR1B_PKc_E10_102.5,ACVR1B,562,1381
ACVR1B_PKc_E4_193.4,ACVR1B,867,1253
ACVR1B_PKc_E5_123.4,ACVR1B,1306,17
ACVR1B_PKc_E6_168.13,ACVR1B,1651,1505
ACVR1B_PKc_E7_157.5,ACVR1B,1313,5
ACVR1B_PKc_E9_131.14,ACVR1B,720,295
ACVR1C_PKc_E4_193.16,ACVR1C,908,88
ACVR1C_PKc_E5_168.6,ACVR1C,788,445
ACVR1C_PKc_E6_157.1,ACVR1C,902,4731
ACVR1C_PKc_E7_125.7,ACVR1C,451,34
ACVR1C_PKc_E8_131.1,ACVR1C,1450,508
ACVR1C_PKc_E9_102.6,ACVR1C,1988,1621
ACVR2A_PKc_E10_131.1,ACVR2A,1824,11
ACVR2A_PKc_E5_87.3,ACVR2A,515,402
ACVR2A_PKc_E6_144,ACVR2A,289,1
ACVR2A_PKc_E7_146.12,ACVR2A,786,1587
ACVR2A_PKc_E8_115.6,ACVR2A,1791,9265
ACVR2A_PKc_E9_139.9,ACVR2A,1256,10
ACVRL1_PKc_E6_147.3,ACVRL1,909,11114
ACVRL1_PKc_E6_147.8,ACVRL1,1231,1994
ACVRL1_PKc_E8_198.28,ACVRL1,443,1
ACVRL1_PKc_E8_198.4,ACVRL1,1321,1291
ACVRL1_PKc_E9_131,ACVRL1,474,298
ACVRL1_PKc_E9_131.6,ACVRL1,1130,22
ADCK1_PKc_E5_159.11,ADCK1,814,79
ADCK1_PKc_E5_159.31,ADCK1,811,2099
ADCK1_PKc_E6_159.6,ADCK1,741,612
ADCK1_PKc_E7_117.13,ADCK1,870,6788
ADCK1_PKc_E8_150.18,ADCK1,865,1
ADCK1_PKc_E9_99.4,ADCK1,1510,1577
ADCK2_PKc_E1_534.7,ADCK2,337,1
ADCK2_PKc_E3_129.17,ADCK2,1019,1764
ADCK2_PKc_E4_96.5,ADCK2,784,1201
ADCK2_PKc_E6_129.2,ADCK2,530,1
ADCK2_PKc_E7_54,ADCK2,1541,471
ADCK2_PKc_E8_114.6,ADCK2,879,1
ADCK3_PKc_E10_94.9,ADCK3,865,86
ADCK3_PKc_E11_142.6,ADCK3,871,1215
ADCK3_PKc_E12_108.8,ADCK3,956,111
ADCK3_PKc_E13_66.1,ADCK3,979,911
ADCK3_PKc_E8_141.23,ADCK3,897,234
ADCK3_PKc_E9_82.2,ADCK3,2092,78
ADCK4_PKc_E10_94.6,ADCK4,493,1
ADCK4_PKc_E12_108.1,ADCK4,397,373
ADCK4_PKc_E13_66.2,ADCK4,1257,1838
ADCK4_PKc_E14_87.6,ADCK4,1469,343
ADCK4_PKc_E8_141.12,ADCK4,871,8
ADCK4_PKc_E9_82.4,ADCK4,814,248
ADCK5_PKc_E10_82.1,ADCK5,985,251
ADCK5_PKc_E11_79.1,ADCK5,1068,2092
ADCK5_PKc_E12_52.5,ADCK5,505,18
ADCK5_PKc_E7_114.17,ADCK5,1290,25
ADCK5_PKc_E8_132.7,ADCK5,1338,21
ADCK5_PKc_E9_84.2,ADCK5,1156,76
ADRBK1_PKc_E10_79.2,ADRBK1,1271,4605
ADRBK1_PKc_E11_131.9,ADRBK1,915,41
ADRBK1_PKc_E12_95.3,ADRBK1,867,14
ADRBK1_PKc_E13_108.17,ADRBK1,1867,3743
ADRBK1_PKc_E8_80.4,ADRBK1,300,258
ADRBK1_PKc_E9_100.8,ADRBK1,1581,8872
ADRBK2_PKc_E10_79.5,ADRBK2,212,1
