sgRNA,Gene,A2780_Cont2_D0,A2780_Cont2_D10
AAK1_PKc_E2_40.1,AAK1,1677,1077
AAK1_PKc_E3_119.6,AAK1,651,354
AAK1_PKc_E4_109.3,AAK1,1075,825
AAK1_PKc_E5_143.1,AAK1,574,553
AAK1_PKc_E6_122,AAK1,995,217
AAK1_PKc_E7_82.6,AAK1,918,334
AATK_PKc_E4_36,AATK,915,289
AATK_PKc_E5_119.11,AATK,1085,1979
AATK_PKc_E6_88.9,AATK,1802,1259
AATK_PKc_E7_134.11,AATK,1044,291
AATK_PKc_E8_85.7,AATK,1689,891
AATK_PKc_E9_122.1,AATK,1353,590
ABL1_PKc_E4_120.11,ABL1,1163,381
ABL1_PKc_E5_85,ABL1,3219,974
ABL1_PKc_E6_178.11,ABL1,1493,1186
ABL1_PKc_E7_185.15,ABL1,1829,1259
ABL1_PKc_E8_153.18,ABL1,2607,2000
ABL1_PKc_E9_68,ABL1,2338,1160
ABL2_PKc_E10_68.4,ABL2,747,957
ABL2_PKc_E5_120.8,ABL2,353,152
ABL2_PKc_E6_85.1,ABL2,1251,1262
ABL2_PKc_E7_178.9,ABL2,1354,983
ABL2_PKc_E8_185,ABL2,667,991
ABL2_PKc_E9_153.7,ABL2,2932,1041
ACVR1_PKc_E10_131,ACVR1,1796,1406
ACVR1_PKc_E11_102.2,ACVR1,1476,1068
ACVR1_PKc_E6_40,ACVR1,1399,217
ACVR1_PKc_E7_147.15,ACVR1,1395,798
ACVR1_PKc_E8_276.19,ACVR1,518,394
ACVR1_PKc_E9_198.4,ACVR1,970,439
ACVR1B_PKc_E10_102.5,ACVR1B,540,829
ACVR1B_PKc_E4_193.4,ACVR1B,1489,866
ACVR1B_PKc_E5_123.4,ACVR1B,1920,2340
ACVR1B_PKc_E6_168.13,ACVR1B,2335,1085
ACVR1B_PKc_E7_157.5,ACVR1B,1870,1122
ACVR1B_PKc_E9_131.14,ACVR1B,1076,1498
ACVR1C_PKc_E4_193.16,ACVR1C,1053,1147
ACVR1C_PKc_E5_168.6,ACVR1C,1289,807
ACVR1C_PKc_E6_157.1,ACVR1C,1401,1375
ACVR1C_PKc_E7_125.7,ACVR1C,1104,337
ACVR1C_PKc_E8_131.1,ACVR1C,2149,1407
ACVR1C_PKc_E9_102.6,ACVR1C,2915,1573
ACVR2A_PKc_E10_131.1,ACVR2A,2958,1612
ACVR2A_PKc_E5_87.3,ACVR2A,613,687
ACVR2A_PKc_E6_144,ACVR2A,368,176
ACVR2A_PKc_E7_146.12,ACVR2A,1224,1497
ACVR2A_PKc_E8_115.6,ACVR2A,2599,1523
