sgRNA,Gene,A2780_Ts10_D0,A2780_Ts10_D10
AAK1_PKc_E2_40.1,AAK1,1174,526
AAK1_PKc_E3_119.6,AAK1,372,6
AAK1_PKc_E4_109.3,AAK1,562,130
AAK1_PKc_E5_143.1,AAK1,696,5
AAK1_PKc_E6_122,AAK1,887,187
AAK1_PKc_E7_82.6,AAK1,764,1375
AATK_PKc_E4_36,AATK,494,57
AATK_PKc_E5_119.11,AATK,982,12
AATK_PKc_E6_88.9,AATK,1461,53
AATK_PKc_E7_134.11,AATK,652,94
AATK_PKc_E8_85.7,AATK,1559,119
AATK_PKc_E9_122.1,AATK,1474,1880
ABL1_PKc_E4_120.11,ABL1,833,650
ABL1_PKc_E5_85,ABL1,2445,348
ABL1_PKc_E6_178.11,ABL1,1284,1311
ABL1_PKc_E7_185.15,ABL1,1399,460
ABL1_PKc_E8_153.18,ABL1,1939,2805
ABL1_PKc_E9_68,ABL1,1839,1553
ABL2_PKc_E10_68.4,ABL2,804,694
ABL2_PKc_E5_120.8,ABL2,390,99
ABL2_PKc_E6_85.1,ABL2,831,318
ABL2_PKc_E7_178.9,ABL2,945,456
ABL2_PKc_E8_185,ABL2,569,501
ABL2_PKc_E9_153.7,ABL2,1726,2627
ACVR1_PKc_E10_131,ACVR1,1290,5617
ACVR1_PKc_E11_102.2,ACVR1,1488,778
ACVR1_PKc_E6_40,ACVR1,1162,3289
ACVR1_PKc_E7_147.15,ACVR1,1011,611
ACVR1_PKc_E8_276.19,ACVR1,290,2
ACVR1_PKc_E9_198.4,ACVR1,798,2251
ACVR1B_PKc_E10_102.5,ACVR1B,623,34
ACVR1B_PKc_E4_193.4,ACVR1B,784,314
ACVR1B_PKc_E5_123.4,ACVR1B,1458,1267
ACVR1B_PKc_E6_168.13,ACVR1B,1789,979
ACVR1B_PKc_E7_157.5,ACVR1B,1519,1884
ACVR1B_PKc_E9_131.14,ACVR1B,924,33
ACVR1C_PKc_E4_193.16,ACVR1C,855,135
ACVR1C_PKc_E5_168.6,ACVR1C,782,482
ACVR1C_PKc_E6_157.1,ACVR1C,988,57
ACVR1C_PKc_E7_125.7,ACVR1C,595,698
ACVR1C_PKc_E8_131.1,ACVR1C,1707,2514
ACVR1C_PKc_E9_102.6,ACVR1C,2435,2309
ACVR2A_PKc_E10_131.1,ACVR2A,2089,630
ACVR2A_PKc_E5_87.3,ACVR2A,574,910
ACVR2A_PKc_E6_144,ACVR2A,390,1
ACVR2A_PKc_E7_146.12,ACVR2A,976,1161
ACVR2A_PKc_E8_115.6,ACVR2A,2170,5288
ACVR2A_PKc_E9_139.9,ACVR2A,1303,92
ACVRL1_PKc_E6_147.3,ACVRL1,1002,176
ACVRL1_PKc_E6_147.8,ACVRL1,1421,216
ACVRL1_PKc_E8_198.28,ACVRL1,354,315
ACVRL1_PKc_E8_198.4,ACVRL1,1620,937
ACVRL1_PKc_E9_131,ACVRL1,642,97
ACVRL1_PKc_E9_131.6,ACVRL1,1244,131
ADCK1_PKc_E5_159.11,ADCK1,985,42
ADCK1_PKc_E5_159.31,ADCK1,799,7
ADCK1_PKc_E6_159.6,ADCK1,651,290
ADCK1_PKc_E7_117.13,ADCK1,751,609
ADCK1_PKc_E8_150.18,ADCK1,1077,759
ADCK1_PKc_E9_99.4,ADCK1,1664,254
ADCK2_PKc_E1_534.7,ADCK2,519,154
ADCK2_PKc_E3_129.17,ADCK2,1186,758
ADCK2_PKc_E4_96.5,ADCK2,670,2228
ADCK2_PKc_E6_129.2,ADCK2,454,51
ADCK2_PKc_E7_54,ADCK2,1685,4056
ADCK2_PKc_E8_114.6,ADCK2,1013,158
ADCK3_PKc_E10_94.9,ADCK3,1043,49
ADCK3_PKc_E11_142.6,ADCK3,724,3092
ADCK3_PKc_E12_108.8,ADCK3,1014,195
ADCK3_PKc_E13_66.1,ADCK3,1158,1336
ADCK3_PKc_E8_141.23,ADCK3,1055,15
ADCK3_PKc_E9_82.2,ADCK3,2281,60
ADCK4_PKc_E10_94.6,ADCK4,520,212
ADCK4_PKc_E12_108.1,ADCK4,517,1148
ADCK4_PKc_E13_66.2,ADCK4,1428,3963
ADCK4_PKc_E14_87.6,ADCK4,1451,84
ADCK4_PKc_E8_141.12,ADCK4,932,194
ADCK4_PKc_E9_82.4,ADCK4,846,31
ADCK5_PKc_E10_82.1,ADCK5,1167,3
ADCK5_PKc_E11_79.1,ADCK5,1231,1288
ADCK5_PKc_E12_52.5,ADCK5,563,180
ADCK5_PKc_E7_114.17,ADCK5,1382,22
ADCK5_PKc_E8_132.7,ADCK5,1219,625
ADCK5_PKc_E9_84.2,ADCK5,1155,7176
ADRBK1_PKc_E10_79.2,ADRBK1,1284,137
ADRBK1_PKc_E11_131.9,ADRBK1,1040,9
ADRBK1_PKc_E12_95.3,ADRBK1,707,1306
ADRBK1_PKc_E13_108.17,ADRBK1,2255,406
