sgRNA,Gene,A2780_Ts18_D0,A2780_Ts18_D10
AAK1_PKc_E2_40.1,AAK1,1343,1424
AAK1_PKc_E3_119.6,AAK1,623,204
AAK1_PKc_E4_109.3,AAK1,671,841
AAK1_PKc_E5_143.1,AAK1,890,523
AAK1_PKc_E6_122,AAK1,924,2431
AAK1_PKc_E7_82.6,AAK1,917,1302
AATK_PKc_E4_36,AATK,409,173
AATK_PKc_E5_119.11,AATK,1085,1750
AATK_PKc_E6_88.9,AATK,1563,1033
AATK_PKc_E7_134.11,AATK,862,167
AATK_PKc_E8_85.7,AATK,1577,403
AATK_PKc_E9_122.1,AATK,1267,675
ABL1_PKc_E4_120.11,ABL1,1029,377
ABL1_PKc_E5_85,ABL1,2689,3323
ABL1_PKc_E6_178.11,ABL1,1453,861
ABL1_PKc_E7_185.15,ABL1,1538,643
ABL1_PKc_E8_153.18,ABL1,2527,653
ABL1_PKc_E9_68,ABL1,2397,505
ABL2_PKc_E10_68.4,ABL2,836,1843
ABL2_PKc_E5_120.8,ABL2,323,56
ABL2_PKc_E6_85.1,ABL2,1038,479
ABL2_PKc_E7_178.9,ABL2,951,412
ABL2_PKc_E8_185,ABL2,645,542
ABL2_PKc_E9_153.7,ABL2,2611,1162
ACVR1_PKc_E10_131,ACVR1,1402,368
ACVR1_PKc_E11_102.2,ACVR1,1610,2398
ACVR1_PKc_E6_40,ACVR1,1379,620
ACVR1_PKc_E7_147.15,ACVR1,1454,242
ACVR1_PKc_E8_276.19,ACVR1,331,315
ACVR1_PKc_E9_198.4,ACVR1,817,2046
ACVR1B_PKc_E10_102.5,ACVR1B,800,387
ACVR1B_PKc_E4_193.4,ACVR1B,1195,1661
ACVR1B_PKc_E5_123.4,ACVR1B,1601,676
ACVR1B_PKc_E6_168.13,ACVR1B,2068,1185
ACVR1B_PKc_E7_157.5,ACVR1B,1233,1367
ACVR1B_PKc_E9_131.14,ACVR1B,896,161
ACVR1C_PKc_E4_193.16,ACVR1C,1157,1359
ACVR1C_PKc_E5_168.6,ACVR1C,911,648
ACVR1C_PKc_E6_157.1,ACVR1C,1173,1396
ACVR1C_PKc_E7_125.7,ACVR1C,630,1917
ACVR1C_PKc_E8_131.1,ACVR1C,1814,1535
ACVR1C_PKc_E9_102.6,ACVR1C,2467,3044
ACVR2A_PKc_E10_131.1,ACVR2A,2395,2774
ACVR2A_PKc_E5_87.3,ACVR2A,763,906
ACVR2A_PKc_E6_144,ACVR2A,359,325
ACVR2A_PKc_E7_146.12,ACVR2A,925,620
ACVR2A_PKc_E8_115.6,ACVR2A,2137,2502
ACVR2A_PKc_E9_139.9,ACVR2A,1561,792
ACVRL1_PKc_E6_147.3,ACVRL1,930,2009
ACVRL1_PKc_E6_147.8,ACVRL1,1529,2368
ACVRL1_PKc_E8_198.28,ACVRL1,431,106
ACVRL1_PKc_E8_198.4,ACVRL1,1617,1741
ACVRL1_PKc_E9_131,ACVRL1,536,747
ACVRL1_PKc_E9_131.6,ACVRL1,1192,885
ADCK1_PKc_E5_159.11,ADCK1,953,837
ADCK1_PKc_E5_159.31,ADCK1,951,302
ADCK1_PKc_E6_159.6,ADCK1,993,601
ADCK1_PKc_E7_117.13,ADCK1,953,579
ADCK1_PKc_E8_150.18,ADCK1,1246,2673
ADCK1_PKc_E9_99.4,ADCK1,1915,1447
