sgRNA,Gene,DLD1-Cont1.initial,DLD1-Cont1.final
TMPRSS11B_1251.35,TMPRSS11B,8545,5997
ZNF212_E5_66.0,ZNF212,5419,4683
PBX1_E5_136.9,PBX1,5628,4318
NFATC3_E4_200.2,NFATC3,3561,3953
EN1_E2_180.21,EN1,2710,2538
PBRM1_Bah11301248_E1_4749.15,PBRM1,2792,1446
CUL3_2325.14,CUL3,2721,199
NR2E3_E3_104.11,NR2E3,1476,1633
ZIC5_E1_118.17,ZIC5,1876,1905
HSFX2_E1_273.12,HSFX2,4478,3519
DPP8_2697.102,DPP8,3643,2613
PRSS36_2568.161,PRSS36,2875,3539
neg40,neg40,12052,13029
KCNA6_BTB43134_E1_1590.318,KCNA6,858,1057
KDM4A_tudor897953_E1_3195.183,KDM4A,941,596
MEP1A_2241.272,MEP1A,1403,1050
ADNP_E6_126.5,ADNP,5356,3771
ZNF639_E7_747.3,ZNF639,4435,3738
LONP2_2559.228,LONP2,2695,2121
ZBTB20_BTB94196_E1_2226.15,ZBTB20,1990,1652
HSF1_E2_109.1,HSF1,2363,937
ZNF563_E4_579.27,ZNF563,2060,1184
SPOPL_BTB190297_E1_1179.38,SPOPL,2368,2299
SEC11A_558.29,SEC11A,1790,1969
ATF2_E12_133.0,ATF2,4540,3601
KDM4B_e9_96.5,KDM4B,1156,903
ESX1_E2_89.2,ESX1,1368,1202
ZNF354A_E5_1209.10,ZNF354A,2470,1815
LACTB_1644.113,LACTB,1620,1330
POU4F3_E2_177.2,POU4F3,2511,1740
TRIM59_1212.9,TRIM59,4701,2049
USP16_2472.82,USP16,1397,844
SKP2_1275.27,SKP2,3280,1108
ZNF382_E5_765.86,ZNF382,918,880
NHLRC1_1188.6,NHLRC1,1546,989
LMX1B_E4_84.10,LMX1B,3309,2131
UBE2G1_513.45,UBE2G1,1640,972
ADAMTS14_3681.674,ADAMTS14,3676,2752
KDM4C_e8_96.5,KDM4C,6491,3930
NPEPL1_1572.48,NPEPL1,583,458
AMBRA1_3906.692,AMBRA1,3112,3493
ZNF317_E7_1077.34,ZNF317,1238,969
MPND_1416.239,MPND,1256,1183
ZNF541_E12_78.2,ZNF541,4200,2125
RFX7_E4_101.10,RFX7,1039,893
KDM5A_e12_163.8,KDM5A,2184,1929
ZNF302_E6_495.11,ZNF302,4600,3273
ZCWPW1_CW256303_E1_1947.6,ZCWPW1,1691,935
NR1D1_E5_248.53,NR1D1,4471,3869
NKX6_1_E2_135.11,NKX6,4421,2845
ZNF219_E5_38.1,ZNF219,4542,3220
SUV39H1_Chromo_E3_108.1,SUV39H1,645,658
ENDOU_1233.68,ENDOU,3595,3064
RPS6KA1_PKc2_E17_159,RPS6KA1,1010,505
SHPRH_H_e27_179.16,SHPRH,3958,2574
F7_1401.96,F7,1611,1484
ASCL2_E2_126.8,ASCL2,1222,855
neg18,neg18,9917,10126
HKR1_E6_1070.123,HKR1,3647,2843
FBXL12_981.10,FBXL12,666,422
ANKIB1_3270.274,ANKIB1,3835,2301
ASB6_1266.113,ASB6,931,965
KLHL20_BTB59165_E1_1830.197,KLHL20,1919,1094
ZNF25_E6_930.61,ZNF25,6182,4632
TMPRSS4_1314.63,TMPRSS4,1843,1951
MLL5_e13_110.2,MLL5,6084,4332
NFKB1_E5_99.3,NFKB1,3801,3275
ZNF586_E3_495.6,ZNF586,3398,2532
PLAG1_E4_110.2,PLAG1,9943,6118
ZMYND8_BD_e7_88.6,ZMYND8,2396,1036
FBXO40_6,FBXO40,1984,1740
FOXQ1_E1_237.3,FOXQ1,749,620
