sgRNA,Gene,DLD1-Cont2_P10.13.initial,DLD1-Cont2_P10.13.final
ZNF521_E4_276.4,ZNF521,1654,1356
SETD1B_e17_118.2,SETD1B,3902,4270.4
ZNF717_E5_1770.65,ZNF717,2888,2868.8
HP_1221.43,HP,2574,2318
MID1_2004.245,MID1,1332,1318.2
NFATC4_E5_200.4,NFATC4,2309,2485.8
ZNF253_E4_828.54,ZNF253,3809,4426
ZNF619_E6_732.57,ZNF619,1328,960.6
LTK_PKc_E12_91.7,LTK,1374,1249.2
SETDB2_e14_89.4,SETDB2,2075,1837.6
SOX10_E3_91.6,SOX10,2951,3537
ZNF600_E3_1785.112,ZNF600,2318,2676.8
PIAS4_E9_132.2,PIAS4,3689,3052.2
PIAS4_1533.71,PIAS4,3689,3052.2
MEIS2_E9_77.4,MEIS2,2203,1648
ZIC3_E1_118.19,ZIC3,765,587.4
ZNF112_E5_1077.55,ZNF112,1199,1375.4
ZNF367_E3_53.3,ZNF367,2976,3017.4
UBE2V2_438.7,UBE2V2,764,561.2
RHBDF2_2571.26,RHBDF2,690,711.2
DDB1_3423.28,DDB1,658,465
KLHL34_BTB19126_E1_1935.403,KLHL34,641,500.4
DIDO1_Phd_E4_118.8,DIDO1,713,422.6
DCAF6_2856.232,DCAF6,1074,690.4
PCGF2_1035.12,PCGF2,1029,1005
HOXA1_E2_168.1,HOXA1,1610,1634
ZNF77_E4_834.85,ZNF77,1577,1712.4
CDK2_PKc_E3_121.2,CDK2,444,396.8
TFEB_E7_76.0,TFEB,4630,4574.8
ZNF367_E2_31.0,ZNF367,1358,777.8
KAT2B_BD_e18_190.12,KAT2B,1217,840.2
ZNF549_E4_1143.10,ZNF549,3889,3984.8
KCNA5_BTB122213_E1_1842.351,KCNA5,923,788.6
MMP8_1404.114,MMP8,2094,2059.2
ZNF574_E2_1602.35,ZNF574,1643,1602.2
AZU1_756.19,AZU1,1853,2250
GRHL2_E8_95.0,GRHL2,1091,926
neg39,neg39,7479,6561
TIP60_e10_94.0,TIP60,6613,6838.8
RNF113B_969.116,RNF113B,1176,1281.4
SMARCA4_HELIC_e25.2,SMARCA4,21609,29274.6
ZNF131_BTB24129_E1_1770.135,ZNF131,1494,855
TRPS1_E7_69.1,TRPS1,1498,1218.2
SMARCC1_Chromo_E7_70.3,SMARCC1,1254,1087.8
SOCS7_1746.171,SOCS7,429,377.8
KDM4C_tudor935990_E1_3171.194,KDM4C,1160,1036
FBXO11_2784.155,FBXO11,933,609.2
PKN3_PKc_E18_77.5,PKN3,654,448.4
ZNF276_E2_231.7,ZNF276,1011,1163.6
FBXO34_2136.163,FBXO34,932,734.2
DCAF17_1362.91,DCAF17,1663,1793.8
ZNF688_E3_153.5,ZNF688,790,580.8
CDKL2_PKc_E5_113.6,CDKL2,186,100.2
ADAMTS14_3681.98,ADAMTS14,875,1026.8
LEUTX_E2_73.1,LEUTX,3416,2895.6
ZSCAN10_E6_1281.169,ZSCAN10,1485,1585.8
ABL1_PKc_E9_68,ABL1,1105,858
STK3_PKc_E4_41,STK3,505,496.2
DZIP3_3627.150,DZIP3,3087,3035.6
RNF34_1122.98,RNF34,966,793
BNC2_E6_176.7,BNC2,1544,1884.8
MORF_e14_210.22,MORF,912,828.4
FOXD4_E1_234.40,FOXD4,855,1192
MYT1_E10_114.1,MYT1,1766,1760
CAPN2_2103.67,CAPN2,1374,981.8
TULP1_E10_108.16,TULP1,2382,3337.8
POLR2A_e2.2,POLR2A,3296,1934.4
ERBB4_PKc_E20_186.2,ERBB4,1004,755
TRRAP_PKc_E71_195,TRRAP,504,457
DDB1_3423.305,DDB1,1470,1156.2
MORF_e12_162.8,MORF,3313,2547.4
ADAMTS8_2670.123,ADAMTS8,1365,1358.2
BHLHE40_E3_108.9,BHLHE40,451,361.8
PSEN1_1404.131,PSEN1,2213,2092.4
ZNF770_E3_1944.67,ZNF770,1906,1276.2
TBX15_E6_63.0,TBX15,3043,2165.2
WHSC1_PWWP218337_E1_4098.534,WHSC1,861,1154.6
ZNF280D_E12_101.1,ZNF280D,2237,2027.8
RNF41_954.9,RNF41,1705,1629.4
RFFL_1092.87,RFFL,1006,901
TBX21_E3_122.0,TBX21,1313,1291
STK31_PKc_E20_84,STK31,1342,1138
CBX2_Chromo_E1_42.2,CBX2,937,881.2
VPS41_2565.173,VPS41,2355,2139.4
KDM8_e4_133.7,KDM8,2137,2529.2
SPPL2A_1563.54,SPPL2A,1096,922.2
NRF1_E7_87.6,NRF1,832,753.6
DDIT3_E4_192.22,DDIT3,727,680.4
FAP_2283.129,FAP,2279,2698.4
CNDP1_1524.43,CNDP1,1588,1731.2
VPS11_2825.273,VPS11,1115,953.4
SOCS3_678.21,SOCS3,629,430.2
ZFP30_E6_1074.18,ZFP30,1701,1157.2
RCOR3_E11_92.1,RCOR3,2620,2642.8
RCOR3_SANT2_E11_101.1,RCOR3,2620,2642.8
USP17L10_1593.147,USP17L10,853,744.4
PDK1_PKc_E2_142.3,PDK1,1448,1548.4
NEDD4_3960.104,NEDD4,1134,1151.6
SMARCA4_HELIC_e25.1,SMARCA4,9036,7238.8
BRPF1_ePhd_E3_363.44,BRPF1,486,397.2
RSPRY1_1731.64,RSPRY1,539,369.6
neg8,neg8,13762,12594.8
RHOBTB1_BTB476581_E1_2091.176,RHOBTB1,458,382.6
ALG13_51.4,ALG13,1041,991.4
SIRT4_e4_158.10,SIRT4,878,842.2
RNF133_1131.13,RNF133,1518,1474.2
PAX5_E2_166.9,PAX5,1041,871.4
HOXB9_E2_177.12,HOXB9,1687,1019.2
neg46,neg46,7215,6103.2
TFDP2_E9_108.0,TFDP2,6354,5385.4
PHF14_ePhd_E8_39.0,PHF14,1897,1024.8
ZNF581_E2_246.42,ZNF581,2595,3082.4
ZNF527_E5_831.41,ZNF527,5070,4106.8
STAT6_E13_207.12,STAT6,1215,944.4
MTF2_tudor4595_E1_1782.11,MTF2,819,763.2
ZBTB18_E2_69.0,ZBTB18,1422,1450
CTSH_1008.87,CTSH,2671,2454.8
GZF1_BTB21133_E1_2136.3,GZF1,1245,1187.6
RFPL3_954.120,RFPL3,1917,2029.2
FOXO6_E1_153.2,FOXO6,1676,1759
NEDD4_3960.299,NEDD4,1691,1198
PRKX_PKc_E1_52.2,PRKX,480,641.4
TRIM69_1503.154,TRIM69,1616,1824.8
ASB13_837.31,ASB13,2161,1975.6
TRIM24_BD_e19_86.2,TRIM24,1910,1143.8
SIX3_E1_147.5,SIX3,838,659.2
ZNF71_E3_1110.131,ZNF71,1626,1598.6
ZXDA_E1_384.9,ZXDA,964,592.2
TAOK1_PKc_E2_129.8,TAOK1,1260,371.8
NFX1_E10_98.3,NFX1,3133,3335.4
NFX1_3366.289,NFX1,3133,3335.4
HES4_E2_75.7,HES4,1719,1787.8
DSTYK_PKc_E11_115.6,DSTYK,1067,1233.6
DPF1_Phd2_E11_82.6,DPF1,1073,1024.4
PAK4_PKc_E8_126.5,PAK4,907,1022
MAZ_E2_78.0,MAZ,1393,1353.8
HMGB1_E2_135.8,HMGB1,669,421.4
ZBTB33_E3_657.35,ZBTB33,1911,1434.6
KDM3A_e21_131.0,KDM3A,2142,2559.4
PSMB5_792.92,PSMB5,493,412.8
ARID2_E3_98.2,ARID2,889,938.8
MAP3K9_PKc_E5_68.2,MAP3K9,495,508.2
SH3RF1_2667.442,SH3RF1,1157,1412.8
IMMP2L_528.62,IMMP2L,1429,1085.8
MMP27_1542.151,MMP27,2004,1978.2
UBE2F_558.52,UBE2F,991,690.6
IRX6_E4_180.0,IRX6,1837,1962.8
ABHD17B_882.53,ABHD17B,1423,1499.6
ZSCAN31_E4_492.10,ZSCAN31,1600,1664.8
ALK_PKc_E22_65.1,ALK,613,514.2
FOXP3_E11_102.1,FOXP3,6228,6482.8
WHSC1L1_PWWP9581051_E1_4314.148,WHSC1L1,1055,939
FBXO48_468.6,FBXO48,622,581.2
ARNTL2__158.7,ARNTL2,3783,5406.4
ZNF75D_E7_405.21,ZNF75D,2122,2057.4
RNF180_1779.95,RNF180,1176,779.6
IPP_BTB28134_E1_1755.152,IPP,1166,1030
CRAMP1_SANT_E2_48.2,CRAMP1,431,333.4
TYK2_PKc_E18_135.4,TYK2,391,405
