sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final,test1,Test2,DLD1-Ts2.18.final_recalculate
ZNF521_E4_276.4,ZNF521,1607,4319,2712,2712,2712
SETD1B_e17_118.2,SETD1B,3971,9842,5871,5871,5871
ZNF717_E5_1770.65,ZNF717,2994,7239,4245,4245,4245
HP_1221.43,HP,2610,6315,3705,3705,3705
MID1_2004.245,MID1,1311,3242,1931,1931,1931
NFATC4_E5_200.4,NFATC4,2464,6325,3861,3861,3861
ZNF253_E4_828.54,ZNF253,3613,10684,7071,7071,7071
ZNF619_E6_732.57,ZNF619,1470,3426,1956,1956,1956
LTK_PKc_E12_91.7,LTK,1629,3936,2307,2307,2307
SETDB2_e14_89.4,SETDB2,2117,5368,3251,3251,3251
SOX10_E3_91.6,SOX10,2855,8446,5591,5591,5591
ZNF600_E3_1785.112,ZNF600,2757,6969,4212,4212,4212
PIAS4_E9_132.2,PIAS4,3982,8839,4857,4857,4857
PIAS4_1533.71,PIAS4,3982,8839,4857,4857,4857
MEIS2_E9_77.4,MEIS2,2042,5049,3007,3007,3007
ZIC3_E1_118.19,ZIC3,702,1774,1072,1072,1072
ZNF112_E5_1077.55,ZNF112,1352,3619,2267,2267,2267
ZNF367_E3_53.3,ZNF367,3269,8342,5073,5073,5073
UBE2V2_438.7,UBE2V2,753,1592,839,839,839
RHBDF2_2571.26,RHBDF2,765,2250,1485,1485,1485
DDB1_3423.28,DDB1,889,1493,604,604,604
KLHL34_BTB19126_E1_1935.403,KLHL34,555,1733,1178,1178,1178
DIDO1_Phd_E4_118.8,DIDO1,914,1384,470,470,470
DCAF6_2856.232,DCAF6,1156,2647,1491,1491,1491
PCGF2_1035.12,PCGF2,1210,3169,1959,1959,1959
HOXA1_E2_168.1,HOXA1,1528,4060,2532,2532,2532
ZNF77_E4_834.85,ZNF77,1665,4811,3146,3146,3146
CDK2_PKc_E3_121.2,CDK2,501,1236,735,735,735
TFEB_E7_76.0,TFEB,4810,11256,6446,6446,6446
ZNF367_E2_31.0,ZNF367,1174,2561,1387,1387,1387
KAT2B_BD_e18_190.12,KAT2B,945,2992,2047,2047,2047
ZNF549_E4_1143.10,ZNF549,3877,10396,6519,6519,6519
KCNA5_BTB122213_E1_1842.351,KCNA5,1054,2509,1455,1455,1455
MMP8_1404.114,MMP8,2065,5665,3600,3600,3600
ZNF574_E2_1602.35,ZNF574,1709,4464,2755,2755,2755
AZU1_756.19,AZU1,2060,5071,3011,3011,3011
GRHL2_E8_95.0,GRHL2,1245,2971,1726,1726,1726
neg39,neg39,7300,17948,10648,10648,10648
TIP60_e10_94.0,TIP60,10023,17305,7282,7282,7282
RNF113B_969.116,RNF113B,1591,3212,1621,1621,1621
SMARCA4_HELIC_e25.2,SMARCA4,28195,61012,32817,32817,32817
ZNF131_BTB24129_E1_1770.135,ZNF131,1317,3094,1777,1777,1777
TRPS1_E7_69.1,TRPS1,1562,3763,2201,2201,2201
SMARCC1_Chromo_E7_70.3,SMARCC1,1287,3755,2468,2468,2468
SOCS7_1746.171,SOCS7,422,1035,613,613,613
KDM4C_tudor935990_E1_3171.194,KDM4C,1064,2528,1464,1464,1464
FBXO11_2784.155,FBXO11,1000,2134,1134,1134,1134
PKN3_PKc_E18_77.5,PKN3,657,1608,951,951,951
ZNF276_E2_231.7,ZNF276,1284,3139,1855,1855,1855
FBXO34_2136.163,FBXO34,1239,2559,1320,1320,1320
DCAF17_1362.91,DCAF17,1668,4068,2400,2400,2400
ZNF688_E3_153.5,ZNF688,883,1737,854,854,854
CDKL2_PKc_E5_113.6,CDKL2,266,442,176,176,176
ADAMTS14_3681.98,ADAMTS14,1113,2776,1663,1663,1663
LEUTX_E2_73.1,LEUTX,3053,7897,4844,4844,4844
ZSCAN10_E6_1281.169,ZSCAN10,1934,4337,2403,2403,2403
ABL1_PKc_E9_68,ABL1,1047,2570,1523,1523,1523
STK3_PKc_E4_41,STK3,678,1543,865,865,865
DZIP3_3627.150,DZIP3,3122,8185,5063,5063,5063
RNF34_1122.98,RNF34,1122,2698,1576,1576,1576
BNC2_E6_176.7,BNC2,1651,5222,3571,3571,3571
MORF_e14_210.22,MORF,1023,2320,1297,1297,1297
FOXD4_E1_234.40,FOXD4,1185,2673,1488,1488,1488
MYT1_E10_114.1,MYT1,2243,5302,3059,3059,3059
CAPN2_2103.67,CAPN2,1410,2570,1160,1160,1160
TULP1_E10_108.16,TULP1,2859,7471,4612,4612,4612
POLR2A_e2.2,POLR2A,3477,5836,2359,2359,2359
ERBB4_PKc_E20_186.2,ERBB4,1055,2348,1293,1293,1293
TRRAP_PKc_E71_195,TRRAP,676,1302,626,626,626
DDB1_3423.305,DDB1,1949,3363,1414,1414,1414
MORF_e12_162.8,MORF,3396,7755,4359,4359,4359
ADAMTS8_2670.123,ADAMTS8,1334,3780,2446,2446,2446
BHLHE40_E3_108.9,BHLHE40,505,1440,935,935,935
PSEN1_1404.131,PSEN1,2505,5566,3061,3061,3061
ZNF770_E3_1944.67,ZNF770,2010,4529,2519,2519,2519
TBX15_E6_63.0,TBX15,3050,7925,4875,4875,4875
WHSC1_PWWP218337_E1_4098.534,WHSC1,1196,3243,2047,2047,2047
ZNF280D_E12_101.1,ZNF280D,2326,5646,3320,3320,3320
RNF41_954.9,RNF41,1759,4469,2710,2710,2710
RFFL_1092.87,RFFL,1043,2660,1617,1617,1617
TBX21_E3_122.0,TBX21,1507,3709,2202,2202,2202
STK31_PKc_E20_84,STK31,1322,3046,1724,1724,1724
CBX2_Chromo_E1_42.2,CBX2,965,2319,1354,1354,1354
VPS41_2565.173,VPS41,2328,5823,3495,3495,3495
KDM8_e4_133.7,KDM8,3010,6289,3279,3279,3279
SPPL2A_1563.54,SPPL2A,1370,3112,1742,1742,1742
NRF1_E7_87.6,NRF1,1185,2130,945,945,945
DDIT3_E4_192.22,DDIT3,930,2421,1491,1491,1491
FAP_2283.129,FAP,2934,7877,4943,4943,4943
CNDP1_1524.43,CNDP1,1726,4019,2293,2293,2293
VPS11_2825.273,VPS11,1488,3080,1592,1592,1592
SOCS3_678.21,SOCS3,549,1348,799,799,799
ZFP30_E6_1074.18,ZFP30,1613,3576,1963,1963,1963
RCOR3_E11_92.1,RCOR3,2751,7229,4478,4478,4478
RCOR3_SANT2_E11_101.1,RCOR3,2751,7229,4478,4478,4478
USP17L10_1593.147,USP17L10,1404,2513,1109,1109,1109
PDK1_PKc_E2_142.3,PDK1,1388,4009,2621,2621,2621
NEDD4_3960.104,NEDD4,1187,2962,1775,1775,1775
SMARCA4_HELIC_e25.1,SMARCA4,11426,22485,11059,11059,11059
BRPF1_ePhd_E3_363.44,BRPF1,536,1104,568,568,568
RSPRY1_1731.64,RSPRY1,436,1035,599,599,599
neg8,neg8,12729,33711,20982,20982,20982
RHOBTB1_BTB476581_E1_2091.176,RHOBTB1,433,1013,580,580,580
ALG13_51.4,ALG13,1019,2868,1849,1849,1849
SIRT4_e4_158.10,SIRT4,997,2403,1406,1406,1406
RNF133_1131.13,RNF133,1551,4121,2570,2570,2570
PAX5_E2_166.9,PAX5,1025,2611,1586,1586,1586
HOXB9_E2_177.12,HOXB9,1466,3145,1679,1679,1679
neg46,neg46,6467,17965,11498,11498,11498
TFDP2_E9_108.0,TFDP2,7580,16700,9120,9120,9120
PHF14_ePhd_E8_39.0,PHF14,1431,3176,1745,1745,1745
ZNF581_E2_246.42,ZNF581,2737,7216,4479,4479,4479
ZNF527_E5_831.41,ZNF527,5389,12470,7081,7081,7081
STAT6_E13_207.12,STAT6,1228,2762,1534,1534,1534
MTF2_tudor4595_E1_1782.11,MTF2,1061,2626,1565,1565,1565
ZBTB18_E2_69.0,ZBTB18,1565,3512,1947,1947,1947
CTSH_1008.87,CTSH,2684,6680,3996,3996,3996
GZF1_BTB21133_E1_2136.3,GZF1,1134,3028,1894,1894,1894
RFPL3_954.120,RFPL3,2432,5304,2872,2872,2872
FOXO6_E1_153.2,FOXO6,1477,4648,3171,3171,3171
NEDD4_3960.299,NEDD4,1954,4150,2196,2196,2196
PRKX_PKc_E1_52.2,PRKX,592,1624,1032,1032,1032
TRIM69_1503.154,TRIM69,1957,4733,2776,2776,2776
ASB13_837.31,ASB13,2270,5806,3536,3536,3536
TRIM24_BD_e19_86.2,TRIM24,1904,4149,2245,2245,2245
SIX3_E1_147.5,SIX3,865,1948,1083,1083,1083
ZNF71_E3_1110.131,ZNF71,1603,4569,2966,2966,2966
ZXDA_E1_384.9,ZXDA,1128,2576,1448,1448,1448
TAOK1_PKc_E2_129.8,TAOK1,484,1155,671,671,671
NFX1_E10_98.3,NFX1,3294,8992,5698,5698,5698
NFX1_3366.289,NFX1,3294,8992,5698,5698,5698
HES4_E2_75.7,HES4,2014,4863,2849,2849,2849
DSTYK_PKc_E11_115.6,DSTYK,1290,3131,1841,1841,1841
DPF1_Phd2_E11_82.6,DPF1,1184,3158,1974,1974,1974
