sgRNA,Gene,DLD1-Ts2.18.initial,DLD1-Ts2.18.final
ZNF521_E4_276.4,ZNF521,1607,4319
CDK12_PKc_E8_102.1,CDK12,2481904,11054556
SETD1B_e17_118.2,SETD1B,3971,9842
ZNF717_E5_1770.65,ZNF717,2994,7239
HP_1221.43,HP,2610,6315
MID1_2004.245,MID1,1311,3242
NFATC4_E5_200.4,NFATC4,2464,6325
ZNF253_E4_828.54,ZNF253,3613,10684
ZNF619_E6_732.57,ZNF619,1470,3426
LTK_PKc_E12_91.7,LTK,1629,3936
SETDB2_e14_89.4,SETDB2,2117,5368
SOX10_E3_91.6,SOX10,2855,8446
ZNF600_E3_1785.112,ZNF600,2757,6969
PIAS4_E9_132.2,PIAS4,3982,8839
PIAS4_1533.71,PIAS4,3982,8839
MEIS2_E9_77.4,MEIS2,2042,5049
CDK12_PKc_E9_78.1,CDK12,252870,817456
ZIC3_E1_118.19,ZIC3,702,1774
ZNF112_E5_1077.55,ZNF112,1352,3619
ZNF367_E3_53.3,ZNF367,3269,8342
UBE2V2_438.7,UBE2V2,753,1592
RHBDF2_2571.26,RHBDF2,765,2250
DDB1_3423.28,DDB1,889,1493
KLHL34_BTB19126_E1_1935.403,KLHL34,555,1733
DIDO1_Phd_E4_118.8,DIDO1,914,1384
DCAF6_2856.232,DCAF6,1156,2647
PCGF2_1035.12,PCGF2,1210,3169
HOXA1_E2_168.1,HOXA1,1528,4060
ZNF77_E4_834.85,ZNF77,1665,4811
CDK2_PKc_E3_121.2,CDK2,501,1236
TFEB_E7_76.0,TFEB,4810,11256
ZNF367_E2_31.0,ZNF367,1174,2561
KAT2B_BD_e18_190.12,KAT2B,945,2992
ZNF549_E4_1143.10,ZNF549,3877,10396
KCNA5_BTB122213_E1_1842.351,KCNA5,1054,2509
MMP8_1404.114,MMP8,2065,5665
ZNF574_E2_1602.35,ZNF574,1709,4464
AZU1_756.19,AZU1,2060,5071
GRHL2_E8_95.0,GRHL2,1245,2971
neg39,neg39,7300,17948
TIP60_e10_94.0,TIP60,10023,17305
RNF113B_969.116,RNF113B,1591,3212
SMARCA4_HELIC_e25.2,SMARCA4,28195,61012
ZNF131_BTB24129_E1_1770.135,ZNF131,1317,3094
TRPS1_E7_69.1,TRPS1,1562,3763
SMARCC1_Chromo_E7_70.3,SMARCC1,1287,3755
SOCS7_1746.171,SOCS7,422,1035
KDM4C_tudor935990_E1_3171.194,KDM4C,1064,2528
FBXO11_2784.155,FBXO11,1000,2134
PKN3_PKc_E18_77.5,PKN3,657,1608
ZNF276_E2_231.7,ZNF276,1284,3139
FBXO34_2136.163,FBXO34,1239,2559
DCAF17_1362.91,DCAF17,1668,4068
ZNF688_E3_153.5,ZNF688,883,1737
CDKL2_PKc_E5_113.6,CDKL2,266,442
ADAMTS14_3681.98,ADAMTS14,1113,2776
LEUTX_E2_73.1,LEUTX,3053,7897
