sgRNA,Gene,DLD1-Ts4.initial,DLD1-Ts4.final
ZNF521_E4_276.4,ZNF521,1482,2728
CDK12_PKc_E8_102.1,CDK12,2057037,22900422
SETD1B_e17_118.2,SETD1B,3518,8339
ZNF717_E5_1770.65,ZNF717,2790,5708
HP_1221.43,HP,2296,4984
MID1_2004.245,MID1,1052,2552
NFATC4_E5_200.4,NFATC4,2309,4842
ZNF253_E4_828.54,ZNF253,2922,9897
ZNF619_E6_732.57,ZNF619,1472,1863
LTK_PKc_E12_91.7,LTK,1372,2476
SETDB2_e14_89.4,SETDB2,1775,4144
SOX10_E3_91.6,SOX10,2650,6624
ZNF600_E3_1785.112,ZNF600,2786,5344
PIAS4_E9_132.2,PIAS4,3777,6422
PIAS4_1533.71,PIAS4,3777,6422
MEIS2_E9_77.4,MEIS2,1672,3114
CDK12_PKc_E9_78.1,CDK12,454075,2428551
ZIC3_E1_118.19,ZIC3,555,1075
ZNF112_E5_1077.55,ZNF112,1337,2667
ZNF367_E3_53.3,ZNF367,2557,6411
UBE2V2_438.7,UBE2V2,695,1362
RHBDF2_2571.26,RHBDF2,810,1237
DDB1_3423.28,DDB1,727,806
KLHL34_BTB19126_E1_1935.403,KLHL34,538,1158
DIDO1_Phd_E4_118.8,DIDO1,672,909
DCAF6_2856.232,DCAF6,969,1697
PCGF2_1035.12,PCGF2,1046,2207
HOXA1_E2_168.1,HOXA1,1516,3357
ZNF77_E4_834.85,ZNF77,1572,3225
CDK2_PKc_E3_121.2,CDK2,509,631
TFEB_E7_76.0,TFEB,4184,8922
ZNF367_E2_31.0,ZNF367,855,1551
KAT2B_BD_e18_190.12,KAT2B,936,1679
ZNF549_E4_1143.10,ZNF549,3398,8577
KCNA5_BTB122213_E1_1842.351,KCNA5,1235,1559
MMP8_1404.114,MMP8,1811,4055
ZNF574_E2_1602.35,ZNF574,1694,2942
AZU1_756.19,AZU1,1965,4377
GRHL2_E8_95.0,GRHL2,1026,2001
neg39,neg39,6713,13213
TIP60_e10_94.0,TIP60,8341,14702
RNF113B_969.116,RNF113B,1426,2171
SMARCA4_HELIC_e25.2,SMARCA4,25202,54315
ZNF131_BTB24129_E1_1770.135,ZNF131,1372,1605
TRPS1_E7_69.1,TRPS1,1277,2879
SMARCC1_Chromo_E7_70.3,SMARCC1,1286,2057
SOCS7_1746.171,SOCS7,358,866
KDM4C_tudor935990_E1_3171.194,KDM4C,954,1878
FBXO11_2784.155,FBXO11,848,1064
PKN3_PKc_E18_77.5,PKN3,703,962
ZNF276_E2_231.7,ZNF276,1214,2143
FBXO34_2136.163,FBXO34,1034,1711
DCAF17_1362.91,DCAF17,1243,3880
ZNF688_E3_153.5,ZNF688,841,1196
CDKL2_PKc_E5_113.6,CDKL2,240,278
ADAMTS14_3681.98,ADAMTS14,1199,1917
LEUTX_E2_73.1,LEUTX,2749,5998
ZSCAN10_E6_1281.169,ZSCAN10,2099,3058
ABL1_PKc_E9_68,ABL1,914,1883
STK3_PKc_E4_41,STK3,704,1167
DZIP3_3627.150,DZIP3,2890,6524
RNF34_1122.98,RNF34,1076,1439
BNC2_E6_176.7,BNC2,1673,4057
MORF_e14_210.22,MORF,860,1558
FOXD4_E1_234.40,FOXD4,1178,2515
MYT1_E10_114.1,MYT1,1905,4057
CAPN2_2103.67,CAPN2,1139,1786
TULP1_E10_108.16,TULP1,2603,6721
POLR2A_e2.2,POLR2A,2890,3604
ERBB4_PKc_E20_186.2,ERBB4,871,1681
TRRAP_PKc_E71_195,TRRAP,745,732
DDB1_3423.305,DDB1,1622,2350
MORF_e12_162.8,MORF,2842,5306
ADAMTS8_2670.123,ADAMTS8,1367,2569
BHLHE40_E3_108.9,BHLHE40,510,847
PSEN1_1404.131,PSEN1,2061,4483
ZNF770_E3_1944.67,ZNF770,1865,2808
TBX15_E6_63.0,TBX15,2915,4434
WHSC1_PWWP218337_E1_4098.534,WHSC1,1054,2473
ZNF280D_E12_101.1,ZNF280D,1841,3755
RNF41_954.9,RNF41,1447,3132
RFFL_1092.87,RFFL,885,2004
TBX21_E3_122.0,TBX21,1548,2731
STK31_PKc_E20_84,STK31,981,2498
CBX2_Chromo_E1_42.2,CBX2,876,2020
VPS41_2565.173,VPS41,1836,3883
KDM8_e4_133.7,KDM8,2745,4920
SPPL2A_1563.54,SPPL2A,1334,1845
NRF1_E7_87.6,NRF1,1250,1665
DDIT3_E4_192.22,DDIT3,1008,1410
FAP_2283.129,FAP,2597,6029
CNDP1_1524.43,CNDP1,1601,2969
VPS11_2825.273,VPS11,1510,1903
SOCS3_678.21,SOCS3,564,845
ZFP30_E6_1074.18,ZFP30,1077,2464
RCOR3_E11_92.1,RCOR3,2623,5647
RCOR3_SANT2_E11_101.1,RCOR3,2623,5647
USP17L10_1593.147,USP17L10,1298,1598
PDK1_PKc_E2_142.3,PDK1,1316,2880
NEDD4_3960.104,NEDD4,1099,2117
SMARCA4_HELIC_e25.1,SMARCA4,11706,14834
BRPF1_ePhd_E3_363.44,BRPF1,389,669
