sgRNA,Gene,DLD1_Ctrl_3_D0,DLD1_Ctrl_3_D10
AAK1_PKc_E2_40.1,AAK1,912,786
AAK1_PKc_E3_119.6,AAK1,349,277
AAK1_PKc_E4_109.3,AAK1,430,573
AAK1_PKc_E5_143.1,AAK1,460,288
AAK1_PKc_E6_122,AAK1,584,538
AAK1_PKc_E7_82.6,AAK1,588,427
AATK_PKc_E4_36,AATK,352,261
AATK_PKc_E5_119.11,AATK,716,636
AATK_PKc_E6_88.9,AATK,1100,801
AATK_PKc_E7_134.11,AATK,468,455
AATK_PKc_E8_85.7,AATK,1012,755
AATK_PKc_E9_122.1,AATK,976,508
ABL1_PKc_E4_120.11,ABL1,563,757
ABL1_PKc_E5_85,ABL1,1567,2019
ABL1_PKc_E6_178.11,ABL1,835,944
ABL1_PKc_E7_185.15,ABL1,947,980
ABL1_PKc_E8_153.18,ABL1,1352,1233
ABL1_PKc_E9_68,ABL1,1091,1140
ABL2_PKc_E10_68.4,ABL2,499,647
ABL2_PKc_E5_120.8,ABL2,247,158
ABL2_PKc_E6_85.1,ABL2,558,530
ABL2_PKc_E7_178.9,ABL2,693,685
ABL2_PKc_E8_185,ABL2,425,347
ABL2_PKc_E9_153.7,ABL2,1374,1441
ACVR1_PKc_E10_131,ACVR1,922,916
ACVR1_PKc_E11_102.2,ACVR1,1017,925
ACVR1_PKc_E6_40,ACVR1,724,634
ACVR1_PKc_E7_147.15,ACVR1,794,618
ACVR1_PKc_E8_276.19,ACVR1,243,248
ACVR1_PKc_E9_198.4,ACVR1,574,512
ACVR1B_PKc_E10_102.5,ACVR1B,344,299
ACVR1B_PKc_E4_193.4,ACVR1B,645,573
ACVR1B_PKc_E5_123.4,ACVR1B,931,950
ACVR1B_PKc_E6_168.13,ACVR1B,1268,1007
ACVR1B_PKc_E7_157.5,ACVR1B,1029,815
ACVR1B_PKc_E9_131.14,ACVR1B,521,497
ACVR1C_PKc_E4_193.16,ACVR1C,687,531
ACVR1C_PKc_E5_168.6,ACVR1C,624,557
ACVR1C_PKc_E6_157.1,ACVR1C,581,517
ACVR1C_PKc_E7_125.7,ACVR1C,349,373
ACVR1C_PKc_E8_131.1,ACVR1C,1024,1161
ACVR1C_PKc_E9_102.6,ACVR1C,1526,1587
ACVR2A_PKc_E10_131.1,ACVR2A,1370,1018
ACVR2A_PKc_E5_87.3,ACVR2A,418,358
ACVR2A_PKc_E6_144,ACVR2A,238,138
ACVR2A_PKc_E7_146.12,ACVR2A,445,454
ACVR2A_PKc_E8_115.6,ACVR2A,1240,1026
ACVR2A_PKc_E9_139.9,ACVR2A,898,696
ACVRL1_PKc_E6_147.3,ACVRL1,586,454
ACVRL1_PKc_E6_147.8,ACVRL1,896,852
ACVRL1_PKc_E8_198.28,ACVRL1,268,269
ACVRL1_PKc_E8_198.4,ACVRL1,1110,1095
ACVRL1_PKc_E9_131,ACVRL1,453,432
ACVRL1_PKc_E9_131.6,ACVRL1,675,710
ADCK1_PKc_E5_159.11,ADCK1,578,609
ADCK1_PKc_E5_159.31,ADCK1,606,660
ADCK1_PKc_E6_159.6,ADCK1,441,497
