sgRNA,Gene,HCT116-Cont2.initial,HCT116-Cont2.final
MME_2253.8,MME,1046,984
UBC_2058.135,UBC,979,261
TTF1_E6_130.3,TTF1,1037,355
TTF1_SANT_E6_130.3,TTF1,1037,355
RNF19B_1764.186,RNF19B,1542,1299
CDYL2_Chromo_E2_144.13,CDYL2,1306,1461
DOT1L_e7_63.4,DOT1L,1912,1127
CUL3_2325.9,CUL3,1585,1344
CPA6_1314.57,CPA6,726,526
ARAF_PKc_E14_132.7,ARAF,939,902
CDK12_PKc_E8_102.1,CDK12,1230665,378490
NAALADL2_2388.28,NAALADL2,1951,1912
PCSK4_2268.389,PCSK4,1685,1532
KMT2C_e58_117.5,KMT2C,4684,3817
KMT2C_14736.745,KMT2C,4684,3817
ZNF264_E4_1155.81,ZNF264,1993,1911
KLF6_E3_65.2,KLF6,1368,1131
ZNF555_E4_1170.105,ZNF555,519,488
MLLT10_Phd_E7_94.2,MLLT10,1227,721
CAPN14_2055.271,CAPN14,1231,1080
LTK_PKc_E14_130.1,LTK,725,511
FBXW9_11,FBXW9,460,227
USP13_2592.129,USP13,971,772
CDK12_PKc_E9_78.1,CDK12,700291,5908602
PROZ_1269.74,PROZ,773,557
ZSCAN22_E3_654.1,ZSCAN22,240,295
YBX3_E4_90.6,YBX3,1286,824
CDKL2_PKc_E7_66.4,CDKL2,357,280
NFATC2_E4_203.5,NFATC2,2138,2006
CYLD_2871.182,CYLD,1183,746
VPS11_2825.273,VPS11,1287,756
TGIF2_E2_138.2,TGIF2,742,676
PCSK6_2910.93,PCSK6,653,547
SHH_1389.118,SHH,1140,876
FGR_PKc_E12_132.2,FGR,436,229
SMN1_Tudor_E5_201.4,SMN1,1101,672
ZNF257_E4_936.60,ZNF257,1753,1583
TRIM33_BD_e20_79.0,TRIM33,1030,1003
BRWD3_BD2_e36_75.0,BRWD3,1424,1103
IKBKE_PKc_E7_161.24,IKBKE,165,84
neg3,neg3,5471,5408
NR1I2_E3_134.0,NR1I2,486,370
ZNF587_E3_567.30,ZNF587,4339,3239
PMS1_E10_52.0,PMS1,1060,926
GGTLC2_657.101,GGTLC2,1378,559
ZKSCAN8_E7_744.88,ZKSCAN8,1109,966
DCAF16_651.27,DCAF16,924,1128
KDM2A_5,KDM2A,755,302
NEK7_PKc_E8_95.4,NEK7,1158,860
PCGF5_771.5,PCGF5,1096,851
RNF217_1629.97,RNF217,1567,1434
MMP27_1542.149,MMP27,1971,1604
TRIM50_1464.7,TRIM50,599,523
KCNC4_BTB38143_E1_1908.344,KCNC4,523,350
GATA1_E4_135.14,GATA1,478,300
ZMIZ1_E20_68.1,ZMIZ1,3020,2337
HIVEP3_E4_4482.680,HIVEP3,578,520
ZMYND8_BD_e7_88.1,ZMYND8,824,525
HABP2_1683.69,HABP2,386,408
TBX21_E1_86.5,TBX21,978,728
ZNF140_E5_891.17,ZNF140,1555,1271
CSF1R_PKc_E17_98.1,CSF1R,603,511
CFLAR_708.72,CFLAR,1031,586
POU3F1_E1_174.1,POU3F1,1187,726
CHD1L_Macro716866_E1_2694.206,CHD1L,1456,1314
MEIS1_E8_63.3,MEIS1,1605,1764
SMAD4_E2_210.1,SMAD4,1601,1372
USP48_3108.237,USP48,877,612
SIRT6_e6_81.6,SIRT6,2034,1337
SEBOX_E2_135.1,SEBOX,1472,1058
CUX1_E23_155.6,CUX1,1237,931
ZNF780A_E6_1410.76,ZNF780A,1570,1616
GUCY2D_PKc_E10_157.1,GUCY2D,458,279
LHX1_E3_135.10,LHX1,53,21
KDM5C_e13_120.10,KDM5C,1462,1253
MEOX1_E2_129.4,MEOX1,1812,1292
USP17L20_885.36,USP17L20,14368,6302
USP17L21_885.36,USP17L21,14368,6302
USP17L24_885.35,USP17L24,14368,6302
USP17L25_885.35,USP17L25,14368,6302
USP17L26_885.35,USP17L26,14368,6302
USP17L5_885.35,USP17L5,14368,6302
ZNF501_E3_582.33,ZNF501,641,630
POU3F3_E1_174.13,POU3F3,1603,1373
ZNF396_E4_66.1,ZNF396,3265,2661
ZNF396_E4_66.1,ZNF396,3265,793
ZNF396_E4_66.1,ZNF396,812,2661
ZNF396_E4_66.1,ZNF396,812,793
BARHL1_E2_155.1,BARHL1,1137,696
PSMB4_795.71,PSMB4,2120,955
ATRX_ADD167270_E1_7479.511,ATRX,774,511
TRIM41_1893.394,TRIM41,762,557
CDH1_2649.184,CDH1,1354,962
ZNF777_E6_849.110,ZNF777,355,327
TMPRSS15_3060.133,TMPRSS15,1306,1132
TBX4_E5_153.1,TBX4,1510,893
IMMP1L_501.17,IMMP1L,1297,1288
SMARCA4_HELIC_e25.2,SMARCA4,19376,12843
ZNF645_1278.117,ZNF645,1018,1183
WSB2_1266.186,WSB2,1290,879
IRX6_E4_180.0,IRX6,1530,1414
SFMBT1_MBT23120_E1_2601.25,SFMBT1,460,262
neg29,neg29,7032,6831
PRSS37_708.12,PRSS37,2076,1383
SMARCA5_SANT_E20_126.5,SMARCA5,421,391
ZNF836_E5_2079.120,ZNF836,948,747
EPHA8_PKc_E14_150.21,EPHA8,804,469
VAX1_E2_188.23,VAX1,438,303
TFAM_E3_71.3,TFAM,1229,785
CAD_6678.654,CAD,1507,649
CAMKK1_PKc_E9_89.4,CAMKK1,791,622
C1R_2118.179,C1R,842,680
UNKL_2052.75,UNKL,1770,1093
ZNF230_E5_810.3,ZNF230,2427,1756
KLF8_E6_78.2,KLF8,2927,2405
HP_1221.43,HP,1878,1739
UBE2L6_462.66,UBE2L6,815,334
TEAD1_E7_47.0,TEAD1,1156,783
GSX1_E2_174.7,GSX1,980,731
BCL6B_E7_131.1,BCL6B,1128,658
CELA1_777.21,CELA1,1725,1017
SENP5_2268.107,SENP5,1182,1038
PRKAA1_PKc_E5_145.2,PRKAA1,889,679
PKN2_PKc_E16_177.5,PKN2,700,573
ADAM2_2208.151,ADAM2,1824,1268
NFIA_E6_128.20,NFIA,1112,1091
TDRD1_tudor316364_E1_3570.42,TDRD1,945,720
HDAC5_e24_119.10,HDAC5,809,459
ZNF441_E4_1239.77,ZNF441,2131,1892
KDM5D_E5_144.14,KDM5D,1381,1268
PHRF1_4950.1068,PHRF1,735,536
ZFAT_E7_233.2,ZFAT,1536,1083
ADAM18_72.4,ADAM18,1419,1064
ELF3_E8_188.3,ELF3,1438,1224
KMT2D_16614.3185,KMT2D,232,228
JMJD1C_e22_86.2,JMJD1C,1727,1486
COPS5_1005.52,COPS5,2218,918
ZNF619_E6_732.58,ZNF619,1356,1185
FAM105A_117.5,FAM105A,1017,714
SOCS2_597.43,SOCS2,2346,1465
PCAF_e11_118.9,PCAF,1732,1814
PARP9_Macro117295_E1_2565.247,PARP9,794,613
RHBDD2_672.131,RHBDD2,1309,804
SREBF1_E7_66.0,SREBF1,1317,1091
ZNF541_E12_78.2,ZNF541,1259,957
ZNF33B_E4_1407.103,ZNF33B,1283,1079
RAB40C_846.146,RAB40C,539,583
TOX_E5_147.11,TOX,1604,1375
MDM2_1335.37,MDM2,1052,727
FOXO4_E2_90.1,FOXO4,2325,2179
ZBTB12_E2_78.3,ZBTB12,2761,1907
CDK9_e4.2,CDK9,5098,1080
ZIC5_E1_118.8,ZIC5,495,380
ADAM12_2730.82,ADAM12,2843,1557
TBX1_E3_86.5,TBX1,2043,1031
ZNF431_E5_1059.60,ZNF431,1380,1429
CYHR1_1089.23,CYHR1,2152,1785
CYHR1_1,CYHR1,2152,1785
SIRT1_e4_153.6,SIRT1,1137,920
USP8_3357.182,USP8,1569,502
KBTBD7_BTB53168_E1_2055.218,KBTBD7,917,726
TOX3_E5_144.10,TOX3,1228,1373
ZNF614_E5_666.11,ZNF614,1447,970
ZSCAN20_E8_478.84,ZSCAN20,2853,2117
ZSCAN20_SANT_E6_478.84,ZSCAN20,2853,2117
RNF40_3006.320,RNF40,718,253
T_E3_265.48,T,1608,1316
DCAF1_11,DCAF1,1170,297
HMGXB3_E3_163.4,HMGXB3,625,359
ARIH2_1482.141,ARIH2,604,566
GSC_E2_135.12,GSC,684,503
NAALAD2_2223.128,NAALAD2,855,928
ZNF214_E3_1026.52,ZNF214,2507,2139
USP50_1005.67,USP50,1438,1001
FBXW8_9,FBXW8,744,770
neg48,neg48,5843,5419
SMG1_PKc_E43_139.5,SMG1,275,208
DIDO1_Phd_E3_362.22,DIDO1,2079,1102
BRPF3_BD_e6_190.4,BRPF3,1353,1365
L3MBTL1_MBT385481_E1_2523.356,L3MBTL1,1079,1237
ZNF763_E4_402.24,ZNF763,1812,1887
PSKH1_PKc_E3_108.1,PSKH1,360,370
CGRRF1_999.36,CGRRF1,888,686
ATG4B_1182.145,ATG4B,677,624
ENDOU_1233.68,ENDOU,1593,1439
FGFR1_PKc_E14_123.7,FGFR1,517,471
CFLAR_708.34,CFLAR,1779,1040
SIX2_E1_156.18,SIX2,958,914
ADCK1_PKc_E8_150.18,ADCK1,567,384
ZNF10_E5_666.53,ZNF10,1299,1070
PHF8_e7_187.13,PHF8,1737,1058
ZNF484_E4_1164.90,ZNF484,2677,2032
PCSK2_1917.108,PCSK2,2323,1584
RPL23A_e3.1,RPL23A,8776,1786
CAD_6678.595,CAD,732,392
SCAF11_4392.373,SCAF11,1816,1488
SIAH2_975.135,SIAH2,511,303
TSC22D2_E4_168.4,TSC22D2,1766,1118
DPP6_2598.216,DPP6,1201,1333
STAT4_E10_89.5,STAT4,1555,1602
ZNF626_E4_915.70,ZNF626,1419,1317
PEX12_1080.16,PEX12,1215,667
ABHD12_1215.47,ABHD12,2663,2224
ZNF32_E3_561.62,ZNF32,1149,883
PIAS1_Ex_220.13,PIAS1,2636,2111
PIAS1_1956.136,PIAS1,2636,2111
UBR7_Phd_E5_54.3,UBR7,741,443
ZNF98_E4_1155.61,ZNF98,1269,1342
OLIG1_E1_189.0,OLIG1,1082,1065
CAPN11_2220.9,CAPN11,854,524
GAN_BTB20125_E1_1794,GAN,893,587
ZNF491_E3_1176.92,ZNF491,1566,907
PHF7_Phd_E10_103.7,PHF7,794,758
DTX3_1053.58,DTX3,891,597
SOHLH2_E7_130.1,SOHLH2,1840,1735
ASB9_885.74,ASB9,1431,1198
HERC3_2799.51,HERC3,1411,1017
ZNF407_E1_4129.115,ZNF407,1347,720
SOX8_E1_122.15,SOX8,1644,934
MUL1_1059.70,MUL1,1081,756
TULP1_E13_99.12,TULP1,1463,1052
ABHD12B_858.58,ABHD12B,1624,1113
HOXD4_E2_177.20,HOXD4,700,597
ZNF641_E7_477.30,ZNF641,1856,1384
ZNF619_E6_732.63,ZNF619,1240,1192
ZBTB2_BTB1484_E1_1545.203,ZBTB2,885,604
KCTD21_BTB593_E1_783.112,KCTD21,1262,1005
MYLIP_1338.102,MYLIP,1587,1600
RORA_E4_142.1,RORA,2193,2229
HSFX2_E2_72.4,HSFX2,1450,1375
ARID3B_E4_73.4,ARID3B,1548,1240
IDE_3060.254,IDE,2627,2028
HTRA2_1377.163,HTRA2,1394,1244
TRAF6_1569.156,TRAF6,1290,947
CDK12_PKc_E7_57,CDK12,3757,1667
SPSB2_792.92,SPSB2,810,420
ASB16_1362.138,ASB16,758,407
PRMT9_e4_168.5,PRMT9,2738,2301
USP47_3864.51,USP47,1278,945
CYLD_2871.134,CYLD,966,697
AMBRA1_3906.53,AMBRA1,978,933
FOXO3_E2_90.1,FOXO3,1721,1095
PIAS3_1887.273,PIAS3,908,599
SMAD5_E4_372.17,SMAD5,535,396
RIPK1_PKc_E5_150.8,RIPK1,629,483
ZNF28_E4_1494.60,ZNF28,1477,1308
BCL6B_E6_31.0,BCL6B,2136,1471
ZBTB17_E13_131.14,ZBTB17,953,334
FOXQ1_E1_237.1,FOXQ1,1046,935
SOHLH2_E7_130.3,SOHLH2,3720,3787
DPF1_Phd1_E9_94.12,DPF1,1122,1165
APEH_2199.194,APEH,952,553
ZNF75D_E7_405.13,ZNF75D,2110,1515
MAP3K11_PKc_E2_181.2,MAP3K11,1052,1151
UBE2NL_462.49,UBE2NL,666,628
EPHA4_PKc_E16_150.16,EPHA4,812,779
VRK3_PKc_E8_85.5,VRK3,1052,675
SMAD1_E2_372.47,SMAD1,1754,1435
HDAC4_e19_56.3,HDAC4,1219,1065
KDM8_e4_133.0,KDM8,656,203
ZNF716_E4_825.43,ZNF716,1557,1628
SOCS4_1323.70,SOCS4,1028,1012
IRX4_E6_180.28,IRX4,317,253
BAZ2B_BD_e36_144.1,BAZ2B,1249,1470
ADAM33_2442.13,ADAM33,1521,1294
MMP17_1812.336,MMP17,673,474
TMPRSS4_1314.55,TMPRSS4,1332,1135
RNPEP_1953.123,RNPEP,1950,1897
SETD1A_e18_138.16,SETD1A,1172,271
PARP9_Macro317453_E1_2565.64,PARP9,1201,716
RAPSN_1239.124,RAPSN,150,56
FOXP2_E14_102.4,FOXP2,2224,1501
ZNF32_E3_561.53,ZNF32,2186,2077
FBXW2_1365.136,FBXW2,1116,1057
ZNF708_E4_1233.22,ZNF708,3024,3189
PSKH2_PKc_E2_667.2,PSKH2,265,142
BAP1_2190.17,BAP1,438,126
CREBL2_E2_141.2,CREBL2,1361,1169
MIER3_E11_54.0,MIER3,3085,3192
MIER3_SANT_E11_57.0,MIER3,3085,3192
ASB2_1908.188,ASB2,856,718
ZNF749_E3_1185.42,ZNF749,746,778
SPPL2B_1779.17,SPPL2B,1434,856
PHF7_Phd_E9_59.4,PHF7,1568,1474
PHF7_1146.101,PHF7,1568,1474
CCIN_BTB18128_E1_1767.244,CCIN,580,381
HMX2_E2_174.21,HMX2,2142,2220
ZNF331_E7_993.6,ZNF331,923,575
MTF2_Phd1_E5_86.3,MTF2,1277,935
VSX1_E4_42.3,VSX1,811,701
GZMM_774.151,GZMM,1116,817
PHKG1_PKc_E2_38.1,PHKG1,1029,683
INSM2_E1_852.161,INSM2,1047,767
ASB5_990.54,ASB5,1073,1234
neg7,neg7,9459,9694
NR0B1_E2_220.5,NR0B1,2063,1506
NCOR2_E15_42.0,NCOR2,2309,1537
UBE2E1_582.44,UBE2E1,1111,898
RXRG_E4_180.16,RXRG,2493,2134
SMARCC1_Chromo_E7_70.3,SMARCC1,1025,657
TMPRSS11D_1257.72,TMPRSS11D,1873,1019
IVNS1ABP_BTB22126_E1_1929.161,IVNS1ABP,601,747
KLHL2_BTB50157_E1_1794.164,KLHL2,790,697
ZNF501_E3_582.27,ZNF501,1727,1409
TFE3_E8_76.2,TFE3,1279,1381
DCAF6_2856.143,DCAF6,1098,839
NEURL2_858.75,NEURL2,808,1139
USP11_2892.225,USP11,985,587
