sgRNA,Gene,HCT116-Ts5.initial,HCT116-Ts5.final
MME_2253.8,MME,1009,1512
UBC_2058.135,UBC,819,298
TTF1_E6_130.3,TTF1,1041,621
TTF1_SANT_E6_130.3,TTF1,1041,621
RNF19B_1764.186,RNF19B,1360,1799
CDYL2_Chromo_E2_144.13,CDYL2,1179,1946
DOT1L_e7_63.4,DOT1L,1615,1616
CUL3_2325.9,CUL3,1308,2113
CPA6_1314.57,CPA6,668,727
ARAF_PKc_E14_132.7,ARAF,949,1017
CDK12_PKc_E8_102.1,CDK12,40362,1497502
NAALADL2_2388.28,NAALADL2,1800,2782
PCSK4_2268.389,PCSK4,1596,1778
KMT2C_e58_117.5,KMT2C,4553,4754
KMT2C_14736.745,KMT2C,4553,4754
ZNF264_E4_1155.81,ZNF264,1622,1982
KLF6_E3_65.2,KLF6,1321,1255
ZNF555_E4_1170.105,ZNF555,552,648
MLLT10_Phd_E7_94.2,MLLT10,1005,1187
CAPN14_2055.271,CAPN14,1075,1352
LTK_PKc_E14_130.1,LTK,596,777
FBXW9_11,FBXW9,375,249
USP13_2592.129,USP13,875,947
CDK12_PKc_E9_78.1,CDK12,13531,122609
PROZ_1269.74,PROZ,674,789
ZSCAN22_E3_654.1,ZSCAN22,280,285
YBX3_E4_90.6,YBX3,1080,812
CDKL2_PKc_E7_66.4,CDKL2,287,456
NFATC2_E4_203.5,NFATC2,1720,2181
CYLD_2871.182,CYLD,1010,1868
VPS11_2825.273,VPS11,1194,1224
TGIF2_E2_138.2,TGIF2,705,828
PCSK6_2910.93,PCSK6,627,885
SHH_1389.118,SHH,1018,1184
FGR_PKc_E12_132.2,FGR,379,445
SMN1_Tudor_E5_201.4,SMN1,1051,810
ZNF257_E4_936.60,ZNF257,1568,1925
TRIM33_BD_e20_79.0,TRIM33,891,914
BRWD3_BD2_e36_75.0,BRWD3,1175,1448
IKBKE_PKc_E7_161.24,IKBKE,158,322
neg3,neg3,5074,6968
NR1I2_E3_134.0,NR1I2,448,489
ZNF587_E3_567.30,ZNF587,3920,4082
PMS1_E10_52.0,PMS1,1032,1181
GGTLC2_657.101,GGTLC2,1185,829
ZKSCAN8_E7_744.88,ZKSCAN8,859,1047
DCAF16_651.27,DCAF16,970,1437
KDM2A_5,KDM2A,629,380
NEK7_PKc_E8_95.4,NEK7,878,1501
PCGF5_771.5,PCGF5,941,1136
RNF217_1629.97,RNF217,1412,1924
MMP27_1542.149,MMP27,1953,2175
TRIM50_1464.7,TRIM50,579,584
KCNC4_BTB38143_E1_1908.344,KCNC4,496,492
GATA1_E4_135.14,GATA1,447,564
ZMIZ1_E20_68.1,ZMIZ1,2847,3242
HIVEP3_E4_4482.680,HIVEP3,557,701
