sgRNA,Gene,Snu-1_WT_C13_D=0,Snu-1_WT_C13_D=10
AAK1_PKc_E2_40.1,AAK1,741,628
AAK1_PKc_E3_119.6,AAK1,352,589
AAK1_PKc_E4_109.3,AAK1,395,376
AAK1_PKc_E5_143.1,AAK1,407,441
AAK1_PKc_E6_122,AAK1,622,503
AAK1_PKc_E7_82.6,AAK1,729,610
AATK_PKc_E4_36,AATK,409,71
AATK_PKc_E5_119.11,AATK,700,636
AATK_PKc_E6_88.9,AATK,907,523
AATK_PKc_E7_134.11,AATK,401,523
AATK_PKc_E8_85.7,AATK,915,660
AATK_PKc_E9_122.1,AATK,799,840
ABL1_PKc_E4_120.11,ABL1,587,647
ABL1_PKc_E5_85,ABL1,1815,1515
ABL1_PKc_E6_178.11,ABL1,760,789
ABL1_PKc_E7_185.15,ABL1,1181,915
ABL1_PKc_E8_153.18,ABL1,1399,1172
ABL1_PKc_E9_68,ABL1,1143,891
ABL2_PKc_E10_68.4,ABL2,488,586
ABL2_PKc_E5_120.8,ABL2,270,248
ABL2_PKc_E6_85.1,ABL2,536,421
ABL2_PKc_E7_178.9,ABL2,646,534
ABL2_PKc_E8_185,ABL2,349,423
ABL2_PKc_E9_153.7,ABL2,1448,1150
ACVR1_PKc_E10_131,ACVR1,987,891
ACVR1_PKc_E11_102.2,ACVR1,753,940
ACVR1_PKc_E6_40,ACVR1,638,477
ACVR1_PKc_E7_147.15,ACVR1,743,571
ACVR1_PKc_E8_276.19,ACVR1,133,314
ACVR1_PKc_E9_198.4,ACVR1,432,625
ACVR1B_PKc_E10_102.5,ACVR1B,408,413
ACVR1B_PKc_E4_193.4,ACVR1B,575,682
ACVR1B_PKc_E5_123.4,ACVR1B,856,963
ACVR1B_PKc_E6_168.13,ACVR1B,1030,1615
ACVR1B_PKc_E7_157.5,ACVR1B,839,583
ACVR1B_PKc_E9_131.14,ACVR1B,502,533
ACVR1C_PKc_E4_193.16,ACVR1C,617,1157
ACVR1C_PKc_E5_168.6,ACVR1C,613,607
ACVR1C_PKc_E6_157.1,ACVR1C,574,750
ACVR1C_PKc_E7_125.7,ACVR1C,374,183
ACVR1C_PKc_E8_131.1,ACVR1C,874,1114
ACVR1C_PKc_E9_102.6,ACVR1C,1469,1325
ACVR2A_PKc_E10_131.1,ACVR2A,1391,1014
ACVR2A_PKc_E5_87.3,ACVR2A,400,635
ACVR2A_PKc_E6_144,ACVR2A,288,235
ACVR2A_PKc_E7_146.12,ACVR2A,597,378
ACVR2A_PKc_E8_115.6,ACVR2A,1483,1257
ACVR2A_PKc_E9_139.9,ACVR2A,1005,1027
ACVRL1_PKc_E6_147.3,ACVRL1,588,756
ACVRL1_PKc_E6_147.8,ACVRL1,842,466
ACVRL1_PKc_E8_198.28,ACVRL1,122,130
ACVRL1_PKc_E8_198.4,ACVRL1,784,1092
ACVRL1_PKc_E9_131,ACVRL1,364,493
ACVRL1_PKc_E9_131.6,ACVRL1,675,816
ADCK1_PKc_E5_159.11,ADCK1,518,744
ADCK1_PKc_E5_159.31,ADCK1,618,794
ADCK1_PKc_E6_159.6,ADCK1,401,569
ADCK1_PKc_E7_117.13,ADCK1,546,817
ADCK1_PKc_E8_150.18,ADCK1,696,869
ADCK1_PKc_E9_99.4,ADCK1,1105,1338
ADCK2_PKc_E1_534.7,ADCK2,317,254
ADCK2_PKc_E3_129.17,ADCK2,689,994
ADCK2_PKc_E4_96.5,ADCK2,416,568
ADCK2_PKc_E6_129.2,ADCK2,318,423
ADCK2_PKc_E7_54,ADCK2,1085,1217
ADCK2_PKc_E8_114.6,ADCK2,644,851
ADCK3_PKc_E10_94.9,ADCK3,714,1218
ADCK3_PKc_E11_142.6,ADCK3,646,524
