sgRNA,Gene,Snu-1_clone_23_D=0,Snu-1_clone_23_D=10
AAK1_PKc_E2_40.1,AAK1,866,587
AAK1_PKc_E3_119.6,AAK1,316,256
AAK1_PKc_E4_109.3,AAK1,454,260
AAK1_PKc_E5_143.1,AAK1,354,286
AAK1_PKc_E6_122,AAK1,454,456
AAK1_PKc_E7_82.6,AAK1,527,364
AATK_PKc_E4_36,AATK,314,360
AATK_PKc_E5_119.11,AATK,632,435
AATK_PKc_E6_88.9,AATK,1038,756
AATK_PKc_E7_134.11,AATK,323,434
AATK_PKc_E8_85.7,AATK,931,768
AATK_PKc_E9_122.1,AATK,841,972
ABL1_PKc_E4_120.11,ABL1,420,579
ABL1_PKc_E5_85,ABL1,1759,1371
ABL1_PKc_E6_178.11,ABL1,756,768
ABL1_PKc_E7_185.15,ABL1,673,729
ABL1_PKc_E8_153.18,ABL1,1391,984
ABL1_PKc_E9_68,ABL1,807,843
ABL2_PKc_E10_68.4,ABL2,425,430
ABL2_PKc_E5_120.8,ABL2,238,144
ABL2_PKc_E6_85.1,ABL2,488,492
ABL2_PKc_E7_178.9,ABL2,433,723
ABL2_PKc_E8_185,ABL2,323,289
ABL2_PKc_E9_153.7,ABL2,1171,1336
ACVR1_PKc_E10_131,ACVR1,810,913
ACVR1_PKc_E11_102.2,ACVR1,948,838
ACVR1_PKc_E6_40,ACVR1,796,631
ACVR1_PKc_E7_147.15,ACVR1,721,826
ACVR1_PKc_E8_276.19,ACVR1,186,103
ACVR1_PKc_E9_198.4,ACVR1,324,487
ACVR1B_PKc_E10_102.5,ACVR1B,313,509
ACVR1B_PKc_E4_193.4,ACVR1B,531,697
ACVR1B_PKc_E5_123.4,ACVR1B,944,825
ACVR1B_PKc_E6_168.13,ACVR1B,1183,1197
ACVR1B_PKc_E7_157.5,ACVR1B,874,503
ACVR1B_PKc_E9_131.14,ACVR1B,636,508
ACVR1C_PKc_E4_193.16,ACVR1C,650,591
ACVR1C_PKc_E5_168.6,ACVR1C,550,436
